Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/09  01:00:00,66037901.09448141,0.0,0.0,14886432.881686116,23169600.0,25966257.157511864,2015611.0551525657,0.00013082115374323194,54485407.65082192,51004514.7538931,3480892.8969288124 
 06/09  02:00:00,65229836.50860022,0.0,0.0,14886432.881686116,23169600.0,24906552.848896295,2267250.777985083,0.000032705039947244805,59213876.39409162,57554411.91028425,1659464.4838073687 
 06/09  03:00:00,64870758.094563946,0.0,0.0,14886432.881686116,23169600.0,24376700.694588523,2438024.518256634,0.00003270499019718212,63639034.864208326,61979571.30399219,1659463.5602161272 
 06/09  04:00:00,72438309.56184863,0.0,0.0,19471919.183650862,23169600.0,27266590.80447863,2530199.5735883196,0.00013081970985792153,67829890.6261871,64348964.12068192,3480926.505505183 
 06/09  05:00:00,79181412.62242085,0.0,0.0,27381883.054540057,13515600.0,35695631.795797795,2588297.7711999654,0.0008830318312539424,83343577.11939402,65898114.9065277,17445462.212866332 
 06/09  06:00:00,84634306.13116434,0.0,0.0,29139652.803626556,0.0,53083565.932743855,2411087.391719676,0.003074258780201519,119347396.25558478,61222628.16458222,58124768.09100253 
 06/09  07:00:00,94118508.07161501,0.0,0.0,27343670.668690365,0.0,64691719.84990964,2083117.5497445564,0.0032704880640418298,114297465.50330913,52529774.40817802,61767691.09513111 
 06/09  08:00:00,86170447.66511661,0.0,0.0,18898733.395905286,0.0,65221572.0042175,2050142.261854155,0.0031396685414801554,110932046.02967769,51592970.27065952,59339075.759018175 
 06/09  09:00:00,75950347.51161021,0.0,0.0,16873476.945870843,0.0,57081753.82885495,1995116.734137277,0.0027472099737951353,102199796.64501356,50146566.894334175,52053229.75067935 
 06/09  10:00:00,65209089.09547275,0.0,0.0,16873476.945870843,0.0,46581897.69790999,1753714.4492063508,0.002485570928671791,91057894.75683741,43861895.6783839,47195999.07845351 
 06/09  11:00:00,65392208.65450861,0.0,0.0,16873476.945870843,0.0,47111749.85221782,1406981.8544249553,0.001994997719065516,73071046.75433044,34982355.18630049,38088691.568029955 
 06/09  12:00:00,64281049.168531835,0.0,3202.3688135547377,16873476.945870843,0.0,46581897.69790999,822472.1542041021,0.0017333586739421705,53483911.531614,20252450.63580988,33231460.89580412 
 06/09  13:00:00,62837823.31574206,0.0,564581.7700305763,16873476.945870843,0.0,44992341.23498666,407423.3633168374,0.0015371293900996606,35970020.23805081,6381482.346416093,29588537.89163472 
 06/09  14:00:00,62523843.99428288,0.0,913512.02356702,16873476.945870843,0.0,44462489.08067886,274365.9428252684,0.00134090010625715,26901981.174948618,956366.2874833301,25945614.887465283 
 06/09  15:00:00,67759350.6445314,0.0,1201027.9609634914,20197954.514795292,0.0,46052045.54360223,308322.6236332787,0.0015371293900996606,29588537.89163472,0.0,29588537.89163472 
 06/09  16:00:00,94580715.30956577,0.0,1197049.5222230917,29101440.417776853,0.0,63969831.834856056,312393.53291100205,0.0017987684352230064,34445768.56386057,0.0,34445768.56386057 
 06/09  17:00:00,121152359.80806053,0.0,1619835.5854853732,35865032.71317486,0.0,83236545.25068206,430946.25633080455,0.002387456286750535,45374537.57636879,0.0,45374537.57636879 
