Date/Time,SimHVAC:HVAC System Total Heat Rejection Energy [J](TimeStep) 
 07/01  00:15:00,0
 07/01  00:30:00,2.504395978438e-311 
 07/01  00:45:00,2.504395978438e-311 
 07/01  01:00:00,2.504395978438e-311 
 07/01  01:15:00,2.504395978438e-311 
 07/01  01:30:00,2.504395978438e-311 
 07/01  01:45:00,2.504395978438e-311 
 07/01  02:00:00,2.504395978438e-311 
 07/01  02:15:00,2.504395978438e-311 
 07/01  02:30:00,2.504395978438e-311 
 07/01  02:45:00,2.504395978438e-311 
 07/01  03:00:00,2.504395978438e-311 
 07/01  03:15:00,2.504395978438e-311 
 07/01  03:30:00,2.504395978438e-311 
 07/01  03:45:00,2.504395978438e-311 
 07/01  04:00:00,2.504395978438e-311 
 07/01  04:15:00,2.504395978438e-311 
 07/01  04:30:00,2.504395978438e-311 
 07/01  04:45:00,2.504395978438e-311 
 07/01  05:00:00,2.504395978438e-311 
 07/01  05:15:00,2.504395978438e-311 
 07/01  05:30:00,2.504395978438e-311 
 07/01  05:45:00,2.504395978438e-311 
 07/01  06:00:00,2.504395978438e-311 
 07/01  06:15:00,2.504395978438e-311 
 07/01  06:30:00,2.504395978438e-311 
 07/01  06:45:00,2.504395978438e-311 
 07/01  07:00:00,2.504395978438e-311 
 07/01  07:15:00,2.504395978438e-311 
 07/01  07:30:00,2.504395978438e-311 
 07/01  07:45:00,2.504395978438e-311 
 07/01  08:00:00,2.504395978438e-311 
 07/01  08:15:00,2.504395978438e-311 
 07/01  08:30:00,2.504395978438e-311 
 07/01  08:45:00,578535.9044
 07/01  09:00:00,162866.7264
 07/01  09:15:00,2.504395978438e-311 
 07/01  09:30:00,2.504395978438e-311 
 07/01  09:45:00,638118.0682
 07/01  10:00:00,50102.76565
 07/01  10:15:00,2.504395978438e-311 
 07/01  10:30:00,2.504395978438e-311 
 07/01  10:45:00,2.504395978438e-311 
 07/01  11:00:00,2.504395978438e-311 
 07/01  11:15:00,2.504395978438e-311 
 07/01  11:30:00,2.504395978438e-311 
 07/01  11:45:00,2.504395978438e-311 
 07/01  12:00:00,2.504395978438e-311 
 07/01  12:15:00,2.504395978438e-311 
 07/01  12:30:00,2.504395978438e-311 
 07/01  12:45:00,2.504395978438e-311 
 07/01  13:00:00,2.504395978438e-311 
 07/01  13:15:00,2.504395978438e-311 
 07/01  13:30:00,2.504395978438e-311 
 07/01  13:45:00,2.504395978438e-311 
 07/01  14:00:00,2.504395978438e-311 
 07/01  14:15:00,2.504395978438e-311 
 07/01  14:30:00,2.504395978438e-311 
 07/01  14:45:00,2.504395978438e-311 
 07/01  15:00:00,1088560.36
 07/01  15:15:00,227506.8693
 07/01  15:30:00,2.504395978438e-311 
 07/01  15:45:00,661092.2559
 07/01  16:00:00,1544504.565
 07/01  16:15:00,166247.4666
 07/01  16:30:00,991915.7896
 07/01  16:45:00,470759.0851
 07/01  17:00:00,1291451.414
 07/01  17:15:00,1393004.477
 07/01  17:30:00,589293.1303
 07/01  17:45:00,2.504395978438e-311 
 07/01  18:00:00,2502832.638
 07/01  18:15:00,593513.3841
 07/01  18:30:00,2.504395978438e-311 
 07/01  18:45:00,839637.3232
 07/01  19:00:00,1356996.009
 07/01  19:15:00,140075.7385
 07/01  19:30:00,2.504395978438e-311 
 07/01  19:45:00,2.504395978438e-311 
 07/01  20:00:00,2.504395978438e-311 
 07/01  20:15:00,2.504395978438e-311 
 07/01  20:30:00,2.504395978438e-311 
 07/01  20:45:00,2.504395978438e-311 
 07/01  21:00:00,2.504395978438e-311 
 07/01  21:15:00,2.504395978438e-311 
 07/01  21:30:00,2.504395978438e-311 
 07/01  21:45:00,2.504395978438e-311 
 07/01  22:00:00,2.504395978438e-311 
 07/01  22:15:00,2.504395978438e-311 
 07/01  22:30:00,2.504395978438e-311 
 07/01  22:45:00,2.504395978438e-311 
 07/01  23:00:00,2.504395978438e-311 
 07/01  23:15:00,2.504395978438e-311 
 07/01  23:30:00,2.504395978438e-311 
 07/01  23:45:00,2.504395978438e-311 
 07/01  24:00:00,2.504395978438e-311 
 07/02  00:15:00,2.504395978438e-311 
 07/02  00:30:00,2.504395978438e-311 
 07/02  00:45:00,2.504395978438e-311 
 07/02  01:00:00,2.504395978438e-311 
 07/02  01:15:00,2.504395978438e-311 
 07/02  01:30:00,2.504395978438e-311 
 07/02  01:45:00,2.504395978438e-311 
 07/02  02:00:00,2.504395978438e-311 
 07/02  02:15:00,2.504395978438e-311 
 07/02  02:30:00,2.504395978438e-311 
 07/02  02:45:00,2.504395978438e-311 
 07/02  03:00:00,2.504395978438e-311 
 07/02  03:15:00,2.504395978438e-311 
 07/02  03:30:00,2.504395978438e-311 
 07/02  03:45:00,2.504395978438e-311 
 07/02  04:00:00,2.504395978438e-311 
 07/02  04:15:00,2.504395978438e-311 
 07/02  04:30:00,2.504395978438e-311 
 07/02  04:45:00,2.504395978438e-311 
 07/02  05:00:00,2.504395978438e-311 
 07/02  05:15:00,23573811.97
 07/02  05:30:00,19144758.91
 07/02  05:45:00,21881944.86
 07/02  06:00:00,20751510.63
 07/02  06:15:00,18528478.12
 07/02  06:30:00,18219668.19
 07/02  06:45:00,17991758.77
 07/02  07:00:00,17849847.04
 07/02  07:15:00,20760861.91
 07/02  07:30:00,20879890.93
 07/02  07:45:00,21008458.98
 07/02  08:00:00,21131849.87
 07/02  08:15:00,21263139.74
 07/02  08:30:00,21388672.89
 07/02  08:45:00,21497162.58
 07/02  09:00:00,21592797.05
 07/02  09:15:00,20701830.33
 07/02  09:30:00,21082516.06
 07/02  09:45:00,21117674.6
 07/02  10:00:00,21342076.59
 07/02  10:15:00,22365349.47
 07/02  10:30:00,22203018.78
 07/02  10:45:00,22186068.34
 07/02  11:00:00,22017524.25
 07/02  11:15:00,20440396.97
 07/02  11:30:00,20535739.74
 07/02  11:45:00,20258631.32
 07/02  12:00:00,20254054.79
 07/02  12:15:00,21536701.45
 07/02  12:30:00,21327843.21
 07/02  12:45:00,21296877.01
 07/02  13:00:00,21097224.18
 07/02  13:15:00,19633572.89
 07/02  13:30:00,19582420.24
 07/02  13:45:00,19263909.99
 07/02  14:00:00,19235083
 07/02  14:15:00,20506946.25
 07/02  14:30:00,20624904.06
 07/02  14:45:00,20840874.36
 07/02  15:00:00,20864517.73
 07/02  15:15:00,20806538.65
 07/02  15:30:00,20702300.45
 07/02  15:45:00,20840701.47
 07/02  16:00:00,21058493
 07/02  16:15:00,19069684.21
 07/02  16:30:00,18648360.85
 07/02  16:45:00,18588755.75
 07/02  17:00:00,18295628.19
 07/02  17:15:00,2.504395978438e-311 
 07/02  17:30:00,2.504395978438e-311 
 07/02  17:45:00,2.504395978438e-311 
 07/02  18:00:00,2.504395978438e-311 
 07/02  18:15:00,2.504395978438e-311 
 07/02  18:30:00,2.504395978438e-311 
 07/02  18:45:00,2.504395978438e-311 
 07/02  19:00:00,2.504395978438e-311 
 07/02  19:15:00,2.504395978438e-311 
 07/02  19:30:00,2.504395978438e-311 
 07/02  19:45:00,2.504395978438e-311 
 07/02  20:00:00,2.504395978438e-311 
 07/02  20:15:00,2.504395978438e-311 
 07/02  20:30:00,2.504395978438e-311 
 07/02  20:45:00,2.504395978438e-311 
 07/02  21:00:00,2.504395978438e-311 
 07/02  21:15:00,2.504395978438e-311 
 07/02  21:30:00,2.504395978438e-311 
 07/02  21:45:00,2.504395978438e-311 
 07/02  22:00:00,2.504395978438e-311 
 07/02  22:15:00,2.504395978438e-311 
 07/02  22:30:00,2.504395978438e-311 
 07/02  22:45:00,2.504395978438e-311 
 07/02  23:00:00,2.504395978438e-311 
 07/02  23:15:00,2.504395978438e-311 
 07/02  23:30:00,2.504395978438e-311 
 07/02  23:45:00,2.504395978438e-311 
 07/02  24:00:00,2.504395978438e-311 
