,(m) canTemp_1.5,(m) canTemp_2.5,(m) canTemp_3.5,(m) canTemp_4.5,(m) canTemp_5.5,(m) canTemp_6.5,(m) canTemp_7.5,(m) canTemp_8.5,(m) canTemp_9.5,(m) canTemp_10.5,(m) canTemp_11.5,(m) canTemp_12.5,(m) canTemp_13.5,(m) canTemp_14.5
2002-06-10 00:00:00,295.43071265679765,295.4147275208259,295.3838268079353,295.338922506878,295.2807926074337,295.21010051580055,295.1274111398111,295.03320428739244,294.92788588348805,294.81179740499886,294.6852238518889,294.5484005093876,294.4015187067967,294.23074652116753
2002-06-10 00:05:00,289.8397816608832,289.7924505503772,289.72544373732586,289.64220752947404,289.54668127471507,289.44259672581836,289.33398848630077,289.2240777461016,289.11471401734366,289.0069291253834,288.90121257107245,288.797956814787,288.69746595734114,288.5916324837054
2002-06-10 00:10:00,288.3713147224299,288.3233283822567,288.27220668222105,288.2187332913383,288.16368517267773,288.1073926650346,288.05098318682946,287.99571535746554,287.9422245705879,287.8908041188921,287.84136572797627,287.7938278674143,287.7481116658882,287.7003334335078
2002-06-10 00:15:00,288.74665687027897,288.6773099839266,288.6070753896969,288.53655207596626,288.46631484134446,288.3966284466249,288.3283414848025,288.262299590347,288.19879727792465,288.13785767326823,288.0792399629248,288.0227548297889,287.9682470725287,287.91101039345614
2002-06-10 00:20:00,289.3079553030644,289.2164942621158,289.1239786361983,289.03115607238425,288.9387756958339,288.8472226579973,288.7575850105513,288.6709288149392,288.58761697125794,288.507653322377,288.4307056948536,288.3565020005248,288.2848097209184,288.2093932088471
2002-06-10 00:25:00,289.25904867676934,289.1799561477949,289.0972424214142,289.0120045687139,288.9254848304769,288.83872813769034,288.7532046467877,288.67004887198,288.5896057147091,288.5118308662568,288.43641181353775,288.3631019862506,288.29168931607654,288.21590699317414
2002-06-10 00:30:00,289.1333425779311,289.05479062944477,288.9730378849797,288.88905705560757,288.80392848823107,288.7184746002122,288.6340754979372,288.55191489215133,288.4724173230629,288.39561939609337,288.32124953887177,288.2490879409409,288.17893607765455,288.10465198847885
2002-06-10 00:35:00,288.9242514252042,288.8525556175322,288.77743202430287,288.69991169659505,288.6211273556901,288.54197115498505,288.4638046985887,288.3877347502088,288.3141279038515,288.24298248510155,288.1740215432071,288.1070228083962,288.04178637829483,287.97257084818773
2002-06-10 00:40:00,288.857018844901,288.7826452113087,288.70555838403715,288.62669217585056,288.54704933743733,288.46736130674833,288.3888756479599,288.3126486698332,288.2390239789853,288.16798904708565,288.09924895380476,288.03256334233254,287.96771443485596,287.89898023973996
2002-06-10 00:45:00,288.75910015068195,288.68847803799747,288.6148355957663,288.53913615900444,288.4624254684623,288.3855012243113,288.30963273220493,288.23586355050855,288.1645275421319,288.0956052689926,288.0288072631547,287.9638970280137,287.9006585684629,287.83349105280956
2002-06-10 00:50:00,288.7261766686782,288.65327065589764,288.5776920213197,288.50035733048026,288.42225993033924,288.3441406433252,288.2672282561199,288.1925430477599,288.1204016639196,288.05077070377456,287.9833454490789,287.91787548834674,287.8541311753426,287.786455469099
2002-06-10 00:55:00,288.639555546697,288.57019014194486,288.49780825457174,288.42335342071635,288.34785690417135,288.2721101622792,288.19737259011697,288.1246783747897,288.0543571503016,287.98638681418754,287.9204768564706,287.8563876838008,287.79389712308665,287.72744839598715
2002-06-10 01:00:00,288.59418267677955,288.5231832641112,288.44945014245604,288.3738922547084,288.29750206706035,288.22103099799784,288.1457039100744,288.07252804517105,288.0018120535969,287.9335174924425,287.8673399893276,287.8030281154861,287.74034861572096,287.673717677915
2002-06-10 01:05:00,288.5240779909276,288.45615813045634,288.38529381729444,288.31240373013253,288.23849460403085,288.16433750152925,288.09116888393214,288.02000477721634,287.9511659635424,287.8846261747841,287.8200936682145,287.75732629015266,287.6960971924687,287.6309432179262
2002-06-10 01:10:00,288.50665525127204,288.4374014898119,288.3655051775157,288.2918474565549,288.2173938517116,288.14287690428614,288.0694920669239,287.9982180071562,287.9293474943537,287.8628332392367,287.79836820778945,287.735697178075,287.67458115446175,287.60955286047994
2002-06-10 01:15:00,288.4605199546312,288.39389085634014,288.3243887357276,288.2529049187737,288.18041870142264,288.10768120903356,288.0359012626744,287.9660719685992,287.89850456597543,287.83316926031523,287.7697751384471,287.7080787762133,287.6478494773883,287.5836937961778
2002-06-10 01:20:00,288.44546289860796,288.37768648982575,288.30724746748314,288.2350128079295,288.16193654350616,288.088747990549,288.0166307128213,287.94655199366815,287.8788023662582,287.8133359560556,287.7498506339827,287.68809396352447,287.62782743407,287.5636475582524
2002-06-10 01:25:00,288.39968128680823,288.3343172021024,288.26607643982027,288.1958370922624,288.1245666234647,288.05300973666976,287.9823633662396,287.9136110929335,287.84706288606156,287.78269119547656,287.7202101171104,287.6593796932201,287.5999711504369,287.53665771263155
2002-06-10 01:30:00,288.38340865358197,288.3170461749765,288.248007616026,288.17714721479894,288.10540722654474,288.03350990207485,287.96262713046974,287.893717829066,287.8270726279821,287.7626493370744,287.7001519890792,287.63933274305214,287.57995632529185,287.516693813293
2002-06-10 01:35:00,288.3426640611078,288.27840051761126,288.2112774766572,288.1421580543539,288.07199480018625,288.0015218783715,287.93192119482785,287.8641651628228,287.79856161755043,287.7350849190855,287.6734538611429,287.61343194564023,287.55479283564284,287.49227412062027
2002-06-10 01:40:00,288.32826134395816,288.2630757821977,288.1952087222976,288.12550372480644,288.05489231634317,287.98409105333434,287.91425847092864,287.84634229421675,287.7806315452849,287.7170866309427,287.6554175849111,287.5953810943185,287.5367452716849,287.4742438568609
