# Database Output
# UBC University of British Columbia
# JUNE 22 2015 14:35
#
# Time indicated in PST (GMT-8)
# Times indicate end of averaging period
#
# BSPA Basel - Spalenring         610360/267140 278m
#
# 00 BSPAAHA1 Basel - Spalenring : Absolute Humidity  3.00m [g/m3]
# 01 BSPAAHA2 Basel - Spalenring : Absolute Humidity  15.80m [g/m3]
# 02 BSPAAHA3 Basel - Spalenring : Absolute Humidity  3.00m [g/m3]
# 03 BSPAAHA4 Basel - Spalenring : Absolute Humidity  15.80m [g/m3]
# 04 BSPAAHA5 Basel - Spalenring : Absolute Humidity  22.90m [g/m3]
# 05 BSPAAHA7 Basel - Spalenring : Absolute Humidity  32.90m [g/m3]
#
                ,      BSPAAHA1,      BSPAAHA2,      BSPAAHA3,      BSPAAHA4,      BSPAAHA5,      BSPAAHA7
10.06.2002 00:10,        11.001,        10.536,        10.971,        10.905,        10.870,        10.870
10.06.2002 00:20,        11.000,        10.511,        10.982,        10.905,        10.789,        10.830
10.06.2002 00:30,        10.936,        10.505,        11.012,        10.895,        10.876,        10.883
10.06.2002 00:40,        10.915,        10.479,        11.226,        10.984,        10.902,        10.857
10.06.2002 00:50,        10.932,        10.489,        11.254,        10.985,        10.902,        10.849
10.06.2002 01:00,        10.942,        10.539,        11.233,        11.015,        10.959,        11.205
10.06.2002 01:10,        10.935,        10.490,        11.281,        10.975,        10.882,        11.153
10.06.2002 01:20,        10.934,        10.474,        11.218,        10.994,        10.864,        11.133
10.06.2002 01:30,        10.880,        10.499,        11.173,        10.973,        10.917,        11.105
10.06.2002 01:40,        10.915,        10.506,        11.162,        10.934,        10.886,        11.084
10.06.2002 01:50,        11.072,        10.538,        11.084,        10.965,        10.913,        11.138
10.06.2002 02:00,        11.031,        10.452,        11.021,        10.859,        10.769,        11.057
10.06.2002 02:10,        10.767,        10.303,        11.036,        10.812,        10.698,        10.997
10.06.2002 02:20,        10.611,        10.161,        11.037,        10.755,        10.592,        10.901
10.06.2002 02:30,        10.433,         9.962,        10.884,        10.559,        10.370,        10.839
10.06.2002 02:40,        10.359,         9.892,        10.836,        10.455,        10.303,        10.776
10.06.2002 02:50,        10.274,         9.808,        10.747,        10.421,        10.205,        10.705
10.06.2002 03:00,        10.228,         9.796,        10.721,        10.382,        10.201,        10.653
10.06.2002 03:10,        10.204,         9.776,        10.718,        10.346,        10.189,        10.505
10.06.2002 03:20,        10.069,         9.608,        10.592,        10.256,        10.102,        10.303
10.06.2002 03:30,         9.904,         9.470,        10.483,        10.068,         9.935,         9.914
10.06.2002 03:40,         9.860,         9.410,        10.379,         9.986,         9.841,         9.837
10.06.2002 03:50,         9.640,         9.239,        10.247,         9.829,         9.703,         9.688
10.06.2002 04:00,         9.564,         9.176,        10.179,         9.777,         9.614,         9.625
10.06.2002 04:10,         9.567,         9.216,        10.093,         9.742,         9.640,         9.604
10.06.2002 04:20,         9.404,         9.086,        10.045,         9.652,         9.496,         9.478
10.06.2002 04:30,         9.357,         9.035,         9.946,         9.532,         9.437,         9.322
10.06.2002 04:40,         9.373,         9.101,         9.971,         9.586,         9.447,         9.314
10.06.2002 04:50,         9.568,         9.241,        10.023,         9.678,         9.575,         9.442
10.06.2002 05:00,         9.492,         9.185,         9.907,         9.569,         9.487,         9.355
10.06.2002 05:10,         9.521,         9.220,         9.897,         9.623,         9.573,         9.501
10.06.2002 05:20,         9.447,         9.152,         9.900,         9.584,         9.519,         9.447
10.06.2002 05:30,         9.314,         9.028,         9.860,         9.503,         9.417,         9.360
10.06.2002 05:40,         9.204,         8.881,         9.715,         9.363,         9.287,         9.217
10.06.2002 05:50,         9.191,         8.922,         9.756,         9.399,         9.268,         9.236
10.06.2002 06:00,         9.216,         8.879,         9.750,         9.355,         9.242,         9.197
10.06.2002 06:10,         9.170,         8.883,         9.720,         9.334,         9.281,         9.248
10.06.2002 06:20,         9.301,         8.959,         9.733,         9.419,         9.318,         9.294
