,ep_last_time_index_in_seconds,curr_sim_time_in_hours,coordiantion.vcwg_needed_time_idx_in_seconds,coordiantion.ep_accumulated_waste_heat
2017-07-01 00:00:00,0.0,0.016666666666666666,300.0,2.4768100331554e-311
2017-07-01 00:01:00,60.0,0.033333333333333326,300.0,4.9536200663107e-311
2017-07-01 00:02:00,120.0,0.05,300.0,7.430430099466e-311
2017-07-01 00:03:00,180.0,0.06666666666666667,300.0,9.9072401326214e-311
2017-07-01 00:04:00,240.0,0.08333333333333331,300.0,1.2384050165777e-310
2017-07-01 00:05:00,300.0,0.08333333333333331,300.0,1.2384050165777e-310
2017-07-01 00:06:00,300.0,0.1,600.0,2.4768100331554e-311
2017-07-01 00:07:00,360.0,0.11666666666666665,600.0,4.9536200663107e-311
2017-07-01 00:08:00,420.0,0.13333333333333333,600.0,7.430430099466e-311
2017-07-01 00:09:00,480.0,0.15,600.0,9.9072401326214e-311
2017-07-01 00:10:00,540.0,0.16666666666666663,600.0,1.2384050165777e-310
2017-07-01 00:11:00,600.0,0.16666666666666663,600.0,1.2384050165777e-310
2017-07-01 00:12:00,600.0,0.1833333333333333,900.0,2.4768100331554e-311
2017-07-01 00:13:00,660.0,0.2,900.0,4.9536200663107e-311
2017-07-01 00:14:00,720.0,0.21666666666666667,900.0,7.430430099466e-311
2017-07-01 00:15:00,780.0,0.2333333333333333,900.0,9.9072401326214e-311
2017-07-01 00:16:00,840.0,0.25,900.0,1.2384050165777e-310
2017-07-01 00:17:00,900.0,0.25,900.0,1.2384050165777e-310
2017-07-01 00:18:00,900.0,0.26666666666666666,1200.0,2.4768100331554e-311
2017-07-01 00:19:00,960.0,0.28333333333333327,1200.0,4.9536200663107e-311
2017-07-01 00:20:00,1020.0,0.3,1200.0,7.430430099466e-311
2017-07-01 00:21:00,1080.0,0.31666666666666665,1200.0,9.9072401326214e-311
2017-07-01 00:22:00,1140.0,0.33333333333333326,1200.0,1.2384050165777e-310
2017-07-01 00:23:00,1200.0,0.33333333333333326,1200.0,1.2384050165777e-310
2017-07-01 00:24:00,1200.0,0.35,1500.0,2.4768100331554e-311
2017-07-01 00:25:00,1260.0,0.3666666666666666,1500.0,4.9536200663107e-311
2017-07-01 00:26:00,1320.0,0.3833333333333333,1500.0,7.430430099466e-311
2017-07-01 00:27:00,1380.0,0.4,1500.0,9.9072401326214e-311
2017-07-01 00:28:00,1440.0,0.41666666666666663,1500.0,1.2384050165777e-310
2017-07-01 00:29:00,1500.0,0.41666666666666663,1500.0,1.2384050165777e-310
2017-07-01 00:30:00,1500.0,0.4333333333333333,1800.0,2.4768100331554e-311
2017-07-01 00:31:00,1560.0,0.45,1800.0,4.9536200663107e-311
2017-07-01 00:32:00,1620.0,0.4666666666666666,1800.0,7.430430099466e-311
2017-07-01 00:33:00,1680.0,0.4833333333333333,1800.0,9.9072401326214e-311
2017-07-01 00:34:00,1740.0,0.5,1800.0,1.2384050165777e-310
2017-07-01 00:35:00,1800.0,0.5,1800.0,1.2384050165777e-310
2017-07-01 00:36:00,1800.0,0.5166666666666666,2100.0,2.4768100331554e-311
2017-07-01 00:37:00,1860.0,0.5333333333333333,2100.0,4.9536200663107e-311
2017-07-01 00:38:00,1920.0,0.55,2100.0,7.430430099466e-311
2017-07-01 00:39:00,1980.0,0.5666666666666667,2100.0,9.9072401326214e-311
2017-07-01 00:40:00,2040.0,0.5833333333333334,2100.0,1.2384050165777e-310
2017-07-01 00:41:00,2100.0,0.5833333333333334,2100.0,1.2384050165777e-310
2017-07-01 00:42:00,2100.0,0.6,2400.0,2.4768100331554e-311
2017-07-01 00:43:00,2160.0,0.6166666666666666,2400.0,4.9536200663107e-311
2017-07-01 00:44:00,2220.0,0.6333333333333333,2400.0,7.430430099466e-311
2017-07-01 00:45:00,2280.0,0.65,2400.0,9.9072401326214e-311
2017-07-01 00:46:00,2340.0,0.6666666666666665,2400.0,1.2384050165777e-310
2017-07-01 00:47:00,2400.0,0.6666666666666665,2400.0,1.2384050165777e-310
2017-07-01 00:48:00,2400.0,0.6833333333333332,2700.0,2.4768100331554e-311
2017-07-01 00:49:00,2460.0,0.7,2700.0,4.9536200663107e-311
2017-07-01 00:50:00,2520.0,0.7166666666666667,2700.0,7.430430099466e-311
2017-07-01 00:51:00,2580.0,0.7333333333333332,2700.0,9.9072401326214e-311
2017-07-01 00:52:00,2640.0,0.75,2700.0,1.2384050165777e-310
2017-07-01 00:53:00,2700.0,0.75,2700.0,1.2384050165777e-310
2017-07-01 00:54:00,2700.0,0.7666666666666666,3000.0,2.4768100331554e-311
2017-07-01 00:55:00,2760.0,0.7833333333333333,3000.0,4.9536200663107e-311
2017-07-01 00:56:00,2820.0,0.8,3000.0,7.430430099466e-311
2017-07-01 00:57:00,2880.0,0.8166666666666665,3000.0,9.9072401326214e-311
2017-07-01 00:58:00,2940.0,0.8333333333333333,3000.0,1.2384050165777e-310
2017-07-01 00:59:00,3000.0,0.8333333333333333,3000.0,1.2384050165777e-310
2017-07-01 01:00:00,3000.0,0.8499999999999999,3300.0,2.4768100331554e-311
2017-07-01 01:01:00,3060.0,0.8666666666666667,3300.0,4.9536200663107e-311
2017-07-01 01:02:00,3120.0,0.8833333333333333,3300.0,7.430430099466e-311
2017-07-01 01:03:00,3180.0,0.9,3300.0,9.9072401326214e-311
2017-07-01 01:04:00,3240.0,0.9166666666666665,3300.0,1.2384050165777e-310
2017-07-01 01:05:00,3300.0,0.9166666666666665,3300.0,1.2384050165777e-310
2017-07-01 01:06:00,3300.0,0.9333333333333331,3600.0,2.4768100331554e-311
2017-07-01 01:07:00,3360.0,0.95,3600.0,4.9536200663107e-311
2017-07-01 01:08:00,3420.0,0.9666666666666666,3600.0,7.430430099466e-311
2017-07-01 01:09:00,3480.0,0.9833333333333332,3600.0,9.9072401326214e-311
2017-07-01 01:10:00,3540.0,1.0,3600.0,1.2384050165777e-310
2017-07-01 01:11:00,3600.0,1.0,3600.0,1.2384050165777e-310
2017-07-01 01:12:00,3600.0,1.0166666666666666,3900.0,2.4768100331554e-311
2017-07-01 01:13:00,3660.0,1.0333333333333334,3900.0,4.9536200663107e-311
2017-07-01 01:14:00,3720.0,1.05,3900.0,7.430430099466e-311
2017-07-01 01:15:00,3780.0,1.0666666666666667,3900.0,9.9072401326214e-311
2017-07-01 01:16:00,3840.0,1.0833333333333333,3900.0,1.2384050165777e-310
2017-07-01 01:17:00,3900.0,1.0833333333333333,3900.0,1.2384050165777e-310
2017-07-01 01:18:00,3900.0,1.1,4200.0,2.4768100331554e-311
2017-07-01 01:19:00,3960.0,1.1166666666666667,4200.0,4.9536200663107e-311
2017-07-01 01:20:00,4020.0,1.1333333333333333,4200.0,7.430430099466e-311
2017-07-01 01:21:00,4080.0,1.15,4200.0,9.9072401326214e-311
2017-07-01 01:22:00,4140.0,1.1666666666666667,4200.0,1.2384050165777e-310
2017-07-01 01:23:00,4200.0,1.1666666666666667,4200.0,1.2384050165777e-310
2017-07-01 01:24:00,4200.0,1.1833333333333331,4500.0,2.4768100331554e-311
2017-07-01 01:25:00,4260.0,1.2,4500.0,4.9536200663107e-311
2017-07-01 01:26:00,4320.0,1.2166666666666668,4500.0,7.430430099466e-311
2017-07-01 01:27:00,4380.0,1.2333333333333332,4500.0,9.9072401326214e-311
2017-07-01 01:28:00,4440.0,1.25,4500.0,1.2384050165777e-310
2017-07-01 01:29:00,4500.0,1.25,4500.0,1.2384050165777e-310
2017-07-01 01:30:00,4500.0,1.2666666666666666,4800.0,2.4768100331554e-311
2017-07-01 01:31:00,4560.0,1.2833333333333332,4800.0,4.9536200663107e-311
2017-07-01 01:32:00,4620.0,1.3,4800.0,7.430430099466e-311
2017-07-01 01:33:00,4680.0,1.3166666666666667,4800.0,9.9072401326214e-311
2017-07-01 01:34:00,4740.0,1.3333333333333333,4800.0,1.2384050165777e-310
2017-07-01 01:35:00,4800.0,1.3333333333333333,4800.0,1.2384050165777e-310
2017-07-01 01:36:00,4800.0,1.35,5100.0,2.4768100331554e-311
2017-07-01 01:37:00,4860.0,1.3666666666666667,5100.0,4.9536200663107e-311
