,(m) canTemp_1.5,(m) canTemp_2.5,(m) canTemp_3.5,(m) canTemp_4.5,(m) canTemp_5.5,(m) canTemp_6.5,(m) canTemp_7.5,(m) canTemp_8.5,(m) canTemp_9.5,(m) canTemp_10.5,(m) canTemp_11.5,(m) canTemp_12.5,(m) canTemp_13.5,(m) canTemp_14.5
2002-06-10 00:00:00,295.43071265679765,295.4147275208259,295.3838268079353,295.338922506878,295.2807926074337,295.21010051580055,295.1274111398111,295.03320428739244,294.92788588348805,294.81179740499886,294.6852238518889,294.5484005093876,294.4015187067967,294.23074652116753
2002-06-10 00:05:00,289.7571987719047,289.7095657316441,289.6419922850142,289.5579714880068,289.46149359915813,289.3563408366148,289.24659186299675,289.1354996282973,289.02493406909804,288.9159400187806,288.8090162185656,288.7045625426675,288.6028889751943,288.49579320496184
2002-06-10 00:10:00,288.35378816647824,288.3053429837305,288.2538612584833,288.20011023683566,288.14485116610064,288.0883955973786,288.03186829932264,287.9765320657518,287.9230213557149,287.8716262048886,287.82225120559224,287.7748088921107,287.72921540946544,287.68159547200713
2002-06-10 00:15:00,288.75109093849443,288.6812738960362,288.610600676185,288.53966440837553,288.4690336747856,288.39896831435595,288.3303121696373,288.2639069702238,288.200044400208,288.1387454478886,288.0797676046627,288.02292033429535,287.96804758436633,287.91040948403366
2002-06-10 00:20:00,289.3088547462014,289.2168873127515,289.1238239632949,289.0304159929695,288.93742015844555,288.84523242832915,288.75495145525315,288.66764991873816,288.5836931323485,288.50308493505025,288.42549235507505,288.3506427602588,288.27830312255026,288.202180133775
2002-06-10 00:25:00,289.2425378452398,289.1632962557346,289.080344466859,288.9947883011926,288.9078832190652,288.8206893819773,288.7346955193177,288.6510511990999,288.5701093712915,288.4918294170526,288.41589976628654,288.3420744292203,288.27014135938964,288.1937869520582
2002-06-10 00:30:00,289.11678826317694,289.03792934071686,288.9558610865601,288.8715538916161,288.7860883221726,288.70028722156906,288.61553761017166,288.53303077418417,288.45319432433786,288.37606550149854,288.30137100548916,288.2288895554,288.1584210980752,288.08379385326657
2002-06-10 00:35:00,288.91438270365904,288.84242789504765,288.76704558652744,288.68926302503723,288.61021080940793,288.53077957291885,288.4523347411812,288.37598802611575,288.3021078766173,288.23069258158984,288.16146321665957,288.094195600478,288.02868773014944,287.95917073754686
2002-06-10 00:40:00,288.8548254644559,288.78013980480307,288.7027477382295,288.62357879744104,288.5436338235758,288.46364363767054,288.38485965851515,288.3083422146287,288.2344356759468,288.16312643037344,288.0941168944933,288.02716423758034,287.96204807113713,287.89301899399817
2002-06-10 00:45:00,288.7587224007369,288.6879849491324,288.61421458213846,288.5383741112136,288.46151058628647,288.38442436630845,288.3083890148297,288.23445152565404,288.16294703891367,288.09385602574804,288.02688800745193,287.961805347115,287.8983905494455,287.831024183098
2002-06-10 00:50:00,288.72780088000366,288.654811860588,288.5791515357686,288.50173522389576,288.4235561858793,288.3453561860522,288.2683655459258,288.19360535125594,288.1213919781071,288.0516911767406,287.9841971261872,287.9186583322901,287.85484387220407,287.7870882515481
2002-06-10 00:55:00,288.6420635786867,288.5727585895054,288.5004364572604,288.4260399651199,288.350599943777,288.27490785582455,288.200223103716,288.1275798524609,288.0573077457624,287.9893846319934,287.9235199219566,287.85947381693313,287.7970237341874,287.7306152153087
