,(m) canPres_1.5,(m) canPres_2.5,(m) canPres_3.5,(m) canPres_4.5,(m) canPres_5.5,(m) canPres_6.5,(m) canPres_7.5,(m) canPres_8.5,(m) canPres_9.5,(m) canPres_10.5,(m) canPres_11.5,(m) canPres_12.5,(m) canPres_13.5,(m) canPres_14.5
2002-06-10 00:00:00,98070.51783233325,98059.1898597964,98047.86192282943,98036.53346691327,98025.20396970335,98013.87293614045,98002.5398942616,97991.2043915904,97979.86599200947,97968.52427303487,97957.17882342899,97945.82924109776,97934.47513122864,97923.11583463605
2002-06-10 00:05:00,98079.19444748637,98067.62767483816,98056.05959449442,98044.48948911714,98032.91678807625,98021.34107324996,98009.76208117158,97998.17969313373,97986.5938917701,97975.00471743426,97963.4122410705,97951.81655145957,97940.21775153566,97928.61578753887
2002-06-10 00:10:00,98080.35848094702,98068.73239898426,98057.10530312038,98045.47708245642,98033.84765749764,98022.21697103247,98010.58499523507,97998.95175044109,97987.31729525972,97975.68170711014,97964.04506761211,97952.40745501097,97940.76894436115,97929.12953060691
2002-06-10 00:15:00,98080.1532747428,98068.54185452244,98056.92860885532,98045.31351337438,98033.69656731663,98022.07778682615,98010.45721050055,97998.83491112896,97987.21098456437,97975.5855331626,97963.95865498412,97952.3304394973,97940.70096929216,97929.0702288286
2002-06-10 00:20:00,98079.82750814341,98068.23820880427,98056.64620122813,98045.05145665423,98033.45397631022,98021.8537841963,98010.25093394816,97998.6455225774,97987.03767597007,97975.42752756854,97963.81520438733,97952.20082143926,97940.5844837152,97928.96616595142
2002-06-10 00:25:00,98079.8468065848,98068.25580484097,98056.66253851693,98045.06688331929,98033.46876172583,98021.86814202335,98010.26504297879,97998.65953573362,97987.05172127334,97975.44170676643,97963.82959233945,97952.21546698852,97940.59941057987,97928.9813724844
2002-06-10 00:30:00,98079.9889420358,98068.39289860247,98056.79461875094,98045.1939924879,98033.59095090405,98021.98546322688,98010.3775429249,97998.76725505527,97987.15469712636,97975.5399760603,97963.9231941831,97952.30444404624,97940.68380987852,97929.06124810698
2002-06-10 00:35:00,98080.17112739048,98068.5668087798,98056.96052151568,98045.35214772387,98033.74161289871,98022.12888317778,98010.5139700233,97998.89693461914,97987.27786790607,97975.65686828915,97964.03402866959,97952.40943198356,97940.78315273835,97929.15514556228
2002-06-10 00:40:00,98080.27961264394,98068.67252371159,98057.06337189784,98045.45206598248,98033.8385535944,98022.22281720219,98010.60487911053,97998.98480807192,97987.36270114103,97975.7386621659,97964.11278891252,97952.48516845424,97940.85587870902,97929.22487768852
2002-06-10 00:45:00,98080.38452098593,98068.77355863876,98057.16067678096,98045.54577247999,98033.92878312747,98022.30968316618,98010.68848866115,97999.0652623225,97987.44009471269,97975.81308284268,97964.18431759655,97952.55387933692,97940.9218393703,97929.28815151747
2002-06-10 00:50:00,98080.46178730957,98068.84944483002,98057.23509747913,98045.6186552888,98034.0000666416,98022.37931479227,98010.75642267756,97999.1314586158,97987.50451797748,97975.87570196168,97964.24510505502,97952.61281063559,97940.97889246957,97929.34330539004
2002-06-10 00:55:00,98080.55799484233,98068.94222770353,98057.32459014478,98045.70497894332,98034.08333054464,98022.4596180576,98010.83385591912,97999.206104856,97987.57645319066,97975.94499555511,97964.3118203703,97952.6770054399,97941.04061931299,97929.40261372838
2002-06-10 01:00:00,98080.64302320455,98069.0253863389,98057.40581833734,98045.78422659432,98034.16055671716,98022.53478940992,98010.90694522417,97999.27708978517,97987.64531536262,97976.01171978973,97964.37639408032,97952.73941811074,97941.10086203858,97929.46067839816
