Time,CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:01:00,1.025579E+03,2.748823E+03,5.324267E-02,2.428577E-01,2.828907E+03,1.788816E+03,1.468608E-01,1.580404E-01,1.728597E+03,1.152842E+03,8.973886E-02,1.018526E-01,2.772961E+03,1.762899E+03,1.439564E-01,1.557508E-01,1.728597E+03,1.284866E+03,8.973886E-02,1.135168E-01
00:02:00,1.024929E+03,2.748096E+03,5.320892E-02,2.427935E-01,2.828649E+03,1.787415E+03,1.468474E-01,1.579167E-01,1.728458E+03,1.151867E+03,8.973163E-02,1.017664E-01,2.772701E+03,1.761527E+03,1.439429E-01,1.556295E-01,1.728458E+03,1.283536E+03,8.973163E-02,1.133993E-01
00:03:00,1.024279E+03,2.747370E+03,5.317519E-02,2.427294E-01,2.828390E+03,1.786024E+03,1.468340E-01,1.577938E-01,1.728318E+03,1.150897E+03,8.972440E-02,1.016808E-01,2.772441E+03,1.760164E+03,1.439294E-01,1.555091E-01,1.728318E+03,1.282213E+03,8.972440E-02,1.132824E-01
00:04:00,1.023630E+03,2.746646E+03,5.314149E-02,2.426654E-01,2.828132E+03,1.784643E+03,1.468206E-01,1.576718E-01,1.728179E+03,1.149934E+03,8.971718E-02,1.015957E-01,2.772181E+03,1.758810E+03,1.439159E-01,1.553895E-01,1.728179E+03,1.280898E+03,8.971718E-02,1.131663E-01
00:05:00,1.022981E+03,2.745923E+03,5.310781E-02,2.426015E-01,2.827874E+03,1.783271E+03,1.468071E-01,1.575505E-01,1.728040E+03,1.148977E+03,8.970996E-02,1.015111E-01,2.771921E+03,1.757466E+03,1.439024E-01,1.552707E-01,1.728040E+03,1.279592E+03,8.970996E-02,1.130508E-01
00:06:00,1.022333E+03,2.745201E+03,5.307416E-02,2.425377E-01,2.827616E+03,1.781908E+03,1.467938E-01,1.574302E-01,1.727901E+03,1.148026E+03,8.970275E-02,1.014271E-01,2.771662E+03,1.756132E+03,1.438889E-01,1.551529E-01,1.727901E+03,1.278293E+03,8.970275E-02,1.129361E-01
00:07:00,1.022338E+03,2.744648E+03,5.307439E-02,2.424889E-01,2.827617E+03,1.780642E+03,1.467939E-01,1.573183E-01,1.727902E+03,1.147116E+03,8.970280E-02,1.013467E-01,2.771663E+03,1.754898E+03,1.438890E-01,1.550438E-01,1.727902E+03,1.277044E+03,8.970280E-02,1.128257E-01
00:08:00,1.022342E+03,2.744096E+03,5.307461E-02,2.424401E-01,2.827619E+03,1.779377E+03,1.467939E-01,1.572065E-01,1.727903E+03,1.146208E+03,8.970285E-02,1.012665E-01,2.771665E+03,1.753666E+03,1.438891E-01,1.549350E-01,1.727903E+03,1.275798E+03,8.970285E-02,1.127156E-01
00:09:00,1.022346E+03,2.743545E+03,5.307483E-02,2.423915E-01,2.827621E+03,1.778113E+03,1.467940E-01,1.570949E-01,1.727904E+03,1.145301E+03,8.970290E-02,1.011863E-01,2.771667E+03,1.752435E+03,1.438892E-01,1.548263E-01,1.727904E+03,1.274555E+03,8.970290E-02,1.126058E-01
00:10:00,1.022350E+03,2.742996E+03,5.307506E-02,2.423429E-01,2.827623E+03,1.776852E+03,1.467941E-01,1.569835E-01,1.727905E+03,1.144395E+03,8.970296E-02,1.011063E-01,2.771669E+03,1.751207E+03,1.438893E-01,1.547178E-01,1.727905E+03,1.273315E+03,8.970296E-02,1.124963E-01
00:11:00,1.022355E+03,2.742447E+03,5.307528E-02,2.422945E-01,2.827625E+03,1.775593E+03,1.467942E-01,1.568722E-01,1.727906E+03,1.143491E+03,8.970301E-02,1.010264E-01,2.771671E+03,1.749981E+03,1.438894E-01,1.546094E-01,1.727906E+03,1.272079E+03,8.970301E-02,1.123871E-01
00:12:00,1.022359E+03,2.741900E+03,5.307551E-02,2.422461E-01,2.827627E+03,1.774335E+03,1.467943E-01,1.567611E-01,1.727907E+03,1.142588E+03,8.970306E-02,1.009467E-01,2.771673E+03,1.748757E+03,1.438895E-01,1.545013E-01,1.727907E+03,1.270846E+03,8.970306E-02,1.122781E-01
00:13:00,1.022363E+03,2.741354E+03,5.307573E-02,2.421978E-01,2.827628E+03,1.773080E+03,1.467944E-01,1.566502E-01,1.727908E+03,1.141686E+03,8.970311E-02,1.008670E-01,2.771675E+03,1.747535E+03,1.438896E-01,1.543933E-01,1.727908E+03,1.269616E+03,8.970311E-02,1.121695E-01
00:14:00,1.022368E+03,2.740809E+03,5.307595E-02,2.421497E-01,2.827630E+03,1.771826E+03,1.467945E-01,1.565394E-01,1.727909E+03,1.140786E+03,8.970316E-02,1.007875E-01,2.771676E+03,1.746315E+03,1.438897E-01,1.542856E-01,1.727909E+03,1.268389E+03,8.970316E-02,1.120611E-01
00:15:00,1.022372E+03,2.740264E+03,5.307618E-02,2.421016E-01,2.827632E+03,1.770575E+03,1.467946E-01,1.564289E-01,1.727910E+03,1.139887E+03,8.970321E-02,1.007081E-01,2.771678E+03,1.745097E+03,1.438898E-01,1.541780E-01,1.727910E+03,1.267165E+03,8.970321E-02,1.119530E-01
00:16:00,1.022376E+03,2.739721E+03,5.307640E-02,2.420536E-01,2.827634E+03,1.769325E+03,1.467947E-01,1.563185E-01,1.727911E+03,1.138990E+03,8.970327E-02,1.006288E-01,2.771680E+03,1.743882E+03,1.438899E-01,1.540705E-01,1.727911E+03,1.265945E+03,8.970327E-02,1.118451E-01
00:17:00,1.022381E+03,2.739179E+03,5.307663E-02,2.420057E-01,2.827636E+03,1.768077E+03,1.467948E-01,1.562082E-01,1.727912E+03,1.138094E+03,8.970332E-02,1.005496E-01,2.771682E+03,1.742668E+03,1.438900E-01,1.539633E-01,1.727912E+03,1.264727E+03,8.970332E-02,1.117375E-01
00:18:00,1.022385E+03,2.738639E+03,5.307685E-02,2.419580E-01,2.827638E+03,1.766831E+03,1.467949E-01,1.560981E-01,1.727913E+03,1.137199E+03,8.970337E-02,1.004705E-01,2.771684E+03,1.741456E+03,1.438901E-01,1.538562E-01,1.727913E+03,1.263512E+03,8.970337E-02,1.116302E-01
00:19:00,1.022389E+03,2.738099E+03,5.307707E-02,2.419103E-01,2.827639E+03,1.765587E+03,1.467950E-01,1.559882E-01,1.727914E+03,1.136305E+03,8.970342E-02,1.003916E-01,2.771686E+03,1.740246E+03,1.438902E-01,1.537493E-01,1.727914E+03,1.262301E+03,8.970342E-02,1.115232E-01
00:20:00,1.022394E+03,2.737560E+03,5.307729E-02,2.418627E-01,2.827641E+03,1.764344E+03,1.467951E-01,1.558784E-01,1.727915E+03,1.135413E+03,8.970347E-02,1.003128E-01,2.771687E+03,1.739038E+03,1.438903E-01,1.536426E-01,1.727915E+03,1.261092E+03,8.970347E-02,1.114164E-01
00:21:00,1.022398E+03,2.737022E+03,5.307752E-02,2.418152E-01,2.827643E+03,1.763104E+03,1.467952E-01,1.557688E-01,1.727916E+03,1.134522E+03,8.970352E-02,1.002340E-01,2.771689E+03,1.737832E+03,1.438904E-01,1.535360E-01,1.727916E+03,1.259886E+03,8.970352E-02,1.113099E-01
00:22:00,1.022402E+03,2.736486E+03,5.307774E-02,2.417678E-01,2.827645E+03,1.761865E+03,1.467953E-01,1.556594E-01,1.727917E+03,1.133632E+03,8.970358E-02,1.001554E-01,2.771691E+03,1.736627E+03,1.438905E-01,1.534296E-01,1.727917E+03,1.258684E+03,8.970358E-02,1.112036E-01
00:23:00,1.022406E+03,2.735950E+03,5.307796E-02,2.417204E-01,2.827647E+03,1.760628E+03,1.467954E-01,1.555501E-01,1.727918E+03,1.132744E+03,8.970363E-02,1.000769E-01,2.771693E+03,1.735425E+03,1.438906E-01,1.533234E-01,1.727918E+03,1.257484E+03,8.970363E-02,1.110976E-01
00:24:00,1.022411E+03,2.735416E+03,5.307818E-02,2.416732E-01,2.827649E+03,1.759393E+03,1.467955E-01,1.554409E-01,1.727919E+03,1.131856E+03,8.970368E-02,9.999853E-02,2.771695E+03,1.734224E+03,1.438907E-01,1.532173E-01,1.727919E+03,1.256287E+03,8.970368E-02,1.109919E-01
00:25:00,1.022415E+03,2.734882E+03,5.307841E-02,2.416261E-01,2.827650E+03,1.758159E+03,1.467956E-01,1.553320E-01,1.727920E+03,1.130970E+03,8.970373E-02,9.992025E-02,2.771697E+03,1.733026E+03,1.438908E-01,1.531114E-01,1.727920E+03,1.255093E+03,8.970373E-02,1.108864E-01
00:26:00,1.022419E+03,2.734349E+03,5.307863E-02,2.415790E-01,2.827652E+03,1.756927E+03,1.467957E-01,1.552231E-01,1.727921E+03,1.130085E+03,8.970378E-02,9.984208E-02,2.771698E+03,1.731829E+03,1.438909E-01,1.530057E-01,1.727921E+03,1.253901E+03,8.970378E-02,1.107811E-01
00:27:00,1.022423E+03,2.733818E+03,5.307885E-02,2.415320E-01,2.827654E+03,1.755697E+03,1.467958E-01,1.551145E-01,1.727922E+03,1.129202E+03,8.970383E-02,9.976402E-02,2.771700E+03,1.730634E+03,1.438910E-01,1.529001E-01,1.727922E+03,1.252713E+03,8.970383E-02,1.106761E-01
00:28:00,1.022428E+03,2.733287E+03,5.307907E-02,2.414852E-01,2.827656E+03,1.754469E+03,1.467958E-01,1.550059E-01,1.727923E+03,1.128320E+03,8.970388E-02,9.968606E-02,2.771702E+03,1.729441E+03,1.438910E-01,1.527947E-01,1.727923E+03,1.251527E+03,8.970388E-02,1.105713E-01
00:29:00,1.022432E+03,2.732758E+03,5.307929E-02,2.414384E-01,2.827658E+03,1.753242E+03,1.467959E-01,1.548976E-01,1.727924E+03,1.127438E+03,8.970394E-02,9.960821E-02,2.771704E+03,1.728249E+03,1.438911E-01,1.526895E-01,1.727924E+03,1.250344E+03,8.970394E-02,1.104668E-01
00:30:00,1.022436E+03,2.732229E+03,5.307951E-02,2.413917E-01,2.827659E+03,1.752017E+03,1.467960E-01,1.547893E-01,1.727925E+03,1.126558E+03,8.970399E-02,9.953047E-02,2.771706E+03,1.727060E+03,1.438912E-01,1.525843E-01,1.727925E+03,1.249164E+03,8.970399E-02,1.103626E-01
00:31:00,1.022441E+03,2.731702E+03,5.307973E-02,2.413451E-01,2.827661E+03,1.750794E+03,1.467961E-01,1.546813E-01,1.727926E+03,1.125680E+03,8.970404E-02,9.945284E-02,2.771708E+03,1.725872E+03,1.438913E-01,1.524794E-01,1.727926E+03,1.247987E+03,8.970404E-02,1.102585E-01
00:32:00,1.022445E+03,2.731175E+03,5.307995E-02,2.412985E-01,2.827663E+03,1.749572E+03,1.467962E-01,1.545733E-01,1.727927E+03,1.124802E+03,8.970409E-02,9.937531E-02,2.771709E+03,1.724686E+03,1.438914E-01,1.523746E-01,1.727927E+03,1.246812E+03,8.970409E-02,1.101548E-01
00:33:00,1.022449E+03,2.730649E+03,5.308018E-02,2.412521E-01,2.827665E+03,1.748352E+03,1.467963E-01,1.544655E-01,1.727928E+03,1.123926E+03,8.970414E-02,9.929789E-02,2.771711E+03,1.723501E+03,1.438915E-01,1.522700E-01,1.727928E+03,1.245640E+03,8.970414E-02,1.100512E-01
00:34:00,1.022453E+03,2.730125E+03,5.308040E-02,2.412057E-01,2.827667E+03,1.747134E+03,1.467964E-01,1.543579E-01,1.727929E+03,1.123051E+03,8.970419E-02,9.922057E-02,2.771713E+03,1.722319E+03,1.438916E-01,1.521655E-01,1.727929E+03,1.244470E+03,8.970419E-02,1.099479E-01
