cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 00:05:00,289.136,0.004,286.917,97510.833,289.607,288.457,287.994,287.782,287.620,287.408,98056.218,97928.719,97882.244,97835.738,97789.219,97719.425,
2002-06-10 00:10:00,287.971,0.252,286.883,97511.667,288.215,287.640,287.389,287.275,287.200,287.109,98057.204,97929.202,97882.616,97836.020,97789.425,97719.541,
2002-06-10 00:15:00,288.274,0.382,286.850,97512.500,288.575,287.870,287.528,287.368,287.264,287.140,98057.009,97929.134,97882.578,97836.000,97789.417,97719.545,
2002-06-10 00:20:00,288.693,0.325,286.817,97513.333,289.088,288.161,287.708,287.494,287.355,287.191,98056.733,97929.034,97882.515,97835.961,97789.396,97719.541,
2002-06-10 00:25:00,288.665,0.332,286.783,97514.167,289.043,288.150,287.701,287.487,287.346,287.175,98056.767,97929.059,97882.538,97835.983,97789.417,97719.558,
2002-06-10 00:30:00,288.544,0.357,286.750,97515.000,288.915,288.037,287.615,287.418,287.285,287.125,98056.902,97929.141,97882.604,97836.036,97789.459,97719.588,
2002-06-10 00:35:00,288.381,0.392,286.717,97515.833,288.725,287.911,287.520,287.338,287.215,287.068,98057.064,97929.233,97882.678,97836.097,97789.508,97719.621,
2002-06-10 00:40:00,288.313,0.408,286.683,97516.667,288.659,287.843,287.460,287.283,287.165,287.023,98057.162,97929.301,97882.735,97836.145,97789.547,97719.649,
2002-06-10 00:45:00,288.234,0.433,286.650,97517.500,288.569,287.778,287.406,287.235,287.120,286.981,98057.259,97929.364,97882.789,97836.190,97789.585,97719.676,
2002-06-10 00:50:00,288.193,0.446,286.617,97518.333,288.531,287.732,287.362,287.194,287.081,286.944,98057.334,97929.419,97882.837,97836.231,97789.620,97719.701,
2002-06-10 00:55:00,288.122,0.468,286.583,97519.167,288.451,287.674,287.312,287.148,287.038,286.905,98057.424,97929.479,97882.888,97836.275,97789.656,97719.727,
2002-06-10 01:00:00,288.076,0.514,286.550,97520.000,288.407,287.625,287.268,287.107,286.999,286.868,98057.501,97929.535,97882.937,97836.316,97789.691,97719.753,
2002-06-10 01:05:00,288.024,0.549,286.542,97522.500,288.345,287.585,287.237,287.080,286.975,286.849,98057.553,97929.565,97882.961,97836.336,97789.706,97719.763,
2002-06-10 01:10:00,288.002,0.565,286.533,97525.000,288.324,287.563,287.218,287.064,286.961,286.836,98057.582,97929.585,97882.977,97836.349,97789.717,97719.770,
2002-06-10 01:15:00,287.967,0.584,286.525,97527.500,288.282,287.536,287.198,287.047,286.946,286.823,98057.618,97929.605,97882.994,97836.363,97789.728,97719.778,
2002-06-10 01:20:00,287.947,0.599,286.517,97530.000,288.264,287.516,287.180,287.032,286.932,286.811,98057.646,97929.624,97883.009,97836.376,97789.739,97719.786,
