cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[3.0],PresProf_cur[15.8],PresProf_cur[22.9],PresProf_cur[27.8],PresProf_cur[32.9],
2002-06-10 00:05:00,288.997,0.011,286.917,97510.833,289.491,287.758,287.429,287.255,287.112,97939.825,97789.091,97707.713,97649.568,97591.415,
2002-06-10 00:10:00,288.379,0.165,286.883,97511.667,288.745,287.460,287.222,287.112,287.023,97940.247,97789.242,97707.792,97649.610,97591.433,
2002-06-10 00:15:00,288.845,0.197,286.850,97512.500,289.284,287.666,287.323,287.164,287.035,97939.983,97789.182,97707.774,97649.607,97591.437,
2002-06-10 00:20:00,289.271,0.141,286.817,97513.333,289.808,287.823,287.400,287.201,287.040,97939.763,97789.139,97707.762,97649.607,97591.441,
2002-06-10 00:25:00,288.979,0.181,286.783,97514.167,289.427,287.725,287.338,287.151,286.999,97939.930,97789.191,97707.793,97649.627,97591.451,
2002-06-10 00:30:00,288.900,0.191,286.750,97515.000,289.374,287.636,287.273,287.099,286.956,97940.033,97789.245,97707.825,97649.647,97591.462,
2002-06-10 00:35:00,288.668,0.223,286.717,97515.833,289.084,287.536,287.202,287.041,286.909,97940.188,97789.304,97707.860,97649.669,97591.473,
2002-06-10 00:40:00,288.705,0.221,286.683,97516.667,289.160,287.504,287.169,287.008,286.876,97940.217,97789.336,97707.883,97649.685,97591.482,
2002-06-10 00:45:00,288.536,0.254,286.650,97517.500,288.942,287.435,287.116,286.962,286.837,97940.330,97789.382,97707.912,97649.704,97591.493,
2002-06-10 00:50:00,288.575,0.246,286.617,97518.333,289.020,287.407,287.085,286.931,286.805,97940.356,97789.412,97707.934,97649.720,97591.502,
2002-06-10 00:55:00,288.403,0.286,286.583,97519.167,288.798,287.336,287.032,286.885,286.765,97940.472,97789.459,97707.963,97649.739,97591.512,
2002-06-10 01:00:00,288.445,0.306,286.550,97520.000,288.880,287.310,287.002,286.854,286.733,97940.496,97789.489,97707.985,97649.754,97591.521,
2002-06-10 01:05:00,288.293,0.354,286.542,97522.500,288.676,287.260,286.970,286.830,286.716,97940.579,97789.513,97707.998,97649.762,97591.525,
2002-06-10 01:10:00,288.367,0.346,286.533,97525.000,288.791,287.262,286.967,286.825,286.709,97940.561,97789.518,97708.002,97649.765,97591.527,
2002-06-10 01:15:00,288.224,0.384,286.525,97527.500,288.597,287.219,286.940,286.805,286.695,97940.636,97789.539,97708.014,97649.772,97591.531,
2002-06-10 01:20:00,288.306,0.375,286.517,97530.000,288.723,287.222,286.937,286.800,286.688,97940.616,97789.543,97708.018,97649.776,97591.533,
2002-06-10 01:25:00,288.158,0.414,286.508,97532.500,288.522,287.178,286.910,286.780,286.673,97940.692,97789.565,97708.030,97649.782,97591.536,
2002-06-10 01:30:00,288.248,0.403,286.500,97535.000,288.660,287.184,286.908,286.775,286.667,97940.668,97789.568,97708.034,97649.786,97591.538,
2002-06-10 01:35:00,288.098,0.442,286.492,97537.500,288.455,287.140,286.881,286.755,286.652,97940.745,97789.589,97708.045,97649.792,97591.541,
2002-06-10 01:40:00,288.198,0.429,286.483,97540.000,288.605,287.149,286.881,286.752,286.647,97940.716,97789.592,97708.049,97649.795,97591.543,
2002-06-10 01:45:00,288.044,0.470,286.475,97542.500,288.393,287.105,286.854,286.732,286.632,97940.794,97789.613,97708.060,97649.802,97591.547,
2002-06-10 01:50:00,288.152,0.455,286.467,97545.000,288.555,287.116,286.855,286.729,286.627,97940.761,97789.615,97708.063,97649.805,97591.549,
2002-06-10 01:55:00,287.993,0.496,286.458,97547.500,288.336,287.072,286.828,286.709,286.612,97940.841,97789.636,97708.075,97649.812,97591.552,
2002-06-10 02:00:00,288.109,0.489,286.450,97550.000,288.509,287.085,286.830,286.707,286.607,97940.804,97789.637,97708.077,97649.814,97591.554,
