cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2],TempProf_cur[13],TempProf_cur[17],TempProf_cur[21],TempProf_cur[25],TempProf_cur[31],PresProf_cur[2],PresProf_cur[13],PresProf_cur[17],PresProf_cur[21],PresProf_cur[25],PresProf_cur[31],
2002-06-10 00:05:00,289.224,15.041,286.917,97510.833,289.690,288.552,288.062,287.829,287.655,287.429,98056.136,97928.676,97882.215,97835.718,97789.206,97719.418,
2002-06-10 00:10:00,287.989,0.532,286.883,97511.667,288.232,287.659,287.403,287.286,287.208,287.115,98057.186,97929.192,97882.609,97836.015,97789.421,97719.539,
2002-06-10 00:15:00,288.264,6.909,286.850,97512.500,288.562,287.863,287.524,287.365,287.262,287.139,98057.016,97929.137,97882.580,97836.001,97789.418,97719.545,
2002-06-10 00:20:00,288.693,10.414,286.817,97513.333,289.085,288.167,287.713,287.498,287.358,287.193,98056.729,97929.031,97882.512,97835.959,97789.395,97719.540,
2002-06-10 00:25:00,288.686,10.010,286.783,97514.167,289.060,288.175,287.720,287.502,287.356,287.183,98056.744,97929.046,97882.529,97835.976,97789.412,97719.556,
2002-06-10 00:30:00,288.565,8.551,286.750,97515.000,288.934,288.062,287.634,287.432,287.297,287.133,98056.879,97929.128,97882.594,97836.029,97789.455,97719.585,
2002-06-10 00:35:00,288.395,6.627,286.717,97515.833,288.736,287.928,287.534,287.348,287.224,287.073,98057.048,97929.223,97882.671,97836.092,97789.504,97719.619,
2002-06-10 00:40:00,288.320,5.512,286.683,97516.667,288.663,287.853,287.469,287.290,287.171,287.026,98057.153,97929.295,97882.731,97836.141,97789.545,97719.647,
2002-06-10 00:45:00,288.240,4.336,286.650,97517.500,288.572,287.787,287.413,287.240,287.124,286.984,98057.252,97929.359,97882.786,97836.188,97789.583,97719.675,
2002-06-10 00:50:00,288.197,3.474,286.617,97518.333,288.534,287.739,287.368,287.198,287.084,286.947,98057.328,97929.416,97882.834,97836.229,97789.618,97719.700,
2002-06-10 00:55:00,288.126,0.684,286.583,97519.167,288.453,287.679,287.317,287.152,287.041,286.907,98057.419,97929.476,97882.886,97836.273,97789.655,97719.727,
2002-06-10 01:00:00,288.074,0.266,286.550,97520.000,288.404,287.625,287.268,287.107,286.998,286.868,98057.502,97929.536,97882.937,97836.316,97789.691,97719.753,
2002-06-10 01:05:00,288.020,0.266,286.542,97522.500,288.341,287.583,287.235,287.079,286.974,286.848,98057.556,97929.566,97882.962,97836.336,97789.706,97719.763,
2002-06-10 01:10:00,287.999,0.266,286.533,97525.000,288.321,287.561,287.217,287.063,286.960,286.836,98057.584,97929.585,97882.977,97836.349,97789.717,97719.771,
2002-06-10 01:15:00,287.965,0.266,286.525,97527.500,288.280,287.535,287.197,287.046,286.945,286.823,98057.619,97929.606,97882.994,97836.363,97789.728,97719.778,
2002-06-10 01:20:00,287.946,0.266,286.517,97530.000,288.262,287.515,287.180,287.031,286.932,286.811,98057.646,97929.624,97883.010,97836.376,97789.739,97719.786,
2002-06-10 01:25:00,287.912,0.266,286.508,97532.500,288.221,287.488,287.159,287.013,286.916,286.798,98057.682,97929.646,97883.027,97836.390,97789.750,97719.794,
2002-06-10 01:30:00,287.892,0.266,286.500,97535.000,288.203,287.468,287.142,286.998,286.902,286.786,98057.710,97929.664,97883.042,97836.403,97789.761,97719.801,
2002-06-10 01:35:00,287.861,0.266,286.492,97537.500,288.166,287.443,287.122,286.982,286.887,286.773,98057.743,97929.684,97883.059,97836.417,97789.772,97719.809,
2002-06-10 01:40:00,287.844,0.266,286.483,97540.000,288.150,287.425,287.106,286.968,286.874,286.761,98057.768,97929.702,97883.074,97836.429,97789.782,97719.816,
2002-06-10 01:45:00,287.816,0.266,286.475,97542.500,288.117,287.403,287.089,286.952,286.860,286.749,98057.799,97929.721,97883.090,97836.442,97789.793,97719.823,
2002-06-10 01:50:00,287.800,0.266,286.467,97545.000,288.102,287.386,287.074,286.939,286.848,286.738,98057.824,97929.738,97883.104,97836.454,97789.802,97719.830,
2002-06-10 01:55:00,287.774,0.066,286.458,97547.500,288.071,287.365,287.057,286.924,286.835,286.726,98057.853,97929.756,97883.119,97836.467,97789.813,97719.838,
2002-06-10 02:00:00,287.758,0.066,286.450,97550.000,288.056,287.348,287.042,286.911,286.822,286.715,98057.877,97929.773,97883.133,97836.479,97789.823,97719.845,
2002-06-10 02:05:00,287.729,0.066,286.433,97552.500,288.024,287.324,287.020,286.890,286.803,286.697,98057.917,97929.801,97883.157,97836.499,97789.840,97719.857,
2002-06-10 02:10:00,287.708,0.066,286.417,97555.000,288.005,287.302,286.999,286.870,286.784,286.679,98057.954,97929.828,97883.181,97836.520,97789.858,97719.870,
2002-06-10 02:15:00,287.676,0.066,286.400,97557.500,287.967,287.275,286.976,286.849,286.763,286.659,98057.998,97929.858,97883.207,97836.542,97789.876,97719.884,
2002-06-10 02:20:00,287.651,0.066,286.383,97560.000,287.943,287.252,286.955,286.829,286.744,286.641,98058.036,97929.885,97883.231,97836.562,97789.893,97719.897,
2002-06-10 02:25:00,287.619,0.066,286.367,97562.500,287.905,287.225,286.932,286.808,286.724,286.622,98058.079,97929.914,97883.256,97836.584,97789.911,97719.910,
2002-06-10 02:30:00,287.594,0.066,286.350,97565.000,287.879,287.202,286.911,286.788,286.704,286.603,98058.118,97929.942,97883.280,97836.604,97789.929,97719.923,
2002-06-10 02:35:00,287.561,0.066,286.333,97567.500,287.842,287.175,286.888,286.767,286.684,286.584,98058.161,97929.970,97883.304,97836.625,97789.947,97719.936,
2002-06-10 02:40:00,287.535,0.066,286.317,97570.000,287.815,287.152,286.867,286.747,286.665,286.566,98058.200,97929.998,97883.328,97836.646,97789.964,97719.949,
2002-06-10 02:45:00,287.504,0.066,286.300,97572.500,287.779,287.125,286.845,286.726,286.645,286.547,98058.242,97930.027,97883.353,97836.667,97789.982,97719.962,
2002-06-10 02:50:00,287.477,0.066,286.283,97575.000,287.751,287.102,286.824,286.706,286.626,286.529,98058.282,97930.054,97883.377,97836.688,97789.999,97719.975,
2002-06-10 02:55:00,287.446,0.066,286.267,97577.500,287.716,287.076,286.801,286.685,286.606,286.510,98058.323,97930.083,97883.402,97836.709,97790.017,97719.988,
2002-06-10 03:00:00,287.420,0.066,286.250,97580.000,287.688,287.052,286.780,286.665,286.587,286.491,98058.363,97930.110,97883.426,97836.730,97790.035,97720.000,
2002-06-10 03:05:00,287.382,0.066,286.217,97582.500,287.647,287.019,286.750,286.635,286.557,286.462,98058.423,97930.154,97883.464,97836.763,97790.063,97720.022,
2002-06-10 03:10:00,287.343,0.066,286.183,97585.000,287.606,286.981,286.715,286.602,286.525,286.431,98058.488,97930.202,97883.506,97836.799,97790.094,97720.045,
2002-06-10 03:15:00,287.300,0.066,286.150,97587.500,287.560,286.942,286.679,286.567,286.491,286.398,98058.556,97930.250,97883.548,97836.836,97790.125,97720.068,
2002-06-10 03:20:00,287.262,0.066,286.117,97590.000,287.521,286.906,286.644,286.534,286.458,286.366,98058.620,97930.298,97883.590,97836.872,97790.156,97720.090,
2002-06-10 03:25:00,287.222,0.066,286.083,97592.500,287.479,286.869,286.610,286.500,286.426,286.334,98058.685,97930.345,97883.632,97836.908,97790.186,97720.113,
2002-06-10 03:30:00,287.186,0.066,286.050,97595.000,287.443,286.834,286.577,286.468,286.394,286.303,98058.748,97930.392,97883.673,97836.944,97790.217,97720.136,
2002-06-10 03:35:00,287.148,0.066,286.017,97597.500,287.402,286.798,286.542,286.435,286.361,286.271,98058.812,97930.439,97883.714,97836.980,97790.248,97720.159,
2002-06-10 03:40:00,287.111,0.066,285.983,97600.000,287.365,286.763,286.509,286.402,286.329,286.239,98058.876,97930.486,97883.756,97837.016,97790.278,97720.182,
2002-06-10 03:45:00,287.072,0.066,285.950,97602.500,287.324,286.727,286.475,286.369,286.296,286.207,98058.940,97930.534,97883.798,97837.052,97790.309,97720.204,
2002-06-10 03:50:00,287.036,0.066,285.917,97605.000,287.287,286.692,286.441,286.336,286.264,286.176,98059.004,97930.581,97883.839,97837.088,97790.340,97720.227,
2002-06-10 03:55:00,286.997,0.266,285.883,97607.500,287.246,286.655,286.407,286.303,286.231,286.144,98059.069,97930.628,97883.881,97837.125,97790.371,97720.250,
2002-06-10 04:00:00,286.961,0.266,285.850,97610.000,287.210,286.621,286.374,286.270,286.199,286.112,98059.132,97930.675,97883.922,97837.161,97790.401,97720.273,
2002-06-10 04:05:00,286.925,0.266,285.825,97615.833,287.172,286.588,286.343,286.240,286.170,286.084,98059.189,97930.717,97883.959,97837.192,97790.428,97720.293,
2002-06-10 04:10:00,286.896,0.266,285.800,97621.667,287.141,286.559,286.315,286.213,286.143,286.058,98059.242,97930.756,97883.993,97837.222,97790.454,97720.312,
2002-06-10 04:15:00,286.861,0.266,285.775,97627.500,287.103,286.528,286.286,286.186,286.116,286.031,98059.297,97930.796,97884.028,97837.252,97790.480,97720.331,
2002-06-10 04:20:00,286.825,0.266,285.750,97633.333,287.066,286.495,286.256,286.156,286.087,286.003,98059.355,97930.838,97884.066,97837.285,97790.507,97720.352,
