cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:05:00,0.000,17.558,19.354,18.134,23.195,23.357,
2004-06-01 00:10:00,0.000,17.457,19.328,18.053,23.178,23.339,
2004-06-01 00:15:00,0.000,17.356,19.263,18.002,23.161,23.320,
2004-06-01 00:20:00,0.000,17.255,19.203,17.949,23.143,23.301,
2004-06-01 00:25:00,0.000,17.154,19.143,17.896,23.125,23.281,
2004-06-01 00:30:00,0.000,17.050,19.084,17.845,23.106,23.261,
2004-06-01 00:35:00,0.000,16.947,19.024,17.794,23.087,23.240,
2004-06-01 00:40:00,0.000,16.843,18.966,17.745,23.068,23.219,
2004-06-01 00:45:00,0.000,16.739,18.908,17.697,23.048,23.197,
2004-06-01 00:50:00,0.000,16.633,18.851,17.650,23.027,23.176,
2004-06-01 00:55:00,0.000,16.528,18.795,17.603,23.006,23.154,
2004-06-01 01:00:00,0.000,16.422,18.740,17.557,22.985,23.132,
2004-06-01 01:05:00,0.000,16.350,18.703,17.529,22.965,23.110,
2004-06-01 01:10:00,0.000,16.280,18.669,17.504,22.945,23.089,
2004-06-01 01:15:00,0.000,16.210,18.635,17.479,22.926,23.070,
2004-06-01 01:20:00,0.000,16.140,18.606,17.458,22.909,23.051,
2004-06-01 01:25:00,0.000,16.068,18.577,17.437,22.892,23.034,
2004-06-01 01:30:00,0.000,16.009,18.552,17.419,22.876,23.017,
2004-06-01 01:35:00,0.000,15.950,18.526,17.402,22.861,23.001,
2004-06-01 01:40:00,0.000,15.890,18.504,17.386,22.847,22.986,
2004-06-01 01:45:00,0.000,15.829,18.481,17.371,22.833,22.971,
2004-06-01 01:50:00,0.000,15.777,18.462,17.358,22.820,22.957,
2004-06-01 01:55:00,0.000,15.724,18.442,17.345,22.807,22.944,
2004-06-01 02:00:00,0.000,15.671,18.424,17.333,22.795,22.931,
2004-06-01 02:05:00,0.000,15.637,18.408,17.324,22.783,22.918,
2004-06-01 02:10:00,0.000,15.612,18.393,17.316,22.773,22.906,
2004-06-01 02:15:00,0.000,15.587,18.379,17.309,22.763,22.894,
2004-06-01 02:20:00,0.000,15.563,18.367,17.303,22.754,22.883,
2004-06-01 02:25:00,0.000,15.538,18.355,17.298,22.745,22.873,
2004-06-01 02:30:00,0.000,15.527,18.344,17.294,22.736,22.863,
2004-06-01 02:35:00,0.000,15.516,18.334,17.290,22.728,22.853,
2004-06-01 02:40:00,0.000,15.505,18.325,17.288,22.720,22.844,
2004-06-01 02:45:00,0.000,15.494,18.316,17.286,22.713,22.835,
2004-06-01 02:50:00,0.000,15.494,18.309,17.285,22.706,22.827,
2004-06-01 02:55:00,0.000,15.494,18.302,17.285,22.699,22.819,
2004-06-01 03:00:00,0.000,15.494,18.297,17.285,22.692,22.811,
2004-06-01 03:05:00,0.000,15.470,18.281,17.276,22.686,22.803,
2004-06-01 03:10:00,0.000,15.452,18.266,17.267,22.679,22.796,
2004-06-01 03:15:00,0.000,15.434,18.251,17.258,22.672,22.788,
2004-06-01 03:20:00,0.000,15.416,18.235,17.248,22.665,22.779,
2004-06-01 03:25:00,0.000,15.398,18.219,17.238,22.658,22.771,
2004-06-01 03:30:00,0.000,15.378,18.203,17.227,22.651,22.763,
2004-06-01 03:35:00,0.000,15.358,18.186,17.217,22.643,22.755,
2004-06-01 03:40:00,0.000,15.338,18.169,17.205,22.636,22.746,
2004-06-01 03:45:00,0.000,15.318,18.153,17.194,22.628,22.738,
2004-06-01 03:50:00,0.000,15.297,18.136,17.183,22.621,22.729,
2004-06-01 03:55:00,0.000,15.277,18.119,17.172,22.613,22.721,
2004-06-01 04:00:00,0.000,15.257,18.103,17.161,22.606,22.712,
2004-06-01 04:05:00,0.000,15.221,18.080,17.143,22.603,22.709,
2004-06-01 04:10:00,0.000,15.184,18.057,17.125,22.599,22.703,
2004-06-01 04:15:00,0.000,15.146,18.034,17.107,22.596,22.700,
2004-06-01 04:20:00,0.000,15.109,18.009,17.088,22.593,22.696,
2004-06-01 04:25:00,0.000,15.072,17.985,17.068,22.589,22.691,
2004-06-01 04:30:00,0.000,15.029,17.960,17.048,22.585,22.686,
2004-06-01 04:35:00,0.000,14.985,17.934,17.027,22.580,22.680,
2004-06-01 04:40:00,0.000,14.942,17.909,17.006,22.574,22.674,
2004-06-01 04:45:00,0.000,14.899,17.883,16.985,22.569,22.668,
2004-06-01 04:50:00,0.000,14.851,17.856,16.963,22.563,22.661,
2004-06-01 04:55:00,0.000,14.803,17.830,16.941,22.556,22.653,
2004-06-01 05:00:00,0.000,14.756,17.803,16.918,22.549,22.646,
2004-06-01 05:05:00,28.862,14.734,17.779,16.900,22.544,22.639,
2004-06-01 05:10:00,25.264,14.712,17.756,16.882,22.465,22.549,
2004-06-01 05:15:00,25.428,14.691,17.733,16.863,22.414,22.488,
2004-06-01 05:20:00,25.592,14.669,17.710,16.846,22.370,22.440,
2004-06-01 05:25:00,25.757,14.648,17.688,16.828,22.330,22.398,
