cur_datetime,canTemp,wallSun_K,wallShade_K,roof_K,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,296.053,300.000,300.000,300.000,14.379,287.334,99733.833,294.715,100202.377,
2004-06-01 00:05:00,291.044,299.891,299.891,298.249,0.077,287.334,99731.472,289.395,100208.421,
2004-06-01 00:10:00,289.677,299.632,299.632,295.758,0.077,287.334,99729.111,288.657,100208.848,
2004-06-01 00:15:00,290.066,299.142,299.142,292.414,0.077,287.334,99726.750,288.809,100208.790,
2004-06-01 00:20:00,290.575,298.688,298.688,290.555,0.077,287.334,99724.389,289.014,100208.685,
2004-06-01 00:25:00,290.633,298.339,298.339,289.476,0.077,287.334,99722.028,289.082,100208.625,
2004-06-01 00:30:00,290.711,298.084,298.084,288.774,0.077,287.334,99719.667,289.125,100208.559,
2004-06-01 00:35:00,290.634,297.878,297.878,288.252,0.077,287.333,99717.306,289.127,100208.508,
2004-06-01 00:40:00,290.683,297.705,297.705,287.807,0.077,287.333,99714.944,289.167,100208.428,
2004-06-01 00:45:00,290.647,297.552,297.552,287.405,0.077,287.333,99712.583,289.194,100208.349,
2004-06-01 00:50:00,290.726,297.419,297.419,287.036,0.077,287.333,99710.222,289.257,100208.240,
2004-06-01 00:55:00,290.720,297.299,297.299,286.700,0.077,287.333,99707.861,289.308,100208.126,
2004-06-01 01:00:00,290.823,297.193,297.193,286.391,0.077,287.333,99705.500,289.396,100207.977,
2004-06-01 01:05:00,290.766,297.096,297.096,286.106,0.077,287.342,99703.931,289.370,100208.055,
2004-06-01 01:10:00,290.727,297.012,297.012,285.869,0.077,287.351,99702.361,289.295,100208.174,
2004-06-01 01:15:00,290.531,296.931,296.931,285.678,0.077,287.360,99700.792,289.172,100208.311,
2004-06-01 01:20:00,290.479,296.851,296.851,285.532,0.077,287.369,99699.222,289.099,100208.420,
2004-06-01 01:25:00,290.352,296.769,296.769,285.426,0.077,287.378,99697.653,289.021,100208.527,
2004-06-01 01:30:00,290.351,296.688,296.688,285.355,0.077,287.387,99696.083,288.978,100208.615,
2004-06-01 01:35:00,290.237,296.610,296.610,285.316,0.077,287.396,99694.514,288.913,100208.708,
2004-06-01 01:40:00,290.242,296.536,296.536,285.305,0.077,287.405,99692.944,288.875,100208.786,
2004-06-01 01:45:00,290.128,296.464,296.464,285.317,0.077,287.414,99691.375,288.812,100208.870,
2004-06-01 01:50:00,290.140,296.396,296.396,285.351,0.077,287.423,99689.806,288.780,100208.939,
2004-06-01 01:55:00,290.029,296.330,296.330,285.403,0.077,287.432,99688.236,288.722,100209.013,
2004-06-01 02:00:00,290.051,296.267,296.267,285.470,0.077,287.441,99686.667,288.696,100209.073,
2004-06-01 02:05:00,289.962,296.206,296.206,285.552,0.077,287.444,99685.875,288.669,100209.081,
2004-06-01 02:10:00,290.032,296.146,296.146,285.623,0.077,287.446,99685.083,288.691,100209.065,
2004-06-01 02:15:00,289.968,296.087,296.087,285.685,0.077,287.448,99684.292,288.686,100209.058,
2004-06-01 02:20:00,290.041,296.033,296.033,285.738,0.077,287.450,99683.500,288.707,100209.044,
2004-06-01 02:25:00,289.958,295.979,295.979,285.783,0.077,287.453,99682.708,288.691,100209.042,
2004-06-01 02:30:00,290.024,295.929,295.929,285.822,0.077,287.455,99681.917,288.707,100209.030,
2004-06-01 02:35:00,289.936,295.880,295.880,285.853,0.077,287.457,99681.125,288.689,100209.030,
2004-06-01 02:40:00,290.008,295.832,295.832,285.878,0.077,287.460,99680.333,288.706,100209.018,
2004-06-01 02:45:00,289.919,295.785,295.785,285.898,0.077,287.462,99679.542,288.688,100209.017,
2004-06-01 02:50:00,289.995,295.740,295.740,285.914,0.077,287.464,99678.750,288.707,100209.006,
2004-06-01 02:55:00,289.904,295.694,295.694,285.926,0.077,287.466,99677.958,288.689,100209.005,
2004-06-01 03:00:00,289.984,295.651,295.651,285.934,0.077,287.469,99677.167,288.708,100208.994,
2004-06-01 03:05:00,289.903,295.608,295.608,285.939,0.077,287.468,99678.042,288.707,100208.953,
2004-06-01 03:10:00,290.015,295.567,295.567,285.927,0.077,287.467,99678.917,288.758,100208.891,
2004-06-01 03:15:00,289.951,295.524,295.524,285.900,0.077,287.466,99679.792,288.773,100208.837,
2004-06-01 03:20:00,290.069,295.485,295.485,285.859,0.077,287.465,99680.667,288.827,100208.772,
2004-06-01 03:25:00,289.995,295.446,295.446,285.805,0.077,287.464,99681.542,288.837,100208.719,
2004-06-01 03:30:00,290.109,295.409,295.409,285.740,0.077,287.463,99682.417,288.888,100208.653,
2004-06-01 03:35:00,290.033,295.372,295.372,285.666,0.077,287.462,99683.292,288.899,100208.598,
2004-06-01 03:40:00,290.151,295.337,295.337,285.583,0.077,287.462,99684.167,288.952,100208.530,
2004-06-01 03:45:00,290.076,295.301,295.301,285.493,0.077,287.461,99685.042,288.964,100208.473,
2004-06-01 03:50:00,290.198,295.268,295.268,285.396,0.077,287.460,99685.917,289.019,100208.403,
2004-06-01 03:55:00,290.122,295.234,295.234,285.292,0.077,287.459,99686.792,289.032,100208.343,
2004-06-01 04:00:00,290.248,295.202,295.202,285.183,0.077,287.458,99687.667,289.089,100208.270,
2004-06-01 04:05:00,290.113,295.170,295.170,285.068,0.077,287.467,99687.667,289.023,100208.394,
2004-06-01 04:10:00,290.120,295.141,295.141,284.977,0.077,287.476,99687.667,288.948,100208.533,
2004-06-01 04:15:00,289.905,295.110,295.110,284.912,0.077,287.486,99687.667,288.826,100208.667,
2004-06-01 04:20:00,289.932,295.078,295.078,284.874,0.077,287.495,99687.667,288.779,100208.760,
2004-06-01 04:25:00,289.782,295.039,295.039,284.860,0.077,287.504,99687.667,288.711,100208.844,
2004-06-01 04:30:00,289.858,295.001,295.001,284.868,0.077,287.513,99687.667,288.700,100208.900,
2004-06-01 04:35:00,289.718,294.963,294.963,284.899,0.077,287.523,99687.667,288.646,100208.960,
2004-06-01 04:40:00,289.798,294.927,294.927,284.954,0.077,287.532,99687.667,288.642,100208.998,
2004-06-01 04:45:00,289.654,294.890,294.890,285.031,0.077,287.541,99687.667,288.591,100209.044,
2004-06-01 04:50:00,289.737,294.856,294.856,285.133,0.077,287.550,99687.667,288.592,100209.071,
2004-06-01 04:55:00,289.592,294.820,294.820,285.260,0.123,287.559,99687.667,288.545,100209.108,
2004-06-01 05:00:00,289.681,294.787,294.787,285.409,0.123,287.569,99687.667,288.551,100209.125,
2004-06-01 05:05:00,289.520,294.753,294.753,285.577,0.123,287.585,99689.319,288.486,100209.203,
2004-06-01 05:10:00,289.586,294.724,294.724,285.797,0.123,287.600,99690.972,288.465,100209.263,
2004-06-01 05:15:00,289.414,294.695,294.695,286.057,0.123,287.616,99692.625,288.394,100209.331,
2004-06-01 05:20:00,289.495,294.668,294.668,286.339,0.123,287.632,99694.278,288.389,100209.371,
2004-06-01 05:25:00,289.335,294.641,294.641,286.635,0.123,287.648,99695.931,288.332,100209.426,
2004-06-01 05:30:00,289.471,294.617,294.617,286.919,0.123,287.664,99697.583,288.337,100209.467,
2004-06-01 05:35:00,289.076,294.581,294.581,287.261,0.123,287.680,99699.236,288.230,100209.522,
2004-06-01 05:40:00,289.216,294.557,294.557,287.436,0.123,287.695,99700.889,288.227,100209.552,
2004-06-01 05:45:00,288.884,294.514,294.514,287.495,0.123,287.711,99702.542,288.125,100209.613,
