cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,16.260,17.644,17.062,22.411,22.450,
2004-06-01 00:15:00,0.000,16.193,17.614,17.034,22.397,22.436,
2004-06-01 00:20:00,0.000,16.125,17.584,17.008,22.383,22.421,
2004-06-01 00:25:00,0.000,16.058,17.554,16.982,22.369,22.406,
2004-06-01 00:30:00,0.000,15.983,17.527,16.959,22.354,22.390,
2004-06-01 00:35:00,0.000,15.907,17.500,16.936,22.339,22.375,
2004-06-01 00:40:00,0.000,15.832,17.475,16.915,22.323,22.360,
2004-06-01 00:45:00,0.000,15.757,17.452,16.894,22.307,22.345,
2004-06-01 00:50:00,0.000,15.676,17.431,16.875,22.291,22.330,
2004-06-01 00:55:00,0.000,15.595,17.412,16.857,22.275,22.314,
2004-06-01 01:00:00,0.000,15.514,17.395,16.839,22.258,22.299,
2004-06-01 01:05:00,0.000,15.452,17.368,16.816,22.242,22.283,
2004-06-01 01:10:00,0.000,15.388,17.342,16.794,22.226,22.268,
2004-06-01 01:15:00,0.000,15.323,17.316,16.771,22.211,22.254,
2004-06-01 01:20:00,0.000,15.260,17.289,16.748,22.197,22.240,
2004-06-01 01:25:00,0.000,15.196,17.263,16.725,22.183,22.226,
2004-06-01 01:30:00,0.000,15.137,17.236,16.702,22.170,22.213,
2004-06-01 01:35:00,0.000,15.079,17.209,16.679,22.157,22.200,
2004-06-01 01:40:00,0.000,15.020,17.183,16.656,22.145,22.188,
2004-06-01 01:45:00,0.000,14.962,17.156,16.632,22.133,22.177,
2004-06-01 01:50:00,0.000,14.908,17.130,16.609,22.122,22.165,
2004-06-01 01:55:00,0.000,14.854,17.103,16.586,22.111,22.154,
2004-06-01 02:00:00,0.000,14.800,17.077,16.563,22.100,22.143,
2004-06-01 02:05:00,0.000,14.775,17.062,16.552,22.089,22.133,
2004-06-01 02:10:00,0.000,14.757,17.049,16.541,22.080,22.122,
2004-06-01 02:15:00,0.000,14.738,17.036,16.531,22.072,22.112,
2004-06-01 02:20:00,0.000,14.719,17.025,16.523,22.064,22.102,
2004-06-01 02:25:00,0.000,14.701,17.014,16.515,22.056,22.093,
2004-06-01 02:30:00,0.000,14.697,17.006,16.509,22.049,22.084,
