cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,-0.000,-62.790,0.000,0.000,24.262,17.779,17.178,24.894,24.736,
2004-06-01 00:15:00,0.000,-0.000,-64.080,0.000,0.000,24.175,17.751,17.151,24.875,24.718,
2004-06-01 00:20:00,0.000,-0.000,-65.342,0.000,0.000,24.082,17.722,17.126,24.857,24.701,
2004-06-01 00:25:00,0.000,-0.000,-66.581,0.000,0.000,23.985,17.694,17.102,24.838,24.683,
2004-06-01 00:30:00,0.000,-0.000,-67.799,0.000,0.000,23.884,17.668,17.080,24.818,24.664,
2004-06-01 00:35:00,0.000,-0.000,-68.998,0.000,0.000,23.780,17.642,17.059,24.799,24.646,
2004-06-01 00:40:00,0.000,-0.000,-70.181,0.000,0.000,23.673,17.620,17.040,24.779,24.629,
2004-06-01 00:45:00,0.000,-0.000,-71.349,0.000,0.000,23.563,17.598,17.021,24.758,24.611,
2004-06-01 00:50:00,0.000,-0.000,-72.503,0.000,0.000,23.451,17.579,17.004,24.738,24.594,
2004-06-01 00:55:00,0.000,-0.000,-73.643,0.000,0.000,23.336,17.561,16.987,24.718,24.576,
2004-06-01 01:00:00,0.000,-0.000,-74.771,0.000,0.000,23.219,17.547,16.972,24.697,24.559,
2004-06-01 01:05:00,0.000,-0.000,-74.366,0.000,0.000,23.120,17.521,16.950,24.677,24.541,
2004-06-01 01:10:00,0.000,-0.000,-74.003,0.000,0.000,23.028,17.496,16.928,24.657,24.523,
2004-06-01 01:15:00,0.000,-0.000,-73.664,0.000,0.000,22.941,17.470,16.906,24.638,24.506,
2004-06-01 01:20:00,0.000,-0.000,-73.345,0.000,0.000,22.856,17.444,16.883,24.619,24.490,
2004-06-01 01:25:00,0.000,-0.000,-73.040,0.000,0.000,22.774,17.418,16.861,24.601,24.474,
2004-06-01 01:30:00,0.000,-0.000,-72.747,0.000,0.000,22.694,17.391,16.838,24.583,24.458,
2004-06-01 01:35:00,0.000,-0.000,-72.465,0.000,0.000,22.616,17.365,16.815,24.566,24.443,
