cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:05:00,0.000,-30.569,-15.305,0.000,40.000,15.853,17.792,17.178,24.368,24.207,
2004-06-01 00:10:00,0.000,-30.873,-16.671,0.000,40.000,15.772,17.757,17.154,24.350,24.189,
2004-06-01 00:15:00,0.000,-31.004,-18.014,0.000,40.000,15.687,17.728,17.127,24.331,24.171,
2004-06-01 00:20:00,0.000,-31.016,-19.343,0.000,40.000,15.599,17.699,17.102,24.312,24.153,
2004-06-01 00:25:00,0.000,-30.939,-20.660,0.000,40.000,15.509,17.671,17.078,24.293,24.135,
2004-06-01 00:30:00,0.000,-30.790,-21.969,0.000,40.000,15.417,17.644,17.055,24.273,24.116,
2004-06-01 00:35:00,0.000,-30.583,-23.270,0.000,40.000,15.323,17.618,17.034,24.253,24.098,
2004-06-01 00:40:00,0.000,-30.326,-24.566,0.000,40.000,15.228,17.595,17.014,24.233,24.080,
2004-06-01 00:45:00,0.000,-30.026,-25.856,0.000,40.000,15.132,17.573,16.995,24.212,24.062,
2004-06-01 00:50:00,0.000,-29.687,-27.142,0.000,40.000,15.036,17.554,16.977,24.191,24.045,
2004-06-01 00:55:00,0.000,-29.316,-28.424,0.000,40.000,14.938,17.536,16.960,24.171,24.027,
2004-06-01 01:00:00,0.000,-28.914,-29.703,0.000,40.000,14.839,17.521,16.944,24.150,24.009,
2004-06-01 01:05:00,0.000,-26.717,-29.567,0.000,40.000,14.784,17.495,16.922,24.129,23.991,
2004-06-01 01:10:00,0.000,-24.970,-29.495,0.000,40.000,14.741,17.469,16.900,24.109,23.973,
2004-06-01 01:15:00,0.000,-23.482,-29.456,0.000,40.000,14.703,17.444,16.878,24.090,23.956,
2004-06-01 01:20:00,0.000,-22.169,-29.440,0.000,40.000,14.670,17.418,16.855,24.071,23.939,
2004-06-01 01:25:00,0.000,-20.985,-29.442,0.000,40.000,14.641,17.391,16.832,24.053,23.923,
2004-06-01 01:30:00,0.000,-19.900,-29.456,0.000,40.000,14.614,17.365,16.810,24.035,23.907,
2004-06-01 01:35:00,0.000,-18.895,-29.480,0.000,40.000,14.588,17.339,16.787,24.018,23.891,
2004-06-01 01:40:00,0.000,-17.958,-29.513,0.000,40.000,14.565,17.312,16.764,24.001,23.876,
2004-06-01 01:45:00,0.000,-17.077,-29.554,0.000,40.000,14.543,17.286,16.741,23.984,23.862,
2004-06-01 01:50:00,0.000,-16.245,-29.600,0.000,40.000,14.522,17.259,16.718,23.968,23.847,
2004-06-01 01:55:00,0.000,-15.455,-29.653,0.000,40.000,14.502,17.233,16.695,23.953,23.833,
2004-06-01 02:00:00,0.000,-14.704,-29.710,0.000,40.000,14.483,17.207,16.672,23.937,23.819,
2004-06-01 02:05:00,0.000,-14.194,-28.531,0.000,40.000,14.479,17.192,16.660,23.923,23.806,
2004-06-01 02:10:00,0.000,-13.868,-27.377,0.000,40.000,14.480,17.179,16.650,23.909,23.792,
2004-06-01 02:15:00,0.000,-13.661,-26.239,0.000,40.000,14.484,17.166,16.640,23.897,23.778,
2004-06-01 02:20:00,0.000,-13.542,-25.113,0.000,40.000,14.490,17.156,16.633,23.884,23.766,
2004-06-01 02:25:00,0.000,-13.493,-23.995,0.000,40.000,14.498,17.145,16.625,23.872,23.753,
2004-06-01 02:30:00,0.000,-13.503,-22.885,0.000,40.000,14.507,17.137,16.619,23.861,23.742,
2004-06-01 02:35:00,0.000,-13.563,-21.782,0.000,40.000,14.518,17.129,16.613,23.849,23.730,
2004-06-01 02:40:00,0.000,-13.667,-20.684,0.000,40.000,14.529,17.122,16.609,23.838,23.720,
2004-06-01 02:45:00,0.000,-13.810,-19.591,0.000,40.000,14.542,17.115,16.605,23.828,23.709,
2004-06-01 02:50:00,0.000,-13.988,-18.503,0.000,40.000,14.555,17.109,16.602,23.817,23.699,
2004-06-01 02:55:00,0.000,-14.198,-17.419,0.000,40.000,14.570,17.104,16.599,23.807,23.689,
2004-06-01 03:00:00,0.000,-14.437,-16.339,0.000,40.000,14.585,17.100,16.598,23.797,23.679,
2004-06-01 03:05:00,0.000,-14.459,-16.431,0.000,40.000,14.588,17.087,16.588,23.787,23.669,
2004-06-01 03:10:00,0.000,-14.366,-16.508,0.000,40.000,14.588,17.074,16.578,23.777,23.659,
2004-06-01 03:15:00,0.000,-14.214,-16.577,0.000,40.000,14.586,17.061,16.568,23.767,23.650,
2004-06-01 03:20:00,0.000,-14.025,-16.641,0.000,40.000,14.584,17.048,16.557,23.757,23.640,
2004-06-01 03:25:00,0.000,-13.813,-16.703,0.000,40.000,14.581,17.034,16.546,23.746,23.630,
2004-06-01 03:30:00,0.000,-13.585,-16.762,0.000,40.000,14.577,17.020,16.535,23.736,23.620,
2004-06-01 03:35:00,0.000,-13.345,-16.820,0.000,40.000,14.573,17.006,16.524,23.725,23.610,
2004-06-01 03:40:00,0.000,-13.098,-16.876,0.000,40.000,14.569,16.992,16.512,23.714,23.600,
2004-06-01 03:45:00,0.000,-12.844,-16.932,0.000,40.000,14.565,16.978,16.501,23.704,23.590,
2004-06-01 03:50:00,0.000,-12.586,-16.988,0.000,40.000,14.561,16.963,16.489,23.693,23.580,
2004-06-01 03:55:00,0.000,-12.325,-17.043,0.000,40.000,14.557,16.949,16.477,23.682,23.570,
2004-06-01 04:00:00,0.000,-12.062,-17.097,0.000,40.000,14.553,16.935,16.465,23.671,23.560,
2004-06-01 04:05:00,0.000,-11.618,-17.884,0.000,40.000,14.541,16.918,16.451,23.666,23.556,
2004-06-01 04:10:00,0.000,-11.091,-18.660,0.000,40.000,14.527,16.902,16.437,23.659,23.549,
2004-06-01 04:15:00,0.000,-10.514,-19.430,0.000,40.000,14.511,16.886,16.423,23.653,23.545,
2004-06-01 04:20:00,0.000,-9.903,-20.195,0.000,40.000,14.495,16.869,16.408,23.647,23.540,
2004-06-01 04:25:00,0.000,-9.266,-20.957,0.000,40.000,14.478,16.852,16.394,23.641,23.535,
2004-06-01 04:30:00,0.000,-8.610,-21.717,0.000,40.000,14.461,16.835,16.379,23.634,23.529,
2004-06-01 04:35:00,0.000,-7.938,-22.474,0.000,40.000,14.443,16.818,16.364,23.627,23.523,
2004-06-01 04:40:00,0.000,-7.252,-23.230,0.000,40.000,14.425,16.801,16.349,23.620,23.517,
2004-06-01 04:45:00,0.000,-6.556,-23.984,0.000,40.000,14.407,16.784,16.333,23.612,23.510,
2004-06-01 04:50:00,0.000,-5.849,-24.737,0.000,40.000,14.388,16.767,16.318,23.603,23.503,
2004-06-01 04:55:00,0.000,-5.134,-25.489,0.000,40.000,14.370,16.750,16.303,23.594,23.496,
2004-06-01 05:00:00,0.000,-4.411,-26.240,0.000,40.000,14.351,16.732,16.287,23.586,23.488,
2004-06-01 05:05:00,9.646,-3.890,-25.678,0.000,40.000,14.347,16.720,16.277,23.578,23.482,
2004-06-01 05:10:00,9.709,-3.529,-25.137,0.000,40.000,14.347,16.708,16.266,23.544,23.450,
2004-06-01 05:15:00,9.771,-3.260,-24.609,0.000,40.000,14.350,16.696,16.256,23.507,23.415,
2004-06-01 05:20:00,9.833,-3.055,-24.089,0.000,40.000,14.354,16.685,16.247,23.473,23.383,
2004-06-01 05:25:00,9.896,-2.897,-23.575,0.000,40.000,14.359,16.674,16.238,23.443,23.354,
2004-06-01 05:30:00,9.959,-2.998,-23.094,0.648,40.000,14.371,16.667,16.233,23.416,23.328,
2004-06-01 05:35:00,10.023,-3.022,-22.603,0.807,40.000,14.381,16.658,16.226,23.392,23.305,
