cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,291.225,289.343,0.000,291.175,291.784,291.100,287.334,99731.472,289.953,100087.981,
2004-06-01 00:10:00,290.270,289.373,0.000,291.160,291.767,290.959,287.334,99729.111,289.523,100088.211,
2004-06-01 00:15:00,290.500,289.338,0.000,291.185,291.794,290.923,287.334,99726.750,289.516,100088.243,
2004-06-01 00:20:00,290.798,289.368,0.000,291.220,291.833,290.911,287.334,99724.389,289.583,100088.192,
2004-06-01 00:25:00,290.873,289.355,0.000,291.236,291.852,290.886,287.334,99722.028,289.615,100088.182,
2004-06-01 00:30:00,290.953,289.384,0.000,291.252,291.872,290.856,287.334,99719.667,289.652,100088.145,
2004-06-01 00:35:00,290.843,289.245,0.000,291.238,291.860,290.807,287.333,99717.306,289.572,100088.273,
2004-06-01 00:40:00,290.720,289.080,0.000,291.223,291.847,290.750,287.333,99714.944,289.420,100088.468,
2004-06-01 00:45:00,290.476,288.920,0.000,291.184,291.808,290.679,287.333,99712.583,289.240,100088.677,
2004-06-01 00:50:00,290.353,288.800,0.000,291.167,291.793,290.609,287.333,99710.222,289.103,100088.837,
2004-06-01 00:55:00,290.204,288.682,0.000,291.140,291.769,290.536,287.333,99707.861,288.983,100088.983,
2004-06-01 01:00:00,290.165,288.591,0.000,291.125,291.752,290.481,287.333,99705.500,288.894,100089.096,
2004-06-01 01:05:00,290.060,288.519,0.000,291.098,291.721,290.428,287.342,99703.931,288.819,100089.187,
2004-06-01 01:10:00,290.054,288.461,0.000,291.086,291.708,290.382,287.351,99702.361,288.767,100089.257,
2004-06-01 01:15:00,289.951,288.395,0.000,291.058,291.675,290.333,287.360,99700.792,288.706,100089.335,
2004-06-01 01:20:00,289.939,288.338,0.000,291.044,291.659,290.290,287.369,99699.222,288.654,100089.403,
2004-06-01 01:25:00,289.827,288.276,0.000,291.013,291.622,290.242,287.378,99697.653,288.591,100089.479,
2004-06-01 01:30:00,289.815,288.221,0.000,290.998,291.604,290.199,287.387,99696.083,288.539,100089.546,
2004-06-01 01:35:00,289.706,288.162,0.000,290.965,291.566,290.152,287.396,99694.514,288.478,100089.620,
2004-06-01 01:40:00,289.700,288.109,0.000,290.949,291.547,290.110,287.405,99692.944,288.428,100089.685,
2004-06-01 01:45:00,289.594,288.053,0.000,290.915,291.508,290.063,287.414,99691.375,288.369,100089.755,
2004-06-01 01:50:00,289.594,288.002,0.000,290.898,291.488,290.022,287.423,99689.806,288.322,100089.818,
2004-06-01 01:55:00,289.490,287.949,0.000,290.863,291.448,289.976,287.432,99688.236,288.265,100089.885,
2004-06-01 02:00:00,289.496,287.900,0.000,290.854,291.436,289.952,287.441,99686.667,288.220,100089.944,
2004-06-01 02:05:00,289.413,287.892,0.000,290.830,291.407,289.931,287.444,99685.875,288.195,100089.964,
2004-06-01 02:10:00,289.462,287.884,0.000,290.828,291.403,289.923,287.446,99685.083,288.192,100089.972,
2004-06-01 02:15:00,289.398,287.875,0.000,290.809,291.380,289.913,287.448,99684.292,288.182,100089.983,
2004-06-01 02:20:00,289.449,287.867,0.000,290.809,291.379,289.913,287.450,99683.500,288.181,100089.990,
2004-06-01 02:25:00,289.372,287.859,0.000,290.790,291.356,289.909,287.453,99682.708,288.168,100090.002,
2004-06-01 02:30:00,289.420,287.852,0.000,290.792,291.355,289.914,287.455,99681.917,288.165,100090.009,
2004-06-01 02:35:00,289.340,287.845,0.000,290.774,291.333,289.916,287.457,99681.125,288.153,100090.020,
2004-06-01 02:40:00,289.390,287.838,0.000,290.777,291.335,289.926,287.460,99680.333,288.152,100090.026,
2004-06-01 02:45:00,289.311,287.832,0.000,290.760,291.313,289.932,287.462,99679.542,288.140,100090.036,
2004-06-01 02:50:00,289.364,287.827,0.000,290.765,291.316,289.946,287.464,99678.750,288.140,100090.040,
2004-06-01 02:55:00,289.284,287.821,0.000,290.748,291.296,289.956,287.466,99677.958,288.130,100090.049,
2004-06-01 03:00:00,289.340,287.817,0.000,290.748,291.294,289.958,287.469,99677.167,288.131,100090.052,
2004-06-01 03:05:00,289.269,287.838,0.000,290.727,291.269,289.949,287.468,99678.042,288.137,100090.035,
2004-06-01 03:10:00,289.347,287.860,0.000,290.731,291.271,289.946,287.467,99678.917,288.163,100090.006,
2004-06-01 03:15:00,289.287,287.881,0.000,290.712,291.248,289.933,287.466,99679.792,288.178,100089.982,
2004-06-01 03:20:00,289.368,287.902,0.000,290.717,291.251,289.927,287.465,99680.667,288.204,100089.954,
2004-06-01 03:25:00,289.300,287.921,0.000,290.697,291.227,289.912,287.464,99681.542,288.215,100089.933,
2004-06-01 03:30:00,289.377,287.941,0.000,290.701,291.229,289.904,287.463,99682.417,288.238,100089.908,
2004-06-01 03:35:00,289.305,287.959,0.000,290.680,291.205,289.888,287.462,99683.292,288.247,100089.890,
2004-06-01 03:40:00,289.384,287.977,0.000,290.685,291.208,289.878,287.462,99684.167,288.269,100089.866,
2004-06-01 03:45:00,289.310,287.994,0.000,290.664,291.183,289.861,287.461,99685.042,288.277,100089.849,
2004-06-01 03:50:00,289.390,288.010,0.000,290.670,291.187,289.851,287.460,99685.917,288.297,100089.827,
2004-06-01 03:55:00,289.314,288.026,0.000,290.648,291.161,289.832,287.459,99686.792,288.304,100089.812,
2004-06-01 04:00:00,289.394,288.041,0.000,290.652,291.164,289.813,287.458,99687.667,288.323,100089.791,
2004-06-01 04:05:00,289.296,288.008,0.000,290.625,291.133,289.779,287.467,99687.667,288.299,100089.824,
2004-06-01 04:10:00,289.340,287.980,0.000,290.622,291.128,289.750,287.476,99687.667,288.275,100089.858,
2004-06-01 04:15:00,289.223,287.954,0.000,290.590,291.092,289.709,287.486,99687.667,288.237,100089.895,
2004-06-01 04:20:00,289.270,287.932,0.000,290.586,291.087,289.675,287.495,99687.667,288.218,100089.922,
2004-06-01 04:25:00,289.166,287.911,0.000,290.554,291.051,289.630,287.504,99687.667,288.190,100089.951,
2004-06-01 04:30:00,289.224,287.893,0.000,290.551,291.047,289.593,287.513,99687.667,288.177,100089.972,
2004-06-01 04:35:00,289.122,287.876,0.000,290.519,291.011,289.546,287.523,99687.667,288.153,100089.996,
2004-06-01 04:40:00,289.184,287.861,0.000,290.516,291.006,289.507,287.532,99687.667,288.143,100090.012,
2004-06-01 04:45:00,289.081,287.847,0.000,290.483,290.969,289.457,287.541,99687.667,288.121,100090.033,
2004-06-01 04:50:00,289.145,287.835,0.000,290.480,290.965,289.417,287.550,99687.667,288.114,100090.046,
2004-06-01 04:55:00,289.042,287.823,0.000,290.446,290.928,289.366,287.559,99687.667,288.094,100090.064,
2004-06-01 05:00:00,289.109,287.813,33.393,290.447,290.926,289.340,287.569,99687.667,288.089,100090.075,
2004-06-01 05:05:00,289.121,287.805,33.448,290.437,290.915,289.319,287.585,99689.319,288.172,100090.042,
