cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,,wallShade_K,wallShade_C,wallSun_K,wallSun_C
6/1/2004 0:05,0,16.376,17.804,17.191,24.607,24.447,,299.872,26.722,299.872,26.722
6/1/2004 0:10,0,16.308,17.769,17.167,24.588,24.429,,299.603,26.453,299.603,26.453
6/1/2004 0:15,0,16.241,17.74,17.14,24.57,24.411,,299.148,25.998,299.148,25.998
6/1/2004 0:20,0,16.175,17.711,17.115,24.551,24.393,,298.726,25.576,298.726,25.576
6/1/2004 0:25,0,16.109,17.683,17.091,24.531,24.375,,298.404,25.254,298.404,25.254
6/1/2004 0:30,0,16.034,17.657,17.069,24.512,24.356,,298.164,25.014,298.164,25.014
6/1/2004 0:35,0,15.96,17.631,17.047,24.492,24.338,,297.971,24.821,297.971,24.821
6/1/2004 0:40,0,15.886,17.608,17.028,24.472,24.32,,297.806,24.656,297.806,24.656
6/1/2004 0:45,0,15.812,17.586,17.009,24.451,24.303,,297.657,24.507,297.657,24.507
6/1/2004 0:50,0,15.732,17.567,16.992,24.431,24.285,,297.516,24.366,297.516,24.366
6/1/2004 0:55,0,15.653,17.55,16.975,24.41,24.267,,297.379,24.229,297.379,24.229
6/1/2004 1:00,0,15.572,17.535,16.959,24.389,24.249,,297.247,24.097,297.247,24.097
6/1/2004 1:05,0,15.511,17.509,16.937,24.369,24.231,,297.124,23.974,297.124,23.974
6/1/2004 1:10,0,15.447,17.483,16.915,24.349,24.214,,297.01,23.86,297.01,23.86
6/1/2004 1:15,0,15.384,17.458,16.893,24.33,24.197,,296.903,23.753,296.903,23.753
6/1/2004 1:20,0,15.32,17.432,16.87,24.311,24.18,,296.805,23.655,296.805,23.655
6/1/2004 1:25,0,15.257,17.406,16.847,24.293,24.164,,296.713,23.563,296.713,23.563
6/1/2004 1:30,0,15.199,17.379,16.825,24.275,24.148,,296.626,23.476,296.626,23.476
6/1/2004 1:35,0,15.141,17.353,16.802,24.258,24.133,,296.543,23.393,296.543,23.393
6/1/2004 1:40,0,15.083,17.326,16.779,24.242,24.118,,296.464,23.314,296.464,23.314
6/1/2004 1:45,0,15.025,17.3,16.756,24.226,24.104,,296.389,23.239,296.389,23.239
6/1/2004 1:50,0,14.971,17.274,16.733,24.21,24.089,,296.317,23.167,296.317,23.167
6/1/2004 1:55,0,14.917,17.247,16.71,24.194,24.075,,296.248,23.098,296.248,23.098
6/1/2004 2:00,0,14.864,17.221,16.687,24.179,24.062,,296.182,23.032,296.182,23.032
6/1/2004 2:05,0,14.839,17.207,16.676,24.164,24.048,,296.119,22.969,296.119,22.969
6/1/2004 2:10,0,14.821,17.194,16.666,24.151,24.035,,296.056,22.906,296.056,22.906
6/1/2004 2:15,0,14.803,17.181,16.655,24.139,24.022,,295.995,22.845,295.995,22.845
6/1/2004 2:20,0,14.784,17.17,16.648,24.127,24.009,,295.936,22.786,295.936,22.786
6/1/2004 2:25,0,14.766,17.16,16.64,24.115,23.997,,295.88,22.73,295.88,22.73
6/1/2004 2:30,0,14.762,17.151,16.635,24.104,23.986,,295.825,22.675,295.825,22.675
6/1/2004 2:35,0,14.759,17.143,16.629,24.093,23.975,,295.771,22.621,295.771,22.621
6/1/2004 2:40,0,14.755,17.136,16.625,24.082,23.964,,295.719,22.569,295.719,22.569
6/1/2004 2:45,0,14.752,17.129,16.621,24.072,23.954,,295.667,22.517,295.667,22.517
6/1/2004 2:50,0,14.759,17.124,16.618,24.062,23.944,,295.617,22.467,295.617,22.467
6/1/2004 2:55,0,14.767,17.118,16.615,24.052,23.934,,295.567,22.417,295.567,22.417
6/1/2004 3:00,0,14.775,17.114,16.613,24.043,23.925,,295.518,22.368,295.518,22.368
6/1/2004 3:05,0,14.757,17.101,16.603,24.033,23.915,,295.471,22.321,295.471,22.321
6/1/2004 3:10,0,14.745,17.089,16.594,24.023,23.906,,295.423,22.273,295.426,22.276
6/1/2004 3:15,0,14.733,17.076,16.584,24.013,23.897,,295.376,22.226,295.382,22.232
6/1/2004 3:20,0,14.722,17.062,16.573,24.003,23.887,,295.331,22.181,295.338,22.188
6/1/2004 3:25,0,14.71,17.049,16.562,23.993,23.878,,295.286,22.136,295.296,22.146
6/1/2004 3:30,0,14.696,17.035,16.551,23.983,23.868,,295.243,22.093,295.254,22.104
6/1/2004 3:35,0,14.682,17.021,16.539,23.973,23.858,,295.2,22.05,295.213,22.063
6/1/2004 3:40,0,14.668,17.007,16.528,23.962,23.849,,295.157,22.007,295.172,22.022
6/1/2004 3:45,0,14.654,16.992,16.516,23.952,23.839,,295.115,21.965,295.131,21.981
6/1/2004 3:50,0,14.639,16.978,16.504,23.942,23.829,,295.073,21.923,295.091,21.941
6/1/2004 3:55,0,14.624,16.964,16.492,23.931,23.82,,295.032,21.882,295.051,21.901
6/1/2004 4:00,0,14.609,16.949,16.481,23.921,23.81,,294.992,21.842,295.012,21.862
6/1/2004 4:05,0,14.58,16.933,16.467,23.916,23.806,,294.951,21.801,294.973,21.823
6/1/2004 4:10,0,14.549,16.917,16.452,23.909,23.8,,294.914,21.764,294.936,21.786
6/1/2004 4:15,0,14.518,16.9,16.438,23.904,23.796,,294.877,21.727,294.901,21.751
