cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-11-01 00:05:00,0.000,7.155,9.620,9.425,19.030,19.031,
2004-11-01 00:10:00,0.000,7.124,9.586,9.394,19.009,19.011,
2004-11-01 00:15:00,0.000,7.086,9.552,9.364,18.987,18.989,
2004-11-01 00:20:00,0.000,7.043,9.512,9.328,18.963,18.966,
2004-11-01 00:25:00,0.000,6.995,9.472,9.292,18.939,18.942,
2004-11-01 00:30:00,0.000,6.943,9.428,9.252,18.913,18.917,
2004-11-01 00:35:00,0.000,6.888,9.384,9.212,18.886,18.891,
2004-11-01 00:40:00,0.000,6.830,9.337,9.168,18.860,18.863,
2004-11-01 00:45:00,0.000,6.769,9.289,9.125,18.832,18.834,
2004-11-01 00:50:00,0.000,6.706,9.238,9.078,18.804,18.804,
2004-11-01 00:55:00,0.000,6.640,9.188,9.031,18.774,18.774,
2004-11-01 01:00:00,0.000,6.572,9.135,8.982,18.744,18.744,
2004-11-01 01:05:00,0.000,6.517,9.100,8.950,18.714,18.713,
2004-11-01 01:10:00,0.000,6.467,9.065,8.918,18.685,18.683,
2004-11-01 01:15:00,0.000,6.420,9.030,8.885,18.656,18.654,
2004-11-01 01:20:00,0.000,6.374,8.997,8.855,18.628,18.626,
2004-11-01 01:25:00,0.000,6.329,8.964,8.825,18.600,18.599,
2004-11-01 01:30:00,0.000,6.286,8.933,8.796,18.574,18.572,
2004-11-01 01:35:00,0.000,6.243,8.901,8.767,18.547,18.545,
2004-11-01 01:40:00,0.000,6.201,8.871,8.738,18.521,18.519,
2004-11-01 01:45:00,0.000,6.160,8.840,8.710,18.496,18.494,
2004-11-01 01:50:00,0.000,6.118,8.810,8.682,18.471,18.469,
2004-11-01 01:55:00,0.000,6.078,8.780,8.655,18.446,18.444,
2004-11-01 02:00:00,0.000,6.037,8.751,8.627,18.422,18.420,
2004-11-01 02:05:00,0.000,5.997,8.720,8.599,18.398,18.396,
2004-11-01 02:10:00,0.000,5.957,8.690,8.571,18.374,18.372,
2004-11-01 02:15:00,0.000,5.918,8.659,8.542,18.350,18.349,
2004-11-01 02:20:00,0.000,5.878,8.629,8.514,18.326,18.325,
2004-11-01 02:25:00,0.000,5.839,8.598,8.486,18.303,18.302,
2004-11-01 02:30:00,0.000,5.800,8.568,8.457,18.279,18.279,
2004-11-01 02:35:00,0.000,5.760,8.537,8.429,18.256,18.256,
2004-11-01 02:40:00,0.000,5.721,8.507,8.401,18.233,18.233,
2004-11-01 02:45:00,0.000,5.682,8.476,8.372,18.210,18.210,
2004-11-01 02:50:00,0.000,5.644,8.446,8.344,18.187,18.187,
2004-11-01 02:55:00,0.000,5.605,8.415,8.315,18.164,18.164,
2004-11-01 03:00:00,0.000,5.566,8.384,8.287,18.141,18.141,
2004-11-01 03:05:00,0.000,5.531,8.367,8.270,18.118,18.119,
2004-11-01 03:10:00,0.000,5.497,8.351,8.255,18.097,18.098,
2004-11-01 03:15:00,0.000,5.465,8.335,8.239,18.076,18.077,
2004-11-01 03:20:00,0.000,5.433,8.322,8.226,18.056,18.058,
2004-11-01 03:25:00,0.000,5.401,8.308,8.214,18.037,18.039,
2004-11-01 03:30:00,0.000,5.371,8.297,8.203,18.019,18.021,
2004-11-01 03:35:00,0.000,5.340,8.286,8.192,18.001,18.004,
2004-11-01 03:40:00,0.000,5.310,8.277,8.182,17.984,17.987,
2004-11-01 03:45:00,0.000,5.280,8.267,8.173,17.968,17.971,
2004-11-01 03:50:00,0.000,5.250,8.259,8.165,17.952,17.956,
2004-11-01 03:55:00,0.000,5.220,8.251,8.156,17.936,17.941,
2004-11-01 04:00:00,0.000,5.191,8.244,8.149,17.921,17.926,
2004-11-01 04:05:00,0.000,5.175,8.235,8.140,17.912,17.917,
2004-11-01 04:10:00,0.000,5.164,8.226,8.132,17.901,17.906,
2004-11-01 04:15:00,0.000,5.158,8.218,8.124,17.892,17.897,
2004-11-01 04:20:00,0.000,5.154,8.210,8.117,17.883,17.888,
2004-11-01 04:25:00,0.000,5.154,8.202,8.109,17.873,17.879,
