cur_datetime,canTemp,wallSun_K,wallShade_K,roof_K,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-11-01 00:00:00,294.501,300.000,300.000,300.000,56.949,280.176,98762.500,291.809,99113.449,
2004-11-01 00:05:00,288.255,299.813,299.813,297.410,0.562,280.127,98762.833,285.858,99118.532,
2004-11-01 00:10:00,286.804,299.430,299.430,293.945,0.562,280.078,98763.167,285.257,99118.886,
2004-11-01 00:15:00,287.355,298.760,298.760,289.664,0.562,280.029,98763.500,285.194,99119.038,
2004-11-01 00:20:00,287.796,298.143,298.143,287.250,0.562,279.980,98763.833,285.217,99119.041,
2004-11-01 00:25:00,287.759,297.673,297.673,285.776,0.562,279.931,98764.167,285.145,99119.152,
2004-11-01 00:30:00,287.728,297.317,297.317,284.720,0.562,279.882,98764.500,285.110,99119.185,
2004-11-01 00:35:00,287.578,297.023,297.023,283.796,0.562,279.833,98764.833,285.033,99119.283,
2004-11-01 00:40:00,287.531,296.769,296.769,282.960,0.562,279.784,98765.167,284.995,99119.319,
2004-11-01 00:45:00,287.406,296.543,296.543,282.202,0.562,279.734,98765.500,284.930,99119.401,
2004-11-01 00:50:00,287.382,296.340,296.340,281.515,0.562,279.685,98765.833,284.899,99119.433,
2004-11-01 00:55:00,287.271,296.154,296.154,280.890,0.281,279.636,98766.167,284.843,99119.503,
2004-11-01 01:00:00,287.257,295.985,295.985,280.321,0.281,279.587,98766.500,284.814,99119.533,
2004-11-01 01:05:00,287.150,295.826,295.826,279.801,0.281,279.534,98766.208,284.766,99119.591,
2004-11-01 01:10:00,287.150,295.679,295.679,279.325,0.281,279.481,98765.917,284.744,99119.615,
2004-11-01 01:15:00,287.048,295.540,295.540,278.889,0.281,279.429,98765.625,284.702,99119.666,
2004-11-01 01:20:00,287.057,295.410,295.410,278.488,0.281,279.376,98765.333,284.682,99119.689,
2004-11-01 01:25:00,286.952,295.285,295.285,278.119,0.281,279.323,98765.042,284.643,99119.735,
2004-11-01 01:30:00,286.970,295.168,295.168,277.778,0.281,279.270,98764.750,284.625,99119.757,
2004-11-01 01:35:00,286.864,295.054,295.054,277.463,0.281,279.217,98764.458,284.588,99119.798,
2004-11-01 01:40:00,286.891,294.946,294.946,277.172,0.281,279.164,98764.167,284.572,99119.818,
2004-11-01 01:45:00,286.783,294.841,294.841,276.901,0.281,279.112,98763.875,284.538,99119.857,
2004-11-01 01:50:00,286.818,294.741,294.741,276.649,0.281,279.059,98763.583,284.524,99119.875,
2004-11-01 01:55:00,286.708,294.644,294.644,276.414,0.070,279.006,98763.292,284.492,99119.910,
2004-11-01 02:00:00,286.750,294.551,294.551,276.195,0.070,278.953,98763.000,284.479,99119.928,
2004-11-01 02:05:00,286.643,294.459,294.459,275.989,0.070,278.968,98764.389,284.458,99119.946,
2004-11-01 02:10:00,286.710,294.372,294.372,275.797,0.070,278.982,98765.778,284.461,99119.945,
2004-11-01 02:15:00,286.609,294.287,294.287,275.618,0.070,278.997,98767.167,284.448,99119.956,
2004-11-01 02:20:00,286.682,294.206,294.206,275.451,0.070,279.012,98768.556,284.453,99119.954,
2004-11-01 02:25:00,286.571,294.126,294.126,275.294,0.070,279.026,98769.944,284.438,99119.964,
2004-11-01 02:30:00,286.650,294.051,294.051,275.146,0.070,279.041,98771.333,284.444,99119.961,
2004-11-01 02:35:00,286.533,293.976,293.976,275.007,0.070,279.055,98772.722,284.430,99119.970,
2004-11-01 02:40:00,286.621,293.905,293.905,274.876,0.070,279.070,98774.111,284.436,99119.967,
2004-11-01 02:45:00,286.499,293.834,293.834,274.752,0.070,279.085,98775.500,284.423,99119.975,
2004-11-01 02:50:00,286.595,293.767,293.767,274.635,0.070,279.099,98776.889,284.431,99119.970,
2004-11-01 02:55:00,286.466,293.700,293.700,274.523,0.070,279.114,98778.278,284.417,99119.978,
2004-11-01 03:00:00,286.572,293.636,293.636,274.417,0.070,279.128,98779.667,284.426,99119.973,
2004-11-01 03:05:00,286.309,293.572,293.572,274.315,0.070,279.118,98782.403,284.230,99120.258,
2004-11-01 03:10:00,286.154,293.512,293.512,274.239,0.070,279.107,98785.139,283.975,99120.580,
2004-11-01 03:15:00,285.725,293.448,293.448,274.185,0.070,279.096,98787.875,283.697,99120.906,
2004-11-01 03:20:00,285.632,293.376,293.376,274.151,0.346,279.085,98790.611,283.472,99121.196,
2004-11-01 03:25:00,285.314,293.293,293.293,274.136,1.096,279.074,98793.347,283.243,99121.483,
2004-11-01 03:30:00,285.291,293.209,293.209,274.137,1.253,279.063,98796.083,283.050,99121.745,
2004-11-01 03:35:00,284.964,293.122,293.122,274.154,2.007,279.053,98798.819,282.836,99122.013,
2004-11-01 03:40:00,284.957,293.039,293.039,274.185,2.123,279.042,98801.556,282.656,99122.258,
2004-11-01 03:45:00,284.619,292.953,292.953,274.228,2.887,279.031,98804.292,282.453,99122.509,
