cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.075,0.000,291.981,292.573,300.000,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,291.336,0.000,291.100,291.691,300.000,287.334,99731.472,290.040,100087.944,
2004-06-01 00:10:00,290.493,0.000,291.106,291.696,300.000,287.334,99729.111,289.693,100088.130,
2004-06-01 00:15:00,290.880,0.000,291.167,291.760,300.000,287.334,99726.750,289.841,100088.086,
2004-06-01 00:20:00,291.247,0.000,291.219,291.816,300.000,287.334,99724.389,290.040,100087.968,
2004-06-01 00:25:00,291.263,0.000,291.229,291.830,300.000,287.334,99722.028,290.088,100087.947,
2004-06-01 00:30:00,291.231,0.000,291.230,291.834,300.000,287.334,99719.667,290.079,100087.930,
2004-06-01 00:35:00,291.066,0.000,291.205,291.812,300.000,287.333,99717.306,289.955,100088.085,
2004-06-01 00:40:00,290.930,0.000,291.187,291.797,300.000,287.333,99714.944,289.787,100088.290,
2004-06-01 00:45:00,290.736,0.000,291.153,291.765,300.000,287.333,99712.583,289.617,100088.493,
2004-06-01 00:50:00,290.644,0.000,291.139,291.753,300.000,287.333,99710.222,289.496,100088.644,
2004-06-01 00:55:00,290.524,0.000,291.115,291.733,300.000,287.333,99707.861,289.392,100088.782,
2004-06-01 01:00:00,290.478,0.000,291.101,291.717,300.000,287.333,99705.500,289.311,100088.890,
2004-06-01 01:05:00,290.382,0.000,291.078,291.690,300.000,287.342,99703.931,289.243,100088.977,
2004-06-01 01:10:00,290.365,0.000,291.066,291.677,300.000,287.351,99702.361,289.196,100089.044,
2004-06-01 01:15:00,290.277,0.000,291.043,291.650,300.000,287.360,99700.792,289.139,100089.120,
2004-06-01 01:20:00,290.254,0.000,291.030,291.633,300.000,287.369,99699.222,289.088,100089.187,
2004-06-01 01:25:00,290.161,0.000,291.004,291.603,300.000,287.378,99697.653,289.028,100089.263,
2004-06-01 01:30:00,290.140,0.000,290.989,291.585,300.000,287.387,99696.083,288.977,100089.329,
2004-06-01 01:35:00,290.051,0.000,290.962,291.554,300.000,287.396,99694.514,288.919,100089.401,
2004-06-01 01:40:00,290.034,0.000,290.947,291.535,300.000,287.405,99692.944,288.871,100089.465,
2004-06-01 01:45:00,289.947,0.000,290.919,291.502,300.000,287.414,99691.375,288.816,100089.533,
2004-06-01 01:50:00,289.934,0.000,290.902,291.482,300.000,287.423,99689.806,288.769,100089.595,
2004-06-01 01:55:00,289.848,0.000,290.873,291.449,300.000,287.432,99688.236,288.716,100089.660,
2004-06-01 02:00:00,289.839,0.000,290.863,291.435,300.000,287.441,99686.667,288.672,100089.719,
2004-06-01 02:05:00,289.779,0.000,290.844,291.413,300.000,287.444,99685.875,288.653,100089.736,
2004-06-01 02:10:00,289.811,0.000,290.841,291.407,300.000,287.446,99685.083,288.654,100089.741,
2004-06-01 02:15:00,289.766,0.000,290.827,291.390,300.000,287.448,99684.292,288.647,100089.751,
2004-06-01 02:20:00,289.792,0.000,290.825,291.385,300.000,287.450,99683.500,288.643,100089.758,
2004-06-01 02:25:00,289.738,0.000,290.811,291.368,300.000,287.453,99682.708,288.632,100089.770,
2004-06-01 02:30:00,289.765,0.000,290.811,291.365,300.000,287.455,99681.917,288.628,100089.777,
2004-06-01 02:35:00,289.713,0.000,290.798,291.349,300.000,287.457,99681.125,288.618,100089.787,
2004-06-01 02:40:00,289.743,0.000,290.799,291.348,300.000,287.460,99680.333,288.616,100089.793,
2004-06-01 02:45:00,289.692,0.000,290.788,291.333,300.000,287.462,99679.542,288.608,100089.802,
2004-06-01 02:50:00,289.724,0.000,290.790,291.333,300.000,287.464,99678.750,288.606,100089.807,
2004-06-01 02:55:00,289.673,0.000,290.779,291.319,300.000,287.466,99677.958,288.598,100089.814,
2004-06-01 03:00:00,289.706,0.000,290.777,291.315,300.000,287.469,99677.167,288.598,100089.818,
2004-06-01 03:05:00,289.668,0.000,290.764,291.298,300.000,287.468,99678.042,288.610,100089.798,
2004-06-01 03:10:00,289.726,0.000,290.766,291.298,300.000,287.467,99678.917,288.637,100089.768,
2004-06-01 03:15:00,289.698,0.000,290.755,291.283,300.000,287.466,99679.792,288.657,100089.742,
2004-06-01 03:20:00,289.752,0.000,290.757,291.283,300.000,287.465,99680.667,288.680,100089.715,
2004-06-01 03:25:00,289.716,0.000,290.744,291.267,300.000,287.464,99681.542,288.694,100089.693,
2004-06-01 03:30:00,289.767,0.000,290.746,291.267,300.000,287.463,99682.417,288.715,100089.669,
2004-06-01 03:35:00,289.732,0.000,290.734,291.251,300.000,287.462,99683.292,288.729,100089.648,
2004-06-01 03:40:00,289.784,0.000,290.736,291.252,300.000,287.462,99684.167,288.749,100089.625,
2004-06-01 03:45:00,289.748,0.000,290.724,291.236,300.000,287.461,99685.042,288.761,100089.606,
2004-06-01 03:50:00,289.799,0.000,290.727,291.237,300.000,287.460,99685.917,288.780,100089.585,
2004-06-01 03:55:00,289.763,0.000,290.714,291.221,300.000,287.459,99686.792,288.792,100089.567,
2004-06-01 04:00:00,289.813,0.000,290.715,291.220,300.000,287.458,99687.667,288.809,100089.547,
2004-06-01 04:05:00,289.750,0.000,290.696,291.198,300.000,287.467,99687.667,288.785,100089.582,
2004-06-01 04:10:00,289.760,0.000,290.690,291.190,300.000,287.476,99687.667,288.755,100089.618,
2004-06-01 04:15:00,289.686,0.000,290.667,291.163,300.000,287.486,99687.667,288.723,100089.653,
2004-06-01 04:20:00,289.708,0.000,290.662,291.156,300.000,287.495,99687.667,288.706,100089.679,
2004-06-01 04:25:00,289.647,0.000,290.640,291.131,300.000,287.504,99687.667,288.685,100089.704,
2004-06-01 04:30:00,289.674,0.000,290.634,291.123,300.000,287.513,99687.667,288.673,100089.724,
2004-06-01 04:35:00,289.614,0.000,290.612,291.097,300.000,287.523,99687.667,288.655,100089.745,
2004-06-01 04:40:00,289.642,0.000,290.605,291.089,300.000,287.532,99687.667,288.645,100089.762,
2004-06-01 04:45:00,289.585,0.000,290.583,291.063,300.000,287.541,99687.667,288.629,100089.780,
2004-06-01 04:50:00,289.615,0.000,290.577,291.055,300.000,287.550,99687.667,288.622,100089.792,
2004-06-01 04:55:00,289.559,0.000,290.554,291.030,300.000,287.559,99687.667,288.609,100089.807,
2004-06-01 05:00:00,289.592,90.612,290.551,291.024,300.000,287.569,99687.667,288.604,100089.817,
2004-06-01 05:05:00,289.771,87.259,290.575,291.048,300.000,287.585,99689.319,288.787,100089.735,
2004-06-01 05:10:00,289.805,87.665,290.573,291.044,300.000,287.600,99690.972,288.790,100089.736,
2004-06-01 05:15:00,289.686,43.170,290.548,291.015,300.000,287.616,99692.625,288.729,100089.770,
2004-06-01 05:20:00,289.580,42.461,290.526,290.989,300.000,287.632,99694.278,288.616,100089.832,
2004-06-01 05:25:00,289.532,42.104,290.512,290.972,300.000,287.648,99695.931,288.601,100089.847,
2004-06-01 05:30:00,289.601,42.615,290.517,290.975,300.000,287.664,99697.583,288.622,100089.843,
2004-06-01 05:35:00,289.571,42.342,290.506,290.962,300.000,287.680,99699.236,288.623,100089.847,
2004-06-01 05:40:00,289.600,42.811,290.507,290.960,300.000,287.695,99700.889,288.618,100089.854,
2004-06-01 05:45:00,289.549,42.525,290.492,290.942,300.000,287.711,99702.542,288.605,100089.865,
2004-06-01 05:50:00,289.579,42.784,290.494,290.941,300.000,287.727,99704.194,288.600,100089.872,
2004-06-01 05:55:00,289.533,42.404,290.480,290.925,300.000,287.743,99705.847,288.591,100089.882,
2004-06-01 06:00:00,289.793,89.331,290.528,290.973,300.000,287.759,99707.500,288.720,100089.828,
2004-06-01 06:05:00,290.029,46.570,290.578,291.023,300.000,287.805,99709.000,288.957,100089.707,
