cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.075,0.000,292.078,292.691,300.000,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,291.344,0.000,291.200,291.811,300.000,287.334,99731.472,290.041,100087.943,
2004-06-01 00:10:00,290.499,0.000,291.206,291.817,300.000,287.334,99729.111,289.694,100088.129,
2004-06-01 00:15:00,290.889,0.000,291.269,291.883,300.000,287.334,99726.750,289.842,100088.085,
2004-06-01 00:20:00,291.259,0.000,291.323,291.941,300.000,287.334,99724.389,290.042,100087.967,
2004-06-01 00:25:00,291.276,0.000,291.335,291.957,300.000,287.334,99722.028,290.090,100087.946,
2004-06-01 00:30:00,291.243,0.000,291.337,291.963,300.000,287.334,99719.667,290.081,100087.929,
2004-06-01 00:35:00,291.079,0.000,291.314,291.942,300.000,287.333,99717.306,289.957,100088.084,
2004-06-01 00:40:00,290.943,0.000,291.298,291.929,300.000,287.333,99714.944,289.789,100088.289,
2004-06-01 00:45:00,290.749,0.000,291.266,291.899,300.000,287.333,99712.583,289.619,100088.492,
2004-06-01 00:50:00,290.658,0.000,291.253,291.889,300.000,287.333,99710.222,289.498,100088.643,
2004-06-01 00:55:00,290.538,0.000,291.232,291.871,300.000,287.333,99707.861,289.394,100088.781,
2004-06-01 01:00:00,290.492,0.000,291.219,291.856,300.000,287.333,99705.500,289.314,100088.889,
2004-06-01 01:05:00,290.397,0.000,291.196,291.830,300.000,287.342,99703.931,289.245,100088.976,
2004-06-01 01:10:00,290.379,0.000,291.186,291.817,300.000,287.351,99702.361,289.198,100089.043,
2004-06-01 01:15:00,290.292,0.000,291.163,291.791,300.000,287.360,99700.792,289.141,100089.119,
2004-06-01 01:20:00,290.269,0.000,291.150,291.775,300.000,287.369,99699.222,289.090,100089.186,
2004-06-01 01:25:00,290.176,0.000,291.124,291.745,300.000,287.378,99697.653,289.030,100089.261,
2004-06-01 01:30:00,290.155,0.000,291.110,291.727,300.000,287.387,99696.083,288.979,100089.328,
2004-06-01 01:35:00,290.066,0.000,291.083,291.696,300.000,287.396,99694.514,288.922,100089.400,
2004-06-01 01:40:00,290.049,0.000,291.068,291.678,300.000,287.405,99692.944,288.873,100089.464,
2004-06-01 01:45:00,289.963,0.000,291.041,291.645,300.000,287.414,99691.375,288.818,100089.532,
2004-06-01 01:50:00,289.948,0.000,291.025,291.625,300.000,287.423,99689.806,288.771,100089.594,
2004-06-01 01:55:00,289.864,0.000,290.996,291.592,300.000,287.432,99688.236,288.718,100089.659,
2004-06-01 02:00:00,289.853,0.000,290.986,291.579,300.000,287.441,99686.667,288.674,100089.718,
2004-06-01 02:05:00,289.794,0.000,290.967,291.557,300.000,287.444,99685.875,288.655,100089.734,
2004-06-01 02:10:00,289.826,0.000,290.965,291.552,300.000,287.446,99685.083,288.656,100089.740,
2004-06-01 02:15:00,289.782,0.000,290.951,291.535,300.000,287.448,99684.292,288.649,100089.750,
2004-06-01 02:20:00,289.808,0.000,290.949,291.530,300.000,287.450,99683.500,288.646,100089.757,
2004-06-01 02:25:00,289.754,0.000,290.936,291.513,300.000,287.453,99682.708,288.634,100089.769,
2004-06-01 02:30:00,289.781,0.000,290.936,291.511,300.000,287.455,99681.917,288.630,100089.776,
2004-06-01 02:35:00,289.729,0.000,290.923,291.495,300.000,287.457,99681.125,288.621,100089.786,
2004-06-01 02:40:00,289.759,0.000,290.925,291.495,300.000,287.460,99680.333,288.619,100089.792,
2004-06-01 02:45:00,289.709,0.000,290.914,291.480,300.000,287.462,99679.542,288.610,100089.801,
2004-06-01 02:50:00,289.739,0.000,290.916,291.481,300.000,287.464,99678.750,288.609,100089.806,
2004-06-01 02:55:00,289.689,0.000,290.906,291.467,300.000,287.466,99677.958,288.601,100089.813,
2004-06-01 03:00:00,289.722,0.000,290.905,291.463,300.000,287.469,99677.167,288.600,100089.817,
2004-06-01 03:05:00,289.685,0.000,290.891,291.446,300.000,287.468,99678.042,288.612,100089.797,
2004-06-01 03:10:00,289.742,0.000,290.894,291.446,300.000,287.467,99678.917,288.639,100089.767,
2004-06-01 03:15:00,289.715,0.000,290.882,291.432,300.000,287.466,99679.792,288.659,100089.741,
2004-06-01 03:20:00,289.768,0.000,290.884,291.431,300.000,287.465,99680.667,288.682,100089.714,
2004-06-01 03:25:00,289.733,0.000,290.872,291.416,300.000,287.464,99681.542,288.697,100089.692,
2004-06-01 03:30:00,289.784,0.000,290.874,291.415,300.000,287.463,99682.417,288.717,100089.668,
2004-06-01 03:35:00,289.750,0.000,290.862,291.400,300.000,287.462,99683.292,288.731,100089.647,
2004-06-01 03:40:00,289.800,0.000,290.864,291.400,300.000,287.462,99684.167,288.751,100089.624,
2004-06-01 03:45:00,289.765,0.000,290.852,291.384,300.000,287.461,99685.042,288.764,100089.605,
2004-06-01 03:50:00,289.815,0.000,290.854,291.385,300.000,287.460,99685.917,288.783,100089.584,
2004-06-01 03:55:00,289.780,0.000,290.842,291.369,300.000,287.459,99686.792,288.794,100089.566,
2004-06-01 04:00:00,289.829,0.000,290.843,291.368,300.000,287.458,99687.667,288.812,100089.546,
2004-06-01 04:05:00,289.767,0.000,290.824,291.346,300.000,287.467,99687.667,288.787,100089.581,
2004-06-01 04:10:00,289.776,0.000,290.818,291.337,300.000,287.476,99687.667,288.758,100089.617,
2004-06-01 04:15:00,289.703,0.000,290.795,291.311,300.000,287.486,99687.667,288.726,100089.652,
2004-06-01 04:20:00,289.724,0.000,290.789,291.303,300.000,287.495,99687.667,288.708,100089.677,
2004-06-01 04:25:00,289.664,0.000,290.768,291.278,300.000,287.504,99687.667,288.688,100089.703,
2004-06-01 04:30:00,289.691,0.000,290.761,291.270,300.000,287.513,99687.667,288.675,100089.723,
2004-06-01 04:35:00,289.631,0.000,290.739,291.245,300.000,287.523,99687.667,288.657,100089.744,
2004-06-01 04:40:00,289.659,0.000,290.733,291.236,300.000,287.532,99687.667,288.647,100089.761,
2004-06-01 04:45:00,289.602,0.000,290.710,291.211,300.000,287.541,99687.667,288.632,100089.778,
2004-06-01 04:50:00,289.631,0.000,290.704,291.202,300.000,287.550,99687.667,288.624,100089.791,
