cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,295.483,68.060,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,290.809,10.347,287.334,99731.472,288.757,100089.666,
2004-06-01 00:10:00,289.643,0.479,287.334,99729.111,288.282,100089.913,
2004-06-01 00:15:00,290.070,0.479,287.334,99726.750,288.335,100089.879,
2004-06-01 00:20:00,290.541,3.941,287.334,99724.389,288.419,100089.816,
2004-06-01 00:25:00,290.547,3.109,287.334,99722.028,288.456,100089.778,
2004-06-01 00:30:00,290.605,2.969,287.334,99719.667,288.483,100089.737,
2004-06-01 00:35:00,290.512,1.169,287.333,99717.306,288.496,100089.705,
2004-06-01 00:40:00,290.552,0.947,287.333,99714.944,288.528,100089.655,
2004-06-01 00:45:00,290.518,0.479,287.333,99712.583,288.563,100089.605,
2004-06-01 00:50:00,290.589,0.479,287.333,99710.222,288.617,100089.534,
2004-06-01 00:55:00,290.587,0.239,287.333,99707.861,288.672,100089.460,
2004-06-01 01:00:00,290.673,0.239,287.333,99705.500,288.747,100089.363,
2004-06-01 01:05:00,290.621,0.239,287.342,99703.931,288.720,100089.419,
2004-06-01 01:10:00,290.581,0.239,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,290.412,0.239,287.360,99700.792,288.574,100089.582,
2004-06-01 01:20:00,290.365,0.239,287.369,99699.222,288.514,100089.651,
2004-06-01 01:25:00,290.258,0.239,287.378,99697.653,288.455,100089.720,
2004-06-01 01:30:00,290.247,0.239,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,290.152,0.239,287.396,99694.514,288.359,100089.838,
2004-06-01 01:40:00,290.144,0.239,287.405,99692.944,288.319,100089.890,
2004-06-01 01:45:00,290.051,0.239,287.414,99691.375,288.272,100089.944,
2004-06-01 01:50:00,290.049,0.239,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,289.963,0.060,287.432,99688.236,288.195,100090.038,
2004-06-01 02:00:00,289.967,0.060,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,289.902,0.060,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,289.949,0.060,287.446,99685.083,288.162,100090.072,
2004-06-01 02:15:00,289.906,0.060,287.448,99684.292,288.166,100090.066,
2004-06-01 02:20:00,289.951,0.060,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,289.893,0.060,287.453,99682.708,288.173,100090.054,
2004-06-01 02:30:00,289.932,0.060,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,289.873,0.060,287.457,99681.125,288.177,100090.045,
2004-06-01 02:40:00,289.915,0.060,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,289.856,0.060,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,289.901,0.060,287.464,99678.750,288.189,100090.030,
2004-06-01 02:55:00,289.841,0.060,287.466,99677.958,288.187,100090.027,
2004-06-01 03:00:00,289.888,0.060,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,289.840,0.060,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,289.914,0.060,287.467,99678.917,288.244,100089.950,
2004-06-01 03:15:00,289.881,0.060,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,289.957,0.060,287.465,99680.667,288.307,100089.871,
2004-06-01 03:25:00,289.916,0.060,287.464,99681.542,288.332,100089.834,
2004-06-01 03:30:00,289.988,0.060,287.463,99682.417,288.368,100089.792,
2004-06-01 03:35:00,289.947,0.060,287.462,99683.292,288.393,100089.753,
2004-06-01 03:40:00,290.022,0.060,287.462,99684.167,288.430,100089.710,
2004-06-01 03:45:00,289.982,0.060,287.461,99685.042,288.457,100089.670,
2004-06-01 03:50:00,290.060,0.060,287.460,99685.917,288.495,100089.625,
2004-06-01 03:55:00,290.021,0.239,287.459,99686.792,288.523,100089.584,
2004-06-01 04:00:00,290.100,0.239,287.458,99687.667,288.563,100089.537,
2004-06-01 04:05:00,290.008,0.239,287.467,99687.667,288.511,100089.619,
2004-06-01 04:10:00,289.982,0.239,287.476,99687.667,288.438,100089.710,
2004-06-01 04:15:00,289.827,0.239,287.486,99687.667,288.358,100089.793,
2004-06-01 04:20:00,289.822,0.239,287.495,99687.667,288.308,100089.854,
2004-06-01 04:25:00,289.722,0.239,287.504,99687.667,288.262,100089.907,
2004-06-01 04:30:00,289.751,0.239,287.513,99687.667,288.234,100089.946,
2004-06-01 04:35:00,289.658,0.239,287.523,99687.667,288.200,100089.983,
2004-06-01 04:40:00,289.686,0.239,287.532,99687.667,288.180,100090.011,
2004-06-01 04:45:00,289.590,0.239,287.541,99687.667,288.151,100090.039,
2004-06-01 04:50:00,289.620,0.239,287.550,99687.667,288.137,100090.059,
2004-06-01 04:55:00,289.526,1.615,287.559,99687.667,288.113,100090.081,
2004-06-01 05:00:00,289.564,1.615,287.569,99687.667,288.108,100090.094,
2004-06-01 05:05:00,289.456,1.615,287.585,99689.319,288.067,100090.144,
2004-06-01 05:10:00,289.467,1.615,287.600,99690.972,288.032,100090.189,
2004-06-01 05:15:00,289.353,1.615,287.616,99692.625,287.991,100090.232,
2004-06-01 05:20:00,289.375,1.615,287.632,99694.278,287.969,100090.262,
2004-06-01 05:25:00,289.275,1.615,287.648,99695.931,287.937,100090.299,
2004-06-01 05:30:00,289.353,1.615,287.664,99697.583,287.916,100090.330,
2004-06-01 05:35:00,288.965,1.615,287.680,99699.236,287.872,100090.368,
2004-06-01 05:40:00,289.071,1.615,287.695,99700.889,287.854,100090.394,
2004-06-01 05:45:00,288.770,1.615,287.711,99702.542,287.800,100090.436,
2004-06-01 05:50:00,288.949,1.615,287.727,99704.194,287.798,100090.453,
2004-06-01 05:55:00,288.701,5.623,287.743,99705.847,287.758,100090.486,
2004-06-01 06:00:00,288.997,5.623,287.759,99707.500,287.791,100090.483,
2004-06-01 06:05:00,288.702,5.623,287.805,99709.000,287.737,100090.531,
2004-06-01 06:10:00,288.918,5.623,287.850,99710.500,287.759,100090.543,
2004-06-01 06:15:00,288.694,5.623,287.896,99712.000,287.719,100090.585,
2004-06-01 06:20:00,289.043,5.623,287.942,99713.500,287.765,100090.585,
2004-06-01 06:25:00,288.805,5.623,287.988,99715.000,287.725,100090.625,
2004-06-01 06:30:00,289.117,5.623,288.033,99716.500,287.762,100090.628,
2004-06-01 06:35:00,288.863,5.623,288.079,99718.000,287.720,100090.669,
2004-06-01 06:40:00,289.187,5.623,288.125,99719.500,287.754,100090.674,
2004-06-01 06:45:00,288.903,5.623,288.170,99721.000,287.709,100090.716,
2004-06-01 06:50:00,289.238,5.623,288.216,99722.500,287.743,100090.721,
2004-06-01 06:55:00,288.938,5.982,288.262,99724.000,287.695,100090.763,
2004-06-01 07:00:00,289.274,5.982,288.308,99725.500,287.728,100090.768,
2004-06-01 07:05:00,288.968,5.982,288.370,99729.069,287.686,100090.800,
2004-06-01 07:10:00,289.362,5.982,288.432,99732.639,287.745,100090.783,
2004-06-01 07:15:00,289.099,5.982,288.495,99736.208,287.732,100090.798,
2004-06-01 07:20:00,289.525,5.982,288.557,99739.778,287.803,100090.773,
2004-06-01 07:25:00,289.240,5.982,288.620,99743.347,287.793,100090.783,
2004-06-01 07:30:00,289.679,5.982,288.682,99746.917,287.866,100090.755,
2004-06-01 07:35:00,289.377,5.982,288.745,99750.486,287.857,100090.764,
2004-06-01 07:40:00,289.828,7.110,288.807,99754.056,287.931,100090.735,
2004-06-01 07:45:00,289.510,5.982,288.869,99757.625,287.925,100090.741,
2004-06-01 07:50:00,289.967,9.876,288.932,99761.194,287.996,100090.712,
2004-06-01 07:55:00,289.647,5.743,288.994,99764.764,288.000,100090.712,
2004-06-01 08:00:00,290.107,5.743,289.057,99768.333,288.062,100090.685,
2004-06-01 08:05:00,289.784,5.743,289.178,99768.653,288.096,100090.622,
2004-06-01 08:10:00,290.316,5.743,289.299,99768.972,288.234,100090.505,
2004-06-01 08:15:00,290.002,5.743,289.420,99769.292,288.293,100090.421,
2004-06-01 08:20:00,290.556,5.743,289.541,99769.611,288.438,100090.300,
2004-06-01 08:25:00,290.233,5.743,289.663,99769.931,288.498,100090.216,
2004-06-01 08:30:00,290.801,9.524,289.784,99770.250,288.644,100090.092,
2004-06-01 08:35:00,290.483,6.548,289.905,99770.569,288.720,100089.999,
2004-06-01 08:40:00,291.043,13.651,290.026,99770.889,288.858,100089.878,
2004-06-01 08:45:00,290.735,10.807,290.148,99771.208,288.945,100089.779,
2004-06-01 08:50:00,291.295,17.886,290.269,99771.528,289.085,100089.656,
2004-06-01 08:55:00,290.991,11.033,290.390,99771.847,289.175,100089.554,
2004-06-01 09:00:00,291.530,17.815,290.511,99772.167,289.299,100089.438,
2004-06-01 09:05:00,291.236,14.913,290.634,99772.333,289.403,100089.314,
2004-06-01 09:10:00,291.831,22.182,290.757,99772.500,289.577,100089.155,
2004-06-01 09:15:00,291.569,19.655,290.879,99772.667,289.712,100089.012,
2004-06-01 09:20:00,292.153,26.807,291.002,99772.833,289.888,100088.850,
2004-06-01 09:25:00,291.883,24.196,291.125,99773.000,290.017,100088.708,
2004-06-01 09:30:00,292.442,31.078,291.248,99773.167,290.185,100088.550,
2004-06-01 09:35:00,292.176,28.528,291.370,99773.333,290.310,100088.410,
2004-06-01 09:40:00,292.717,35.208,291.493,99773.500,290.472,100088.254,
2004-06-01 09:45:00,292.453,32.693,291.616,99773.667,290.593,100088.115,
2004-06-01 09:50:00,292.974,39.166,291.739,99773.833,290.750,100087.961,
2004-06-01 09:55:00,292.718,36.993,291.861,99774.000,290.869,100087.823,
2004-06-01 10:00:00,293.224,43.300,291.984,99774.167,291.024,100087.669,
2004-06-01 10:05:00,292.950,40.561,292.045,99773.639,291.097,100087.603,
2004-06-01 10:10:00,293.340,45.423,292.106,99773.111,291.144,100087.559,
2004-06-01 10:15:00,293.028,42.255,292.167,99772.583,291.151,100087.536,
2004-06-01 10:20:00,293.423,47.169,292.228,99772.056,291.199,100087.495,
2004-06-01 10:25:00,293.130,44.207,292.289,99771.528,291.220,100087.466,
2004-06-01 10:30:00,293.535,49.236,292.350,99771.000,291.278,100087.419,
2004-06-01 10:35:00,293.251,46.383,292.411,99770.472,291.303,100087.386,
2004-06-01 10:40:00,293.650,51.345,292.472,99769.944,291.361,100087.340,
2004-06-01 10:45:00,293.370,48.532,292.533,99769.417,291.385,100087.308,
2004-06-01 10:50:00,293.762,53.415,292.594,99768.889,291.440,100087.262,
2004-06-01 10:55:00,293.482,50.078,292.655,99768.361,291.463,100087.231,
2004-06-01 11:00:00,293.861,54.814,292.715,99767.833,291.512,100087.187,
2004-06-01 11:05:00,293.608,52.187,292.812,99766.264,291.571,100087.095,
