cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,293.810,44.842,287.334,99731.472,292.265,100085.281,
2004-06-01 00:10:00,292.877,32.949,287.334,99729.111,291.895,100085.432,
2004-06-01 00:15:00,293.191,35.500,287.334,99726.750,291.938,100085.408,
2004-06-01 00:20:00,293.537,38.512,287.334,99724.389,292.059,100085.300,
2004-06-01 00:25:00,293.690,39.409,287.334,99722.028,292.153,100085.229,
2004-06-01 00:30:00,293.743,39.222,287.334,99719.667,292.231,100085.139,
2004-06-01 00:35:00,293.585,36.688,287.333,99717.306,292.058,100085.404,
2004-06-01 00:40:00,293.192,31.521,287.333,99714.944,291.664,100085.876,
2004-06-01 00:45:00,292.716,25.447,287.333,99712.583,291.239,100086.343,
2004-06-01 00:50:00,292.372,20.939,287.333,99710.222,290.904,100086.719,
2004-06-01 00:55:00,292.149,16.159,287.333,99707.861,290.636,100087.041,
2004-06-01 01:00:00,291.978,13.690,287.333,99705.500,290.413,100087.309,
2004-06-01 01:05:00,291.851,11.749,287.342,99703.931,290.259,100087.491,
2004-06-01 01:10:00,291.762,10.270,287.351,99702.361,290.135,100087.646,
2004-06-01 01:15:00,291.656,8.616,287.360,99700.792,290.009,100087.805,
2004-06-01 01:20:00,291.542,6.888,287.369,99699.222,289.882,100087.961,
2004-06-01 01:25:00,291.410,4.970,287.378,99697.653,289.748,100088.123,
2004-06-01 01:30:00,291.285,3.156,287.387,99696.083,289.618,100088.279,
2004-06-01 01:35:00,291.160,1.342,287.396,99694.514,289.486,100088.438,
2004-06-01 01:40:00,291.044,0.239,287.405,99692.944,289.359,100088.591,
2004-06-01 01:45:00,290.928,0.239,287.414,99691.375,289.234,100088.745,
2004-06-01 01:50:00,290.823,0.239,287.423,99689.806,289.116,100088.892,
2004-06-01 01:55:00,290.716,0.060,287.432,99688.236,288.998,100089.039,
2004-06-01 02:00:00,290.613,0.060,287.441,99686.667,288.884,100089.181,
2004-06-01 02:05:00,290.547,0.060,287.444,99685.875,288.828,100089.237,
2004-06-01 02:10:00,290.530,0.060,287.446,99685.083,288.800,100089.274,
2004-06-01 02:15:00,290.516,0.060,287.448,99684.292,288.776,100089.307,
2004-06-01 02:20:00,290.495,0.060,287.450,99683.500,288.751,100089.340,
2004-06-01 02:25:00,290.457,0.060,287.453,99682.708,288.724,100089.373,
2004-06-01 02:30:00,290.423,0.060,287.455,99681.917,288.698,100089.404,
2004-06-01 02:35:00,290.386,0.060,287.457,99681.125,288.672,100089.433,
2004-06-01 02:40:00,290.357,0.060,287.460,99680.333,288.650,100089.460,
2004-06-01 02:45:00,290.324,0.060,287.462,99679.542,288.628,100089.486,
2004-06-01 02:50:00,290.298,0.060,287.464,99678.750,288.608,100089.510,
2004-06-01 02:55:00,290.268,0.060,287.466,99677.958,288.588,100089.532,
