cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,290.312,4.632,287.334,99731.472,288.224,100090.333,
2004-06-01 00:10:00,289.078,0.479,287.334,99729.111,287.710,100090.621,
2004-06-01 00:15:00,289.613,0.479,287.334,99726.750,287.771,100090.593,
2004-06-01 00:20:00,290.065,0.479,287.334,99724.389,287.834,100090.561,
2004-06-01 00:25:00,290.064,0.479,287.334,99722.028,287.837,100090.557,
2004-06-01 00:30:00,290.116,0.479,287.334,99719.667,287.835,100090.558,
2004-06-01 00:35:00,289.974,0.479,287.333,99717.306,287.813,100090.569,
2004-06-01 00:40:00,289.990,0.479,287.333,99714.944,287.809,100090.571,
2004-06-01 00:45:00,289.895,0.479,287.333,99712.583,287.798,100090.577,
2004-06-01 00:50:00,289.875,0.479,287.333,99710.222,287.793,100090.579,
2004-06-01 00:55:00,289.893,0.239,287.333,99707.861,287.792,100090.580,
2004-06-01 01:00:00,289.828,0.239,287.333,99705.500,287.785,100090.583,
2004-06-01 01:05:00,289.816,0.239,287.342,99703.931,287.788,100090.576,
2004-06-01 01:10:00,289.748,0.239,287.351,99702.361,287.789,100090.568,
2004-06-01 01:15:00,289.785,0.239,287.360,99700.792,287.798,100090.558,
2004-06-01 01:20:00,289.789,0.239,287.369,99699.222,287.803,100090.548,
2004-06-01 01:25:00,289.703,0.239,287.378,99697.653,287.804,100090.540,
2004-06-01 01:30:00,289.706,0.239,287.387,99696.083,287.810,100090.531,
2004-06-01 01:35:00,289.641,0.239,287.396,99694.514,287.810,100090.524,
2004-06-01 01:40:00,289.657,0.239,287.405,99692.944,287.817,100090.514,
2004-06-01 01:45:00,289.611,0.239,287.414,99691.375,287.820,100090.506,
2004-06-01 01:50:00,289.633,0.239,287.423,99689.806,287.829,100090.495,
2004-06-01 01:55:00,289.575,0.060,287.432,99688.236,287.834,100090.485,
2004-06-01 02:00:00,289.705,0.060,287.441,99686.667,287.847,100090.472,
2004-06-01 02:05:00,289.572,0.060,287.444,99685.875,287.842,100090.472,
2004-06-01 02:10:00,289.630,0.060,287.446,99685.083,287.848,100090.468,
2004-06-01 02:15:00,289.631,0.060,287.448,99684.292,287.845,100090.468,
2004-06-01 02:20:00,289.568,0.060,287.450,99683.500,287.846,100090.466,
2004-06-01 02:25:00,289.660,0.060,287.453,99682.708,287.849,100090.463,
2004-06-01 02:30:00,289.529,0.060,287.455,99681.917,287.844,100090.463,
2004-06-01 02:35:00,289.581,0.060,287.457,99681.125,287.845,100090.461,
2004-06-01 02:40:00,289.487,0.060,287.460,99680.333,287.839,100090.462,
2004-06-01 02:45:00,289.487,0.060,287.462,99679.542,287.841,100090.459,
2004-06-01 02:50:00,289.561,0.060,287.464,99678.750,287.843,100090.457,
2004-06-01 02:55:00,289.422,0.060,287.466,99677.958,287.841,100090.456,
2004-06-01 03:00:00,289.563,0.060,287.469,99677.167,287.850,100090.451,
2004-06-01 03:05:00,289.498,0.060,287.468,99678.042,287.841,100090.455,
2004-06-01 03:10:00,289.474,0.060,287.467,99678.917,287.838,100090.457,
