cur_datetime,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,0.000,287.334,99731.472,288.718,100089.683,
2004-06-01 00:10:00,0.000,287.334,99729.111,288.371,100089.871,
2004-06-01 00:15:00,0.000,287.334,99726.750,288.619,100089.741,
2004-06-01 00:20:00,0.000,287.334,99724.389,288.853,100089.601,
2004-06-01 00:25:00,0.000,287.334,99722.028,288.881,100089.563,
2004-06-01 00:30:00,0.000,287.334,99719.667,288.856,100089.548,
2004-06-01 00:35:00,0.000,287.333,99717.306,288.841,100089.532,
2004-06-01 00:40:00,0.000,287.333,99714.944,288.870,100089.484,
2004-06-01 00:45:00,0.000,287.333,99712.583,288.900,100089.435,
2004-06-01 00:50:00,0.000,287.333,99710.222,288.946,100089.368,
2004-06-01 00:55:00,0.000,287.333,99707.861,288.990,100089.300,
2004-06-01 01:00:00,0.000,287.333,99705.500,289.053,100089.208,
2004-06-01 01:05:00,0.000,287.342,99703.931,289.006,100089.277,
2004-06-01 01:10:00,0.000,287.351,99702.361,288.932,100089.359,
2004-06-01 01:15:00,0.000,287.360,99700.792,288.851,100089.445,
2004-06-01 01:20:00,0.000,287.369,99699.222,288.795,100089.512,
2004-06-01 01:25:00,0.000,287.378,99697.653,288.737,100089.580,
2004-06-01 01:30:00,0.000,287.387,99696.083,288.689,100089.639,
2004-06-01 01:35:00,0.000,287.396,99694.514,288.634,100089.701,
2004-06-01 01:40:00,0.000,287.405,99692.944,288.590,100089.755,
2004-06-01 01:45:00,0.000,287.414,99691.375,288.540,100089.811,
2004-06-01 01:50:00,0.000,287.423,99689.806,288.500,100089.858,
2004-06-01 01:55:00,0.000,287.432,99688.236,288.455,100089.908,
2004-06-01 02:00:00,0.000,287.441,99686.667,288.421,100089.950,
2004-06-01 02:05:00,0.000,287.444,99685.875,288.409,100089.953,
2004-06-01 02:10:00,0.000,287.446,99685.083,288.416,100089.944,
2004-06-01 02:15:00,0.000,287.448,99684.292,288.415,100089.941,
2004-06-01 02:20:00,0.000,287.450,99683.500,288.418,100089.936,
2004-06-01 02:25:00,0.000,287.453,99682.708,288.411,100089.935,
2004-06-01 02:30:00,0.000,287.455,99681.917,288.413,100089.931,
2004-06-01 02:35:00,0.000,287.457,99681.125,288.407,100089.930,
2004-06-01 02:40:00,0.000,287.460,99680.333,288.409,100089.926,
2004-06-01 02:45:00,0.000,287.462,99679.542,288.404,100089.925,
2004-06-01 02:50:00,0.000,287.464,99678.750,288.406,100089.921,
2004-06-01 02:55:00,0.000,287.466,99677.958,288.401,100089.920,
2004-06-01 03:00:00,0.000,287.469,99677.167,288.404,100089.916,
2004-06-01 03:05:00,0.000,287.468,99678.042,288.418,100089.886,
2004-06-01 03:10:00,0.000,287.467,99678.917,288.449,100089.847,
2004-06-01 03:15:00,0.000,287.466,99679.792,288.472,100089.812,
2004-06-01 03:20:00,0.000,287.465,99680.667,288.502,100089.773,
2004-06-01 03:25:00,0.000,287.464,99681.542,288.523,100089.738,
2004-06-01 03:30:00,0.000,287.463,99682.417,288.553,100089.698,
2004-06-01 03:35:00,0.000,287.462,99683.292,288.576,100089.662,
2004-06-01 03:40:00,0.000,287.462,99684.167,288.608,100089.621,
2004-06-01 03:45:00,0.000,287.461,99685.042,288.631,100089.582,
2004-06-01 03:50:00,0.000,287.460,99685.917,288.664,100089.540,
2004-06-01 03:55:00,0.000,287.459,99686.792,288.689,100089.500,
2004-06-01 04:00:00,0.000,287.458,99687.667,288.724,100089.456,
2004-06-01 04:05:00,0.000,287.467,99687.667,288.663,100089.544,
2004-06-01 04:10:00,0.000,287.476,99687.667,288.585,100089.637,
2004-06-01 04:15:00,0.000,287.486,99687.667,288.510,100089.718,
2004-06-01 04:20:00,0.000,287.495,99687.667,288.465,100089.777,
2004-06-01 04:25:00,0.000,287.504,99687.667,288.423,100089.827,
2004-06-01 04:30:00,0.000,287.513,99687.667,288.397,100089.864,
2004-06-01 04:35:00,0.000,287.523,99687.667,288.365,100089.900,
2004-06-01 04:40:00,0.000,287.532,99687.667,288.347,100089.927,
2004-06-01 04:45:00,0.000,287.541,99687.667,288.322,100089.954,
2004-06-01 04:50:00,0.000,287.550,99687.667,288.309,100089.973,
2004-06-01 04:55:00,0.000,287.559,99687.667,288.289,100089.994,
2004-06-01 05:00:00,1.800,287.569,99687.667,288.281,100090.007,
2004-06-01 05:05:00,1.149,287.585,99689.319,288.245,100090.055,
2004-06-01 05:10:00,1.610,287.600,99690.972,288.210,100090.100,
2004-06-01 05:15:00,0.896,287.616,99692.625,288.172,100090.142,
2004-06-01 05:20:00,0.755,287.632,99694.278,288.149,100090.173,
2004-06-01 05:25:00,0.574,287.648,99695.931,288.117,100090.209,
2004-06-01 05:30:00,0.000,287.664,99697.583,288.188,100090.196,
2004-06-01 05:35:00,0.000,287.680,99699.236,288.216,100090.196,
2004-06-01 05:40:00,0.000,287.695,99700.889,288.271,100090.184,
2004-06-01 05:45:00,0.000,287.711,99702.542,288.258,100090.201,
2004-06-01 05:50:00,0.000,287.727,99704.194,288.294,100090.197,
2004-06-01 05:55:00,0.000,287.743,99705.847,288.275,100090.217,
2004-06-01 06:00:00,1.217,287.759,99707.500,288.308,100090.212,
2004-06-01 06:05:00,0.000,287.805,99709.000,288.279,100090.246,
2004-06-01 06:10:00,0.180,287.850,99710.500,288.269,100090.273,
2004-06-01 06:15:00,0.000,287.896,99712.000,288.197,100090.330,
2004-06-01 06:20:00,0.000,287.942,99713.500,288.185,100090.360,
2004-06-01 06:25:00,0.000,287.988,99715.000,288.115,100090.416,
2004-06-01 06:30:00,0.000,288.033,99716.500,288.106,100090.445,
2004-06-01 06:35:00,0.000,288.079,99718.000,288.036,100090.501,
2004-06-01 06:40:00,0.000,288.125,99719.500,288.028,100090.528,
2004-06-01 06:45:00,0.000,288.170,99721.000,287.957,100090.584,
2004-06-01 06:50:00,0.000,288.216,99722.500,287.951,100090.610,
2004-06-01 06:55:00,0.000,288.262,99724.000,287.880,100090.665,
2004-06-01 07:00:00,1.280,288.308,99725.500,287.875,100090.690,
2004-06-01 07:05:00,0.881,288.370,99729.069,287.815,100090.732,
2004-06-01 07:10:00,1.239,288.432,99732.639,287.836,100090.735,
2004-06-01 07:15:00,0.931,288.495,99736.208,287.797,100090.763,
2004-06-01 07:20:00,0.466,288.557,99739.778,287.830,100090.757,
2004-06-01 07:25:00,0.631,288.620,99743.347,287.795,100090.781,
2004-06-01 07:30:00,0.000,288.682,99746.917,287.835,100090.770,
2004-06-01 07:35:00,0.461,288.745,99750.486,287.800,100090.792,
2004-06-01 07:40:00,0.000,288.807,99754.056,287.845,100090.778,
2004-06-01 07:45:00,0.000,288.869,99757.625,287.814,100090.797,
2004-06-01 07:50:00,0.000,288.932,99761.194,287.858,100090.781,
2004-06-01 07:55:00,0.000,288.994,99764.764,287.829,100090.798,
2004-06-01 08:00:00,0.000,289.057,99768.333,287.877,100090.779,
2004-06-01 08:05:00,0.000,289.178,99768.653,287.891,100090.726,
2004-06-01 08:10:00,0.000,289.299,99768.972,288.008,100090.619,
2004-06-01 08:15:00,0.000,289.420,99769.292,288.047,100090.547,
2004-06-01 08:20:00,0.000,289.541,99769.611,288.167,100090.437,
2004-06-01 08:25:00,0.000,289.663,99769.931,288.203,100090.366,
2004-06-01 08:30:00,0.000,289.784,99770.250,288.326,100090.254,
2004-06-01 08:35:00,0.000,289.905,99770.569,288.365,100090.179,
2004-06-01 08:40:00,0.000,290.026,99770.889,288.491,100090.065,
2004-06-01 08:45:00,0.000,290.148,99771.208,288.531,100089.989,
2004-06-01 08:50:00,0.000,290.269,99771.528,288.659,100089.872,
2004-06-01 08:55:00,0.000,290.390,99771.847,288.700,100089.794,
2004-06-01 09:00:00,0.000,290.511,99772.167,288.830,100089.676,
2004-06-01 09:05:00,0.000,290.634,99772.333,288.886,100089.575,
2004-06-01 09:10:00,0.000,290.757,99772.500,289.050,100089.422,
2004-06-01 09:15:00,0.000,290.879,99772.667,289.133,100089.304,
2004-06-01 09:20:00,0.000,291.002,99772.833,289.304,100089.146,
2004-06-01 09:25:00,0.000,291.125,99773.000,289.386,100089.027,
2004-06-01 09:30:00,0.000,291.248,99773.167,289.554,100088.870,
2004-06-01 09:35:00,0.000,291.370,99773.333,289.635,100088.751,
2004-06-01 09:40:00,0.000,291.493,99773.500,289.801,100088.594,
2004-06-01 09:45:00,0.000,291.616,99773.667,289.881,100088.475,
2004-06-01 09:50:00,0.000,291.739,99773.833,290.046,100088.319,
2004-06-01 09:55:00,0.000,291.861,99774.000,290.125,100088.199,
2004-06-01 10:00:00,0.000,291.984,99774.167,290.289,100088.043,
2004-06-01 10:05:00,0.000,292.045,99773.639,290.325,100087.994,
2004-06-01 10:10:00,0.000,292.106,99773.111,290.401,100087.937,
2004-06-01 10:15:00,0.000,292.167,99772.583,290.386,100087.923,
2004-06-01 10:20:00,0.000,292.228,99772.056,290.457,100087.871,
2004-06-01 10:25:00,0.000,292.289,99771.528,290.451,100087.853,
2004-06-01 10:30:00,0.000,292.350,99771.000,290.523,100087.800,
2004-06-01 10:35:00,0.000,292.411,99770.472,290.514,100087.782,
2004-06-01 10:40:00,0.000,292.472,99769.944,290.584,100087.731,
2004-06-01 10:45:00,0.000,292.533,99769.417,290.574,100087.713,
2004-06-01 10:50:00,0.000,292.594,99768.889,290.642,100087.662,
2004-06-01 10:55:00,0.000,292.655,99768.361,290.630,100087.645,
2004-06-01 11:00:00,0.000,292.715,99767.833,290.697,100087.594,
2004-06-01 11:05:00,0.000,292.812,99766.264,290.723,100087.515,
2004-06-01 11:10:00,0.000,292.909,99764.694,290.854,100087.383,
2004-06-01 11:15:00,0.000,293.005,99763.125,290.915,100087.280,
2004-06-01 11:20:00,0.000,293.102,99761.556,291.049,100087.146,
2004-06-01 11:25:00,0.000,293.198,99759.986,291.106,100087.046,
2004-06-01 11:30:00,0.000,293.295,99758.417,291.236,100086.914,
2004-06-01 11:35:00,0.000,293.391,99756.847,291.294,100086.813,
2004-06-01 11:40:00,0.000,293.488,99755.278,291.424,100086.681,
2004-06-01 11:45:00,0.000,293.584,99753.708,291.482,100086.580,
2004-06-01 11:50:00,0.000,293.681,99752.139,291.608,100086.449,
2004-06-01 11:55:00,0.000,293.777,99750.569,291.666,100086.348,
2004-06-01 12:00:00,0.000,293.874,99749.000,291.790,100086.219,
2004-06-01 12:05:00,0.609,293.961,99745.653,291.849,100086.115,
2004-06-01 12:10:00,0.000,294.048,99742.306,291.977,100085.982,
2004-06-01 12:15:00,0.000,294.136,99738.958,292.037,100085.877,
2004-06-01 12:20:00,0.000,294.223,99735.611,292.161,100085.745,
2004-06-01 12:25:00,0.000,294.310,99732.264,292.223,100085.641,
2004-06-01 12:30:00,0.000,294.397,99728.917,292.346,100085.509,
2004-06-01 12:35:00,0.000,294.485,99725.569,292.409,100085.404,
2004-06-01 12:40:00,0.000,294.572,99722.222,292.529,100085.274,
2004-06-01 12:45:00,0.000,294.659,99718.875,292.590,100085.170,
2004-06-01 12:50:00,0.000,294.746,99715.528,292.710,100085.041,
2004-06-01 12:55:00,0.000,294.834,99712.181,292.772,100084.936,
2004-06-01 13:00:00,0.000,294.921,99708.833,292.890,100084.807,
2004-06-01 13:05:00,0.000,294.933,99706.833,292.921,100084.750,
2004-06-01 13:10:00,0.000,294.946,99704.833,293.052,100084.652,
2004-06-01 13:15:00,0.000,294.958,99702.833,293.164,100084.559,
2004-06-01 13:20:00,0.000,294.971,99700.833,293.328,100084.439,
2004-06-01 13:25:00,0.000,294.983,99698.833,293.434,100084.343,
2004-06-01 13:30:00,0.000,294.995,99696.833,293.572,100084.234,
2004-06-01 13:35:00,0.000,295.008,99694.833,293.658,100084.148,
2004-06-01 13:40:00,0.000,295.020,99692.833,293.773,100084.050,
2004-06-01 13:45:00,0.000,295.032,99690.833,293.840,100083.973,
2004-06-01 13:50:00,0.000,295.045,99688.833,293.936,100083.886,
2004-06-01 13:55:00,0.000,295.057,99686.833,293.988,100083.818,
2004-06-01 14:00:00,0.000,295.070,99684.833,294.071,100083.738,
2004-06-01 14:05:00,0.000,294.960,99685.083,294.003,100083.850,
2004-06-01 14:10:00,0.000,294.851,99685.333,293.958,100083.968,
2004-06-01 14:15:00,0.000,294.742,99685.583,293.876,100084.095,
2004-06-01 14:20:00,0.000,294.632,99685.833,293.836,100084.196,
2004-06-01 14:25:00,0.000,294.523,99686.083,293.755,100084.312,
2004-06-01 14:30:00,0.000,294.414,99686.333,293.719,100084.404,
2004-06-01 14:35:00,0.000,294.305,99686.583,293.641,100084.512,
