cur_datetime,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,307.384,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,75.299,287.334,99731.472,289.026,100089.548,
2004-06-01 00:10:00,74.633,287.334,99729.111,288.346,100089.880,
2004-06-01 00:15:00,74.682,287.334,99726.750,288.434,100089.830,
2004-06-01 00:20:00,74.810,287.334,99724.389,288.567,100089.743,
2004-06-01 00:25:00,74.779,287.334,99722.028,288.614,100089.699,
2004-06-01 00:30:00,74.754,287.334,99719.667,288.635,100089.660,
2004-06-01 00:35:00,74.690,287.333,99717.306,288.646,100089.630,
2004-06-01 00:40:00,74.672,287.333,99714.944,288.682,100089.578,
2004-06-01 00:45:00,74.643,287.333,99712.583,288.723,100089.524,
2004-06-01 00:50:00,74.644,287.333,99710.222,288.780,100089.452,
2004-06-01 00:55:00,74.636,287.333,99707.861,288.839,100089.376,
2004-06-01 01:00:00,74.656,287.333,99705.500,288.914,100089.279,
2004-06-01 01:05:00,74.639,287.342,99703.931,288.885,100089.337,
2004-06-01 01:10:00,74.609,287.351,99702.361,288.814,100089.418,
2004-06-01 01:15:00,74.542,287.360,99700.792,288.732,100089.504,
2004-06-01 01:20:00,74.501,287.369,99699.222,288.671,100089.573,
2004-06-01 01:25:00,74.445,287.378,99697.653,288.617,100089.640,
2004-06-01 01:30:00,74.413,287.387,99696.083,288.572,100089.698,
2004-06-01 01:35:00,74.363,287.396,99694.514,288.523,100089.757,
2004-06-01 01:40:00,74.329,287.405,99692.944,288.481,100089.809,
2004-06-01 01:45:00,74.277,287.414,99691.375,288.437,100089.862,
2004-06-01 01:50:00,74.241,287.423,99689.806,288.399,100089.909,
2004-06-01 01:55:00,74.187,287.432,99688.236,288.360,100089.956,
2004-06-01 02:00:00,74.149,287.441,99686.667,288.327,100089.997,
2004-06-01 02:05:00,74.102,287.444,99685.875,288.321,100089.997,
2004-06-01 02:10:00,74.081,287.446,99685.083,288.330,100089.988,
2004-06-01 02:15:00,74.045,287.448,99684.292,288.337,100089.980,
2004-06-01 02:20:00,74.026,287.450,99683.500,288.344,100089.973,
2004-06-01 02:25:00,73.988,287.453,99682.708,288.345,100089.969,
2004-06-01 02:30:00,73.963,287.455,99681.917,288.349,100089.963,
2004-06-01 02:35:00,73.919,287.457,99681.125,288.349,100089.959,
2004-06-01 02:40:00,73.892,287.460,99680.333,288.354,100089.953,
2004-06-01 02:45:00,73.849,287.462,99679.542,288.355,100089.950,
2004-06-01 02:50:00,73.825,287.464,99678.750,288.360,100089.944,
2004-06-01 02:55:00,73.784,287.466,99677.958,288.361,100089.940,
2004-06-01 03:00:00,126.172,287.469,99677.167,288.366,100089.935,
2004-06-01 03:05:00,126.244,287.468,99678.042,288.516,100089.841,
2004-06-01 03:10:00,126.278,287.467,99678.917,288.577,100089.784,
2004-06-01 03:15:00,126.221,287.466,99679.792,288.584,100089.755,
2004-06-01 03:20:00,126.200,287.465,99680.667,288.596,100089.725,
2004-06-01 03:25:00,126.167,287.464,99681.542,288.620,100089.690,
2004-06-01 03:30:00,126.180,287.463,99682.417,288.656,100089.647,
2004-06-01 03:35:00,126.162,287.462,99683.292,288.689,100089.605,
2004-06-01 03:40:00,126.178,287.462,99684.167,288.725,100089.562,
2004-06-01 03:45:00,126.162,287.461,99685.042,288.756,100089.520,
2004-06-01 03:50:00,126.182,287.460,99685.917,288.791,100089.476,
2004-06-01 03:55:00,126.173,287.459,99686.792,288.823,100089.433,
2004-06-01 04:00:00,126.194,287.458,99687.667,288.860,100089.388,
2004-06-01 04:05:00,126.135,287.467,99687.667,288.804,100089.475,
2004-06-01 04:10:00,126.071,287.476,99687.667,288.719,100089.571,
2004-06-01 04:15:00,125.973,287.486,99687.667,288.641,100089.653,
2004-06-01 04:20:00,125.930,287.495,99687.667,288.591,100089.713,
2004-06-01 04:25:00,125.866,287.504,99687.667,288.552,100089.762,
2004-06-01 04:30:00,125.837,287.513,99687.667,288.524,100089.801,
2004-06-01 04:35:00,125.771,287.523,99687.667,288.494,100089.837,
2004-06-01 04:40:00,125.737,287.532,99687.667,288.470,100089.866,
2004-06-01 04:45:00,125.669,287.541,99687.667,288.446,100089.892,
2004-06-01 04:50:00,125.642,287.550,99687.667,288.428,100089.914,
2004-06-01 04:55:00,125.585,287.559,99687.667,288.409,100089.934,
2004-06-01 05:00:00,555.707,287.569,99687.667,288.396,100089.949,
2004-06-01 05:05:00,524.850,287.585,99689.319,289.351,100089.524,
2004-06-01 05:10:00,526.751,287.600,99690.972,290.812,100088.880,
2004-06-01 05:15:00,530.835,287.616,99692.625,291.925,100088.409,
2004-06-01 05:20:00,133.338,287.632,99694.278,291.911,100088.344,
2004-06-01 05:25:00,528.103,287.648,99695.931,289.761,100089.291,
2004-06-01 05:30:00,132.692,287.664,99697.583,290.609,100089.040,
2004-06-01 05:35:00,526.375,287.680,99699.236,289.314,100089.597,
2004-06-01 05:40:00,131.299,287.695,99700.889,289.323,100089.654,
2004-06-01 05:45:00,525.419,287.711,99702.542,288.555,100090.021,
2004-06-01 05:50:00,127.900,287.727,99704.194,289.336,100089.704,
