cur_datetime,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,2.601,287.334,99731.472,288.697,100089.692,
2004-06-01 00:10:00,1.494,287.334,99729.111,288.274,100089.918,
2004-06-01 00:15:00,1.886,287.334,99726.750,288.339,100089.878,
2004-06-01 00:20:00,2.309,287.334,99724.389,288.425,100089.813,
2004-06-01 00:25:00,2.260,287.334,99722.028,288.453,100089.779,
2004-06-01 00:30:00,2.281,287.334,99719.667,288.479,100089.738,
2004-06-01 00:35:00,2.160,287.333,99717.306,288.494,100089.706,
2004-06-01 00:40:00,2.179,287.333,99714.944,288.531,100089.654,
2004-06-01 00:45:00,2.117,287.333,99712.583,288.567,100089.602,
2004-06-01 00:50:00,2.160,287.333,99710.222,288.623,100089.531,
2004-06-01 00:55:00,2.127,287.333,99707.861,288.677,100089.457,
2004-06-01 01:00:00,2.101,287.333,99705.500,288.752,100089.360,
2004-06-01 01:05:00,1.989,287.342,99703.931,288.725,100089.416,
2004-06-01 01:10:00,1.929,287.351,99702.361,288.660,100089.494,
2004-06-01 01:15:00,1.737,287.360,99700.792,288.577,100089.580,
2004-06-01 01:20:00,1.671,287.369,99699.222,288.518,100089.650,
2004-06-01 01:25:00,1.542,287.378,99697.653,288.458,100089.719,
2004-06-01 01:30:00,1.514,287.387,99696.083,288.413,100089.776,
2004-06-01 01:35:00,1.396,287.396,99694.514,288.362,100089.837,
2004-06-01 01:40:00,1.370,287.405,99692.944,288.322,100089.888,
2004-06-01 01:45:00,1.256,287.414,99691.375,288.275,100089.943,
2004-06-01 01:50:00,1.236,287.423,99689.806,288.239,100089.989,
2004-06-01 01:55:00,1.128,287.432,99688.236,288.197,100090.037,
2004-06-01 02:00:00,1.072,287.441,99686.667,288.166,100090.077,
2004-06-01 02:05:00,0.985,287.444,99685.875,288.155,100090.080,
2004-06-01 02:10:00,1.011,287.446,99685.083,288.165,100090.070,
2004-06-01 02:15:00,0.945,287.448,99684.292,288.168,100090.065,
2004-06-01 02:20:00,0.970,287.450,99683.500,288.177,100090.056,
2004-06-01 02:25:00,0.889,287.453,99682.708,288.175,100090.053,
2004-06-01 02:30:00,0.909,287.455,99681.917,288.182,100090.046,
2004-06-01 02:35:00,0.829,287.457,99681.125,288.179,100090.044,
2004-06-01 02:40:00,0.857,287.460,99680.333,288.186,100090.037,
2004-06-01 02:45:00,0.785,287.462,99679.542,288.184,100090.035,
2004-06-01 02:50:00,0.812,287.464,99678.750,288.191,100090.028,
2004-06-01 02:55:00,0.744,287.466,99677.958,288.189,100090.026,
2004-06-01 03:00:00,0.880,287.469,99677.167,288.196,100090.020,
2004-06-01 03:05:00,0.875,287.468,99678.042,288.212,100089.990,
2004-06-01 03:10:00,0.934,287.467,99678.917,288.247,100089.949,
2004-06-01 03:15:00,0.898,287.466,99679.792,288.273,100089.912,
2004-06-01 03:20:00,0.955,287.465,99680.667,288.310,100089.870,
2004-06-01 03:25:00,0.910,287.464,99681.542,288.335,100089.833,
2004-06-01 03:30:00,0.965,287.463,99682.417,288.370,100089.790,
2004-06-01 03:35:00,0.920,287.462,99683.292,288.396,100089.752,
2004-06-01 03:40:00,0.976,287.462,99684.167,288.433,100089.708,
2004-06-01 03:45:00,0.931,287.461,99685.042,288.459,100089.669,
2004-06-01 03:50:00,0.989,287.460,99685.917,288.498,100089.624,
2004-06-01 03:55:00,0.943,287.459,99686.792,288.526,100089.582,
2004-06-01 04:00:00,1.390,287.458,99687.667,288.565,100089.536,
2004-06-01 04:05:00,1.563,287.467,99687.667,288.514,100089.618,
2004-06-01 04:10:00,1.562,287.476,99687.667,288.442,100089.708,
2004-06-01 04:15:00,1.448,287.486,99687.667,288.362,100089.791,
2004-06-01 04:20:00,1.461,287.495,99687.667,288.312,100089.852,
2004-06-01 04:25:00,1.401,287.504,99687.667,288.265,100089.905,
2004-06-01 04:30:00,1.435,287.513,99687.667,288.237,100089.944,
2004-06-01 04:35:00,1.376,287.523,99687.667,288.203,100089.982,
2004-06-01 04:40:00,1.405,287.532,99687.667,288.183,100090.009,
2004-06-01 04:45:00,1.343,287.541,99687.667,288.154,100090.038,
2004-06-01 04:50:00,1.373,287.550,99687.667,288.140,100090.058,
2004-06-01 04:55:00,1.309,287.559,99687.667,288.116,100090.080,
2004-06-01 05:00:00,1.810,287.569,99687.667,288.107,100090.094,
2004-06-01 05:05:00,2.363,287.585,99689.319,288.066,100090.145,
2004-06-01 05:10:00,2.402,287.600,99690.972,288.034,100090.188,
2004-06-01 05:15:00,2.343,287.616,99692.625,287.993,100090.231,
2004-06-01 05:20:00,2.384,287.632,99694.278,287.972,100090.261,
2004-06-01 05:25:00,2.334,287.648,99695.931,287.939,100090.298,
