cur_datetime,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,121.451,287.334,99733.833,292.966,100086.325,
2004-06-01 00:05:00,29.645,287.334,99731.472,288.284,100090.307,
2004-06-01 00:10:00,29.389,287.334,99729.111,287.730,100090.611,
2004-06-01 00:15:00,29.411,287.334,99726.750,287.805,100090.576,
2004-06-01 00:20:00,29.442,287.334,99724.389,287.883,100090.537,
2004-06-01 00:25:00,29.415,287.334,99722.028,287.891,100090.531,
2004-06-01 00:30:00,29.397,287.334,99719.667,287.886,100090.533,
2004-06-01 00:35:00,29.353,287.333,99717.306,287.863,100090.544,
2004-06-01 00:40:00,29.332,287.333,99714.944,287.859,100090.546,
2004-06-01 00:45:00,29.297,287.333,99712.583,287.849,100090.551,
2004-06-01 00:50:00,29.273,287.333,99710.222,287.846,100090.553,
2004-06-01 00:55:00,29.256,287.333,99707.861,287.846,100090.553,
2004-06-01 01:00:00,29.230,287.333,99705.500,287.840,100090.556,
2004-06-01 01:05:00,29.212,287.342,99703.931,287.843,100090.548,
2004-06-01 01:10:00,29.186,287.351,99702.361,287.845,100090.540,
2004-06-01 01:15:00,29.177,287.360,99700.792,287.854,100090.529,
2004-06-01 01:20:00,29.164,287.369,99699.222,287.861,100090.519,
2004-06-01 01:25:00,29.139,287.378,99697.653,287.862,100090.511,
2004-06-01 01:30:00,29.128,287.387,99696.083,287.867,100090.502,
2004-06-01 01:35:00,29.110,287.396,99694.514,287.869,100090.495,
2004-06-01 01:40:00,29.104,287.405,99692.944,287.876,100090.484,
2004-06-01 01:45:00,29.090,287.414,99691.375,287.880,100090.476,
2004-06-01 01:50:00,29.086,287.423,99689.806,287.889,100090.465,
2004-06-01 01:55:00,29.071,287.432,99688.236,287.895,100090.455,
2004-06-01 02:00:00,29.083,287.441,99686.667,287.909,100090.442,
2004-06-01 02:05:00,29.060,287.444,99685.875,287.905,100090.441,
2004-06-01 02:10:00,29.061,287.446,99685.083,287.910,100090.437,
2004-06-01 02:15:00,29.057,287.448,99684.292,287.908,100090.437,
2004-06-01 02:20:00,29.042,287.450,99683.500,287.908,100090.434,
2004-06-01 02:25:00,29.050,287.453,99682.708,287.912,100090.431,
2004-06-01 02:30:00,29.024,287.455,99681.917,287.907,100090.432,
2004-06-01 02:35:00,29.022,287.457,99681.125,287.908,100090.430,
2004-06-01 02:40:00,28.999,287.460,99680.333,287.902,100090.430,
2004-06-01 02:45:00,28.989,287.462,99679.542,287.905,100090.428,
2004-06-01 02:50:00,28.989,287.464,99678.750,287.907,100090.425,
2004-06-01 02:55:00,28.961,287.466,99677.958,287.905,100090.424,
2004-06-01 03:00:00,49.754,287.469,99677.167,287.914,100090.418,
2004-06-01 03:05:00,49.750,287.468,99678.042,287.961,100090.397,
2004-06-01 03:10:00,49.738,287.467,99678.917,287.968,100090.392,
2004-06-01 03:15:00,49.703,287.466,99679.792,287.954,100090.399,
2004-06-01 03:20:00,49.711,287.465,99680.667,287.951,100090.402,
2004-06-01 03:25:00,49.692,287.464,99681.542,287.942,100090.407,
2004-06-01 03:30:00,49.667,287.463,99682.417,287.936,100090.410,
2004-06-01 03:35:00,49.646,287.462,99683.292,287.929,100090.414,
2004-06-01 03:40:00,49.625,287.462,99684.167,287.923,100090.418,
2004-06-01 03:45:00,49.606,287.461,99685.042,287.917,100090.421,
2004-06-01 03:50:00,49.590,287.460,99685.917,287.913,100090.424,
2004-06-01 03:55:00,49.572,287.459,99686.792,287.908,100090.427,
2004-06-01 04:00:00,49.557,287.458,99687.667,287.904,100090.429,
2004-06-01 04:05:00,49.538,287.467,99687.667,287.906,100090.422,
2004-06-01 04:10:00,49.525,287.476,99687.667,287.914,100090.411,
2004-06-01 04:15:00,49.510,287.486,99687.667,287.919,100090.402,
2004-06-01 04:20:00,49.503,287.495,99687.667,287.927,100090.391,
2004-06-01 04:25:00,49.490,287.504,99687.667,287.932,100090.381,
2004-06-01 04:30:00,49.485,287.513,99687.667,287.940,100090.370,
2004-06-01 04:35:00,49.472,287.523,99687.667,287.945,100090.361,
2004-06-01 04:40:00,49.469,287.532,99687.667,287.953,100090.350,
2004-06-01 04:45:00,49.452,287.541,99687.667,287.964,100090.338,
2004-06-01 04:50:00,49.489,287.550,99687.667,287.986,100090.321,
2004-06-01 04:55:00,49.489,287.559,99687.667,287.991,100090.312,
2004-06-01 05:00:00,225.890,287.569,99687.667,287.995,100090.302,
2004-06-01 05:05:00,52.857,287.585,99689.319,288.442,100090.073,
2004-06-01 05:10:00,52.941,287.600,99690.972,288.111,100090.211,
2004-06-01 05:15:00,52.929,287.616,99692.625,288.008,100090.258,
