cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:05:00,0.000,1.353,-10.818,0.000,13.235,14.987,18.765,17.916,24.878,24.742,
2004-06-01 00:10:00,0.000,1.491,-12.065,0.000,12.568,14.882,18.821,17.792,24.857,24.722,
2004-06-01 00:15:00,0.000,1.756,-13.247,0.000,11.904,14.764,18.773,17.755,24.836,24.702,
2004-06-01 00:20:00,0.000,2.187,-14.391,0.000,11.869,14.639,18.739,17.704,24.814,24.681,
2004-06-01 00:25:00,0.000,2.570,-15.483,0.000,11.119,14.504,18.704,17.655,24.792,24.659,
2004-06-01 00:30:00,0.000,3.072,-16.547,0.000,10.832,14.363,18.665,17.607,24.770,24.638,
2004-06-01 00:35:00,0.000,3.472,-17.566,0.000,10.059,14.213,18.627,17.560,24.747,24.616,
2004-06-01 00:40:00,0.000,3.801,-18.539,0.000,9.133,14.054,18.587,17.515,24.726,24.592,
2004-06-01 00:45:00,0.000,4.178,-19.479,0.000,8.465,13.888,18.546,17.470,24.705,24.569,
2004-06-01 00:50:00,0.000,4.434,-20.374,0.000,7.639,13.713,18.505,17.427,24.683,24.545,
2004-06-01 00:55:00,0.000,4.341,-21.184,0.000,6.343,13.521,18.464,17.385,24.660,24.522,
2004-06-01 01:00:00,0.000,4.370,-21.953,0.000,5.485,13.320,18.423,17.345,24.637,24.499,
2004-06-01 01:05:00,0.000,5.345,-21.395,0.000,5.711,13.181,18.392,17.311,24.614,24.476,
2004-06-01 01:10:00,0.000,6.219,-20.976,0.000,5.931,13.068,18.362,17.279,24.592,24.455,
2004-06-01 01:15:00,0.000,7.023,-20.655,0.000,6.149,12.974,18.331,17.247,24.571,24.434,
2004-06-01 01:20:00,0.000,7.766,-20.414,0.000,6.365,12.896,18.303,17.218,24.550,24.413,
2004-06-01 01:25:00,0.000,8.939,-20.303,0.000,7.028,12.844,18.275,17.188,24.531,24.394,
2004-06-01 01:30:00,0.000,9.560,-20.215,0.000,7.244,12.796,18.248,17.160,24.512,24.376,
2004-06-01 01:35:00,0.000,10.144,-20.164,0.000,7.458,12.756,18.221,17.133,24.493,24.358,
2004-06-01 01:40:00,0.000,10.689,-20.149,0.000,7.670,12.722,18.196,17.107,24.475,24.340,
2004-06-01 01:45:00,0.000,11.201,-20.163,0.000,7.881,12.695,18.170,17.081,24.458,24.323,
2004-06-01 01:50:00,0.000,11.681,-20.202,0.000,8.090,12.672,18.146,17.056,24.440,24.307,
2004-06-01 01:55:00,0.000,11.860,-20.225,0.000,8.069,12.646,18.121,17.031,24.424,24.291,
2004-06-01 02:00:00,0.000,12.335,-20.290,0.000,8.292,12.628,18.097,17.008,24.408,24.275,
2004-06-01 02:05:00,0.000,12.251,-19.169,0.000,8.229,12.636,18.080,16.991,24.392,24.260,
2004-06-01 02:10:00,0.000,12.066,-18.111,0.000,8.166,12.656,18.064,16.977,24.375,24.247,
2004-06-01 02:15:00,0.000,11.807,-17.101,0.000,8.102,12.685,18.048,16.963,24.359,24.234,
2004-06-01 02:20:00,0.000,11.492,-16.127,0.000,8.038,12.722,18.035,16.951,24.344,24.222,
2004-06-01 02:25:00,0.000,11.131,-15.185,0.000,7.973,12.765,18.021,16.939,24.329,24.209,
2004-06-01 02:30:00,0.000,10.733,-14.269,0.000,7.909,12.812,18.009,16.929,24.315,24.197,
