cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,-26.083,-22.468,0.000,13.866,16.881,18.809,17.779,24.644,24.508,
2004-06-01 00:15:00,0.000,-25.184,-23.931,0.000,13.199,16.820,18.761,17.742,24.624,24.489,
2004-06-01 00:20:00,0.000,-25.284,-25.323,0.000,13.160,16.745,18.727,17.692,24.603,24.469,
2004-06-01 00:25:00,0.000,-24.119,-26.764,0.000,12.405,16.680,18.692,17.642,24.583,24.448,
2004-06-01 00:30:00,0.000,-23.734,-28.164,0.000,12.116,16.606,18.654,17.595,24.561,24.428,
2004-06-01 00:35:00,0.000,-22.471,-29.603,0.000,11.341,16.540,18.615,17.548,24.540,24.407,
2004-06-01 00:40:00,0.000,-20.926,-31.071,0.000,10.414,16.480,18.575,17.502,24.520,24.384,
2004-06-01 00:45:00,0.000,-19.826,-32.523,0.000,9.747,16.416,18.534,17.458,24.499,24.362,
2004-06-01 00:50:00,0.000,-18.396,-33.992,0.000,8.921,16.355,18.493,17.414,24.478,24.339,
2004-06-01 00:55:00,0.000,-16.043,-35.529,0.000,7.627,16.308,18.452,17.372,24.456,24.317,
2004-06-01 01:00:00,0.000,-14.494,-37.044,0.000,6.773,16.256,18.411,17.332,24.434,24.295,
2004-06-01 01:05:00,0.000,-14.575,-36.926,0.000,6.980,16.205,18.380,17.298,24.412,24.273,
2004-06-01 01:10:00,0.000,-14.634,-36.812,0.000,7.185,16.153,18.349,17.266,24.391,24.252,
2004-06-01 01:15:00,0.000,-14.674,-36.701,0.000,7.389,16.102,18.319,17.234,24.370,24.232,
2004-06-01 01:20:00,0.000,-14.696,-36.594,0.000,7.591,16.052,18.291,17.205,24.351,24.213,
2004-06-01 01:25:00,0.000,-15.466,-36.442,0.000,8.240,15.993,18.263,17.175,24.332,24.195,
2004-06-01 01:30:00,0.000,-15.405,-36.324,0.000,8.441,15.941,18.236,17.147,24.314,24.177,
2004-06-01 01:35:00,0.000,-15.341,-36.218,0.000,8.641,15.891,18.209,17.120,24.296,24.160,
2004-06-01 01:40:00,0.000,-15.266,-36.120,0.000,8.841,15.843,18.183,17.094,24.279,24.143,
2004-06-01 01:45:00,0.000,-15.181,-36.027,0.000,9.038,15.795,18.158,17.068,24.262,24.127,
2004-06-01 01:50:00,0.000,-15.084,-35.941,0.000,9.235,15.749,18.133,17.043,24.246,24.112,
2004-06-01 01:55:00,0.000,-14.652,-35.880,0.000,9.202,15.708,18.109,17.018,24.231,24.097,
2004-06-01 02:00:00,0.000,-14.583,-35.810,0.000,9.414,15.665,18.085,16.994,24.215,24.082,
2004-06-01 02:05:00,0.000,-14.174,-34.534,0.000,9.336,15.643,18.068,16.978,24.200,24.068,
2004-06-01 02:10:00,0.000,-13.850,-33.303,0.000,9.264,15.629,18.052,16.964,24.185,24.056,
2004-06-01 02:15:00,0.000,-13.584,-32.100,0.000,9.194,15.620,18.036,16.950,24.169,24.044,
2004-06-01 02:20:00,0.000,-13.362,-30.920,0.000,9.126,15.616,18.022,16.938,24.155,24.032,
2004-06-01 02:25:00,0.000,-13.176,-29.759,0.000,9.058,15.615,18.008,16.926,24.141,24.021,
2004-06-01 02:30:00,0.000,-13.021,-28.615,0.000,8.991,15.618,17.996,16.916,24.128,24.010,
2004-06-01 02:35:00,0.000,-13.209,-27.464,0.000,9.170,15.619,17.984,16.906,24.116,23.999,
2004-06-01 02:40:00,0.000,-13.095,-26.338,0.000,9.109,15.625,17.973,16.898,24.104,23.988,
2004-06-01 02:45:00,0.000,-13.007,-25.227,0.000,9.048,15.634,17.963,16.890,24.092,23.978,
2004-06-01 02:50:00,0.000,-12.941,-24.127,0.000,8.989,15.645,17.953,16.883,24.080,23.967,
2004-06-01 02:55:00,0.000,-12.894,-23.039,0.000,8.930,15.659,17.944,16.876,24.069,23.957,
2004-06-01 03:00:00,0.000,-12.863,-21.960,0.000,8.871,15.674,17.935,16.870,24.058,23.947,
2004-06-01 03:05:00,0.000,-13.011,-22.032,0.000,8.994,15.673,17.922,16.859,24.047,23.938,
2004-06-01 03:10:00,0.000,-13.105,-22.078,0.000,9.112,15.667,17.909,16.847,24.037,23.928,
2004-06-01 03:15:00,0.000,-13.168,-22.108,0.000,9.229,15.658,17.895,16.836,24.026,23.918,
2004-06-01 03:20:00,0.000,-12.617,-22.167,0.000,8.878,15.654,17.882,16.825,24.015,23.908,
2004-06-01 03:25:00,0.000,-12.672,-22.193,0.000,8.993,15.644,17.869,16.813,24.004,23.898,
2004-06-01 03:30:00,0.000,-12.703,-22.209,0.000,9.106,15.633,17.855,16.802,23.993,23.888,
2004-06-01 03:35:00,0.000,-12.717,-22.218,0.000,9.218,15.619,17.842,16.790,23.982,23.879,
2004-06-01 03:40:00,0.000,-12.718,-22.222,0.000,9.329,15.605,17.829,16.779,23.971,23.869,
