cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,-23.721,-21.625,0.000,13.785,16.721,18.808,17.778,24.629,24.492,
2004-06-01 00:15:00,0.000,-20.472,-23.295,0.000,11.450,16.700,18.761,17.741,24.608,24.473,
2004-06-01 00:20:00,0.000,-19.875,-24.845,0.000,10.854,16.655,18.726,17.691,24.588,24.453,
2004-06-01 00:25:00,0.000,-19.148,-26.367,0.000,10.246,16.604,18.692,17.641,24.567,24.432,
2004-06-01 00:30:00,0.000,-20.856,-27.706,0.000,11.146,16.518,18.653,17.594,24.546,24.412,
2004-06-01 00:35:00,0.000,-19.780,-29.143,0.000,10.446,16.452,18.614,17.547,24.524,24.391,
2004-06-01 00:40:00,0.000,-18.681,-30.598,0.000,9.735,16.389,18.574,17.501,24.504,24.368,
2004-06-01 00:45:00,0.000,-18.898,-31.971,0.000,9.802,16.310,18.534,17.457,24.483,24.346,
2004-06-01 00:50:00,0.000,-17.529,-33.412,0.000,8.985,16.244,18.492,17.413,24.462,24.324,
2004-06-01 00:55:00,0.000,-16.109,-34.875,0.000,8.145,16.183,18.451,17.371,24.440,24.301,
2004-06-01 01:00:00,0.000,-14.605,-36.354,0.000,7.276,16.124,18.410,17.331,24.418,24.279,
2004-06-01 01:05:00,0.000,-14.612,-36.219,0.000,7.485,16.069,18.379,17.297,24.396,24.257,
2004-06-01 01:10:00,0.000,-14.607,-36.095,0.000,7.692,16.015,18.348,17.265,24.375,24.236,
2004-06-01 01:15:00,0.000,-14.589,-35.979,0.000,7.897,15.964,18.318,17.233,24.355,24.216,
2004-06-01 01:20:00,0.000,-14.557,-35.871,0.000,8.101,15.913,18.290,17.204,24.335,24.197,
2004-06-01 01:25:00,0.000,-14.512,-35.769,0.000,8.302,15.864,18.262,17.174,24.316,24.179,
2004-06-01 01:30:00,0.000,-14.454,-35.673,0.000,8.502,15.816,18.235,17.146,24.298,24.161,
2004-06-01 01:35:00,0.000,-14.383,-35.583,0.000,8.701,15.769,18.208,17.119,24.280,24.144,
2004-06-01 01:40:00,0.000,-14.300,-35.498,0.000,8.897,15.723,18.182,17.093,24.263,24.128,
2004-06-01 01:45:00,0.000,-14.205,-35.418,0.000,9.092,15.678,18.157,17.067,24.247,24.112,
2004-06-01 01:50:00,0.000,-14.098,-35.343,0.000,9.286,15.634,18.132,17.042,24.231,24.096,
2004-06-01 01:55:00,0.000,-12.952,-35.339,0.000,8.702,15.604,18.108,17.017,24.215,24.081,
2004-06-01 02:00:00,0.000,-12.882,-35.299,0.000,8.880,15.566,18.084,16.993,24.199,24.067,
2004-06-01 02:05:00,0.000,-12.545,-34.043,0.000,8.814,15.548,18.067,16.977,24.185,24.053,
2004-06-01 02:10:00,0.000,-12.281,-32.826,0.000,8.753,15.537,18.051,16.963,24.169,24.040,
2004-06-01 02:15:00,0.000,-12.066,-31.635,0.000,8.694,15.531,18.035,16.949,24.154,24.028,
2004-06-01 02:20:00,0.000,-11.890,-30.466,0.000,8.636,15.528,18.021,16.937,24.139,24.017,
2004-06-01 02:25:00,0.000,-11.744,-29.314,0.000,8.579,15.530,18.007,16.925,24.126,24.005,
