cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,-20.876,-32.565,0.000,5.519,18.783,18.817,17.787,24.777,24.642,
2004-06-01 00:15:00,0.000,-20.525,-33.983,0.000,5.398,18.714,18.769,17.750,24.757,24.622,
2004-06-01 00:20:00,0.000,-20.132,-35.382,0.000,5.272,18.642,18.734,17.700,24.736,24.603,
2004-06-01 00:25:00,0.000,-19.702,-36.766,0.000,5.142,18.567,18.700,17.650,24.715,24.582,
2004-06-01 00:30:00,0.000,-19.238,-38.137,0.000,5.007,18.489,18.661,17.603,24.694,24.562,
2004-06-01 00:35:00,0.000,-18.739,-39.498,0.000,4.866,18.410,18.623,17.556,24.673,24.541,
2004-06-01 00:40:00,0.000,-18.206,-40.850,0.000,4.719,18.329,18.582,17.511,24.653,24.518,
2004-06-01 00:45:00,0.000,-17.639,-42.196,0.000,4.564,18.246,18.542,17.466,24.632,24.496,
2004-06-01 00:50:00,0.000,-17.033,-43.536,0.000,4.402,18.163,18.501,17.423,24.611,24.473,
2004-06-01 00:55:00,0.000,-16.385,-44.873,0.000,4.230,18.078,18.460,17.380,24.589,24.451,
2004-06-01 01:00:00,0.000,-15.687,-46.207,0.000,4.046,17.993,18.418,17.340,24.567,24.429,
2004-06-01 01:05:00,0.000,-15.514,-45.979,0.000,4.077,17.922,18.387,17.306,24.545,24.407,
2004-06-01 01:10:00,0.000,-15.361,-45.778,0.000,4.108,17.855,18.357,17.274,24.524,24.386,
2004-06-01 01:15:00,0.000,-15.217,-45.593,0.000,4.140,17.792,18.327,17.243,24.504,24.366,
2004-06-01 01:20:00,0.000,-15.078,-45.422,0.000,4.172,17.731,18.299,17.213,24.484,24.347,
2004-06-01 01:25:00,0.000,-14.941,-45.261,0.000,4.203,17.671,18.270,17.183,24.465,24.328,
2004-06-01 01:30:00,0.000,-14.806,-45.109,0.000,4.234,17.613,18.244,17.156,24.447,24.311,
2004-06-01 01:35:00,0.000,-14.672,-44.964,0.000,4.264,17.557,18.217,17.128,24.429,24.294,
2004-06-01 01:40:00,0.000,-14.538,-44.826,0.000,4.294,17.502,18.191,17.102,24.412,24.277,
2004-06-01 01:45:00,0.000,-14.404,-44.694,0.000,4.323,17.448,18.166,17.076,24.396,24.261,
2004-06-01 01:50:00,0.000,-14.270,-44.567,0.000,4.352,17.395,18.141,17.051,24.379,24.246,
2004-06-01 01:55:00,0.000,-14.136,-44.446,0.000,4.380,17.343,18.116,17.026,24.364,24.231,
2004-06-01 02:00:00,0.000,-14.001,-44.329,0.000,4.409,17.291,18.093,17.003,24.348,24.216,
2004-06-01 02:05:00,0.000,-13.740,-42.998,0.000,4.383,17.259,18.075,16.987,24.334,24.202,
2004-06-01 02:10:00,0.000,-13.530,-41.712,0.000,4.362,17.235,18.060,16.972,24.318,24.190,
2004-06-01 02:15:00,0.000,-13.350,-40.455,0.000,4.343,17.217,18.044,16.958,24.303,24.178,
2004-06-01 02:20:00,0.000,-13.194,-39.222,0.000,4.324,17.203,18.030,16.946,24.288,24.166,
2004-06-01 02:25:00,0.000,-13.059,-38.010,0.000,4.307,17.192,18.016,16.934,24.275,24.155,
2004-06-01 02:30:00,0.000,-12.942,-36.816,0.000,4.291,17.186,18.004,16.925,24.261,24.144,
2004-06-01 02:35:00,0.000,-12.840,-35.638,0.000,4.276,17.182,17.992,16.915,24.249,24.133,
2004-06-01 02:40:00,0.000,-12.752,-34.475,0.000,4.261,17.181,17.981,16.906,24.237,24.122,
2004-06-01 02:45:00,0.000,-12.678,-33.324,0.000,4.247,17.182,17.971,16.898,24.225,24.111,
2004-06-01 02:50:00,0.000,-12.615,-32.187,0.000,4.233,17.186,17.961,16.891,24.213,24.101,
2004-06-01 02:55:00,0.000,-12.563,-31.061,0.000,4.220,17.192,17.952,16.884,24.202,24.091,
2004-06-01 03:00:00,0.000,-12.521,-29.946,0.000,4.207,17.200,17.943,16.879,24.191,24.081,
2004-06-01 03:05:00,0.000,-12.558,-29.988,0.000,4.232,17.193,17.930,16.867,24.180,24.071,
2004-06-01 03:10:00,0.000,-12.563,-30.006,0.000,4.254,17.182,17.917,16.856,24.169,24.061,
2004-06-01 03:15:00,0.000,-12.551,-30.009,0.000,4.274,17.168,17.904,16.845,24.158,24.052,
2004-06-01 03:20:00,0.000,-12.529,-30.001,0.000,4.293,17.152,17.890,16.833,24.148,24.042,
2004-06-01 03:25:00,0.000,-12.498,-29.986,0.000,4.311,17.134,17.877,16.822,24.137,24.032,
2004-06-01 03:30:00,0.000,-12.460,-29.966,0.000,4.329,17.116,17.864,16.810,24.126,24.022,
2004-06-01 03:35:00,0.000,-12.416,-29.941,0.000,4.347,17.096,17.850,16.799,24.115,24.012,
2004-06-01 03:40:00,0.000,-12.368,-29.912,0.000,4.364,17.076,17.837,16.787,24.104,24.002,
2004-06-01 03:45:00,0.000,-12.315,-29.881,0.000,4.380,17.056,17.824,16.776,24.093,23.992,
2004-06-01 03:50:00,0.000,-12.259,-29.847,0.000,4.397,17.035,17.810,16.765,24.082,23.982,
2004-06-01 03:55:00,0.000,-12.199,-29.811,0.000,4.413,17.013,17.797,16.754,24.071,23.972,
