cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,-19.988,-34.959,0.000,4.728,19.228,18.818,17.789,24.805,24.670,
2004-06-01 00:15:00,0.000,-19.756,-36.352,0.000,4.656,19.155,18.770,17.752,24.784,24.650,
2004-06-01 00:20:00,0.000,-19.486,-37.723,0.000,4.580,19.078,18.736,17.702,24.764,24.631,
2004-06-01 00:25:00,0.000,-19.185,-39.077,0.000,4.501,18.998,18.702,17.652,24.743,24.610,
2004-06-01 00:30:00,0.000,-18.853,-40.417,0.000,4.417,18.915,18.663,17.605,24.722,24.590,
2004-06-01 00:35:00,0.000,-18.491,-41.746,0.000,4.329,18.829,18.625,17.558,24.701,24.569,
2004-06-01 00:40:00,0.000,-18.099,-43.064,0.000,4.237,18.742,18.584,17.512,24.681,24.546,
2004-06-01 00:45:00,0.000,-17.677,-44.374,0.000,4.138,18.653,18.544,17.468,24.660,24.524,
2004-06-01 00:50:00,0.000,-17.220,-45.676,0.000,4.033,18.563,18.502,17.424,24.639,24.501,
2004-06-01 00:55:00,0.000,-16.727,-46.974,0.000,3.920,18.472,18.461,17.382,24.617,24.479,
2004-06-01 01:00:00,0.000,-16.189,-48.267,0.000,3.797,18.380,18.420,17.342,24.595,24.457,
2004-06-01 01:05:00,0.000,-15.958,-48.011,0.000,3.811,18.303,18.389,17.308,24.573,24.435,
2004-06-01 01:10:00,0.000,-15.756,-47.787,0.000,3.828,18.233,18.359,17.276,24.552,24.414,
2004-06-01 01:15:00,0.000,-15.566,-47.583,0.000,3.844,18.166,18.329,17.244,24.531,24.394,
2004-06-01 01:20:00,0.000,-15.384,-47.394,0.000,3.860,18.101,18.300,17.215,24.512,24.375,
2004-06-01 01:25:00,0.000,-15.207,-47.217,0.000,3.876,18.039,18.272,17.185,24.493,24.357,
2004-06-01 01:30:00,0.000,-15.035,-47.049,0.000,3.892,17.979,18.245,17.158,24.475,24.339,
2004-06-01 01:35:00,0.000,-14.866,-46.891,0.000,3.908,17.920,18.218,17.130,24.457,24.322,
2004-06-01 01:40:00,0.000,-14.699,-46.740,0.000,3.923,17.863,18.193,17.104,24.440,24.305,
2004-06-01 01:45:00,0.000,-14.534,-46.596,0.000,3.938,17.807,18.167,17.078,24.424,24.289,
2004-06-01 01:50:00,0.000,-14.371,-46.458,0.000,3.952,17.752,18.143,17.053,24.407,24.274,
2004-06-01 01:55:00,0.000,-14.210,-46.326,0.000,3.967,17.698,18.118,17.028,24.392,24.259,
2004-06-01 02:00:00,0.000,-14.049,-46.199,0.000,3.981,17.645,18.094,17.005,24.376,24.244,
2004-06-01 02:05:00,0.000,-13.805,-44.856,0.000,3.960,17.611,18.077,16.989,24.362,24.230,
2004-06-01 02:10:00,0.000,-13.607,-43.557,0.000,3.943,17.584,18.061,16.974,24.346,24.218,
2004-06-01 02:15:00,0.000,-13.437,-42.288,0.000,3.928,17.563,18.045,16.960,24.331,24.206,
2004-06-01 02:20:00,0.000,-13.290,-41.043,0.000,3.914,17.547,18.032,16.948,24.316,24.194,
2004-06-01 02:25:00,0.000,-13.162,-39.819,0.000,3.901,17.535,18.018,16.936,24.303,24.183,
2004-06-01 02:30:00,0.000,-13.050,-38.612,0.000,3.889,17.526,18.006,16.926,24.289,24.172,
2004-06-01 02:35:00,0.000,-12.953,-37.423,0.000,3.877,17.520,17.994,16.916,24.277,24.161,
2004-06-01 02:40:00,0.000,-12.869,-36.248,0.000,3.866,17.516,17.983,16.908,24.265,24.150,
2004-06-01 02:45:00,0.000,-12.797,-35.086,0.000,3.856,17.516,17.972,16.900,24.253,24.140,
2004-06-01 02:50:00,0.000,-12.736,-33.938,0.000,3.846,17.517,17.963,16.893,24.241,24.129,
2004-06-01 02:55:00,0.000,-12.686,-32.801,0.000,3.837,17.521,17.953,16.886,24.230,24.119,
2004-06-01 03:00:00,0.000,-12.646,-31.675,0.000,3.828,17.527,17.945,16.880,24.219,24.109,
2004-06-01 03:05:00,0.000,-12.658,-31.709,0.000,3.844,17.519,17.932,16.869,24.208,24.100,
2004-06-01 03:10:00,0.000,-12.641,-31.719,0.000,3.857,17.506,17.918,16.858,24.197,24.090,
