cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,16.804,15.796,15.793,15.651,16.024,
2004-06-01 00:15:00,0.000,16.739,15.725,15.693,15.563,15.950,
2004-06-01 00:20:00,0.000,16.679,15.645,15.595,15.471,15.874,
2004-06-01 00:25:00,0.000,16.618,15.558,15.497,15.376,15.796,
2004-06-01 00:30:00,0.000,16.559,15.466,15.398,15.279,15.716,
2004-06-01 00:35:00,0.000,16.493,15.371,15.299,15.179,15.636,
2004-06-01 00:40:00,0.000,16.431,15.274,15.200,15.106,15.517,
2004-06-01 00:45:00,0.000,16.370,15.174,15.100,15.014,15.421,
2004-06-01 00:50:00,0.000,16.310,15.073,15.000,14.916,15.331,
2004-06-01 00:55:00,0.000,16.248,14.971,14.900,14.814,15.244,
2004-06-01 01:00:00,0.000,16.189,14.868,14.799,14.710,15.160,
2004-06-01 01:05:00,0.000,16.135,14.798,14.732,14.640,15.103,
2004-06-01 01:10:00,0.000,16.082,14.742,14.680,14.585,15.058,
2004-06-01 01:15:00,0.000,16.032,14.697,14.637,14.539,15.021,
2004-06-01 01:20:00,0.000,15.983,14.658,14.601,14.501,14.991,
2004-06-01 01:25:00,0.000,15.937,14.625,14.570,14.468,14.964,
2004-06-01 01:30:00,0.000,15.891,14.596,14.544,14.439,14.941,
2004-06-01 01:35:00,0.000,15.845,14.570,14.520,14.413,14.921,
2004-06-01 01:40:00,0.000,15.800,14.547,14.499,14.390,14.903,
2004-06-01 01:45:00,0.000,15.757,14.527,14.480,14.369,14.887,
2004-06-01 01:50:00,0.000,15.714,14.508,14.463,14.350,14.873,
2004-06-01 01:55:00,0.000,15.671,14.490,14.448,14.332,14.860,
2004-06-01 02:00:00,0.000,15.629,14.474,14.433,14.316,14.848,
2004-06-01 02:05:00,0.000,15.608,14.473,14.434,14.316,14.844,
2004-06-01 02:10:00,0.000,15.594,14.480,14.441,14.319,14.866,
2004-06-01 02:15:00,0.000,15.586,14.491,14.453,14.331,14.879,
2004-06-01 02:20:00,0.000,15.582,14.506,14.468,14.347,14.890,
2004-06-01 02:25:00,0.000,15.582,14.524,14.487,14.367,14.900,
2004-06-01 02:30:00,0.000,15.584,14.545,14.507,14.389,14.911,
2004-06-01 02:35:00,0.000,15.588,14.568,14.529,14.414,14.922,
2004-06-01 02:40:00,0.000,15.595,14.592,14.552,14.440,14.933,
2004-06-01 02:45:00,0.000,15.604,14.617,14.576,14.468,14.945,
2004-06-01 02:50:00,0.000,15.616,14.644,14.602,14.497,14.957,
2004-06-01 02:55:00,0.000,15.632,14.672,14.628,14.527,14.969,
2004-06-01 03:00:00,0.000,15.649,14.701,14.655,14.557,14.981,
2004-06-01 03:05:00,0.000,15.649,14.717,14.670,14.574,14.988,
2004-06-01 03:10:00,0.000,15.645,14.729,14.680,14.585,14.993,
2004-06-01 03:15:00,0.000,15.637,14.737,14.687,14.593,14.996,
2004-06-01 03:20:00,0.000,15.628,14.743,14.692,14.598,14.998,
2004-06-01 03:25:00,0.000,15.617,14.747,14.695,14.602,14.999,
2004-06-01 03:30:00,0.000,15.605,14.749,14.697,14.604,15.000,
2004-06-01 03:35:00,0.000,15.592,14.751,14.698,14.605,15.000,
2004-06-01 03:40:00,0.000,15.578,14.752,14.699,14.606,15.000,
2004-06-01 03:45:00,0.000,15.564,14.752,14.699,14.605,15.000,
2004-06-01 03:50:00,0.000,15.549,14.752,14.698,14.605,15.000,
2004-06-01 03:55:00,0.000,15.534,14.751,14.697,14.604,14.999,
2004-06-01 04:00:00,0.000,15.519,14.750,14.696,14.603,14.998,
2004-06-01 04:05:00,0.000,15.494,14.742,14.688,14.593,14.995,
2004-06-01 04:10:00,0.000,15.466,14.729,14.676,14.579,14.989,
2004-06-01 04:15:00,0.000,15.436,14.715,14.663,14.563,14.983,
2004-06-01 04:20:00,0.000,15.404,14.698,14.647,14.546,14.977,
2004-06-01 04:25:00,0.000,15.371,14.681,14.631,14.527,14.969,
2004-06-01 04:30:00,0.000,15.336,14.662,14.614,14.508,14.962,
2004-06-01 04:35:00,0.000,15.301,14.642,14.596,14.487,14.954,
2004-06-01 04:40:00,0.000,15.265,14.622,14.578,14.466,14.947,
2004-06-01 04:45:00,0.000,15.228,14.601,14.559,14.445,14.938,
2004-06-01 04:50:00,0.000,15.190,14.580,14.540,14.423,14.930,
2004-06-01 04:55:00,0.000,15.152,14.559,14.521,14.401,14.922,
2004-06-01 05:00:00,0.000,15.113,14.537,14.501,14.378,14.913,
2004-06-01 05:05:00,4.493,15.093,14.529,14.496,14.371,14.912,
2004-06-01 05:10:00,2.460,15.077,14.527,14.496,14.372,14.913,
2004-06-01 05:15:00,0.348,15.064,14.530,14.500,14.376,14.916,
2004-06-01 05:20:00,1.779,15.053,14.537,14.508,14.385,14.921,
2004-06-01 05:25:00,0.185,15.045,14.547,14.519,14.397,14.928,
2004-06-01 05:30:00,0.788,15.045,14.573,14.544,14.426,14.944,
2004-06-01 05:35:00,0.000,15.045,14.598,14.568,14.453,14.960,
2004-06-01 05:40:00,0.000,15.045,14.625,14.594,14.482,14.978,
2004-06-01 05:45:00,0.000,15.046,14.655,14.621,14.512,14.997,
2004-06-01 05:50:00,0.000,15.049,14.685,14.650,14.543,15.017,
2004-06-01 05:55:00,0.000,15.053,14.717,14.679,14.575,15.037,
2004-06-01 06:00:00,0.000,15.057,14.750,14.709,14.608,15.059,
2004-06-01 06:05:00,1.365,15.067,14.786,14.741,14.643,15.083,
2004-06-01 06:10:00,0.000,15.080,14.823,14.775,14.680,15.108,
2004-06-01 06:15:00,0.300,15.096,14.845,14.827,14.717,15.135,
2004-06-01 06:20:00,0.000,15.114,14.876,14.871,14.768,15.162,
2004-06-01 06:25:00,0.000,15.133,14.906,14.907,14.840,15.188,
2004-06-01 06:30:00,0.000,15.156,14.940,14.946,14.927,15.216,
2004-06-01 06:35:00,0.000,15.184,14.978,14.988,15.029,15.246,
2004-06-01 06:40:00,0.000,15.216,15.018,15.031,15.149,15.277,
2004-06-01 06:45:00,0.000,15.252,15.059,15.085,15.286,15.308,
2004-06-01 06:50:00,0.000,15.289,15.101,15.220,15.436,15.341,
