cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:05:00,0.000,17.351,15.852,15.921,15.737,16.106,
2004-06-01 00:10:00,0.000,17.295,15.807,15.804,15.656,16.037,
2004-06-01 00:15:00,0.000,17.235,15.736,15.704,15.569,15.964,
2004-06-01 00:20:00,0.000,17.172,15.656,15.606,15.477,15.887,
2004-06-01 00:25:00,0.000,17.106,15.569,15.508,15.382,15.809,
2004-06-01 00:30:00,0.000,17.038,15.477,15.409,15.284,15.730,
2004-06-01 00:35:00,0.000,16.969,15.383,15.310,15.185,15.649,
2004-06-01 00:40:00,0.000,16.898,15.285,15.211,15.112,15.530,
2004-06-01 00:45:00,0.000,16.826,15.186,15.111,15.020,15.434,
2004-06-01 00:50:00,0.000,16.752,15.085,15.011,14.922,15.344,
2004-06-01 00:55:00,0.000,16.678,14.983,14.911,14.820,15.257,
2004-06-01 01:00:00,0.000,16.602,14.880,14.811,14.716,15.173,
2004-06-01 01:05:00,0.000,16.541,14.810,14.744,14.647,15.116,
2004-06-01 01:10:00,0.000,16.484,14.754,14.692,14.592,15.071,
2004-06-01 01:15:00,0.000,16.431,14.709,14.649,14.546,15.035,
2004-06-01 01:20:00,0.000,16.379,14.670,14.613,14.508,15.004,
2004-06-01 01:25:00,0.000,16.330,14.637,14.582,14.475,14.977,
2004-06-01 01:30:00,0.000,16.282,14.608,14.556,14.446,14.954,
2004-06-01 01:35:00,0.000,16.235,14.583,14.532,14.420,14.934,
2004-06-01 01:40:00,0.000,16.190,14.560,14.511,14.397,14.916,
2004-06-01 01:45:00,0.000,16.145,14.539,14.492,14.376,14.900,
2004-06-01 01:50:00,0.000,16.102,14.520,14.475,14.357,14.886,
2004-06-01 01:55:00,0.000,16.059,14.503,14.460,14.339,14.873,
2004-06-01 02:00:00,0.000,16.017,14.487,14.445,14.323,14.860,
2004-06-01 02:05:00,0.000,15.994,14.486,14.446,14.323,14.856,
2004-06-01 02:10:00,0.000,15.979,14.492,14.453,14.326,14.880,
2004-06-01 02:15:00,0.000,15.969,14.504,14.465,14.337,14.892,
2004-06-01 02:20:00,0.000,15.962,14.519,14.480,14.354,14.903,
2004-06-01 02:25:00,0.000,15.960,14.537,14.499,14.373,14.914,
2004-06-01 02:30:00,0.000,15.960,14.558,14.519,14.396,14.925,
2004-06-01 02:35:00,0.000,15.963,14.580,14.541,14.421,14.936,
2004-06-01 02:40:00,0.000,15.968,14.604,14.564,14.447,14.947,
2004-06-01 02:45:00,0.000,15.975,14.630,14.588,14.475,14.959,
2004-06-01 02:50:00,0.000,15.985,14.657,14.614,14.503,14.970,
2004-06-01 02:55:00,0.000,15.996,14.685,14.640,14.533,14.983,
2004-06-01 03:00:00,0.000,16.009,14.713,14.667,14.564,14.995,
2004-06-01 03:05:00,0.000,16.008,14.730,14.682,14.580,15.002,
2004-06-01 03:10:00,0.000,16.002,14.741,14.692,14.592,15.006,
2004-06-01 03:15:00,0.000,15.993,14.749,14.699,14.599,15.010,
2004-06-01 03:20:00,0.000,15.982,14.755,14.704,14.605,15.012,
2004-06-01 03:25:00,0.000,15.970,14.759,14.707,14.608,15.013,
2004-06-01 03:30:00,0.000,15.957,14.762,14.709,14.610,15.014,
2004-06-01 03:35:00,0.000,15.943,14.763,14.710,14.611,15.014,
2004-06-01 03:40:00,0.000,15.929,14.764,14.710,14.612,15.014,
2004-06-01 03:45:00,0.000,15.914,14.765,14.710,14.612,15.014,
2004-06-01 03:50:00,0.000,15.898,14.764,14.710,14.611,15.013,
2004-06-01 03:55:00,0.000,15.883,14.764,14.709,14.610,15.013,
2004-06-01 04:00:00,0.000,15.867,14.763,14.708,14.609,15.012,
2004-06-01 04:05:00,0.000,15.841,14.754,14.699,14.599,15.008,
2004-06-01 04:10:00,0.000,15.813,14.741,14.688,14.585,15.003,
2004-06-01 04:15:00,0.000,15.781,14.727,14.674,14.570,14.997,
2004-06-01 04:20:00,0.000,15.748,14.710,14.659,14.552,14.990,
2004-06-01 04:25:00,0.000,15.714,14.693,14.642,14.533,14.983,
2004-06-01 04:30:00,0.000,15.678,14.674,14.625,14.514,14.976,
2004-06-01 04:35:00,0.000,15.641,14.655,14.607,14.493,14.968,
2004-06-01 04:40:00,0.000,15.602,14.634,14.589,14.472,14.960,
2004-06-01 04:45:00,0.000,15.563,14.614,14.571,14.451,14.952,
2004-06-01 04:50:00,0.000,15.523,14.592,14.551,14.429,14.944,
2004-06-01 04:55:00,0.000,15.483,14.571,14.532,14.407,14.935,
2004-06-01 05:00:00,0.000,15.441,14.549,14.513,14.384,14.927,
2004-06-01 05:05:00,4.212,15.416,14.541,14.507,14.378,14.925,
2004-06-01 05:10:00,2.701,15.396,14.539,14.507,14.378,14.926,
2004-06-01 05:15:00,0.370,15.380,14.542,14.512,14.383,14.929,
2004-06-01 05:20:00,2.018,15.366,14.549,14.519,14.391,14.934,
2004-06-01 05:25:00,0.196,15.355,14.559,14.530,14.403,14.941,
2004-06-01 05:30:00,1.287,15.353,14.585,14.555,14.432,14.957,
2004-06-01 05:35:00,0.000,15.350,14.610,14.579,14.459,14.973,
2004-06-01 05:40:00,0.350,15.348,14.637,14.605,14.487,14.990,
2004-06-01 05:45:00,0.000,15.347,14.666,14.632,14.517,15.009,
2004-06-01 05:50:00,0.000,15.348,14.697,14.660,14.548,15.029,
2004-06-01 05:55:00,0.000,15.349,14.729,14.689,14.580,15.049,
2004-06-01 06:00:00,0.000,15.352,14.762,14.719,14.613,15.070,
2004-06-01 06:05:00,1.375,15.360,14.797,14.752,14.648,15.094,
2004-06-01 06:10:00,0.000,15.371,14.834,14.786,14.685,15.120,
2004-06-01 06:15:00,0.305,15.386,14.856,14.837,14.722,15.146,
2004-06-01 06:20:00,0.000,15.402,14.887,14.882,14.773,15.174,
2004-06-01 06:25:00,0.000,15.419,14.916,14.918,14.845,15.200,
2004-06-01 06:30:00,0.000,15.441,14.950,14.957,14.932,15.227,
2004-06-01 06:35:00,0.000,15.468,14.988,14.999,15.035,15.257,
2004-06-01 06:40:00,0.000,15.499,15.028,15.043,15.155,15.288,
2004-06-01 06:45:00,0.000,15.534,15.069,15.096,15.292,15.320,
2004-06-01 06:50:00,0.000,15.570,15.111,15.232,15.442,15.353,
2004-06-01 06:55:00,0.000,15.608,15.154,15.417,15.604,15.385,
2004-06-01 07:00:00,0.000,15.649,15.198,15.611,15.779,15.419,
2004-06-01 07:05:00,1.422,15.692,15.249,15.825,15.983,15.460,
2004-06-01 07:10:00,1.414,15.738,15.304,16.057,16.222,15.506,
2004-06-01 07:15:00,0.220,15.786,15.361,16.309,16.492,15.555,
2004-06-01 07:20:00,2.606,15.837,15.422,16.580,16.787,15.608,
2004-06-01 07:25:00,0.763,15.890,15.486,16.919,17.087,15.663,
2004-06-01 07:30:00,3.040,15.946,15.553,17.311,17.338,15.722,
2004-06-01 07:35:00,1.621,16.004,15.621,17.693,17.567,15.784,
2004-06-01 07:40:00,3.157,16.064,15.692,17.966,17.783,15.847,
2004-06-01 07:45:00,2.004,16.127,15.764,18.194,17.990,15.912,
2004-06-01 07:50:00,2.740,16.191,15.836,18.393,18.192,15.979,
2004-06-01 07:55:00,2.305,16.258,15.910,18.569,18.388,16.046,
2004-06-01 08:00:00,2.637,16.327,15.983,18.729,18.580,16.114,
2004-06-01 08:05:00,2.558,16.404,16.064,18.882,18.781,16.188,
2004-06-01 08:10:00,2.675,16.485,16.149,19.027,18.983,16.266,
2004-06-01 08:15:00,2.778,16.569,16.235,19.163,19.185,16.346,
2004-06-01 08:20:00,2.871,16.657,16.306,19.357,19.483,16.419,
2004-06-01 08:25:00,2.953,16.748,16.387,19.501,19.719,16.497,
2004-06-01 08:30:00,3.028,16.842,16.470,19.626,19.940,16.578,
2004-06-01 08:35:00,3.100,16.977,16.576,19.868,20.324,16.675,
2004-06-01 08:40:00,3.170,17.131,16.692,20.143,20.763,16.781,
2004-06-01 08:45:00,3.235,17.299,16.814,20.431,21.233,16.892,
2004-06-01 08:50:00,3.953,17.478,16.940,20.719,21.720,17.008,
2004-06-01 08:55:00,4.477,17.668,17.070,21.001,22.217,17.127,
2004-06-01 09:00:00,4.922,17.867,17.203,21.273,22.718,17.249,
2004-06-01 09:05:00,5.410,18.086,17.359,21.551,23.241,17.392,
2004-06-01 09:10:00,5.875,18.318,17.526,21.822,23.770,17.546,
2004-06-01 09:15:00,6.741,18.559,17.700,22.081,24.298,17.708,
2004-06-01 09:20:00,7.376,18.811,17.878,22.325,24.823,17.874,
2004-06-01 09:25:00,7.976,19.071,18.061,22.552,25.343,18.045,
2004-06-01 09:30:00,8.559,19.339,18.246,22.760,25.855,18.220,
2004-06-01 09:35:00,9.472,19.588,18.421,22.901,26.268,18.387,
2004-06-01 09:40:00,10.086,19.834,18.592,23.008,26.642,18.552,
2004-06-01 09:45:00,10.687,20.080,18.762,23.089,26.989,18.716,
2004-06-01 09:50:00,11.294,20.327,18.930,23.149,27.316,18.879,
2004-06-01 09:55:00,11.883,20.575,19.097,23.190,27.627,19.042,
2004-06-01 10:00:00,12.459,20.825,19.264,23.213,27.924,19.205,
2004-06-01 10:05:00,13.015,21.072,19.426,23.218,28.205,19.366,
2004-06-01 10:10:00,13.580,21.318,19.586,23.206,28.473,19.528,
2004-06-01 10:15:00,14.114,21.566,19.745,23.179,28.730,19.688,
2004-06-01 10:20:00,14.651,21.814,19.903,23.138,28.975,19.849,
2004-06-01 10:25:00,15.187,22.063,20.061,23.083,29.208,20.009,
2004-06-01 10:30:00,15.716,22.314,20.218,23.015,29.431,20.170,
2004-06-01 10:35:00,16.250,22.579,20.379,22.944,29.677,20.334,
2004-06-01 10:40:00,16.779,22.849,20.543,22.863,29.923,20.501,
