cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,16.687,15.796,15.792,15.646,16.025,
2004-06-01 00:15:00,0.000,16.663,15.725,15.692,15.558,15.951,
2004-06-01 00:20:00,0.000,16.615,15.644,15.594,15.466,15.875,
2004-06-01 00:25:00,0.000,16.563,15.557,15.496,15.371,15.797,
2004-06-01 00:30:00,0.000,16.477,15.465,15.397,15.274,15.717,
2004-06-01 00:35:00,0.000,16.410,15.370,15.298,15.174,15.637,
2004-06-01 00:40:00,0.000,16.345,15.273,15.199,15.100,15.518,
2004-06-01 00:45:00,0.000,16.266,15.173,15.099,15.008,15.422,
2004-06-01 00:50:00,0.000,16.199,15.072,14.999,14.910,15.332,
2004-06-01 00:55:00,0.000,16.136,14.970,14.899,14.808,15.245,
2004-06-01 01:00:00,0.000,16.076,14.867,14.798,14.704,15.161,
2004-06-01 01:05:00,0.000,16.020,14.797,14.731,14.634,15.104,
2004-06-01 01:10:00,0.000,15.967,14.741,14.679,14.579,15.059,
2004-06-01 01:15:00,0.000,15.916,14.696,14.636,14.533,15.022,
2004-06-01 01:20:00,0.000,15.866,14.657,14.600,14.495,14.992,
2004-06-01 01:25:00,0.000,15.818,14.624,14.569,14.461,14.965,
2004-06-01 01:30:00,0.000,15.771,14.595,14.543,14.432,14.942,
2004-06-01 01:35:00,0.000,15.725,14.569,14.519,14.406,14.922,
2004-06-01 01:40:00,0.000,15.680,14.546,14.498,14.383,14.904,
2004-06-01 01:45:00,0.000,15.636,14.525,14.480,14.362,14.888,
2004-06-01 01:50:00,0.000,15.593,14.507,14.462,14.343,14.874,
2004-06-01 01:55:00,0.000,15.564,14.489,14.447,14.326,14.861,
2004-06-01 02:00:00,0.000,15.527,14.473,14.433,14.309,14.848,
2004-06-01 02:05:00,0.000,15.509,14.472,14.433,14.310,14.844,
2004-06-01 02:10:00,0.000,15.498,14.478,14.440,14.313,14.867,
2004-06-01 02:15:00,0.000,15.492,14.490,14.452,14.324,14.879,
2004-06-01 02:20:00,0.000,15.490,14.505,14.468,14.341,14.890,
2004-06-01 02:25:00,0.000,15.491,14.523,14.486,14.361,14.901,
2004-06-01 02:30:00,0.000,15.494,14.544,14.506,14.383,14.912,
2004-06-01 02:35:00,0.000,15.501,14.566,14.528,14.408,14.923,
2004-06-01 02:40:00,0.000,15.509,14.591,14.551,14.435,14.934,
2004-06-01 02:45:00,0.000,15.520,14.616,14.576,14.462,14.946,
2004-06-01 02:50:00,0.000,15.533,14.643,14.601,14.491,14.957,
2004-06-01 02:55:00,0.000,15.547,14.671,14.627,14.521,14.969,
2004-06-01 03:00:00,0.000,15.563,14.699,14.654,14.552,14.982,
2004-06-01 03:05:00,0.000,15.564,14.716,14.669,14.568,14.989,
2004-06-01 03:10:00,0.000,15.560,14.727,14.679,14.580,14.993,
2004-06-01 03:15:00,0.000,15.553,14.736,14.686,14.588,14.997,
2004-06-01 03:20:00,0.000,15.563,14.741,14.691,14.593,14.999,
2004-06-01 03:25:00,0.000,15.559,14.745,14.694,14.596,15.000,
2004-06-01 03:30:00,0.000,15.552,14.748,14.696,14.599,15.001,
2004-06-01 03:35:00,0.000,15.544,14.750,14.698,14.600,15.001,
2004-06-01 03:40:00,0.000,15.534,14.751,14.698,14.600,15.001,
2004-06-01 03:45:00,0.000,15.522,14.751,14.698,14.600,15.001,
2004-06-01 03:50:00,0.000,15.511,14.751,14.697,14.599,15.000,
2004-06-01 03:55:00,0.000,15.498,14.750,14.697,14.598,15.000,
2004-06-01 04:00:00,0.000,15.485,14.749,14.695,14.597,14.999,
2004-06-01 04:05:00,0.000,15.463,14.740,14.687,14.587,14.995,
2004-06-01 04:10:00,0.000,15.437,14.728,14.675,14.574,14.990,
2004-06-01 04:15:00,0.000,15.409,14.713,14.662,14.558,14.984,
2004-06-01 04:20:00,0.000,15.378,14.697,14.646,14.541,14.977,
2004-06-01 04:25:00,0.000,15.346,14.679,14.630,14.522,14.970,
2004-06-01 04:30:00,0.000,15.313,14.661,14.613,14.502,14.963,
2004-06-01 04:35:00,0.000,15.279,14.641,14.595,14.482,14.955,
2004-06-01 04:40:00,0.000,15.244,14.621,14.577,14.461,14.947,
2004-06-01 04:45:00,0.000,15.207,14.600,14.558,14.439,14.939,
2004-06-01 04:50:00,0.000,15.170,14.579,14.539,14.418,14.931,
2004-06-01 04:55:00,0.000,15.132,14.557,14.520,14.395,14.923,
