cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,18.645,15.829,15.828,15.676,16.061,
2004-06-01 00:15:00,0.000,18.578,15.759,15.728,15.589,15.988,
2004-06-01 00:20:00,0.000,18.506,15.679,15.629,15.497,15.912,
2004-06-01 00:25:00,0.000,18.432,15.592,15.531,15.402,15.834,
2004-06-01 00:30:00,0.000,18.356,15.501,15.433,15.305,15.754,
2004-06-01 00:35:00,0.000,18.278,15.407,15.334,15.206,15.674,
2004-06-01 00:40:00,0.000,18.198,15.310,15.235,15.134,15.554,
2004-06-01 00:45:00,0.000,18.117,15.211,15.135,15.043,15.458,
2004-06-01 00:50:00,0.000,18.035,15.110,15.035,14.946,15.368,
2004-06-01 00:55:00,0.000,17.952,15.008,14.936,14.845,15.281,
2004-06-01 01:00:00,0.000,17.869,14.905,14.836,14.741,15.197,
2004-06-01 01:05:00,0.000,17.799,14.836,14.769,14.672,15.140,
2004-06-01 01:10:00,0.000,17.734,14.781,14.717,14.617,15.095,
2004-06-01 01:15:00,0.000,17.671,14.735,14.674,14.572,15.059,
2004-06-01 01:20:00,0.000,17.611,14.697,14.638,14.534,15.028,
2004-06-01 01:25:00,0.000,17.553,14.664,14.608,14.501,15.001,
2004-06-01 01:30:00,0.000,17.496,14.635,14.581,14.472,14.978,
2004-06-01 01:35:00,0.000,17.441,14.610,14.558,14.446,14.958,
2004-06-01 01:40:00,0.000,17.386,14.587,14.537,14.423,14.940,
2004-06-01 01:45:00,0.000,17.333,14.566,14.518,14.403,14.924,
2004-06-01 01:50:00,0.000,17.281,14.548,14.501,14.384,14.910,
2004-06-01 01:55:00,0.000,17.230,14.530,14.485,14.366,14.897,
2004-06-01 02:00:00,0.000,17.179,14.515,14.471,14.350,14.884,
2004-06-01 02:05:00,0.000,17.148,14.514,14.472,14.351,14.880,
2004-06-01 02:10:00,0.000,17.124,14.520,14.479,14.352,14.904,
2004-06-01 02:15:00,0.000,17.106,14.531,14.491,14.363,14.917,
2004-06-01 02:20:00,0.000,17.092,14.547,14.506,14.379,14.929,
2004-06-01 02:25:00,0.000,17.082,14.565,14.524,14.399,14.940,
2004-06-01 02:30:00,0.000,17.075,14.585,14.544,14.421,14.950,
2004-06-01 02:35:00,0.000,17.071,14.608,14.566,14.445,14.962,
2004-06-01 02:40:00,0.000,17.070,14.632,14.590,14.472,14.973,
2004-06-01 02:45:00,0.000,17.071,14.658,14.614,14.499,14.985,
2004-06-01 02:50:00,0.000,17.074,14.685,14.640,14.528,14.997,
2004-06-01 02:55:00,0.000,17.080,14.712,14.666,14.557,15.009,
2004-06-01 03:00:00,0.000,17.088,14.741,14.693,14.588,15.021,
2004-06-01 03:05:00,0.000,17.081,14.757,14.708,14.605,15.028,
2004-06-01 03:10:00,0.000,17.070,14.769,14.718,14.616,15.033,
2004-06-01 03:15:00,0.000,17.056,14.777,14.724,14.623,15.036,
2004-06-01 03:20:00,0.000,17.040,14.783,14.729,14.629,15.038,
2004-06-01 03:25:00,0.000,17.023,14.787,14.732,14.632,15.039,
2004-06-01 03:30:00,0.000,17.004,14.789,14.734,14.634,15.040,
2004-06-01 03:35:00,0.000,16.985,14.791,14.735,14.635,15.040,
2004-06-01 03:40:00,0.000,16.966,14.792,14.736,14.635,15.040,
2004-06-01 03:45:00,0.000,16.945,14.792,14.735,14.635,15.040,
2004-06-01 03:50:00,0.000,16.925,14.792,14.735,14.634,15.039,
2004-06-01 03:55:00,0.000,16.904,14.791,14.734,14.633,15.039,
2004-06-01 04:00:00,0.000,16.882,14.790,14.733,14.632,15.038,
2004-06-01 04:05:00,0.000,16.852,14.781,14.724,14.622,15.034,
2004-06-01 04:10:00,0.000,16.817,14.769,14.713,14.609,15.029,
2004-06-01 04:15:00,0.000,16.780,14.754,14.699,14.593,15.023,
2004-06-01 04:20:00,0.000,16.741,14.738,14.683,14.575,15.016,
2004-06-01 04:25:00,0.000,16.700,14.720,14.667,14.556,15.009,
2004-06-01 04:30:00,0.000,16.658,14.701,14.650,14.537,15.001,
2004-06-01 04:35:00,0.000,16.614,14.682,14.632,14.516,14.994,
2004-06-01 04:40:00,0.000,16.569,14.662,14.614,14.495,14.986,
2004-06-01 04:45:00,0.000,16.523,14.641,14.595,14.474,14.978,
2004-06-01 04:50:00,0.000,16.476,14.620,14.576,14.452,14.969,
2004-06-01 04:55:00,0.000,16.428,14.598,14.557,14.430,14.961,
2004-06-01 05:00:00,0.000,16.379,14.576,14.537,14.408,14.953,
2004-06-01 05:05:00,3.521,16.346,14.568,14.532,14.401,14.951,
2004-06-01 05:10:00,2.694,16.319,14.567,14.532,14.401,14.952,
2004-06-01 05:15:00,1.664,16.296,14.570,14.536,14.406,14.955,
2004-06-01 05:20:00,2.027,16.276,14.576,14.544,14.415,14.960,
2004-06-01 05:25:00,1.045,16.258,14.586,14.555,14.426,14.967,
2004-06-01 05:30:00,1.300,16.251,14.612,14.579,14.455,14.982,
2004-06-01 05:35:00,0.000,16.242,14.637,14.603,14.481,14.998,
2004-06-01 05:40:00,1.196,16.234,14.663,14.628,14.509,15.015,
2004-06-01 05:45:00,0.000,16.228,14.692,14.655,14.539,15.033,
2004-06-01 05:50:00,0.000,16.223,14.722,14.683,14.570,15.053,
2004-06-01 05:55:00,0.000,16.220,14.754,14.712,14.602,15.073,
2004-06-01 06:00:00,0.000,16.218,14.787,14.741,14.634,15.094,
2004-06-01 06:05:00,1.406,16.221,14.822,14.774,14.670,15.118,
2004-06-01 06:10:00,0.000,16.227,14.859,14.808,14.706,15.144,
2004-06-01 06:15:00,0.321,16.236,14.880,14.861,14.744,15.170,
2004-06-01 06:20:00,0.000,16.248,14.911,14.905,14.795,15.197,
2004-06-01 06:25:00,0.000,16.261,14.940,14.942,14.867,15.224,
2004-06-01 06:30:00,0.000,16.278,14.974,14.981,14.954,15.251,
2004-06-01 06:35:00,0.000,16.301,15.012,15.024,15.056,15.281,
2004-06-01 06:40:00,0.000,16.329,15.052,15.067,15.177,15.313,
2004-06-01 06:45:00,0.000,16.361,15.093,15.121,15.314,15.345,
2004-06-01 06:50:00,0.000,16.395,15.136,15.257,15.464,15.377,
2004-06-01 06:55:00,0.000,16.430,15.179,15.442,15.626,15.410,
2004-06-01 07:00:00,0.000,16.469,15.222,15.637,15.801,15.443,
2004-06-01 07:05:00,1.434,16.510,15.273,15.850,16.005,15.485,
2004-06-01 07:10:00,1.430,16.553,15.328,16.082,16.244,15.531,
2004-06-01 07:15:00,0.876,16.600,15.386,16.333,16.513,15.580,
2004-06-01 07:20:00,4.060,16.649,15.447,16.605,16.808,15.633,
2004-06-01 07:25:00,2.110,16.701,15.511,16.943,17.108,15.689,
2004-06-01 07:30:00,4.045,16.755,15.577,17.335,17.359,15.747,
2004-06-01 07:35:00,2.492,16.812,15.646,17.717,17.588,15.809,
2004-06-01 07:40:00,3.994,16.872,15.717,17.990,17.804,15.872,
2004-06-01 07:45:00,2.765,16.935,15.788,18.218,18.011,15.937,
2004-06-01 07:50:00,3.456,17.000,15.861,18.416,18.212,16.004,
2004-06-01 07:55:00,2.965,17.068,15.934,18.593,18.408,16.071,
2004-06-01 08:00:00,3.253,17.138,16.008,18.752,18.601,16.139,
2004-06-01 08:05:00,3.115,17.215,16.089,18.905,18.801,16.213,
2004-06-01 08:10:00,3.194,17.296,16.173,19.050,19.003,16.291,
2004-06-01 08:15:00,3.278,17.381,16.259,19.186,19.205,16.371,
2004-06-01 08:20:00,3.364,17.471,16.330,19.379,19.502,16.444,
2004-06-01 08:25:00,3.451,17.563,16.411,19.523,19.739,16.522,
2004-06-01 08:30:00,3.538,17.658,16.494,19.649,19.960,16.602,
2004-06-01 08:35:00,4.026,17.798,16.600,19.890,20.343,16.700,
2004-06-01 08:40:00,4.773,17.957,16.715,20.166,20.782,16.805,
2004-06-01 08:45:00,5.206,18.133,16.837,20.453,21.252,16.916,
