cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:05:00,0.000,19.303,15.881,15.955,15.764,16.139,
2004-06-01 00:10:00,0.000,19.235,15.838,15.837,15.683,16.070,
2004-06-01 00:15:00,0.000,19.162,15.768,15.736,15.596,15.997,
2004-06-01 00:20:00,0.000,19.085,15.688,15.638,15.505,15.921,
2004-06-01 00:25:00,0.000,19.005,15.601,15.540,15.410,15.843,
2004-06-01 00:30:00,0.000,18.922,15.510,15.441,15.313,15.763,
2004-06-01 00:35:00,0.000,18.836,15.416,15.343,15.214,15.683,
2004-06-01 00:40:00,0.000,18.749,15.319,15.244,15.143,15.563,
2004-06-01 00:45:00,0.000,18.661,15.220,15.144,15.052,15.467,
2004-06-01 00:50:00,0.000,18.570,15.120,15.044,14.955,15.377,
2004-06-01 00:55:00,0.000,18.479,15.018,14.945,14.854,15.290,
2004-06-01 01:00:00,0.000,18.387,14.915,14.845,14.750,15.206,
2004-06-01 01:05:00,0.000,18.311,14.846,14.778,14.681,15.149,
2004-06-01 01:10:00,0.000,18.241,14.791,14.726,14.627,15.104,
2004-06-01 01:15:00,0.000,18.174,14.745,14.684,14.582,15.068,
2004-06-01 01:20:00,0.000,18.110,14.707,14.648,14.543,15.037,
2004-06-01 01:25:00,0.000,18.048,14.674,14.617,14.511,15.010,
2004-06-01 01:30:00,0.000,17.988,14.645,14.591,14.482,14.988,
2004-06-01 01:35:00,0.000,17.929,14.620,14.567,14.456,14.967,
2004-06-01 01:40:00,0.000,17.872,14.597,14.546,14.433,14.950,
2004-06-01 01:45:00,0.000,17.816,14.577,14.528,14.413,14.934,
2004-06-01 01:50:00,0.000,17.761,14.558,14.511,14.394,14.919,
2004-06-01 01:55:00,0.000,17.708,14.541,14.495,14.376,14.906,
2004-06-01 02:00:00,0.000,17.655,14.525,14.481,14.360,14.894,
2004-06-01 02:05:00,0.000,17.621,14.524,14.481,14.361,14.890,
2004-06-01 02:10:00,0.000,17.594,14.531,14.489,14.362,14.914,
2004-06-01 02:15:00,0.000,17.573,14.542,14.501,14.373,14.927,
2004-06-01 02:20:00,0.000,17.556,14.557,14.516,14.389,14.938,
2004-06-01 02:25:00,0.000,17.542,14.575,14.534,14.408,14.949,
2004-06-01 02:30:00,0.000,17.533,14.596,14.554,14.430,14.960,
2004-06-01 02:35:00,0.000,17.526,14.619,14.576,14.455,14.972,
2004-06-01 02:40:00,0.000,17.522,14.643,14.599,14.481,14.983,
2004-06-01 02:45:00,0.000,17.520,14.669,14.624,14.508,14.995,
2004-06-01 02:50:00,0.000,17.521,14.695,14.649,14.537,15.007,
2004-06-01 02:55:00,0.000,17.524,14.723,14.676,14.567,15.019,
2004-06-01 03:00:00,0.000,17.529,14.751,14.702,14.597,15.031,
2004-06-01 03:05:00,0.000,17.520,14.768,14.717,14.614,15.038,
2004-06-01 03:10:00,0.000,17.507,14.779,14.727,14.625,15.043,
2004-06-01 03:15:00,0.000,17.491,14.788,14.734,14.633,15.046,
2004-06-01 03:20:00,0.000,17.473,14.793,14.739,14.638,15.048,
2004-06-01 03:25:00,0.000,17.454,14.797,14.742,14.641,15.049,
2004-06-01 03:30:00,0.000,17.434,14.800,14.744,14.643,15.050,
2004-06-01 03:35:00,0.000,17.414,14.802,14.745,14.644,15.050,
2004-06-01 03:40:00,0.000,17.392,14.802,14.745,14.644,15.050,
2004-06-01 03:45:00,0.000,17.371,14.803,14.745,14.644,15.050,
2004-06-01 03:50:00,0.000,17.348,14.802,14.745,14.643,15.050,
2004-06-01 03:55:00,0.000,17.326,14.801,14.744,14.642,15.049,
2004-06-01 04:00:00,0.000,17.303,14.800,14.742,14.641,15.048,
2004-06-01 04:05:00,0.000,17.271,14.792,14.734,14.631,15.044,
2004-06-01 04:10:00,0.000,17.235,14.779,14.722,14.618,15.039,
2004-06-01 04:15:00,0.000,17.196,14.765,14.708,14.602,15.033,
2004-06-01 04:20:00,0.000,17.155,14.748,14.693,14.584,15.026,
2004-06-01 04:25:00,0.000,17.112,14.731,14.677,14.565,15.019,
2004-06-01 04:30:00,0.000,17.068,14.712,14.660,14.546,15.012,
2004-06-01 04:35:00,0.000,17.022,14.692,14.642,14.525,15.004,
2004-06-01 04:40:00,0.000,16.976,14.672,14.624,14.504,14.996,
2004-06-01 04:45:00,0.000,16.928,14.652,14.605,14.483,14.988,
2004-06-01 04:50:00,0.000,16.879,14.630,14.586,14.461,14.979,
2004-06-01 04:55:00,0.000,16.829,14.609,14.567,14.439,14.971,
2004-06-01 05:00:00,0.000,16.778,14.587,14.547,14.416,14.963,
2004-06-01 05:05:00,3.243,16.743,14.579,14.541,14.410,14.961,
2004-06-01 05:10:00,2.623,16.714,14.578,14.542,14.410,14.962,
2004-06-01 05:15:00,2.142,16.689,14.581,14.546,14.415,14.965,
2004-06-01 05:20:00,1.992,16.668,14.587,14.553,14.424,14.970,
2004-06-01 05:25:00,1.607,16.648,14.597,14.564,14.435,14.977,
2004-06-01 05:30:00,1.213,16.639,14.622,14.589,14.463,14.992,
2004-06-01 05:35:00,0.384,16.628,14.647,14.612,14.490,15.007,
2004-06-01 05:40:00,0.812,16.619,14.674,14.637,14.518,15.024,
2004-06-01 05:45:00,0.422,16.611,14.702,14.664,14.547,15.043,
2004-06-01 05:50:00,0.000,16.605,14.732,14.692,14.578,15.062,
2004-06-01 05:55:00,0.000,16.600,14.764,14.720,14.610,15.082,
2004-06-01 06:00:00,0.000,16.597,14.797,14.750,14.642,15.103,
2004-06-01 06:05:00,1.415,16.598,14.832,14.783,14.677,15.127,
2004-06-01 06:10:00,0.000,16.603,14.869,14.816,14.714,15.153,
2004-06-01 06:15:00,0.326,16.611,14.889,14.870,14.751,15.179,
2004-06-01 06:20:00,0.000,16.621,14.920,14.915,14.803,15.207,
2004-06-01 06:25:00,0.000,16.632,14.949,14.952,14.875,15.233,
2004-06-01 06:30:00,0.000,16.648,14.983,14.991,14.962,15.261,
2004-06-01 06:35:00,0.000,16.670,15.021,15.034,15.064,15.291,
2004-06-01 06:40:00,0.000,16.696,15.061,15.077,15.185,15.322,
2004-06-01 06:45:00,0.000,16.727,15.102,15.131,15.322,15.354,
2004-06-01 06:50:00,0.000,16.759,15.145,15.267,15.472,15.387,
2004-06-01 06:55:00,0.000,16.794,15.188,15.452,15.634,15.420,
2004-06-01 07:00:00,0.000,16.831,15.231,15.647,15.809,15.453,
2004-06-01 07:05:00,1.431,16.871,15.283,15.860,16.013,15.495,
2004-06-01 07:10:00,1.434,16.914,15.338,16.092,16.252,15.541,
2004-06-01 07:15:00,1.703,16.960,15.396,16.343,16.521,15.590,
2004-06-01 07:20:00,4.494,17.009,15.456,16.615,16.817,15.643,
2004-06-01 07:25:00,2.428,17.060,15.520,16.953,17.116,15.698,
2004-06-01 07:30:00,4.335,17.114,15.587,17.345,17.367,15.757,
2004-06-01 07:35:00,2.740,17.172,15.656,17.727,17.596,15.819,
