cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,4.566,-10.815,0.000,12.610,14.638,18.816,17.786,24.727,24.591,
2004-06-01 00:15:00,0.000,5.226,-11.760,0.000,11.942,14.474,18.768,17.749,24.705,24.570,
2004-06-01 00:20:00,0.000,6.006,-12.749,0.000,11.902,14.319,18.734,17.699,24.683,24.549,
2004-06-01 00:25:00,0.000,6.620,-13.628,0.000,11.148,14.141,18.699,17.649,24.661,24.528,
2004-06-01 00:30:00,0.000,7.335,-14.545,0.000,10.858,13.971,18.661,17.602,24.639,24.506,
2004-06-01 00:35:00,0.000,7.871,-15.348,0.000,10.084,13.778,18.622,17.555,24.616,24.484,
2004-06-01 00:40:00,0.000,8.278,-16.057,0.000,9.156,13.566,18.582,17.510,24.595,24.460,
2004-06-01 00:45:00,0.000,8.724,-16.766,0.000,8.487,13.354,18.541,17.465,24.573,24.436,
2004-06-01 00:50:00,0.000,8.999,-17.363,0.000,7.660,13.118,18.500,17.422,24.551,24.413,
2004-06-01 00:55:00,0.000,8.796,-17.662,0.000,6.364,12.823,18.459,17.380,24.528,24.389,
2004-06-01 01:00:00,0.000,8.718,-17.989,0.000,5.506,12.533,18.418,17.339,24.504,24.366,
2004-06-01 01:05:00,0.000,9.261,-17.953,0.000,5.730,12.500,18.387,17.305,24.481,24.343,
2004-06-01 01:10:00,0.000,9.746,-17.993,0.000,5.947,12.478,18.357,17.274,24.459,24.321,
2004-06-01 01:15:00,0.000,10.189,-18.073,0.000,6.162,12.463,18.326,17.242,24.438,24.300,
2004-06-01 01:20:00,0.000,10.601,-18.179,0.000,6.376,12.454,18.298,17.212,24.417,24.280,
2004-06-01 01:25:00,0.000,11.401,-18.541,0.000,7.037,12.496,18.270,17.183,24.397,24.260,
2004-06-01 01:30:00,0.000,11.754,-18.695,0.000,7.251,12.495,18.243,17.155,24.378,24.241,
2004-06-01 01:35:00,0.000,12.095,-18.851,0.000,7.464,12.496,18.216,17.127,24.359,24.223,
2004-06-01 01:40:00,0.000,12.424,-19.013,0.000,7.675,12.497,18.191,17.101,24.341,24.205,
2004-06-01 01:45:00,0.000,12.745,-19.179,0.000,7.885,12.500,18.165,17.075,24.323,24.188,
2004-06-01 01:50:00,0.000,13.056,-19.349,0.000,8.094,12.503,18.140,17.050,24.306,24.172,
2004-06-01 01:55:00,0.000,13.169,-19.413,0.000,8.072,12.484,18.116,17.026,24.289,24.156,
2004-06-01 02:00:00,0.000,13.490,-19.590,0.000,8.296,12.489,18.092,17.002,24.272,24.140,
2004-06-01 02:05:00,0.000,12.961,-18.733,0.000,8.232,12.550,18.075,16.986,24.256,24.125,
2004-06-01 02:10:00,0.000,12.409,-17.897,0.000,8.167,12.614,18.059,16.972,24.239,24.111,
