cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,2.348,-8.978,0.000,3.258,14.280,18.822,17.793,24.813,24.678,
2004-06-01 00:15:00,0.000,2.645,-9.686,0.000,3.137,14.069,18.774,17.756,24.790,24.657,
2004-06-01 00:20:00,0.000,2.934,-10.353,0.000,3.012,13.849,18.739,17.705,24.768,24.635,
2004-06-01 00:25:00,0.000,3.208,-10.982,0.000,2.882,13.622,18.705,17.656,24.745,24.613,
2004-06-01 00:30:00,0.000,3.462,-11.576,0.000,2.748,13.387,18.666,17.608,24.723,24.590,
2004-06-01 00:35:00,0.000,3.689,-12.133,0.000,2.609,13.144,18.628,17.561,24.699,24.568,
2004-06-01 00:40:00,0.000,3.883,-12.653,0.000,2.463,12.894,18.588,17.516,24.678,24.544,
2004-06-01 00:45:00,0.000,4.038,-13.133,0.000,2.311,12.634,18.547,17.471,24.656,24.520,
2004-06-01 00:50:00,0.000,4.147,-13.569,0.000,2.151,12.365,18.506,17.428,24.633,24.496,
2004-06-01 00:55:00,0.000,4.198,-13.956,0.000,1.981,12.086,18.465,17.386,24.609,24.472,
2004-06-01 01:00:00,0.000,4.179,-14.286,0.000,1.799,11.794,18.424,17.346,24.586,24.448,
2004-06-01 01:05:00,0.000,4.434,-14.058,0.000,1.851,11.721,18.393,17.312,24.562,24.425,
2004-06-01 01:10:00,0.000,4.663,-13.909,0.000,1.899,11.660,18.363,17.280,24.540,24.402,
2004-06-01 01:15:00,0.000,4.877,-13.808,0.000,1.945,11.609,18.332,17.248,24.518,24.381,
2004-06-01 01:20:00,0.000,5.079,-13.742,0.000,1.991,11.565,18.304,17.219,24.497,24.360,
2004-06-01 01:25:00,0.000,5.273,-13.702,0.000,2.036,11.526,18.276,17.189,24.477,24.340,
2004-06-01 01:30:00,0.000,5.459,-13.682,0.000,2.080,11.491,18.249,17.161,24.457,24.321,
2004-06-01 01:35:00,0.000,5.640,-13.679,0.000,2.123,11.459,18.222,17.134,24.438,24.303,
2004-06-01 01:40:00,0.000,5.816,-13.688,0.000,2.166,11.430,18.197,17.108,24.419,24.285,
2004-06-01 01:45:00,0.000,5.988,-13.709,0.000,2.208,11.403,18.171,17.082,24.401,24.268,
2004-06-01 01:50:00,0.000,6.157,-13.738,0.000,2.249,11.378,18.147,17.057,24.384,24.251,
2004-06-01 01:55:00,0.000,6.322,-13.776,0.000,2.290,11.355,18.122,17.032,24.367,24.234,
2004-06-01 02:00:00,0.000,6.485,-13.820,0.000,2.330,11.333,18.098,17.008,24.350,24.218,
2004-06-01 02:05:00,0.000,6.270,-13.094,0.000,2.319,11.421,18.081,16.992,24.333,24.202,
2004-06-01 02:10:00,0.000,6.035,-12.417,0.000,2.307,11.518,18.065,16.978,24.316,24.189,
2004-06-01 02:15:00,0.000,5.786,-11.772,0.000,2.294,11.621,18.049,16.964,24.299,24.175,
2004-06-01 02:20:00,0.000,5.528,-11.153,0.000,2.282,11.729,18.036,16.952,24.283,24.162,
2004-06-01 02:25:00,0.000,5.262,-10.555,0.000,2.269,11.841,18.022,16.940,24.268,24.149,
2004-06-01 02:30:00,0.000,4.992,-9.974,0.000,2.256,11.957,18.010,16.930,24.254,24.136,
2004-06-01 02:35:00,0.000,4.717,-9.409,0.000,2.243,12.075,17.998,16.920,24.239,24.124,
2004-06-01 02:40:00,0.000,4.440,-8.856,0.000,2.229,12.196,17.987,16.912,24.226,24.112,
2004-06-01 02:45:00,0.000,4.160,-8.316,0.000,2.216,12.319,17.976,16.904,24.212,24.100,
2004-06-01 02:50:00,0.000,3.879,-7.786,0.000,2.202,12.444,17.967,16.897,24.200,24.088,
2004-06-01 02:55:00,0.000,3.597,-7.267,0.000,2.188,12.571,17.957,16.890,24.187,24.076,
2004-06-01 03:00:00,0.000,3.314,-6.756,0.000,2.174,12.700,17.949,16.884,24.174,24.065,
2004-06-01 03:05:00,0.000,3.308,-6.936,0.000,2.196,12.720,17.936,16.873,24.162,24.053,
2004-06-01 03:10:00,0.000,3.318,-7.080,0.000,2.219,12.733,17.922,16.862,24.150,24.042,
2004-06-01 03:15:00,0.000,3.338,-7.201,0.000,2.242,12.742,17.909,16.850,24.137,24.031,
2004-06-01 03:20:00,0.000,3.365,-7.306,0.000,2.265,12.747,17.896,16.839,24.125,24.020,
2004-06-01 03:25:00,0.000,3.397,-7.400,0.000,2.288,12.751,17.883,16.827,24.113,24.008,
2004-06-01 03:30:00,0.000,3.432,-7.485,0.000,2.311,12.752,17.869,16.816,24.100,23.997,
2004-06-01 03:35:00,0.000,3.471,-7.563,0.000,2.334,12.753,17.856,16.804,24.088,23.986,
2004-06-01 03:40:00,0.000,3.511,-7.636,0.000,2.356,12.752,17.843,16.793,24.076,23.975,
2004-06-01 03:45:00,0.000,3.554,-7.705,0.000,2.379,12.750,17.829,16.782,24.064,23.964,
2004-06-01 03:50:00,0.000,3.598,-7.771,0.000,2.401,12.748,17.816,16.770,24.051,23.952,
2004-06-01 03:55:00,0.000,3.643,-7.834,0.000,2.423,12.745,17.803,16.759,24.039,23.941,
2004-06-01 04:00:00,0.000,3.690,-7.895,0.000,2.445,12.742,17.790,16.748,24.027,23.930,
2004-06-01 04:05:00,0.000,3.896,-8.371,0.000,2.461,12.668,17.775,16.735,24.021,23.925,
2004-06-01 04:10:00,0.000,4.118,-8.821,0.000,2.479,12.588,17.759,16.721,24.012,23.918,
2004-06-01 04:15:00,0.000,4.351,-9.255,0.000,2.497,12.506,17.744,16.708,24.006,23.912,
2004-06-01 04:20:00,0.000,4.594,-9.675,0.000,2.514,12.421,17.728,16.694,23.999,23.907,
2004-06-01 04:25:00,0.000,4.844,-10.087,0.000,2.532,12.334,17.712,16.680,23.992,23.901,
2004-06-01 04:30:00,0.000,5.101,-10.491,0.000,2.549,12.245,17.696,16.666,23.984,23.894,
2004-06-01 04:35:00,0.000,5.364,-10.890,0.000,2.567,12.155,17.681,16.652,23.976,23.887,
2004-06-01 04:40:00,0.000,5.631,-11.285,0.000,2.584,12.065,17.664,16.637,23.967,23.880,
2004-06-01 04:45:00,0.000,5.904,-11.677,0.000,2.601,11.973,17.648,16.623,23.958,23.873,
2004-06-01 04:50:00,0.000,6.181,-12.066,0.000,2.618,11.881,17.632,16.609,23.949,23.865,
2004-06-01 04:55:00,0.000,6.463,-12.453,0.000,2.635,11.789,17.616,16.595,23.940,23.857,
2004-06-01 05:00:00,0.000,6.748,-12.839,0.000,2.652,11.696,17.600,16.580,23.930,23.848,
2004-06-01 05:05:00,9.544,6.737,-12.459,0.000,2.674,11.730,17.588,16.571,23.921,23.841,
2004-06-01 05:10:00,9.605,6.702,-12.124,0.000,2.694,11.771,17.578,16.563,23.887,23.809,
2004-06-01 05:15:00,9.666,6.650,-11.816,0.000,2.714,11.818,17.567,16.554,23.849,23.773,
2004-06-01 05:20:00,9.728,6.585,-11.528,0.000,2.734,11.869,17.557,16.547,23.815,23.740,
2004-06-01 05:25:00,9.789,6.510,-11.255,0.000,2.754,11.923,17.548,16.539,23.784,23.710,
2004-06-01 05:30:00,9.851,6.268,-11.275,0.648,2.773,12.036,17.543,16.537,23.756,23.683,
2004-06-01 05:35:00,9.914,6.126,-11.113,0.807,2.792,12.111,17.535,16.531,23.731,23.658,
2004-06-01 05:40:00,9.976,5.978,-10.955,0.964,2.811,12.187,17.529,16.527,23.708,23.636,
2004-06-01 05:45:00,10.039,5.824,-10.804,1.120,2.830,12.265,17.522,16.523,23.687,23.615,
2004-06-01 05:50:00,10.101,5.647,-10.688,1.346,2.848,12.350,17.517,16.520,23.667,23.596,
2004-06-01 05:55:00,10.164,5.442,-10.616,1.658,2.867,12.444,17.511,16.517,23.649,23.579,
2004-06-01 06:00:00,10.228,5.219,-10.570,2.008,2.885,12.542,17.507,16.514,23.632,23.562,
2004-06-01 06:05:00,10.329,4.955,-10.534,2.398,2.874,12.643,17.504,16.514,23.639,23.570,
2004-06-01 06:10:00,10.431,4.678,-10.524,2.825,2.863,12.749,17.501,16.515,23.643,23.573,
2004-06-01 06:15:00,10.534,4.390,-10.538,3.290,2.851,12.859,17.427,16.572,23.646,23.577,
2004-06-01 06:20:00,10.636,4.096,-10.566,3.766,2.839,12.972,17.418,16.580,23.648,23.580,
2004-06-01 06:25:00,10.740,3.803,-10.597,4.230,2.828,13.085,17.407,16.587,23.650,23.583,
2004-06-01 06:30:00,10.843,3.486,-10.677,4.791,2.816,13.208,17.401,16.594,23.652,23.586,
2004-06-01 06:35:00,10.947,3.076,-10.926,5.720,2.804,13.365,17.395,16.602,23.653,23.589,
2004-06-01 06:40:00,11.052,2.650,-11.212,6.686,2.790,13.528,17.393,16.610,23.654,23.591,
2004-06-01 06:45:00,11.157,2.230,-11.495,7.608,2.776,13.691,17.390,16.619,23.655,23.592,
2004-06-01 06:50:00,11.263,1.797,-11.810,8.576,2.762,13.859,17.389,16.627,23.656,23.594,
2004-06-01 06:55:00,11.369,1.351,-12.157,9.589,2.747,14.034,17.388,16.636,23.661,23.595,
