cur_datetime,sensWaste,roof_Conv_w_m2,roof_netThermalRad_w_m2,roof_solarRad_w_m2,roof_hConv_w_m2_K,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,1.905,-8.570,0.000,2.380,14.200,18.823,17.794,24.830,24.696,
2004-06-01 00:15:00,0.000,2.147,-9.245,0.000,2.309,13.982,18.775,17.757,24.808,24.674,
2004-06-01 00:20:00,0.000,2.385,-9.880,0.000,2.235,13.756,18.741,17.707,24.785,24.652,
2004-06-01 00:25:00,0.000,2.615,-10.480,0.000,2.158,13.523,18.706,17.657,24.763,24.630,
2004-06-01 00:30:00,0.000,2.833,-11.047,0.000,2.076,13.283,18.668,17.610,24.740,24.608,
2004-06-01 00:35:00,0.000,3.032,-11.583,0.000,1.991,13.036,18.629,17.563,24.716,24.585,
2004-06-01 00:40:00,0.000,3.210,-12.088,0.000,1.901,12.782,18.589,17.517,24.694,24.561,
2004-06-01 00:45:00,0.000,3.361,-12.561,0.000,1.806,12.521,18.549,17.473,24.672,24.536,
2004-06-01 00:50:00,0.000,3.479,-12.999,0.000,1.704,12.252,18.507,17.430,24.649,24.512,
2004-06-01 00:55:00,0.000,3.556,-13.398,0.000,1.594,11.975,18.466,17.387,24.626,24.488,
2004-06-01 01:00:00,0.000,3.583,-13.754,0.000,1.475,11.688,18.425,17.347,24.602,24.465,
2004-06-01 01:05:00,0.000,3.789,-13.500,0.000,1.511,11.609,18.394,17.313,24.579,24.441,
2004-06-01 01:10:00,0.000,3.971,-13.322,0.000,1.543,11.542,18.364,17.281,24.556,24.419,
2004-06-01 01:15:00,0.000,4.141,-13.191,0.000,1.574,11.485,18.334,17.249,24.534,24.397,
2004-06-01 01:20:00,0.000,4.301,-13.095,0.000,1.604,11.435,18.305,17.220,24.513,24.377,
2004-06-01 01:25:00,0.000,4.454,-13.026,0.000,1.634,11.390,18.277,17.190,24.493,24.357,
2004-06-01 01:30:00,0.000,4.601,-12.976,0.000,1.663,11.349,18.250,17.163,24.473,24.337,
2004-06-01 01:35:00,0.000,4.743,-12.942,0.000,1.691,11.311,18.224,17.135,24.454,24.319,
2004-06-01 01:40:00,0.000,4.881,-12.922,0.000,1.719,11.276,18.198,17.109,24.435,24.301,
2004-06-01 01:45:00,0.000,5.016,-12.913,0.000,1.746,11.243,18.172,17.083,24.417,24.283,
2004-06-01 01:50:00,0.000,5.148,-12.913,0.000,1.773,11.212,18.148,17.058,24.400,24.266,
2004-06-01 01:55:00,0.000,5.278,-12.921,0.000,1.799,11.182,18.123,17.033,24.382,24.250,
2004-06-01 02:00:00,0.000,5.405,-12.935,0.000,1.825,11.154,18.100,17.010,24.365,24.234,
2004-06-01 02:05:00,0.000,5.234,-12.225,0.000,1.818,11.246,18.082,16.994,24.349,24.218,
2004-06-01 02:10:00,0.000,5.044,-11.568,0.000,1.810,11.347,18.066,16.979,24.331,24.204,
2004-06-01 02:15:00,0.000,4.842,-10.948,0.000,1.802,11.455,18.051,16.965,24.315,24.191,
