cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,14.552,15.787,15.784,15.638,16.016,
2004-06-01 00:15:00,0.000,14.375,15.715,15.683,15.550,15.942,
2004-06-01 00:20:00,0.000,14.192,15.633,15.585,15.458,15.865,
2004-06-01 00:25:00,0.000,14.003,15.546,15.486,15.362,15.786,
2004-06-01 00:30:00,0.000,13.806,15.453,15.387,15.264,15.706,
2004-06-01 00:35:00,0.000,13.603,15.358,15.288,15.164,15.625,
2004-06-01 00:40:00,0.000,13.394,15.260,15.187,15.089,15.506,
2004-06-01 00:45:00,0.000,13.179,15.160,15.087,14.996,15.410,
2004-06-01 00:50:00,0.000,12.958,15.058,14.986,14.897,15.319,
2004-06-01 00:55:00,0.000,12.732,14.955,14.885,14.794,15.232,
2004-06-01 01:00:00,0.000,12.501,14.851,14.784,14.689,15.147,
2004-06-01 01:05:00,0.000,12.477,14.780,14.717,14.619,15.089,
2004-06-01 01:10:00,0.000,12.446,14.724,14.664,14.563,15.044,
2004-06-01 01:15:00,0.000,12.421,14.678,14.620,14.517,15.007,
2004-06-01 01:20:00,0.000,12.401,14.639,14.584,14.477,14.976,
2004-06-01 01:25:00,0.000,12.384,14.605,14.553,14.444,14.949,
2004-06-01 01:30:00,0.000,12.370,14.575,14.526,14.414,14.926,
2004-06-01 01:35:00,0.000,12.357,14.549,14.502,14.387,14.905,
2004-06-01 01:40:00,0.000,12.346,14.526,14.480,14.364,14.887,
2004-06-01 01:45:00,0.000,12.336,14.504,14.461,14.342,14.870,
2004-06-01 01:50:00,0.000,12.327,14.485,14.444,14.322,14.855,
2004-06-01 01:55:00,0.000,12.319,14.467,14.428,14.304,14.842,
2004-06-01 02:00:00,0.000,12.312,14.451,14.413,14.287,14.829,
2004-06-01 02:05:00,0.000,12.381,14.449,14.413,14.287,14.825,
2004-06-01 02:10:00,0.000,12.450,14.455,14.419,14.291,14.846,
2004-06-01 02:15:00,0.000,12.521,14.465,14.431,14.302,14.858,
2004-06-01 02:20:00,0.000,12.595,14.480,14.446,14.318,14.868,
2004-06-01 02:25:00,0.000,12.671,14.497,14.463,14.338,14.878,
2004-06-01 02:30:00,0.000,12.749,14.518,14.483,14.360,14.888,
2004-06-01 02:35:00,0.000,12.829,14.540,14.504,14.385,14.899,
2004-06-01 02:40:00,0.000,12.910,14.563,14.527,14.411,14.909,
2004-06-01 02:45:00,0.000,12.993,14.588,14.551,14.438,14.920,
2004-06-01 02:50:00,0.000,13.077,14.615,14.576,14.466,14.931,
2004-06-01 02:55:00,0.000,13.162,14.642,14.602,14.496,14.943,
2004-06-01 03:00:00,0.000,13.249,14.670,14.628,14.526,14.955,
2004-06-01 03:05:00,0.000,13.256,14.686,14.643,14.542,14.961,
2004-06-01 03:10:00,0.000,13.263,14.697,14.652,14.553,14.965,
2004-06-01 03:15:00,0.000,13.268,14.704,14.659,14.561,14.968,
2004-06-01 03:20:00,0.000,13.272,14.710,14.663,14.566,14.969,
2004-06-01 03:25:00,0.000,13.274,14.713,14.666,14.569,14.970,
2004-06-01 03:30:00,0.000,13.276,14.716,14.668,14.571,14.970,
2004-06-01 03:35:00,0.000,13.277,14.717,14.668,14.571,14.970,
2004-06-01 03:40:00,0.000,13.278,14.717,14.668,14.571,14.970,
2004-06-01 03:45:00,0.000,13.279,14.717,14.668,14.571,14.969,
2004-06-01 03:50:00,0.000,13.279,14.716,14.667,14.570,14.968,
2004-06-01 03:55:00,0.000,13.279,14.715,14.666,14.569,14.967,
2004-06-01 04:00:00,0.000,13.279,14.714,14.664,14.567,14.966,
2004-06-01 04:05:00,0.000,13.226,14.704,14.656,14.557,14.962,
2004-06-01 04:10:00,0.000,13.174,14.692,14.644,14.543,14.956,
2004-06-01 04:15:00,0.000,13.120,14.677,14.629,14.527,14.950,
2004-06-01 04:20:00,0.000,13.065,14.660,14.614,14.509,14.943,
2004-06-01 04:25:00,0.000,13.010,14.642,14.597,14.490,14.935,
2004-06-01 04:30:00,0.000,12.954,14.623,14.580,14.470,14.928,
2004-06-01 04:35:00,0.000,12.899,14.603,14.562,14.450,14.920,
2004-06-01 04:40:00,0.000,12.843,14.582,14.543,14.428,14.911,
2004-06-01 04:45:00,0.000,12.787,14.561,14.524,14.407,14.903,
2004-06-01 04:50:00,0.000,12.732,14.540,14.505,14.384,14.895,
2004-06-01 04:55:00,0.000,12.677,14.518,14.486,14.362,14.886,
2004-06-01 05:00:00,0.000,12.621,14.495,14.466,14.339,14.877,
2004-06-01 05:05:00,5.550,12.659,14.487,14.460,14.332,14.875,
2004-06-01 05:10:00,0.487,12.695,14.485,14.460,14.332,14.876,
2004-06-01 05:15:00,0.429,12.734,14.488,14.464,14.336,14.879,
2004-06-01 05:20:00,0.275,12.775,14.495,14.472,14.345,14.884,
2004-06-01 05:25:00,0.230,12.817,14.505,14.483,14.357,14.892,
2004-06-01 05:30:00,0.000,12.899,14.531,14.508,14.386,14.908,
2004-06-01 05:35:00,0.000,12.952,14.557,14.533,14.414,14.924,
2004-06-01 05:40:00,0.000,13.007,14.585,14.559,14.443,14.942,
2004-06-01 05:45:00,0.000,13.062,14.615,14.586,14.474,14.961,
2004-06-01 05:50:00,0.000,13.117,14.646,14.615,14.506,14.981,
2004-06-01 05:55:00,0.000,13.173,14.679,14.644,14.538,15.002,
2004-06-01 06:00:00,0.000,13.230,14.712,14.674,14.571,15.023,
2004-06-01 06:05:00,1.310,13.296,14.748,14.707,14.606,15.047,
2004-06-01 06:10:00,0.000,13.368,14.785,14.740,14.643,15.071,
2004-06-01 06:15:00,0.301,13.444,14.809,14.789,14.680,15.097,
2004-06-01 06:20:00,0.000,13.523,14.841,14.832,14.731,15.124,
2004-06-01 06:25:00,0.000,13.598,14.871,14.867,14.803,15.149,
2004-06-01 06:30:00,0.000,13.687,14.904,14.905,14.889,15.176,
2004-06-01 06:35:00,0.000,13.799,14.942,14.946,14.992,15.205,
2004-06-01 06:40:00,0.000,13.918,14.982,14.989,15.112,15.236,
2004-06-01 06:45:00,0.000,14.042,15.024,15.042,15.249,15.267,
2004-06-01 06:50:00,0.000,14.159,15.066,15.176,15.399,15.299,
2004-06-01 06:55:00,0.000,14.281,15.109,15.361,15.561,15.331,
2004-06-01 07:00:00,0.000,14.409,15.153,15.556,15.736,15.364,
2004-06-01 07:05:00,1.511,14.551,15.204,15.769,15.940,15.406,
2004-06-01 07:10:00,1.734,14.697,15.259,16.002,16.180,15.451,
2004-06-01 07:15:00,2.930,14.846,15.317,16.254,16.450,15.500,
2004-06-01 07:20:00,1.793,14.992,15.378,16.525,16.745,15.552,
2004-06-01 07:25:00,1.897,15.138,15.442,16.865,17.046,15.608,
2004-06-01 07:30:00,1.468,15.285,15.509,17.257,17.297,15.667,
2004-06-01 07:35:00,0.992,15.432,15.577,17.640,17.526,15.728,
2004-06-01 07:40:00,0.775,15.580,15.648,17.913,17.742,15.791,
2004-06-01 07:45:00,1.107,15.728,15.720,18.141,17.950,15.856,
2004-06-01 07:50:00,1.212,15.876,15.792,18.340,18.151,15.922,
2004-06-01 07:55:00,1.736,16.026,15.865,18.516,18.347,15.989,
2004-06-01 08:00:00,1.643,16.175,15.939,18.676,18.540,16.057,
2004-06-01 08:05:00,1.745,16.351,16.020,18.829,18.741,16.132,
2004-06-01 08:10:00,1.719,16.529,16.104,18.974,18.943,16.209,
2004-06-01 08:15:00,1.894,16.708,16.191,19.110,19.145,16.289,
2004-06-01 08:20:00,2.057,16.896,16.262,19.304,19.443,16.362,
2004-06-01 08:25:00,2.211,17.080,16.343,19.449,19.680,16.441,
2004-06-01 08:30:00,2.356,17.266,16.427,19.574,19.901,16.522,
2004-06-01 08:35:00,2.493,17.638,16.533,19.817,20.285,16.619,
2004-06-01 08:40:00,2.623,18.012,16.649,20.093,20.725,16.725,
2004-06-01 08:45:00,2.746,18.394,16.771,20.380,21.195,16.837,
2004-06-01 08:50:00,2.864,18.783,16.899,20.669,21.683,16.953,
2004-06-01 08:55:00,2.976,19.178,17.029,20.952,22.180,17.073,
2004-06-01 09:00:00,3.082,19.577,17.163,21.224,22.682,17.195,
2004-06-01 09:05:00,3.203,20.029,17.320,21.504,23.206,17.340,
2004-06-01 09:10:00,3.780,20.481,17.487,21.776,23.735,17.494,
2004-06-01 09:15:00,4.129,20.937,17.662,22.036,24.265,17.657,
2004-06-01 09:20:00,4.978,21.396,17.841,22.280,24.791,17.824,
2004-06-01 09:25:00,5.556,21.858,18.025,22.508,25.312,17.996,
2004-06-01 09:30:00,6.543,22.323,18.211,22.718,25.825,18.172,
2004-06-01 09:35:00,7.304,22.674,18.387,22.861,26.240,18.340,
2004-06-01 09:40:00,8.005,23.032,18.559,22.970,26.615,18.505,
2004-06-01 09:45:00,8.675,23.389,18.730,23.053,26.963,18.670,
2004-06-01 09:50:00,9.313,23.744,18.899,23.114,27.292,18.834,
2004-06-01 09:55:00,9.931,24.099,19.068,23.156,27.604,18.998,
2004-06-01 10:00:00,10.926,24.453,19.236,23.182,27.901,19.162,
2004-06-01 10:05:00,11.660,24.788,19.399,23.188,28.183,19.325,
2004-06-01 10:10:00,12.395,25.123,19.561,23.177,28.453,19.488,
2004-06-01 10:15:00,13.097,25.457,19.722,23.152,28.710,19.651,
2004-06-01 10:20:00,13.800,25.791,19.881,23.112,28.956,19.813,
2004-06-01 10:25:00,14.490,26.125,20.040,23.059,29.191,19.976,
2004-06-01 10:30:00,15.162,26.457,20.198,22.992,29.415,20.138,
2004-06-01 10:35:00,15.832,26.841,20.361,22.922,29.661,20.305,
2004-06-01 10:40:00,16.505,27.221,20.525,22.842,29.908,20.473,
2004-06-01 10:45:00,17.174,27.601,20.691,22.749,30.148,20.643,
2004-06-01 10:50:00,17.835,27.981,20.857,22.643,30.381,20.814,
2004-06-01 10:55:00,18.487,28.361,21.023,22.523,30.603,20.985,
2004-06-01 11:00:00,19.128,28.740,21.190,22.389,30.815,21.156,
2004-06-01 11:05:00,16.366,29.044,21.333,22.227,30.982,21.306,
2004-06-01 11:10:00,16.781,29.352,21.617,22.182,31.126,21.447,
2004-06-01 11:15:00,17.222,29.655,21.954,22.185,31.251,21.583,
2004-06-01 11:20:00,17.662,29.956,22.326,22.215,31.359,21.713,
2004-06-01 11:25:00,18.106,30.254,22.725,22.265,31.450,21.841,
2004-06-01 11:30:00,18.547,30.549,23.144,22.328,31.525,21.966,
2004-06-01 11:35:00,19.002,30.820,23.602,22.443,31.551,22.102,
2004-06-01 11:40:00,19.443,31.098,24.056,22.541,31.579,22.228,
2004-06-01 11:45:00,19.879,31.372,24.515,22.638,31.594,22.351,
2004-06-01 11:50:00,20.295,31.643,24.981,22.736,31.596,22.471,
2004-06-01 11:55:00,20.704,31.910,25.453,22.836,31.583,22.589,
2004-06-01 12:00:00,21.137,32.174,25.931,22.937,31.556,22.705,
2004-06-01 12:05:00,24.830,32.471,26.426,23.047,31.531,22.832,
2004-06-01 12:10:00,25.483,32.763,26.930,23.163,31.497,22.963,
2004-06-01 12:15:00,26.097,33.052,27.441,23.281,31.450,23.097,
2004-06-01 12:20:00,26.711,33.339,27.958,23.402,31.390,23.231,
2004-06-01 12:25:00,27.320,33.622,28.480,23.524,31.316,23.366,
2004-06-01 12:30:00,27.959,33.902,29.005,23.648,31.227,23.502,
2004-06-01 12:35:00,28.638,34.386,29.604,23.797,31.199,23.660,
2004-06-01 12:40:00,29.330,34.847,30.234,23.956,31.176,23.826,
2004-06-01 12:45:00,30.031,35.309,30.887,24.122,31.144,23.997,
2004-06-01 12:50:00,30.738,35.767,31.555,24.293,31.097,24.172,
2004-06-01 12:55:00,31.457,36.222,32.236,24.467,31.031,24.349,
2004-06-01 13:00:00,32.186,36.673,32.928,24.643,30.944,24.528,
2004-06-01 13:05:00,32.895,37.100,33.623,24.816,30.827,24.703,
2004-06-01 13:10:00,33.574,37.523,34.322,24.989,30.682,24.878,
2004-06-01 13:15:00,34.282,37.941,35.026,25.161,30.511,25.051,
2004-06-01 13:20:00,34.994,38.352,35.733,25.334,30.313,25.224,
2004-06-01 13:25:00,35.710,38.757,36.442,25.506,30.086,25.396,
2004-06-01 13:30:00,36.429,39.155,37.154,25.679,29.832,25.567,
2004-06-01 13:35:00,37.071,39.197,37.703,25.808,29.476,25.700,
2004-06-01 13:40:00,37.702,39.269,38.195,25.920,29.078,25.816,
2004-06-01 13:45:00,38.330,39.326,38.649,26.021,28.651,25.923,
2004-06-01 13:50:00,38.954,39.376,39.077,26.115,28.200,26.022,
2004-06-01 13:55:00,39.576,39.419,39.483,26.204,27.731,26.116,
