cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,14.677,15.785,15.781,15.636,16.013,
2004-06-01 00:15:00,0.000,14.477,15.713,15.681,15.548,15.939,
2004-06-01 00:20:00,0.000,14.303,15.632,15.582,15.456,15.863,
2004-06-01 00:25:00,0.000,14.120,15.544,15.484,15.360,15.784,
2004-06-01 00:30:00,0.000,13.990,15.452,15.385,15.262,15.704,
2004-06-01 00:35:00,0.000,13.800,15.356,15.285,15.162,15.622,
2004-06-01 00:40:00,0.000,13.600,15.258,15.185,15.087,15.504,
2004-06-01 00:45:00,0.000,13.434,15.158,15.085,14.994,15.408,
2004-06-01 00:50:00,0.000,13.213,15.056,14.984,14.895,15.317,
2004-06-01 00:55:00,0.000,12.975,14.953,14.883,14.793,15.230,
2004-06-01 01:00:00,0.000,12.715,14.849,14.782,14.688,15.145,
2004-06-01 01:05:00,0.000,12.693,14.779,14.715,14.617,15.088,
2004-06-01 01:10:00,0.000,12.675,14.723,14.662,14.561,15.043,
2004-06-01 01:15:00,0.000,12.663,14.677,14.619,14.515,15.005,
2004-06-01 01:20:00,0.000,12.656,14.637,14.582,14.476,14.974,
2004-06-01 01:25:00,0.000,12.652,14.604,14.551,14.442,14.947,
2004-06-01 01:30:00,0.000,12.649,14.574,14.524,14.412,14.924,
2004-06-01 01:35:00,0.000,12.649,14.548,14.500,14.386,14.904,
2004-06-01 01:40:00,0.000,12.649,14.524,14.479,14.362,14.885,
2004-06-01 01:45:00,0.000,12.650,14.503,14.459,14.341,14.869,
2004-06-01 01:50:00,0.000,12.653,14.484,14.442,14.321,14.854,
2004-06-01 01:55:00,0.000,12.586,14.466,14.426,14.303,14.840,
2004-06-01 02:00:00,0.000,12.587,14.449,14.411,14.286,14.828,
2004-06-01 02:05:00,0.000,12.645,14.448,14.411,14.286,14.823,
2004-06-01 02:10:00,0.000,12.706,14.453,14.418,14.289,14.845,
2004-06-01 02:15:00,0.000,12.770,14.464,14.429,14.301,14.857,
2004-06-01 02:20:00,0.000,12.836,14.479,14.444,14.317,14.867,
2004-06-01 02:25:00,0.000,12.904,14.496,14.462,14.337,14.877,
2004-06-01 02:30:00,0.000,12.974,14.516,14.481,14.359,14.887,
2004-06-01 02:35:00,0.000,13.045,14.539,14.503,14.384,14.897,
2004-06-01 02:40:00,0.000,13.117,14.562,14.526,14.410,14.908,
2004-06-01 02:45:00,0.000,13.191,14.587,14.550,14.437,14.919,
2004-06-01 02:50:00,0.000,13.266,14.614,14.575,14.465,14.930,
2004-06-01 02:55:00,0.000,13.341,14.641,14.600,14.495,14.942,
2004-06-01 03:00:00,0.000,13.418,14.669,14.627,14.525,14.954,
2004-06-01 03:05:00,0.000,13.428,14.685,14.642,14.542,14.960,
2004-06-01 03:10:00,0.000,13.436,14.696,14.651,14.552,14.964,
2004-06-01 03:15:00,0.000,13.442,14.704,14.658,14.560,14.967,
2004-06-01 03:20:00,0.000,13.378,14.709,14.662,14.565,14.968,
2004-06-01 03:25:00,0.000,13.380,14.713,14.665,14.568,14.969,
2004-06-01 03:30:00,0.000,13.381,14.715,14.667,14.570,14.970,
2004-06-01 03:35:00,0.000,13.383,14.716,14.667,14.571,14.969,
2004-06-01 03:40:00,0.000,13.384,14.717,14.667,14.571,14.969,
2004-06-01 03:45:00,0.000,13.386,14.716,14.667,14.570,14.968,
2004-06-01 03:50:00,0.000,13.387,14.716,14.666,14.569,14.967,
2004-06-01 03:55:00,0.000,13.388,14.715,14.665,14.568,14.966,
2004-06-01 04:00:00,0.000,13.390,14.713,14.664,14.567,14.965,
2004-06-01 04:05:00,0.000,13.343,14.704,14.655,14.557,14.961,
2004-06-01 04:10:00,0.000,13.294,14.691,14.643,14.543,14.956,
2004-06-01 04:15:00,0.000,13.245,14.676,14.629,14.527,14.949,
2004-06-01 04:20:00,0.000,13.195,14.660,14.613,14.509,14.942,
2004-06-01 04:25:00,0.000,13.144,14.642,14.597,14.490,14.935,
2004-06-01 04:30:00,0.000,13.094,14.622,14.579,14.470,14.927,
2004-06-01 04:35:00,0.000,13.043,14.603,14.561,14.449,14.919,
2004-06-01 04:40:00,0.000,12.993,14.582,14.543,14.428,14.911,
2004-06-01 04:45:00,0.000,12.943,14.561,14.524,14.406,14.903,
2004-06-01 04:50:00,0.000,12.892,14.539,14.505,14.384,14.894,
2004-06-01 04:55:00,0.000,12.843,14.517,14.485,14.362,14.886,
2004-06-01 05:00:00,0.000,12.793,14.495,14.465,14.339,14.877,
2004-06-01 05:05:00,5.558,12.829,14.487,14.459,14.332,14.875,
2004-06-01 05:10:00,0.485,12.867,14.485,14.459,14.332,14.876,
2004-06-01 05:15:00,0.421,12.907,14.488,14.464,14.336,14.879,
2004-06-01 05:20:00,0.270,12.948,14.494,14.471,14.344,14.884,
2004-06-01 05:25:00,0.225,12.991,14.505,14.482,14.357,14.891,
2004-06-01 05:30:00,0.000,13.069,14.531,14.508,14.386,14.907,
2004-06-01 05:35:00,0.000,13.122,14.557,14.532,14.414,14.924,
2004-06-01 05:40:00,0.000,13.269,14.585,14.559,14.443,14.942,
2004-06-01 05:45:00,0.000,13.321,14.615,14.586,14.474,14.961,
2004-06-01 05:50:00,0.000,13.373,14.646,14.615,14.506,14.981,
