cur_datetime,sensWaste,roof_Text_c,s_wall_Text_c,n_wall_Text_c,e_wall_Text_c,w_wall_Text_c,
2004-06-01 00:10:00,0.000,14.279,15.793,15.791,15.644,16.022,
2004-06-01 00:15:00,0.000,14.074,15.721,15.690,15.556,15.948,
2004-06-01 00:20:00,0.000,13.861,15.639,15.591,15.463,15.871,
2004-06-01 00:25:00,0.000,13.641,15.551,15.493,15.367,15.792,
2004-06-01 00:30:00,0.000,13.413,15.459,15.393,15.269,15.712,
2004-06-01 00:35:00,0.000,13.177,15.363,15.294,15.169,15.631,
2004-06-01 00:40:00,0.000,12.933,15.265,15.194,15.094,15.512,
2004-06-01 00:45:00,0.000,12.681,15.165,15.093,15.001,15.415,
2004-06-01 00:50:00,0.000,12.419,15.063,14.992,14.902,15.324,
2004-06-01 00:55:00,0.000,12.146,14.960,14.891,14.800,15.237,
2004-06-01 01:00:00,0.000,11.861,14.856,14.790,14.695,15.152,
2004-06-01 01:05:00,0.000,11.793,14.785,14.722,14.624,15.095,
2004-06-01 01:10:00,0.000,11.737,14.729,14.669,14.568,15.049,
2004-06-01 01:15:00,0.000,11.690,14.683,14.626,14.522,15.012,
2004-06-01 01:20:00,0.000,11.650,14.644,14.589,14.482,14.980,
2004-06-01 01:25:00,0.000,11.615,14.610,14.558,14.449,14.953,
2004-06-01 01:30:00,0.000,11.584,14.580,14.531,14.419,14.930,
2004-06-01 01:35:00,0.000,11.556,14.554,14.507,14.392,14.909,
2004-06-01 01:40:00,0.000,11.530,14.530,14.485,14.368,14.891,
2004-06-01 01:45:00,0.000,11.507,14.509,14.466,14.347,14.875,
2004-06-01 01:50:00,0.000,11.485,14.489,14.448,14.327,14.860,
2004-06-01 01:55:00,0.000,11.465,14.471,14.432,14.309,14.846,
2004-06-01 02:00:00,0.000,11.446,14.455,14.417,14.292,14.833,
2004-06-01 02:05:00,0.000,11.532,14.453,14.417,14.292,14.829,
2004-06-01 02:10:00,0.000,11.625,14.459,14.424,14.295,14.850,
2004-06-01 02:15:00,0.000,11.725,14.469,14.435,14.306,14.862,
2004-06-01 02:20:00,0.000,11.829,14.484,14.450,14.322,14.872,
2004-06-01 02:25:00,0.000,11.937,14.501,14.467,14.342,14.882,
2004-06-01 02:30:00,0.000,12.049,14.521,14.487,14.364,14.892,
2004-06-01 02:35:00,0.000,12.163,14.543,14.508,14.388,14.902,
2004-06-01 02:40:00,0.000,12.279,14.567,14.531,14.414,14.913,
2004-06-01 02:45:00,0.000,12.397,14.592,14.555,14.441,14.924,
2004-06-01 02:50:00,0.000,12.518,14.618,14.580,14.470,14.935,
2004-06-01 02:55:00,0.000,12.639,14.645,14.605,14.499,14.946,
2004-06-01 03:00:00,0.000,12.763,14.673,14.632,14.529,14.958,
2004-06-01 03:05:00,0.000,12.782,14.689,14.646,14.545,14.964,
2004-06-01 03:10:00,0.000,12.796,14.700,14.656,14.556,14.968,
2004-06-01 03:15:00,0.000,12.805,14.707,14.662,14.563,14.971,
2004-06-01 03:20:00,0.000,12.811,14.712,14.666,14.568,14.972,
2004-06-01 03:25:00,0.000,12.815,14.716,14.669,14.571,14.973,
2004-06-01 03:30:00,0.000,12.817,14.718,14.671,14.573,14.973,
2004-06-01 03:35:00,0.000,12.818,14.719,14.671,14.574,14.973,
2004-06-01 03:40:00,0.000,12.818,14.719,14.671,14.574,14.972,
2004-06-01 03:45:00,0.000,12.817,14.719,14.670,14.573,14.972,
2004-06-01 03:50:00,0.000,12.816,14.718,14.669,14.572,14.971,
2004-06-01 03:55:00,0.000,12.814,14.717,14.668,14.570,14.969,
2004-06-01 04:00:00,0.000,12.811,14.715,14.667,14.569,14.968,
2004-06-01 04:05:00,0.000,12.741,14.706,14.658,14.559,14.964,
2004-06-01 04:10:00,0.000,12.666,14.693,14.646,14.545,14.958,
2004-06-01 04:15:00,0.000,12.587,14.678,14.631,14.529,14.952,
2004-06-01 04:20:00,0.000,12.506,14.661,14.616,14.511,14.945,
2004-06-01 04:25:00,0.000,12.424,14.643,14.599,14.492,14.937,
2004-06-01 04:30:00,0.000,12.340,14.624,14.582,14.471,14.929,
2004-06-01 04:35:00,0.000,12.255,14.604,14.564,14.451,14.921,
2004-06-01 04:40:00,0.000,12.169,14.583,14.545,14.429,14.913,
2004-06-01 04:45:00,0.000,12.083,14.562,14.526,14.408,14.905,
2004-06-01 04:50:00,0.000,11.995,14.541,14.507,14.385,14.896,
