cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,288.697,0.000,290.976,291.768,292.147,287.334,99731.472,288.537,100089.763,
2004-06-01 00:10:00,288.216,0.000,290.994,291.786,291.946,287.334,99729.111,288.119,100089.994,
2004-06-01 00:15:00,288.341,0.000,290.958,291.744,291.849,287.334,99726.750,288.198,100089.949,
2004-06-01 00:20:00,288.520,0.000,290.933,291.714,291.787,287.334,99724.389,288.325,100089.865,
2004-06-01 00:25:00,288.597,0.000,290.918,291.693,291.729,287.334,99722.028,288.391,100089.812,
2004-06-01 00:30:00,288.641,0.000,290.895,291.665,291.674,287.334,99719.667,288.435,100089.762,
2004-06-01 00:35:00,288.633,0.000,290.873,291.638,291.614,287.333,99717.306,288.443,100089.732,
2004-06-01 00:40:00,288.664,0.000,290.860,291.620,291.559,287.333,99714.944,288.476,100089.682,
2004-06-01 00:45:00,288.679,0.000,290.849,291.604,291.504,287.333,99712.583,288.502,100089.635,
2004-06-01 00:50:00,288.735,0.000,290.846,291.596,291.452,287.333,99710.222,288.556,100089.565,
2004-06-01 00:55:00,288.772,0.000,290.845,291.590,291.400,287.333,99707.861,288.602,100089.495,
2004-06-01 01:00:00,288.848,0.000,290.849,291.590,291.364,287.333,99705.500,288.677,100089.399,
2004-06-01 01:05:00,288.813,0.000,290.835,291.571,291.323,287.342,99703.931,288.645,100089.456,
2004-06-01 01:10:00,288.761,0.000,290.819,291.550,291.281,287.351,99702.361,288.590,100089.529,
2004-06-01 01:15:00,288.672,0.000,290.793,291.519,291.237,287.360,99700.792,288.510,100089.614,
2004-06-01 01:20:00,288.625,0.000,290.777,291.498,291.195,287.369,99699.222,288.459,100089.679,
2004-06-01 01:25:00,288.560,0.000,290.755,291.471,291.153,287.378,99697.653,288.399,100089.749,
2004-06-01 01:30:00,288.529,0.000,290.740,291.451,291.114,287.387,99696.083,288.361,100089.803,
2004-06-01 01:35:00,288.470,0.000,290.720,291.426,291.075,287.396,99694.514,288.307,100089.864,
2004-06-01 01:40:00,288.443,0.000,290.706,291.407,291.039,287.405,99692.944,288.273,100089.913,
2004-06-01 01:45:00,288.387,0.000,290.687,291.384,291.002,287.414,99691.375,288.223,100089.969,
2004-06-01 01:50:00,288.364,0.000,290.674,291.367,290.968,287.423,99689.806,288.194,100090.012,
2004-06-01 01:55:00,288.312,0.000,290.657,291.345,290.933,287.432,99688.236,288.149,100090.061,
2004-06-01 02:00:00,288.294,0.000,290.642,291.326,290.910,287.441,99686.667,288.124,100090.099,
2004-06-01 02:05:00,288.272,0.000,290.627,291.305,290.892,287.444,99685.875,288.109,100090.103,
2004-06-01 02:10:00,288.295,0.000,290.620,291.294,290.880,287.446,99685.083,288.125,100090.091,
2004-06-01 02:15:00,288.286,0.000,290.608,291.278,290.870,287.448,99684.292,288.123,100090.088,
2004-06-01 02:20:00,288.308,0.000,290.602,291.267,290.865,287.450,99683.500,288.138,100090.076,
2004-06-01 02:25:00,288.293,0.000,290.591,291.252,290.860,287.453,99682.708,288.131,100090.076,
2004-06-01 02:30:00,288.313,0.000,290.586,291.242,290.860,287.455,99681.917,288.145,100090.066,
2004-06-01 02:35:00,288.297,0.000,290.576,291.228,290.859,287.457,99681.125,288.137,100090.066,
2004-06-01 02:40:00,288.318,0.000,290.572,291.220,290.863,287.460,99680.333,288.151,100090.056,
2004-06-01 02:45:00,288.302,0.000,290.562,291.206,290.866,287.462,99679.542,288.144,100090.056,
2004-06-01 02:50:00,288.324,0.000,290.560,291.199,290.873,287.464,99678.750,288.158,100090.046,
2004-06-01 02:55:00,288.308,0.000,290.551,291.186,290.880,287.466,99677.958,288.151,100090.046,
2004-06-01 03:00:00,288.331,0.000,290.546,291.177,290.875,287.469,99677.167,288.166,100090.035,
2004-06-01 03:05:00,288.330,0.000,290.537,291.164,290.865,287.468,99678.042,288.175,100090.008,
2004-06-01 03:10:00,288.378,0.000,290.536,291.160,290.856,287.467,99678.917,288.215,100089.965,
2004-06-01 03:15:00,288.388,0.000,290.530,291.150,290.844,287.466,99679.792,288.234,100089.932,
2004-06-01 03:20:00,288.436,0.000,290.531,291.148,290.833,287.465,99680.667,288.276,100089.887,
2004-06-01 03:25:00,288.443,0.000,290.525,291.139,290.819,287.464,99681.542,288.293,100089.854,
2004-06-01 03:30:00,288.491,0.000,290.527,291.137,290.806,287.463,99682.417,288.335,100089.809,
2004-06-01 03:35:00,288.498,0.000,290.522,291.129,290.791,287.462,99683.292,288.352,100089.774,
2004-06-01 03:40:00,288.548,0.000,290.524,291.129,290.778,287.462,99684.167,288.395,100089.728,
2004-06-01 03:45:00,288.556,0.000,290.520,291.122,290.762,287.461,99685.042,288.414,100089.692,
2004-06-01 03:50:00,288.607,0.000,290.524,291.122,290.749,287.460,99685.917,288.458,100089.644,
2004-06-01 03:55:00,288.616,0.000,290.521,291.116,290.733,287.459,99686.792,288.478,100089.607,
2004-06-01 04:00:00,288.668,0.000,290.523,291.116,290.710,287.458,99687.667,288.523,100089.558,
2004-06-01 04:05:00,288.603,0.000,290.505,291.095,290.676,287.467,99687.667,288.464,100089.643,
2004-06-01 04:10:00,288.547,0.000,290.489,291.075,290.637,287.476,99687.667,288.401,100089.729,
2004-06-01 04:15:00,288.452,0.000,290.462,291.044,290.592,287.486,99687.667,288.317,100089.814,
2004-06-01 04:20:00,288.421,0.000,290.447,291.025,290.547,287.495,99687.667,288.278,100089.870,
2004-06-01 04:25:00,288.362,0.000,290.423,290.998,290.499,287.504,99687.667,288.226,100089.925,
2004-06-01 04:30:00,288.354,0.000,290.408,290.980,290.452,287.513,99687.667,288.208,100089.959,
2004-06-01 04:35:00,288.306,0.000,290.386,290.954,290.401,287.523,99687.667,288.168,100089.999,
2004-06-01 04:40:00,288.306,0.000,290.372,290.937,290.353,287.532,99687.667,288.159,100090.022,
2004-06-01 04:45:00,288.262,0.000,290.350,290.911,290.300,287.541,99687.667,288.125,100090.053,
2004-06-01 04:50:00,288.267,0.000,290.336,290.895,290.250,287.550,99687.667,288.121,100090.068,
2004-06-01 04:55:00,288.227,0.000,290.314,290.869,290.196,287.559,99687.667,288.091,100090.093,
2004-06-01 05:00:00,288.236,71.920,290.298,290.850,290.156,287.569,99687.667,288.092,100090.102,
2004-06-01 05:05:00,288.497,66.498,290.328,290.879,290.139,287.585,99689.319,288.248,100090.059,
2004-06-01 05:10:00,288.482,66.084,290.308,290.856,290.113,287.600,99690.972,288.238,100090.086,
2004-06-01 05:15:00,288.362,32.068,290.274,290.818,290.077,287.616,99692.625,288.149,100090.151,
2004-06-01 05:20:00,288.199,30.643,290.232,290.771,290.035,287.632,99694.278,288.030,100090.230,
2004-06-01 05:25:00,288.132,30.006,290.212,290.746,290.023,287.648,99695.931,287.972,100090.282,
2004-06-01 05:30:00,288.186,30.485,290.214,290.745,290.031,287.664,99697.583,287.997,100090.291,
2004-06-01 05:35:00,288.128,29.837,290.199,290.725,290.041,287.680,99699.236,287.961,100090.323,
2004-06-01 05:40:00,288.121,29.932,290.193,290.715,290.059,287.695,99700.889,287.950,100090.346,
2004-06-01 05:45:00,288.051,29.312,290.176,290.693,290.077,287.711,99702.542,287.897,100090.386,
2004-06-01 05:50:00,288.134,30.136,290.189,290.703,290.112,287.727,99704.194,287.944,100090.379,
2004-06-01 05:55:00,288.099,29.771,290.181,290.691,290.143,287.743,99705.847,287.920,100090.403,
2004-06-01 06:00:00,288.176,61.409,290.196,290.703,290.187,287.759,99707.500,287.966,100090.392,
2004-06-01 06:05:00,288.255,31.482,290.214,290.718,290.237,287.805,99709.000,288.016,100090.388,
2004-06-01 06:10:00,288.174,30.751,290.187,290.713,290.276,287.850,99710.500,287.957,100090.437,
2004-06-01 06:15:00,288.081,29.777,290.170,290.692,290.311,287.896,99712.000,287.882,100090.498,
2004-06-01 06:20:00,288.128,30.355,290.184,290.701,290.359,287.942,99713.500,287.901,100090.513,
2004-06-01 06:25:00,288.047,29.574,290.170,290.682,290.399,287.988,99715.000,287.840,100090.563,
2004-06-01 06:30:00,288.080,29.864,290.193,290.699,290.480,288.033,99716.500,287.850,100090.581,
2004-06-01 06:35:00,287.998,29.169,290.193,290.691,290.562,288.079,99718.000,287.788,100090.632,
2004-06-01 06:40:00,288.044,29.668,290.221,290.712,290.665,288.125,99719.500,287.805,100090.646,
2004-06-01 06:45:00,287.964,28.831,290.225,290.706,290.763,288.170,99721.000,287.745,100090.696,
2004-06-01 06:50:00,288.009,29.201,290.256,290.728,290.878,288.216,99722.500,287.763,100090.710,
2004-06-01 06:55:00,287.926,28.464,290.260,290.723,290.986,288.262,99724.000,287.700,100090.760,
2004-06-01 07:00:00,287.974,57.976,290.314,290.764,291.125,288.308,99725.500,287.720,100090.772,
2004-06-01 07:05:00,288.017,60.664,290.367,290.806,291.276,288.370,99729.069,287.744,100090.772,
2004-06-01 07:10:00,288.116,32.690,290.428,290.861,291.445,288.432,99732.639,287.806,100090.752,
2004-06-01 07:15:00,287.950,31.173,290.439,290.867,291.594,288.495,99736.208,287.695,100090.815,
2004-06-01 07:20:00,288.043,32.302,290.506,290.930,291.772,288.557,99739.778,287.745,100090.803,
2004-06-01 07:25:00,288.031,32.366,290.567,290.972,291.950,288.620,99743.347,287.738,100090.813,
2004-06-01 07:30:00,288.143,33.777,290.670,291.042,292.155,288.682,99746.917,287.809,100090.785,
2004-06-01 07:35:00,288.120,33.512,290.759,291.090,292.360,288.745,99750.486,287.796,100090.796,
2004-06-01 07:40:00,288.237,35.073,290.854,291.167,292.587,288.807,99754.056,287.870,100090.766,
2004-06-01 07:45:00,288.223,34.961,290.929,291.222,292.812,288.869,99757.625,287.864,100090.773,
2004-06-01 07:50:00,288.348,36.474,291.046,291.307,293.058,288.932,99761.194,287.943,100090.739,
2004-06-01 07:55:00,288.335,36.416,291.152,291.368,293.302,288.994,99764.764,287.939,100090.743,
2004-06-01 08:00:00,288.466,36.159,291.311,291.431,293.558,289.057,99768.333,288.022,100090.707,
2004-06-01 08:05:00,288.490,36.303,291.406,291.491,293.809,289.178,99768.653,288.060,100090.641,
2004-06-01 08:10:00,288.689,38.529,291.615,291.587,294.079,289.299,99768.972,288.212,100090.517,
