cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.837,299.837,298.230,290.327,0.000,287.334,99731.472,288.718,100089.682,
2004-06-01 00:10:00,299.507,299.507,295.661,289.235,0.000,287.334,99729.111,288.264,100089.921,
2004-06-01 00:15:00,298.929,298.929,292.315,289.583,0.000,287.334,99726.750,288.333,100089.879,
2004-06-01 00:20:00,298.408,298.408,290.472,289.983,0.000,287.334,99724.389,288.431,100089.808,
2004-06-01 00:25:00,298.011,298.011,289.406,289.985,0.000,287.334,99722.028,288.465,100089.772,
2004-06-01 00:30:00,297.713,297.713,288.712,290.027,0.000,287.334,99719.667,288.495,100089.729,
2004-06-01 00:35:00,297.471,297.471,288.192,289.941,0.000,287.333,99717.306,288.505,100089.699,
2004-06-01 00:40:00,297.267,297.267,287.745,289.991,0.000,287.333,99714.944,288.542,100089.647,
2004-06-01 00:45:00,297.089,297.089,287.342,289.949,0.000,287.333,99712.583,288.572,100089.598,
2004-06-01 00:50:00,296.933,296.933,286.972,290.031,0.000,287.333,99710.222,288.629,100089.526,
2004-06-01 00:55:00,296.795,296.795,286.635,290.013,0.000,287.333,99707.861,288.678,100089.455,
2004-06-01 01:00:00,296.672,296.672,286.326,290.115,0.000,287.333,99705.500,288.755,100089.357,
2004-06-01 01:05:00,296.561,296.561,286.042,290.043,0.000,287.342,99703.931,288.723,100089.416,
2004-06-01 01:10:00,296.464,296.464,285.805,290.025,0.000,287.351,99702.361,288.664,100089.491,
2004-06-01 01:15:00,296.371,296.371,285.615,289.854,0.000,287.360,99700.792,288.578,100089.579,
2004-06-01 01:20:00,296.282,296.282,285.470,289.829,0.000,287.369,99699.222,288.522,100089.646,
2004-06-01 01:25:00,296.192,296.192,285.364,289.708,0.000,287.378,99697.653,288.459,100089.717,
2004-06-01 01:30:00,296.105,296.105,285.292,289.716,0.000,287.387,99696.083,288.418,100089.773,
2004-06-01 01:35:00,296.023,296.023,285.250,289.606,0.000,287.396,99694.514,288.363,100089.835,
