cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],PresProf_cur[1.2],
2008-07-01 00:05:00,292.357,0.011,292.167,99240.400,292.386,99447.014,
2008-07-01 00:10:00,293.786,0.011,292.083,99243.000,293.998,99446.601,
2008-07-01 00:15:00,292.664,0.011,292.000,99245.600,292.685,99446.925,
2008-07-01 00:20:00,292.873,0.011,291.917,99248.200,293.016,99446.955,
2008-07-01 00:25:00,292.330,0.011,291.833,99250.800,292.362,99447.134,
2008-07-01 00:30:00,292.865,0.011,291.750,99253.400,293.012,99447.017,
2008-07-01 00:35:00,292.093,0.011,291.667,99256.000,292.122,99447.276,
2008-07-01 00:40:00,292.477,0.011,291.583,99258.600,292.593,99447.207,
2008-07-01 00:45:00,291.976,0.011,291.500,99261.200,292.006,99447.379,
2008-07-01 00:50:00,292.210,0.011,291.417,99263.800,292.315,99447.358,
2008-07-01 00:55:00,291.749,0.011,291.333,99266.400,291.781,99447.524,
2008-07-01 01:00:00,292.040,0.011,291.250,99269.000,292.139,99447.477,
2008-07-01 01:05:00,291.590,0.011,291.200,99269.667,291.620,99447.629,
2008-07-01 01:10:00,291.860,0.011,291.150,99270.333,291.952,99447.577,
2008-07-01 01:15:00,291.482,0.011,291.100,99271.000,291.512,99447.705,
2008-07-01 01:20:00,291.737,0.011,291.050,99271.667,291.825,99447.656,
2008-07-01 01:25:00,291.349,0.011,291.000,99272.333,291.377,99447.789,
2008-07-01 01:30:00,291.622,0.011,290.950,99273.000,291.709,99447.733,
2008-07-01 01:35:00,291.232,0.011,290.900,99273.667,291.259,99447.867,
2008-07-01 01:40:00,291.492,0.011,290.850,99274.333,291.577,99447.815,
2008-07-01 01:45:00,291.115,0.011,290.800,99275.000,291.140,99447.945,
2008-07-01 01:50:00,291.377,0.011,290.750,99275.667,291.460,99447.893,
2008-07-01 01:55:00,290.994,0.011,290.700,99276.333,291.017,99448.025,
2008-07-01 02:00:00,291.262,0.011,290.650,99277.000,291.344,99447.970,
2008-07-01 02:05:00,290.841,0.011,290.558,99279.350,290.863,99448.131,
2008-07-01 02:10:00,291.078,0.011,290.467,99281.700,291.159,99448.103,
2008-07-01 02:15:00,290.648,0.011,290.375,99284.050,290.670,99448.267,
2008-07-01 02:20:00,290.886,0.011,290.283,99286.400,290.968,99448.239,
2008-07-01 02:25:00,290.456,0.011,290.192,99288.750,290.478,99448.404,
2008-07-01 02:30:00,290.700,0.011,290.100,99291.100,290.782,99448.374,
2008-07-01 02:35:00,290.263,0.011,290.008,99293.450,290.283,99448.541,
2008-07-01 02:40:00,290.515,0.011,289.917,99295.800,290.598,99448.508,
2008-07-01 02:45:00,290.075,0.011,289.825,99298.150,290.096,99448.676,
2008-07-01 02:50:00,290.326,0.011,289.733,99300.500,290.409,99448.643,
2008-07-01 02:55:00,289.890,0.011,289.642,99302.850,289.910,99448.810,
2008-07-01 03:00:00,290.141,0.011,289.550,99305.200,290.223,99448.778,
2008-07-01 03:05:00,289.757,0.011,289.517,99307.092,289.778,99448.905,
2008-07-01 03:10:00,290.051,0.011,289.483,99308.983,290.131,99448.835,
2008-07-01 03:15:00,289.679,0.011,289.450,99310.875,289.699,99448.958,
2008-07-01 03:20:00,289.975,0.011,289.417,99312.767,290.055,99448.887,
2008-07-01 03:25:00,289.606,0.011,289.383,99314.658,289.625,99449.009,
2008-07-01 03:30:00,289.891,0.011,289.350,99316.550,289.969,99448.942,
2008-07-01 03:35:00,289.532,0.011,289.317,99318.442,289.551,99449.060,
2008-07-01 03:40:00,289.815,0.011,289.283,99320.333,289.892,99448.993,
2008-07-01 03:45:00,289.461,0.011,289.250,99322.225,289.480,99449.111,
2008-07-01 03:50:00,289.736,0.011,289.217,99324.117,289.811,99449.046,
2008-07-01 03:55:00,289.390,0.011,289.183,99326.008,289.408,99449.161,
2008-07-01 04:00:00,289.668,0.011,289.150,99327.900,289.744,99449.096,
2008-07-01 04:05:00,289.359,0.011,289.158,99331.558,289.377,99449.182,
2008-07-01 04:10:00,289.677,0.011,289.167,99335.217,289.753,99449.086,
2008-07-01 04:15:00,289.373,0.011,289.175,99338.875,289.392,99449.170,
2008-07-01 04:20:00,289.687,0.011,289.183,99342.533,289.761,99449.077,
2008-07-01 04:25:00,289.391,0.011,289.192,99346.192,289.409,99449.158,
2008-07-01 04:30:00,289.701,0.011,289.200,99349.850,289.775,99449.065,
2008-07-01 04:35:00,289.411,0.011,289.208,99353.508,289.430,99449.145,
2008-07-01 04:40:00,289.718,0.011,289.217,99357.167,289.793,99449.053,
2008-07-01 04:45:00,289.433,0.011,289.225,99360.825,289.453,99449.131,
2008-07-01 04:50:00,289.738,0.011,289.233,99364.483,289.812,99449.040,
2008-07-01 04:55:00,289.458,0.018,289.242,99368.142,289.478,99449.116,
2008-07-01 05:00:00,289.765,0.018,289.250,99371.800,289.841,99449.024,
2008-07-01 05:05:00,289.514,0.018,289.292,99371.633,289.535,99449.078,
2008-07-01 05:10:00,289.854,0.018,289.333,99371.467,289.930,99448.962,
2008-07-01 05:15:00,289.602,0.018,289.375,99371.300,289.623,99449.016,
2008-07-01 05:20:00,289.962,0.018,289.417,99371.133,290.042,99448.894,
2008-07-01 05:25:00,289.693,0.018,289.458,99370.967,289.716,99448.952,
2008-07-01 05:30:00,290.073,0.018,289.500,99370.800,290.157,99448.825,
2008-07-01 05:35:00,289.786,0.018,289.542,99370.633,289.809,99448.888,
2008-07-01 05:40:00,290.188,0.018,289.583,99370.467,290.277,99448.754,
2008-07-01 05:45:00,289.879,0.018,289.625,99370.300,289.903,99448.824,
2008-07-01 05:50:00,290.307,0.018,289.667,99370.133,290.401,99448.683,
2008-07-01 05:55:00,289.973,0.016,289.708,99369.967,289.998,99448.760,
2008-07-01 06:00:00,290.432,0.016,289.750,99369.800,290.532,99448.609,
2008-07-01 06:05:00,290.118,0.016,289.850,99371.467,290.143,99448.656,
2008-07-01 06:10:00,290.655,0.016,289.950,99373.133,290.761,99448.459,
2008-07-01 06:15:00,290.320,0.016,290.050,99374.800,290.345,99448.510,
2008-07-01 06:20:00,290.908,0.016,290.150,99376.467,291.021,99448.297,
2008-07-01 06:25:00,290.534,0.016,290.250,99378.133,290.559,99448.359,
2008-07-01 06:30:00,291.152,0.016,290.350,99379.800,291.273,99448.139,
2008-07-01 06:35:00,290.751,0.016,290.450,99381.467,290.778,99448.208,
2008-07-01 06:40:00,291.411,0.016,290.550,99383.133,291.541,99447.977,
2008-07-01 06:45:00,290.966,0.016,290.650,99384.800,290.993,99448.058,
2008-07-01 06:50:00,291.678,0.016,290.750,99386.467,291.819,99447.812,
2008-07-01 06:55:00,291.181,0.025,290.850,99388.133,291.209,99447.908,
2008-07-01 07:00:00,291.947,0.025,290.950,99389.800,292.099,99447.647,
2008-07-01 07:05:00,291.362,0.025,291.008,99389.133,291.391,99447.785,
2008-07-01 07:10:00,292.175,0.025,291.067,99388.467,292.343,99447.529,
2008-07-01 07:15:00,291.508,0.025,291.125,99387.800,291.538,99447.689,
2008-07-01 07:20:00,292.400,0.025,291.183,99387.133,292.586,99447.413,
2008-07-01 07:25:00,291.651,0.025,291.242,99386.467,291.682,99447.595,
2008-07-01 07:30:00,292.638,0.531,291.300,99385.800,292.843,99447.293,
2008-07-01 07:35:00,291.789,0.025,291.358,99385.133,291.820,99447.503,
2008-07-01 07:40:00,292.888,2.853,291.417,99384.467,293.113,99447.169,
2008-07-01 07:45:00,291.932,0.025,291.475,99383.800,291.963,99447.408,
2008-07-01 07:50:00,293.146,5.031,291.533,99383.133,293.395,99447.044,
2008-07-01 07:55:00,292.077,6.215,291.592,99382.467,292.109,99447.313,
2008-07-01 08:00:00,293.419,15.534,291.650,99381.800,293.692,99446.913,
2008-07-01 08:05:00,292.242,7.603,291.717,99380.392,292.274,99447.208,
2008-07-01 08:10:00,293.707,17.580,291.783,99378.983,294.004,99446.771,
2008-07-01 08:15:00,292.407,8.734,291.850,99377.575,292.441,99447.100,
2008-07-01 08:20:00,293.986,19.407,291.917,99376.167,294.308,99446.633,
2008-07-01 08:25:00,292.568,9.786,291.983,99374.758,292.602,99446.994,
2008-07-01 08:30:00,294.271,21.375,292.050,99373.350,294.618,99446.493,
2008-07-01 08:35:00,292.727,10.880,292.117,99371.942,292.761,99446.888,
2008-07-01 08:40:00,294.558,23.292,292.183,99370.533,294.929,99446.353,
2008-07-01 08:45:00,292.886,11.901,292.250,99369.125,292.920,99446.782,
2008-07-01 08:50:00,294.845,25.156,292.317,99367.717,295.242,99446.213,
2008-07-01 08:55:00,293.044,12.871,292.383,99366.308,293.079,99446.676,
2008-07-01 09:00:00,295.135,26.993,292.450,99364.900,295.557,99446.073,
2008-07-01 09:05:00,293.201,13.702,292.517,99367.292,293.235,99446.571,
2008-07-01 09:10:00,294.128,19.833,292.583,99369.683,294.421,99446.356,
2008-07-01 09:15:00,293.044,12.293,292.650,99372.075,293.055,99446.589,
2008-07-01 09:20:00,294.912,24.805,292.717,99374.467,295.346,99446.105,
2008-07-01 09:25:00,293.210,13.055,292.783,99376.858,293.233,99446.487,
2008-07-01 09:30:00,295.229,26.579,292.850,99379.250,295.704,99445.960,
2008-07-01 09:35:00,293.358,13.668,292.917,99381.642,293.382,99446.388,
2008-07-01 09:40:00,295.247,26.293,292.983,99384.033,295.693,99445.889,
2008-07-01 09:45:00,293.548,14.536,293.050,99386.425,293.568,99446.271,
2008-07-01 09:50:00,295.626,28.434,293.117,99388.817,296.149,99445.749,
2008-07-01 09:55:00,293.626,14.617,293.183,99391.208,293.642,99446.192,
2008-07-01 10:00:00,296.123,31.346,293.250,99393.600,296.708,99445.555,
2008-07-01 10:05:00,293.782,15.134,293.308,99392.033,293.803,99446.095,
2008-07-01 10:10:00,298.615,47.664,293.367,99390.467,299.404,99444.658,
2008-07-01 10:15:00,294.318,18.158,293.425,99388.900,294.356,99445.830,
2008-07-01 10:20:00,297.207,37.385,293.483,99387.333,297.797,99445.046,
2008-07-01 10:25:00,294.505,18.560,293.542,99385.767,294.532,99445.729,
2008-07-01 10:30:00,298.091,42.449,293.600,99384.200,298.852,99444.758,
2008-07-01 10:35:00,294.493,17.522,293.658,99382.633,294.521,99445.695,
