,Urban_DBT_C_3.0,Urban_DBT_C_15.8,Urban_DBT_C_22.9,Urban_DBT_C_27.8,Urban_DBT_C_32.9,Rural_DBT_C
2002-06-10 00:10:00,13.705,13.665,13.8,13.67,13.51,13.8
2002-06-10 00:20:00,13.645,13.715,13.82,13.67,13.54,13.8
2002-06-10 00:30:00,13.64,13.684999999999999,13.74,13.68,13.57,13.8
2002-06-10 00:40:00,13.63,13.68,13.91,13.75,13.59,13.7
2002-06-10 00:50:00,13.575,13.61,13.81,13.65,13.48,13.7
2002-06-10 01:00:00,13.55,13.559999999999999,13.74,13.53,12.79,13.6
2002-06-10 01:10:00,13.5,13.530000000000001,13.77,13.5,12.73,13.5
2002-06-10 01:20:00,13.45,13.49,13.77,13.47,12.68,13.4
2002-06-10 01:30:00,13.42,13.455,13.73,13.45,12.64,13.3
2002-06-10 01:40:00,13.45,13.485,13.71,13.5,12.61,13.3
2002-06-10 01:50:00,13.4,13.55,13.65,13.49,12.69,13.2
2002-06-10 02:00:00,13.39,13.52,13.53,13.42,12.57,13.2
2002-06-10 02:10:00,13.47,13.525,13.75,13.52,12.48,13.2
2002-06-10 02:20:00,13.39,13.465,13.7,12.98,12.34,13.3
2002-06-10 02:30:00,13.309999999999999,13.415,13.66,12.47,12.28,13.3
2002-06-10 02:40:00,13.21,13.355,13.61,12.44,12.27,13.3
2002-06-10 02:50:00,13.17,13.325,13.62,12.44,12.29,13.2
2002-06-10 03:00:00,13.114999999999998,13.254999999999999,13.53,12.43,12.27,13.2
2002-06-10 03:10:00,13.14,13.22,13.49,12.37,12.38,13.2
2002-06-10 03:20:00,13.115,13.21,13.42,12.34,12.46,13.2
2002-06-10 03:30:00,12.995000000000001,13.145,13.39,12.68,12.9,13.1
2002-06-10 03:40:00,12.879999999999999,13.025,13.31,13.14,12.81,13.1
2002-06-10 03:50:00,12.82,12.940000000000001,13.18,13.07,12.68,13.0
2002-06-10 04:00:00,12.690000000000001,12.83,13.1,12.93,12.56,12.9
2002-06-10 04:10:00,12.685,12.765,12.95,12.87,12.51,12.8
2002-06-10 04:20:00,12.675,12.77,12.99,12.87,12.52,12.7
