,Urban_DBT_C_2.6,Urban_DBT_C_13.9,Rural_DBT_C
2002-06-10 00:10:00,14.65,14.23,13.8
2002-06-10 00:20:00,14.66,14.35,13.8
2002-06-10 00:30:00,14.6,14.38,13.8
2002-06-10 00:40:00,14.52,14.36,13.7
2002-06-10 00:50:00,14.42,14.29,13.7
2002-06-10 01:00:00,14.29,14.08,13.6
2002-06-10 01:10:00,14.24,14.07,13.5
2002-06-10 01:20:00,14.37,14.23,13.4
2002-06-10 01:30:00,14.28,14.11,13.3
2002-06-10 01:40:00,14.15,14.04,13.3
2002-06-10 01:50:00,14.27,14.19,13.2
2002-06-10 02:00:00,14.36,14.17,13.2
2002-06-10 02:10:00,14.29,14.12,13.2
2002-06-10 02:20:00,14.31,14.07,13.3
2002-06-10 02:30:00,14.28,14.14,13.3
2002-06-10 02:40:00,14.28,14.1,13.3
2002-06-10 02:50:00,14.23,14.06,13.2
2002-06-10 03:00:00,14.24,14.07,13.2
2002-06-10 03:10:00,14.12,13.92,13.2
2002-06-10 03:20:00,14.09,13.9,13.2
2002-06-10 03:30:00,14.05,13.85,13.1
2002-06-10 03:40:00,13.95,13.74,13.1
2002-06-10 03:50:00,13.89,13.66,13.0
2002-06-10 04:00:00,13.81,13.58,12.9
2002-06-10 04:10:00,13.82,13.59,12.8
2002-06-10 04:20:00,13.67,13.43,12.7
2002-06-10 04:30:00,13.75,13.54,12.7
2002-06-10 04:40:00,13.71,13.45,12.7
2002-06-10 04:50:00,13.44,13.13,12.6
2002-06-10 05:00:00,13.2,12.95,12.6
2002-06-10 05:10:00,12.88,12.65,12.5
2002-06-10 05:20:00,12.83,12.55,12.4
2002-06-10 05:30:00,12.87,12.59,12.2
2002-06-10 05:40:00,12.87,12.57,12.2
2002-06-10 05:50:00,12.99,12.76,12.2
2002-06-10 06:00:00,13.0,12.7,12.3
2002-06-10 06:10:00,12.97,12.76,12.3
2002-06-10 06:20:00,13.17,12.9,12.3
2002-06-10 06:30:00,13.07,12.84,12.5
2002-06-10 06:40:00,13.12,12.87,12.8
2002-06-10 06:50:00,13.09,12.88,12.9
2002-06-10 07:00:00,13.06,12.76,12.4
2002-06-10 07:10:00,12.9,12.6,12.1
2002-06-10 07:20:00,12.82,12.58,12.0
2002-06-10 07:30:00,12.77,12.45,12.1
2002-06-10 07:40:00,12.81,12.5,11.9
2002-06-10 07:50:00,13.05,12.62,11.9
2002-06-10 08:00:00,13.37,13.06,12.1
2002-06-10 08:10:00,13.48,13.15,12.3
2002-06-10 08:20:00,13.46,13.07,12.5
2002-06-10 08:30:00,13.57,13.17,12.7
2002-06-10 08:40:00,13.87,13.48,13.0
2002-06-10 08:50:00,13.85,13.51,13.2
2002-06-10 09:00:00,13.73,13.33,13.5
2002-06-10 09:10:00,13.82,13.49,13.6
2002-06-10 09:20:00,14.12,13.7,13.1
2002-06-10 09:30:00,14.01,13.64,13.375
2002-06-10 09:40:00,14.3,13.95,13.649999999999999
2002-06-10 09:50:00,14.4,13.94,13.924999999999999
2002-06-10 10:00:00,15.31,14.63,14.2
2002-06-10 10:10:00,15.69,15.02,14.0
2002-06-10 10:20:00,15.16,14.79,14.6
2002-06-10 10:30:00,15.55,15.14,15.1
2002-06-10 10:40:00,15.39,15.04,14.4
2002-06-10 10:50:00,15.14,14.79,14.1
2002-06-10 11:00:00,14.98,14.74,14.1
2002-06-10 11:10:00,14.96,14.54,14.1
2002-06-10 11:20:00,15.16,14.72,14.2
2002-06-10 11:30:00,15.17,14.73,14.6
2002-06-10 11:40:00,15.32,14.82,14.8
2002-06-10 11:50:00,15.17,14.7,14.2
2002-06-10 12:00:00,15.37,14.93,14.3
2002-06-10 12:10:00,16.27,15.47,14.5
2002-06-10 12:20:00,15.93,15.41,14.8
2002-06-10 12:30:00,16.25,15.69,15.7
2002-06-10 12:40:00,16.76,16.25,15.7
2002-06-10 12:50:00,16.83,16.41,16.8
2002-06-10 13:00:00,16.84,16.35,16.4
2002-06-10 13:10:00,16.58,16.02,15.9
2002-06-10 13:20:00,16.43,16.08,15.6
2002-06-10 13:30:00,16.15,15.83,15.7
2002-06-10 13:40:00,16.43,16.08,16.2
2002-06-10 13:50:00,16.83,16.37,15.8
2002-06-10 14:00:00,17.45,16.79,15.9
2002-06-10 14:10:00,17.5,16.84,16.4
2002-06-10 14:20:00,17.28,16.8,16.4
2002-06-10 14:30:00,16.97,16.52,16.2
2002-06-10 14:40:00,17.3,16.84,16.1
2002-06-10 14:50:00,17.34,16.82,16.6
2002-06-10 15:00:00,17.05,16.79,17.0
2002-06-10 15:10:00,16.68,16.28,16.4
2002-06-10 15:20:00,16.66,16.16,15.8
2002-06-10 15:30:00,16.56,16.19,15.5
2002-06-10 15:40:00,16.29,15.95,15.2
2002-06-10 15:50:00,16.03,15.67,15.0
2002-06-10 16:00:00,15.76,15.4,14.9
2002-06-10 16:10:00,15.59,15.23,14.7
2002-06-10 16:20:00,15.6,15.32,14.7
2002-06-10 16:30:00,15.81,15.55,14.7
2002-06-10 16:40:00,16.27,15.89,14.8
2002-06-10 16:50:00,16.43,16.04,15.0
2002-06-10 17:00:00,16.38,15.93,15.1
2002-06-10 17:10:00,16.17,15.79,15.3
2002-06-10 17:20:00,16.51,16.12,15.5
2002-06-10 17:30:00,16.63,16.22,15.5
2002-06-10 17:40:00,16.48,16.15,15.5
2002-06-10 17:50:00,16.49,15.94,15.5
2002-06-10 18:00:00,16.32,15.89,15.4
2002-06-10 18:10:00,16.49,16.08,15.2
2002-06-10 18:20:00,16.28,15.95,15.1
2002-06-10 18:30:00,16.34,16.04,15.1
2002-06-10 18:40:00,16.2,15.95,15.1
2002-06-10 18:50:00,16.34,16.01,15.1
2002-06-10 19:00:00,16.17,15.92,15.1
2002-06-10 19:10:00,16.17,15.86,14.9
2002-06-10 19:20:00,16.05,15.69,14.9
2002-06-10 19:30:00,15.9,15.57,14.9
2002-06-10 19:40:00,15.84,15.5,14.7
2002-06-10 19:50:00,15.97,15.69,14.5
2002-06-10 20:00:00,15.86,15.6,14.4
2002-06-10 20:10:00,15.77,15.44,14.6
2002-06-10 20:20:00,15.63,15.35,14.0
2002-06-10 20:30:00,15.46,15.19,13.4
2002-06-10 20:40:00,15.32,15.0,13.0
2002-06-10 20:50:00,15.24,14.89,12.1
2002-06-10 21:00:00,15.24,14.86,11.5
2002-06-10 21:10:00,15.21,14.92,10.9
2002-06-10 21:20:00,15.08,14.63,10.5
2002-06-10 21:30:00,14.77,14.16,10.5
2002-06-10 21:40:00,14.42,13.84,10.3
2002-06-10 21:50:00,14.16,13.66,10.3
2002-06-10 22:00:00,14.08,13.62,10.2
2002-06-10 22:10:00,14.19,13.73,10.2
2002-06-10 22:20:00,14.07,13.65,10.3
2002-06-10 22:30:00,13.69,13.18,9.8
2002-06-10 22:40:00,13.21,12.73,9.6
2002-06-10 22:50:00,12.76,12.2,9.9
2002-06-10 23:00:00,12.64,12.29,9.9
2002-06-10 23:10:00,12.66,12.32,9.9
2002-06-10 23:20:00,12.95,12.54,10.1
2002-06-10 23:30:00,12.63,12.09,10.0
2002-06-10 23:40:00,12.43,11.94,10.1
2002-06-10 23:50:00,12.27,11.74,10.2
2002-06-11 00:00:00,12.07,11.53,10.1
2002-06-11 00:10:00,12.09,11.65,10.2
2002-06-11 00:20:00,12.2,11.8,10.2
2002-06-11 00:30:00,12.36,11.91,10.2
2002-06-11 00:40:00,12.26,11.91,10.2
2002-06-11 00:50:00,12.12,11.69,10.2
2002-06-11 01:00:00,12.0,11.54,10.2
2002-06-11 01:10:00,12.39,12.04,10.2
2002-06-11 01:20:00,12.06,11.76,10.2
2002-06-11 01:30:00,12.31,11.98,10.2
2002-06-11 01:40:00,11.78,11.44,10.2
2002-06-11 01:50:00,11.64,11.31,10.0
2002-06-11 02:00:00,11.58,11.21,10.0
2002-06-11 02:10:00,11.39,11.08,10.0
2002-06-11 02:20:00,11.58,11.29,10.0
2002-06-11 02:30:00,11.61,11.32,10.0
2002-06-11 02:40:00,11.47,11.15,9.9
2002-06-11 02:50:00,11.47,11.09,9.9
2002-06-11 03:00:00,11.33,11.08,10.0
2002-06-11 03:10:00,11.48,11.11,10.0
2002-06-11 03:20:00,11.32,10.98,10.0
2002-06-11 03:30:00,11.49,11.2,10.1
2002-06-11 03:40:00,11.42,11.09,10.0
2002-06-11 03:50:00,11.53,11.23,9.9
2002-06-11 04:00:00,11.49,11.17,9.8
2002-06-11 04:10:00,11.43,11.11,9.8
2002-06-11 04:20:00,11.44,11.2,9.8
2002-06-11 04:30:00,11.5,11.19,9.8
2002-06-11 04:40:00,11.58,11.26,9.9
2002-06-11 04:50:00,11.66,11.3,9.9
2002-06-11 05:00:00,11.5,11.22,9.9
2002-06-11 05:10:00,11.36,10.99,9.9
2002-06-11 05:20:00,11.5,11.08,10.0
2002-06-11 05:30:00,11.45,11.04,10.0
2002-06-11 05:40:00,11.61,11.23,10.1
2002-06-11 05:50:00,11.88,11.54,10.2
2002-06-11 06:00:00,11.95,11.54,10.3
2002-06-11 06:10:00,12.08,11.56,10.4
2002-06-11 06:20:00,12.49,12.13,10.7
2002-06-11 06:30:00,12.75,12.23,10.9
2002-06-11 06:40:00,12.71,12.35,11.1
2002-06-11 06:50:00,12.56,12.07,11.2
