cur_datetime,WallshadeT, WalllitT, RoofT, canTemp, rh, vcwg_canPress_Pa, senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.871,299.871,298.230,290.809,78.670,100231.517,10.349,287.334,99731.472,288.757,100089.666,
2004-06-01 00:10:00,299.572,299.572,295.590,289.650,84.421,100232.176,0.479,287.334,99729.111,288.283,100089.913,
2004-06-01 00:15:00,299.037,299.037,292.277,290.077,82.309,100232.029,0.479,287.334,99726.750,288.336,100089.879,
2004-06-01 00:20:00,298.551,298.551,290.446,290.552,80.133,100231.830,4.068,287.334,99724.389,288.421,100089.815,
2004-06-01 00:25:00,298.181,298.181,289.381,290.555,80.314,100231.774,3.201,287.334,99722.028,288.457,100089.777,
2004-06-01 00:30:00,297.910,297.910,288.688,290.612,80.189,100231.715,3.059,287.334,99719.667,288.484,100089.736,
2004-06-01 00:35:00,297.690,297.690,288.174,290.518,80.808,100231.701,1.238,287.333,99717.306,288.497,100089.704,
2004-06-01 00:40:00,297.506,297.506,287.737,290.558,80.765,100231.636,1.014,287.333,99714.944,288.529,100089.655,
2004-06-01 00:45:00,297.342,297.342,287.345,290.523,81.113,100231.583,0.479,287.333,99712.583,288.563,100089.604,
2004-06-01 00:50:00,297.200,297.200,286.984,290.594,80.955,100231.482,0.479,287.333,99710.222,288.618,100089.533,
2004-06-01 00:55:00,297.072,297.072,286.655,290.592,81.198,100231.393,0.239,287.333,99707.861,288.672,100089.459,
2004-06-01 01:00:00,296.960,296.960,286.352,290.677,81.042,100231.259,0.239,287.333,99705.500,288.747,100089.363,
2004-06-01 01:05:00,296.858,296.858,286.071,290.625,81.372,100231.330,0.239,287.342,99703.931,288.720,100089.419,
2004-06-01 01:10:00,296.768,296.768,285.834,290.585,81.477,100231.436,0.239,287.351,99702.361,288.656,100089.496,
2004-06-01 01:15:00,296.683,296.683,285.648,290.416,82.140,100231.583,0.239,287.360,99700.792,288.574,100089.582,
2004-06-01 01:20:00,296.600,296.600,285.509,290.369,82.151,100231.682,0.239,287.369,99699.222,288.514,100089.651,
2004-06-01 01:25:00,296.515,296.515,285.414,290.262,82.801,100231.789,0.239,287.378,99697.653,288.455,100089.720,
2004-06-01 01:30:00,296.432,296.432,285.355,290.251,82.861,100231.862,0.239,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,296.353,296.353,285.331,290.156,83.265,100231.957,0.239,287.396,99694.514,288.359,100089.838,
2004-06-01 01:40:00,296.277,296.277,285.334,290.147,83.157,100232.022,0.239,287.405,99692.944,288.319,100089.890,
2004-06-01 01:45:00,296.205,296.205,285.361,290.055,83.466,100232.108,0.239,287.414,99691.375,288.272,100089.944,
2004-06-01 01:50:00,296.136,296.136,285.409,290.053,83.305,100232.166,0.239,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,296.069,296.069,285.473,289.966,83.585,100232.244,0.060,287.432,99688.236,288.195,100090.038,
2004-06-01 02:00:00,296.006,296.006,285.553,289.970,83.393,100232.293,0.060,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,295.945,295.945,285.645,289.905,83.643,100232.312,0.060,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,295.885,295.885,285.726,289.952,83.359,100232.291,0.060,287.446,99685.083,288.162,100090.072,
2004-06-01 02:15:00,295.826,295.826,285.795,289.909,83.574,100232.292,0.060,287.448,99684.292,288.166,100090.066,
2004-06-01 02:20:00,295.771,295.771,285.854,289.954,83.344,100232.272,0.060,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,295.717,295.717,285.905,289.896,83.329,100232.281,0.060,287.453,99682.708,288.173,100090.054,
2004-06-01 02:30:00,295.666,295.666,285.948,289.935,82.897,100232.265,0.060,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,295.616,295.616,285.982,289.875,83.083,100232.276,0.060,287.457,99681.125,288.177,100090.045,
2004-06-01 02:40:00,295.567,295.567,286.010,289.918,82.807,100232.259,0.060,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,295.519,295.519,286.031,289.859,83.095,100232.269,0.060,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,295.473,295.473,286.048,289.904,82.854,100232.252,0.060,287.464,99678.750,288.189,100090.030,
2004-06-01 02:55:00,295.427,295.427,286.060,289.844,83.163,100232.263,0.060,287.466,99677.958,288.187,100090.027,
2004-06-01 03:00:00,295.383,295.383,286.068,289.890,82.926,100232.245,0.060,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,295.339,295.339,286.074,289.842,83.224,100232.220,0.060,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,295.296,295.296,286.061,289.916,82.926,100232.156,0.060,287.467,99678.917,288.244,100089.950,
2004-06-01 03:15:00,295.253,295.253,286.034,289.884,82.880,100232.116,0.060,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,295.212,295.212,285.993,289.959,82.368,100232.050,0.060,287.465,99680.667,288.307,100089.871,
