cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.872,299.872,298.230,290.809,78.669,100231.517,10.351,287.334,99731.472,288.757,100089.666,
2004-06-01 00:10:00,299.572,299.572,295.590,289.646,84.439,100232.178,0.479,287.334,99729.111,288.283,100089.913,
2004-06-01 00:15:00,299.041,299.041,292.277,290.073,82.325,100232.031,0.479,287.334,99726.750,288.336,100089.879,
2004-06-01 00:20:00,298.561,298.561,290.446,290.545,80.158,100231.832,3.993,287.334,99724.389,288.420,100089.815,
2004-06-01 00:25:00,298.194,298.194,289.381,290.550,80.331,100231.775,3.148,287.334,99722.028,288.457,100089.777,
2004-06-01 00:30:00,297.927,297.927,288.688,290.608,80.209,100231.716,3.003,287.334,99719.667,288.483,100089.737,
2004-06-01 00:35:00,297.708,297.708,288.173,290.515,80.818,100231.702,1.201,287.333,99717.306,288.497,100089.705,
2004-06-01 00:40:00,297.525,297.525,287.736,290.554,80.775,100231.637,0.976,287.333,99714.944,288.529,100089.655,
2004-06-01 00:45:00,297.362,297.362,287.344,290.520,81.119,100231.584,0.479,287.333,99712.583,288.563,100089.604,
2004-06-01 00:50:00,297.221,297.221,286.984,290.591,80.965,100231.483,0.479,287.333,99710.222,288.617,100089.533,
2004-06-01 00:55:00,297.094,297.094,286.655,290.589,81.203,100231.394,0.239,287.333,99707.861,288.672,100089.459,
2004-06-01 01:00:00,296.982,296.982,286.352,290.674,81.047,100231.259,0.239,287.333,99705.500,288.747,100089.363,
2004-06-01 01:05:00,296.881,296.881,286.070,290.623,81.375,100231.331,0.239,287.342,99703.931,288.720,100089.419,
2004-06-01 01:10:00,296.791,296.791,285.834,290.583,81.481,100231.437,0.239,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,296.706,296.706,285.648,290.414,82.146,100231.584,0.239,287.360,99700.792,288.574,100089.582,
2004-06-01 01:20:00,296.624,296.624,285.509,290.367,82.156,100231.682,0.239,287.369,99699.222,288.514,100089.651,
2004-06-01 01:25:00,296.539,296.539,285.413,290.260,82.804,100231.790,0.239,287.378,99697.653,288.455,100089.720,
2004-06-01 01:30:00,296.457,296.457,285.355,290.249,82.868,100231.863,0.239,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,296.377,296.377,285.331,290.154,83.268,100231.957,0.239,287.396,99694.514,288.359,100089.838,
2004-06-01 01:40:00,296.303,296.303,285.334,290.145,83.163,100232.023,0.239,287.405,99692.944,288.319,100089.890,
