cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.835,299.835,298.230,290.408,80.502,100231.585,5.741,287.334,99731.472,288.777,100089.656,
2004-06-01 00:10:00,299.503,299.503,295.661,289.242,86.502,100232.274,0.479,287.334,99729.111,288.271,100089.917,
2004-06-01 00:15:00,298.928,298.928,292.356,289.575,84.834,100232.144,0.479,287.334,99726.750,288.332,100089.879,
2004-06-01 00:20:00,298.407,298.407,290.498,289.974,82.953,100231.952,0.479,287.334,99724.389,288.430,100089.809,
2004-06-01 00:25:00,298.007,298.007,289.422,289.986,83.075,100231.898,0.479,287.334,99722.028,288.465,100089.772,
2004-06-01 00:30:00,297.709,297.709,288.723,290.027,83.018,100231.839,0.479,287.334,99719.667,288.496,100089.729,
2004-06-01 00:35:00,297.466,297.466,288.200,289.945,83.593,100231.824,0.479,287.333,99717.306,288.506,100089.698,
2004-06-01 00:40:00,297.262,297.262,287.753,289.990,83.512,100231.754,0.479,287.333,99714.944,288.543,100089.647,
2004-06-01 00:45:00,297.083,297.083,287.349,289.952,83.893,100231.705,0.479,287.333,99712.583,288.573,100089.598,
2004-06-01 00:50:00,296.927,296.927,286.978,290.030,83.691,100231.601,0.479,287.333,99710.222,288.630,100089.526,
2004-06-01 00:55:00,296.789,296.789,286.641,290.016,84.004,100231.519,0.239,287.333,99707.861,288.679,100089.454,
2004-06-01 01:00:00,296.665,296.665,286.331,290.113,83.776,100231.381,0.239,287.333,99705.500,288.756,100089.357,
2004-06-01 01:05:00,296.555,296.555,286.046,290.046,84.192,100231.460,0.239,287.342,99703.931,288.724,100089.415,
2004-06-01 01:10:00,296.457,296.457,285.809,290.024,84.198,100231.558,0.239,287.351,99702.361,288.664,100089.491,
2004-06-01 01:15:00,296.364,296.364,285.619,289.857,84.869,100231.706,0.239,287.360,99700.792,288.579,100089.578,
2004-06-01 01:20:00,296.274,296.274,285.473,289.828,84.787,100231.798,0.239,287.369,99699.222,288.523,100089.646,
2004-06-01 01:25:00,296.185,296.185,285.367,289.711,85.538,100231.911,0.239,287.378,99697.653,288.460,100089.717,
2004-06-01 01:30:00,296.098,296.098,285.295,289.715,85.529,100231.978,0.239,287.387,99696.083,288.418,100089.773,
2004-06-01 01:35:00,296.015,296.015,285.252,289.609,86.004,100232.078,0.239,287.396,99694.514,288.364,100089.835,
2004-06-01 01:40:00,295.937,295.937,285.236,289.617,85.808,100232.137,0.239,287.405,99692.944,288.327,100089.885,
2004-06-01 01:45:00,295.862,295.862,285.243,289.512,86.198,100232.229,0.239,287.414,99691.375,288.277,100089.941,
2004-06-01 01:50:00,295.791,295.791,285.270,289.526,85.940,100232.280,0.239,287.423,99689.806,288.245,100089.985,
2004-06-01 01:55:00,295.723,295.723,285.315,289.426,86.305,100232.363,0.060,287.432,99688.236,288.199,100090.035,
2004-06-01 02:00:00,295.658,295.658,285.376,289.446,86.022,100232.406,0.060,287.441,99686.667,288.171,100090.074,
2004-06-01 02:05:00,295.596,295.596,285.451,289.369,86.354,100232.431,0.060,287.444,99685.875,288.156,100090.078,
2004-06-01 02:10:00,295.534,295.534,285.516,289.430,85.989,100232.404,0.060,287.446,99685.083,288.170,100090.067,
2004-06-01 02:15:00,295.473,295.473,285.571,289.372,86.296,100232.412,0.060,287.448,99684.292,288.169,100090.063,
2004-06-01 02:20:00,295.415,295.415,285.618,289.433,85.966,100232.386,0.060,287.450,99683.500,288.182,100090.053,
2004-06-01 02:25:00,295.360,295.360,285.657,289.364,86.002,100232.401,0.060,287.453,99682.708,288.176,100090.052,
2004-06-01 02:30:00,295.306,295.306,285.690,289.420,85.461,100232.378,0.060,287.455,99681.917,288.186,100090.043,
2004-06-01 02:35:00,295.254,295.254,285.716,289.348,85.725,100232.395,0.060,287.457,99681.125,288.179,100090.043,
2004-06-01 02:40:00,295.203,295.203,285.737,289.407,85.356,100232.372,0.060,287.460,99680.333,288.190,100090.035,
