cur_datetime,WallshadeT, WalllitT, RoofT, canTemp, rh, vcwg_canPress_Pa, senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,300.000,300.000,300.000,295.483,58.803,100225.130,68.060,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,299.872,299.872,298.230,290.809,78.670,100231.517,10.347,287.334,99731.472,288.757,100089.666,
2004-06-01 00:10:00,299.574,299.574,295.590,289.648,84.431,100232.177,0.479,287.334,99729.111,288.283,100089.913,
2004-06-01 00:15:00,299.041,299.041,292.277,290.074,82.320,100232.030,0.479,287.334,99726.750,288.336,100089.879,
2004-06-01 00:20:00,298.559,298.559,290.446,290.548,80.147,100231.831,4.026,287.334,99724.389,288.420,100089.815,
2004-06-01 00:25:00,298.191,298.191,289.381,290.552,80.323,100231.775,3.168,287.334,99722.028,288.457,100089.777,
2004-06-01 00:30:00,297.922,297.922,288.688,290.610,80.198,100231.715,3.028,287.334,99719.667,288.484,100089.736,
2004-06-01 00:35:00,297.703,297.703,288.173,290.516,80.815,100231.702,1.213,287.333,99717.306,288.497,100089.705,
2004-06-01 00:40:00,297.519,297.519,287.737,290.556,80.772,100231.637,0.990,287.333,99714.944,288.529,100089.655,
2004-06-01 00:45:00,297.356,297.356,287.344,290.521,81.119,100231.583,0.479,287.333,99712.583,288.563,100089.604,
2004-06-01 00:50:00,297.214,297.214,286.984,290.592,80.964,100231.483,0.479,287.333,99710.222,288.618,100089.533,
2004-06-01 00:55:00,297.087,297.087,286.655,290.590,81.204,100231.393,0.239,287.333,99707.861,288.672,100089.459,
2004-06-01 01:00:00,296.975,296.975,286.352,290.675,81.046,100231.259,0.239,287.333,99705.500,288.747,100089.363,
2004-06-01 01:05:00,296.873,296.873,286.071,290.624,81.376,100231.331,0.239,287.342,99703.931,288.720,100089.419,
2004-06-01 01:10:00,296.784,296.784,285.834,290.584,81.481,100231.437,0.239,287.351,99702.361,288.656,100089.496,
2004-06-01 01:15:00,296.699,296.699,285.648,290.415,82.144,100231.583,0.239,287.360,99700.792,288.574,100089.582,
2004-06-01 01:20:00,296.616,296.616,285.509,290.368,82.155,100231.682,0.239,287.369,99699.222,288.514,100089.651,
2004-06-01 01:25:00,296.531,296.531,285.413,290.260,82.805,100231.790,0.239,287.378,99697.653,288.455,100089.720,
2004-06-01 01:30:00,296.449,296.449,285.355,290.250,82.864,100231.863,0.239,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,296.369,296.369,285.331,290.154,83.269,100231.957,0.239,287.396,99694.514,288.359,100089.838,
2004-06-01 01:40:00,296.294,296.294,285.334,290.146,83.164,100232.023,0.239,287.405,99692.944,288.319,100089.890,
2004-06-01 01:45:00,296.222,296.222,285.361,290.054,83.470,100232.109,0.239,287.414,99691.375,288.272,100089.944,
2004-06-01 01:50:00,296.153,296.153,285.409,290.052,83.303,100232.166,0.239,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,296.087,296.087,285.473,289.965,83.588,100232.244,0.060,287.432,99688.236,288.195,100090.038,
2004-06-01 02:00:00,296.024,296.024,285.553,289.969,83.394,100232.294,0.060,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,295.963,295.963,285.645,289.904,83.645,100232.312,0.060,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,295.903,295.903,285.726,289.951,83.364,100232.291,0.060,287.446,99685.083,288.162,100090.072,
2004-06-01 02:15:00,295.844,295.844,285.795,289.908,83.579,100232.292,0.060,287.448,99684.292,288.166,100090.066,
2004-06-01 02:20:00,295.789,295.789,285.854,289.953,83.346,100232.272,0.060,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,295.735,295.735,285.905,289.895,83.330,100232.281,0.060,287.453,99682.708,288.173,100090.054,
2004-06-01 02:30:00,295.684,295.684,285.948,289.934,82.898,100232.266,0.060,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,295.634,295.634,285.982,289.874,83.087,100232.276,0.060,287.457,99681.125,288.177,100090.045,
2004-06-01 02:40:00,295.585,295.585,286.010,289.917,82.808,100232.259,0.060,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,295.537,295.537,286.031,289.858,83.096,100232.269,0.060,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,295.491,295.491,286.048,289.903,82.854,100232.253,0.060,287.464,99678.750,288.189,100090.030,
2004-06-01 02:55:00,295.445,295.445,286.060,289.843,83.167,100232.263,0.060,287.466,99677.958,288.187,100090.027,
2004-06-01 03:00:00,295.401,295.401,286.068,289.889,82.931,100232.246,0.060,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,295.358,295.358,286.074,289.842,83.226,100232.221,0.060,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,295.315,295.315,286.061,289.915,82.926,100232.156,0.060,287.467,99678.917,288.244,100089.950,
2004-06-01 03:15:00,295.272,295.272,286.034,289.883,82.883,100232.117,0.060,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,295.231,295.231,285.993,289.958,82.372,100232.050,0.060,287.465,99680.667,288.307,100089.871,
2004-06-01 03:25:00,295.190,295.190,285.939,289.917,82.567,100232.014,0.060,287.464,99681.542,288.332,100089.834,
2004-06-01 03:30:00,295.151,295.151,285.873,289.989,82.248,100231.948,0.060,287.463,99682.417,288.368,100089.792,
2004-06-01 03:35:00,295.113,295.113,285.799,289.948,82.553,100231.910,0.060,287.462,99683.292,288.393,100089.753,
2004-06-01 03:40:00,295.075,295.075,285.717,290.023,82.279,100231.842,0.060,287.462,99684.167,288.430,100089.710,
2004-06-01 03:45:00,295.038,295.038,285.628,289.984,82.601,100231.802,0.060,287.461,99685.042,288.457,100089.670,
2004-06-01 03:50:00,295.002,295.002,285.532,290.060,82.328,100231.731,0.060,287.460,99685.917,288.495,100089.625,
2004-06-01 03:55:00,294.966,294.966,285.430,290.022,82.350,100231.689,0.239,287.459,99686.792,288.523,100089.584,
2004-06-01 04:00:00,294.931,294.931,285.322,290.101,81.845,100231.616,0.239,287.458,99687.667,288.563,100089.537,
2004-06-01 04:05:00,294.897,294.897,285.208,290.009,82.130,100231.730,0.239,287.467,99687.667,288.511,100089.619,
2004-06-01 04:10:00,294.866,294.866,285.119,289.983,82.300,100231.849,0.239,287.476,99687.667,288.438,100089.710,
2004-06-01 04:15:00,294.834,294.834,285.059,289.828,83.041,100231.989,0.239,287.486,99687.667,288.358,100089.793,
2004-06-01 04:20:00,294.800,294.800,285.031,289.823,82.920,100232.067,0.239,287.495,99687.667,288.308,100089.854,
2004-06-01 04:25:00,294.762,294.762,285.032,289.723,83.260,100232.153,0.239,287.504,99687.667,288.262,100089.907,
2004-06-01 04:30:00,294.724,294.724,285.059,289.752,82.928,100232.194,0.239,287.513,99687.667,288.234,100089.946,
2004-06-01 04:35:00,294.686,294.686,285.112,289.658,83.247,100232.260,0.239,287.523,99687.667,288.200,100089.983,
2004-06-01 04:40:00,294.650,294.650,285.193,289.687,82.937,100232.289,0.239,287.532,99687.667,288.180,100090.011,
2004-06-01 04:45:00,294.614,294.614,285.301,289.591,83.623,100232.345,0.239,287.541,99687.667,288.151,100090.039,
2004-06-01 04:50:00,294.579,294.579,285.434,289.621,83.577,100232.364,0.239,287.550,99687.667,288.137,100090.059,
2004-06-01 04:55:00,294.544,294.544,285.595,289.527,84.080,100232.412,1.615,287.559,99687.667,288.113,100090.081,
2004-06-01 05:00:00,294.510,294.510,285.775,289.565,83.835,100232.420,1.615,287.569,99687.667,288.108,100090.094,
2004-06-01 05:05:00,294.476,294.476,285.966,289.457,84.289,100232.504,1.615,287.585,99689.319,288.067,100090.144,
2004-06-01 05:10:00,294.447,294.447,286.207,289.468,84.089,100232.557,1.615,287.600,99690.972,288.032,100090.189,
2004-06-01 05:15:00,294.420,294.420,286.477,289.354,84.919,100232.636,1.615,287.616,99692.625,287.991,100090.232,
2004-06-01 05:20:00,294.396,294.396,286.750,289.378,84.944,100232.669,1.615,287.632,99694.278,287.970,100090.262,
2004-06-01 05:25:00,294.372,294.372,287.019,289.279,85.518,100232.733,1.615,287.648,99695.931,287.939,100090.298,
2004-06-01 05:30:00,294.349,294.349,287.256,289.361,85.123,100232.752,1.615,287.664,99697.583,287.921,100090.327,
2004-06-01 05:35:00,294.316,294.316,287.468,288.972,87.170,100232.887,1.615,287.680,99699.236,287.877,100090.365,
2004-06-01 05:40:00,294.295,294.295,287.556,289.079,86.939,100232.901,1.615,287.695,99700.889,287.859,100090.391,
2004-06-01 05:45:00,294.250,294.250,287.584,288.777,88.708,100233.022,1.615,287.711,99702.542,287.805,100090.434,
2004-06-01 05:50:00,294.221,294.221,287.685,289.026,87.401,100232.977,1.615,287.727,99704.194,287.817,100090.444,
2004-06-01 05:55:00,294.177,294.177,287.708,288.743,88.872,100233.084,5.623,287.743,99705.847,287.771,100090.479,
2004-06-01 06:00:00,294.157,294.157,287.863,288.908,88.100,100233.055,5.623,287.759,99707.500,287.783,100090.486,
2004-06-01 06:05:00,294.123,294.123,288.333,288.671,89.387,100233.148,5.623,287.805,99709.000,287.751,100090.524,
2004-06-01 06:10:00,294.109,294.111,288.701,289.061,87.174,100233.041,5.623,287.850,99710.500,287.807,100090.520,
2004-06-01 06:15:00,294.090,294.095,288.987,288.841,88.217,100233.132,5.623,287.896,99712.000,287.775,100090.556,
2004-06-01 06:20:00,294.101,294.110,289.291,289.158,86.726,100233.050,5.623,287.942,99713.500,287.819,100090.557,
2004-06-01 06:25:00,294.103,294.117,289.524,288.934,87.999,100233.140,5.623,287.988,99715.000,287.787,100090.593,
2004-06-01 06:30:00,294.127,294.146,289.797,289.268,86.132,100233.060,5.623,288.033,99716.500,287.827,100090.595,
2004-06-01 06:35:00,294.140,294.165,290.014,289.003,87.758,100233.158,5.623,288.079,99718.000,287.791,100090.632,
2004-06-01 06:40:00,294.172,294.202,290.282,289.345,85.984,100233.079,5.623,288.125,99719.500,287.829,100090.635,
2004-06-01 06:45:00,294.193,294.227,290.495,289.062,87.406,100233.182,5.623,288.170,99721.000,287.791,100090.673,
2004-06-01 06:50:00,294.230,294.269,290.765,289.409,85.425,100233.103,5.623,288.216,99722.500,287.828,100090.676,
2004-06-01 06:55:00,294.256,294.298,290.981,289.114,87.154,100233.209,5.982,288.262,99724.000,287.789,100090.715,
2004-06-01 07:00:00,294.296,294.343,291.257,289.460,85.375,100233.132,5.982,288.308,99725.500,287.824,100090.719,
2004-06-01 07:05:00,294.326,294.376,291.478,289.162,86.870,100233.225,5.982,288.370,99729.069,287.790,100090.746,
2004-06-01 07:10:00,294.370,294.427,291.804,289.567,84.989,100233.103,5.982,288.432,99732.639,287.855,100090.727,
2004-06-01 07:15:00,294.404,294.471,292.074,289.316,86.408,100233.155,5.982,288.495,99736.208,287.853,100090.736,
2004-06-01 07:20:00,294.455,294.531,292.412,289.740,84.238,100233.019,5.982,288.557,99739.778,287.929,100090.708,
2004-06-01 07:25:00,294.499,294.585,292.683,289.476,85.849,100233.066,5.982,288.620,99743.347,287.933,100090.712,
2004-06-01 07:30:00,294.557,294.653,293.008,289.914,83.795,100232.925,6.482,288.682,99746.917,288.010,100090.682,
2004-06-01 07:35:00,294.608,294.712,293.263,289.637,85.216,100232.971,5.982,288.745,99750.486,288.016,100090.683,
2004-06-01 07:40:00,294.673,294.784,293.575,290.078,83.284,100232.831,9.542,288.807,99754.056,288.092,100090.652,
2004-06-01 07:45:00,294.729,294.847,293.820,289.800,84.788,100232.867,6.921,288.869,99757.625,288.108,100090.648,
2004-06-01 07:50:00,294.799,294.921,294.124,290.236,82.698,100232.734,12.479,288.932,99761.194,288.177,100090.619,
2004-06-01 07:55:00,294.860,294.985,294.371,289.957,84.270,100232.762,5.743,288.994,99764.764,288.200,100090.610,
2004-06-01 08:00:00,294.933,295.059,294.668,290.382,82.387,100232.643,5.743,289.057,99768.333,288.255,100090.587,
2004-06-01 08:05:00,294.998,295.122,294.917,290.100,83.995,100232.607,5.743,289.178,99768.653,288.301,100090.518,
2004-06-01 08:10:00,295.075,295.193,295.165,290.602,81.757,100232.352,5.743,289.299,99768.972,288.440,100090.400,
2004-06-01 08:15:00,295.145,295.253,295.373,290.336,83.277,100232.283,5.743,289.420,99769.292,288.513,100090.310,
2004-06-01 08:20:00,295.229,295.326,295.672,290.851,81.030,100232.021,8.396,289.541,99769.611,288.657,100090.188,
2004-06-01 08:25:00,295.307,295.390,295.908,290.593,82.221,100231.941,5.950,289.663,99769.931,288.740,100090.093,
2004-06-01 08:30:00,295.398,295.471,296.212,291.107,80.026,100231.684,12.501,289.784,99770.250,288.880,100089.973,
2004-06-01 08:35:00,295.483,295.552,296.456,290.861,81.169,100231.586,10.335,289.905,99770.569,288.978,100089.869,
2004-06-01 08:40:00,295.579,295.649,296.755,291.371,79.064,100231.328,16.803,290.026,99770.889,289.118,100089.747,
2004-06-01 08:45:00,295.670,295.744,297.012,291.130,80.176,100231.226,14.672,290.148,99771.208,289.218,100089.642,
2004-06-01 08:50:00,295.771,295.851,297.314,291.633,78.154,100230.969,21.038,290.269,99771.528,289.358,100089.518,
2004-06-01 08:55:00,295.866,295.953,297.573,291.400,79.258,100230.863,14.936,290.390,99771.847,289.461,100089.411,
2004-06-01 09:00:00,295.970,296.065,297.875,291.876,77.374,100230.625,20.960,290.511,99772.167,289.585,100089.294,
2004-06-01 09:05:00,296.068,296.171,298.136,291.664,78.422,100230.488,18.960,290.634,99772.333,289.702,100089.164,
2004-06-01 09:10:00,296.170,296.283,298.406,292.188,76.309,100230.179,25.394,290.757,99772.500,289.878,100089.004,
2004-06-01 09:15:00,296.262,296.388,298.611,292.011,77.256,100230.005,23.817,290.879,99772.667,290.027,100088.855,
2004-06-01 09:20:00,296.362,296.504,298.857,292.518,75.390,100229.698,30.064,291.002,99772.833,290.205,100088.692,
2004-06-01 09:25:00,296.454,296.614,299.047,292.338,76.402,100229.529,28.459,291.125,99773.000,290.347,100088.544,
2004-06-01 09:30:00,296.554,296.734,299.258,292.815,74.721,100229.237,34.383,291.248,99773.167,290.515,100088.385,
2004-06-01 09:35:00,296.646,296.849,299.419,292.643,75.472,100229.072,32.879,291.370,99773.333,290.652,100088.239,
2004-06-01 09:40:00,296.745,296.972,299.611,293.096,73.959,100228.788,38.535,291.493,99773.500,290.814,100088.083,
2004-06-01 09:45:00,296.838,297.091,299.761,292.931,74.706,100228.626,37.114,291.616,99773.667,290.946,100087.939,
2004-06-01 09:50:00,296.936,297.218,299.945,293.364,73.157,100228.350,42.551,291.739,99773.833,291.104,100087.784,
2004-06-01 09:55:00,297.029,297.341,300.088,293.208,73.910,100228.187,41.498,291.861,99774.000,291.233,100087.641,
2004-06-01 10:00:00,297.126,297.470,300.267,293.622,72.534,100227.917,46.727,291.984,99774.167,291.388,100087.487,
2004-06-01 10:05:00,297.219,297.597,300.408,293.449,73.132,100227.844,45.140,292.045,99773.639,291.471,100087.416,
2004-06-01 10:10:00,297.315,297.724,300.535,293.741,72.037,100227.746,48.857,292.106,99773.111,291.510,100087.376,
2004-06-01 10:15:00,297.406,297.845,300.701,293.531,72.604,100227.747,46.847,292.167,99772.583,291.524,100087.350,
2004-06-01 10:20:00,297.495,297.962,300.864,293.825,71.379,100227.647,50.584,292.228,99772.056,291.566,100087.312,
2004-06-01 10:25:00,297.577,298.072,301.037,293.644,71.804,100227.628,48.899,292.289,99771.528,291.596,100087.278,
2004-06-01 10:30:00,297.661,298.183,301.268,293.947,70.523,100227.515,52.747,292.350,99771.000,291.651,100087.233,
2004-06-01 10:35:00,297.740,298.289,301.489,293.776,70.877,100227.489,51.176,292.411,99770.472,291.686,100087.197,
2004-06-01 10:40:00,297.822,298.397,301.743,294.074,69.624,100227.377,54.959,292.472,99769.944,291.741,100087.152,
2004-06-01 10:45:00,297.900,298.502,301.976,293.911,69.907,100227.351,53.476,292.533,99769.417,291.775,100087.116,
2004-06-01 10:50:00,297.981,298.610,302.238,294.193,68.723,100227.243,57.094,292.594,99768.889,291.826,100087.072,
2004-06-01 10:55:00,298.059,298.714,302.479,294.036,68.979,100227.218,55.147,292.655,99768.361,291.858,100087.036,
2004-06-01 11:00:00,298.139,298.820,302.744,294.306,67.816,100227.116,58.630,292.715,99767.833,291.903,100086.995,
2004-06-01 11:05:00,298.217,298.925,302.991,294.176,67.991,100227.016,57.406,292.812,99766.264,291.971,100086.898,
2004-06-01 11:10:00,298.293,299.027,303.210,294.488,66.801,100226.804,61.236,292.909,99764.694,292.085,100086.774,
2004-06-01 11:15:00,298.365,299.124,303.382,294.391,66.920,100226.663,60.395,293.005,99763.125,292.188,100086.653,
2004-06-01 11:20:00,298.438,299.223,303.581,294.684,65.860,100226.455,64.015,293.102,99761.556,292.302,100086.528,
2004-06-01 11:25:00,298.509,299.319,303.745,294.592,66.182,100226.320,63.219,293.198,99759.986,292.397,100086.411,
2004-06-01 11:30:00,298.582,299.417,303.911,294.860,65.364,100226.123,66.558,293.295,99758.417,292.503,100086.290,
2004-06-01 11:35:00,298.652,299.512,304.049,294.773,65.572,100225.992,65.820,293.391,99756.847,292.594,100086.175,
2004-06-01 11:40:00,298.723,299.607,304.198,295.023,64.747,100225.800,68.950,293.488,99755.278,292.698,100086.055,
2004-06-01 11:45:00,298.792,299.700,304.327,294.948,64.836,100225.669,68.348,293.584,99753.708,292.787,100085.940,
2004-06-01 11:50:00,298.861,299.794,304.471,295.179,64.042,100225.483,71.247,293.681,99752.139,292.887,100085.822,
2004-06-01 11:55:00,298.928,299.886,304.596,295.113,64.088,100225.352,69.871,293.777,99750.569,292.974,100085.709,
2004-06-01 12:00:00,298.995,299.976,304.736,295.324,63.370,100225.175,72.498,293.874,99749.000,293.068,100085.593,
2004-06-01 12:05:00,299.061,300.062,304.859,295.267,63.391,100225.042,71.941,293.961,99745.653,293.154,100085.478,
2004-06-01 12:10:00,299.123,300.144,304.951,295.463,62.763,100224.866,74.284,294.048,99742.306,293.247,100085.360,
2004-06-01 12:15:00,299.182,300.222,305.027,295.407,62.806,100224.737,73.737,294.136,99738.958,293.329,100085.247,
2004-06-01 12:20:00,299.237,300.295,305.111,295.594,62.206,100224.564,75.966,294.223,99735.611,293.420,100085.130,
2004-06-01 12:25:00,299.290,300.367,305.180,295.547,62.223,100224.435,75.516,294.310,99732.264,293.501,100085.017,
2004-06-01 12:30:00,299.342,300.436,305.262,295.722,61.680,100224.264,77.609,294.397,99728.917,293.592,100084.901,
2004-06-01 12:35:00,299.391,300.503,305.331,295.681,61.683,100224.134,77.228,294.485,99725.569,293.673,100084.788,
2004-06-01 12:40:00,299.439,300.567,305.412,295.847,61.170,100223.966,79.218,294.572,99722.222,293.763,100084.673,
2004-06-01 12:45:00,299.486,300.631,305.481,295.813,60.955,100223.836,78.921,294.659,99718.875,293.843,100084.561,
2004-06-01 12:50:00,299.532,300.693,305.561,295.971,60.334,100223.670,80.805,294.746,99715.528,293.932,100084.445,
2004-06-01 12:55:00,299.577,300.755,305.630,295.942,60.204,100223.539,79.122,294.834,99712.181,294.012,100084.334,
2004-06-01 13:00:00,299.620,300.814,305.710,296.083,59.732,100223.382,80.820,294.921,99708.833,294.094,100084.221,
2004-06-01 13:05:00,299.663,300.873,305.779,296.040,59.847,100223.311,80.277,294.933,99706.833,294.141,100084.158,
2004-06-01 13:10:00,299.702,300.928,305.828,296.273,59.381,100223.128,82.894,294.946,99704.833,294.272,100084.061,
2004-06-01 13:15:00,299.738,300.979,305.733,296.375,59.223,100222.938,84.021,294.958,99702.833,294.430,100083.948,
2004-06-01 13:20:00,299.776,301.032,305.674,296.624,58.684,100222.723,86.819,294.971,99700.833,294.590,100083.829,
2004-06-01 13:25:00,299.820,301.090,305.575,296.685,58.442,100222.561,87.463,294.983,99698.833,294.721,100083.721,
2004-06-01 13:30:00,299.864,301.149,305.439,296.850,58.279,100222.402,89.290,294.995,99696.833,294.833,100083.622,
2004-06-01 13:35:00,299.910,301.208,305.252,296.862,58.127,100222.290,89.359,295.008,99694.833,294.916,100083.537,
