cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.768,299.768,298.230,291.888,78.339,100229.188,0.092,287.334,99731.472,290.086,100087.924,
2004-06-01 00:10:00,299.316,299.316,295.929,290.838,84.509,100229.760,0.092,287.334,99729.111,289.680,100088.135,
2004-06-01 00:15:00,298.578,298.578,293.175,291.231,82.613,100229.687,0.092,287.334,99726.750,289.696,100088.154,
2004-06-01 00:20:00,297.993,297.993,291.501,291.559,81.118,100229.546,0.092,287.334,99724.389,289.752,100088.107,
2004-06-01 00:25:00,297.634,297.634,290.451,291.620,80.884,100229.526,0.092,287.334,99722.028,289.759,100088.109,
2004-06-01 00:30:00,297.413,297.413,289.705,291.633,80.854,100229.490,0.092,287.334,99719.667,289.777,100088.081,
2004-06-01 00:35:00,297.254,297.254,289.085,291.539,81.113,100229.668,0.092,287.333,99717.306,289.689,100088.216,
2004-06-01 00:40:00,297.124,297.124,288.526,291.367,81.530,100229.951,0.092,287.333,99714.944,289.527,100088.417,
2004-06-01 00:45:00,297.005,297.005,288.023,291.139,82.081,100230.261,0.092,287.333,99712.583,289.346,100088.625,
2004-06-01 00:50:00,296.885,296.885,287.570,290.980,82.303,100230.498,0.092,287.333,99710.222,289.204,100088.787,
2004-06-01 00:55:00,296.762,296.762,287.160,290.860,82.382,100230.702,0.092,287.333,99707.861,289.085,100088.932,
2004-06-01 01:00:00,296.642,296.642,286.790,290.785,82.316,100230.858,0.092,287.333,99705.500,288.992,100089.047,
2004-06-01 01:05:00,296.529,296.529,286.454,290.707,82.346,100230.986,0.092,287.342,99703.931,288.918,100089.138,
2004-06-01 01:10:00,296.427,296.427,286.175,290.664,82.270,100231.083,0.092,287.351,99702.361,288.860,100089.210,
2004-06-01 01:15:00,296.334,296.334,285.948,290.589,82.380,100231.194,0.092,287.360,99700.792,288.798,100089.289,
2004-06-01 01:20:00,296.249,296.249,285.769,290.534,82.400,100231.292,0.092,287.369,99699.222,288.741,100089.359,
2004-06-01 01:25:00,296.169,296.169,285.633,290.453,82.880,100231.403,0.092,287.378,99697.653,288.679,100089.436,
2004-06-01 01:30:00,296.094,296.094,285.535,290.397,83.143,100231.501,0.092,287.387,99696.083,288.622,100089.505,
2004-06-01 01:35:00,296.021,296.021,285.471,290.322,83.403,100231.606,0.092,287.396,99694.514,288.562,100089.578,
2004-06-01 01:40:00,295.953,295.953,285.435,290.273,83.473,100231.699,0.092,287.405,99692.944,288.508,100089.645,
2004-06-01 01:45:00,295.887,295.887,285.424,290.204,83.619,100231.799,0.092,287.414,99691.375,288.451,100089.715,
2004-06-01 01:50:00,295.824,295.824,285.434,290.160,83.625,100231.888,0.092,287.423,99689.806,288.399,100089.779,
2004-06-01 01:55:00,295.764,295.764,285.464,290.096,83.731,100231.982,0.092,287.432,99688.236,288.345,100089.845,
2004-06-01 02:00:00,295.706,295.706,285.510,290.055,83.715,100232.066,0.092,287.441,99686.667,288.296,100089.906,
2004-06-01 02:05:00,295.651,295.651,285.571,290.013,83.779,100232.100,0.092,287.444,99685.875,288.274,100089.925,
2004-06-01 02:10:00,295.595,295.595,285.622,290.017,83.658,100232.111,0.092,287.446,99685.083,288.267,100089.934,
2004-06-01 02:15:00,295.539,295.539,285.665,289.999,83.681,100232.126,0.092,287.448,99684.292,288.260,100089.944,
2004-06-01 02:20:00,295.487,295.487,285.702,289.999,83.620,100232.137,0.092,287.450,99683.500,288.254,100089.953,
2004-06-01 02:25:00,295.437,295.437,285.734,289.967,83.413,100232.158,0.092,287.453,99682.708,288.243,100089.964,
2004-06-01 02:30:00,295.389,295.389,285.763,289.959,83.163,100232.172,0.092,287.455,99681.917,288.235,100089.974,
2004-06-01 02:35:00,295.341,295.341,285.787,289.926,83.157,100232.192,0.092,287.457,99681.125,288.224,100089.984,
2004-06-01 02:40:00,295.293,295.293,285.810,289.920,83.074,100232.204,0.092,287.460,99680.333,288.217,100089.993,
2004-06-01 02:45:00,295.246,295.246,285.830,289.889,83.158,100232.223,0.092,287.462,99679.542,288.208,100090.002,
2004-06-01 02:50:00,295.200,295.200,285.849,289.884,83.120,100232.233,0.092,287.464,99678.750,288.202,100090.009,
2004-06-01 02:55:00,295.155,295.155,285.868,289.854,83.232,100232.250,0.092,287.466,99677.958,288.193,100090.017,
2004-06-01 03:00:00,295.111,295.111,285.886,289.850,83.201,100232.259,0.092,287.469,99677.167,288.188,100090.023,
2004-06-01 03:05:00,295.067,295.067,285.904,289.831,83.301,100232.242,0.092,287.468,99678.042,288.197,100090.005,
2004-06-01 03:10:00,295.023,295.029,285.923,289.852,83.229,100232.205,0.092,287.467,99678.917,288.218,100089.978,
2004-06-01 03:15:00,294.979,294.988,285.929,289.850,82.979,100232.174,0.092,287.466,99679.792,288.238,100089.952,
2004-06-01 03:20:00,294.937,294.949,285.923,289.871,82.698,100232.138,0.092,287.465,99680.667,288.259,100089.926,
2004-06-01 03:25:00,294.897,294.910,285.905,289.859,82.693,100232.114,0.092,287.464,99681.542,288.275,100089.903,
2004-06-01 03:30:00,294.857,294.873,285.878,289.873,82.616,100232.084,0.092,287.463,99682.417,288.292,100089.881,
2004-06-01 03:35:00,294.817,294.834,285.843,289.859,82.712,100232.062,0.092,287.462,99683.292,288.306,100089.860,
2004-06-01 03:40:00,294.778,294.797,285.801,289.873,82.676,100232.034,0.092,287.462,99684.167,288.322,100089.839,
2004-06-01 03:45:00,294.739,294.759,285.754,289.858,82.800,100232.015,0.092,287.461,99685.042,288.335,100089.820,
2004-06-01 03:50:00,294.700,294.721,285.703,289.872,82.774,100231.989,0.092,287.460,99685.917,288.350,100089.800,
2004-06-01 03:55:00,294.661,294.684,285.647,289.857,82.582,100231.971,0.092,287.459,99686.792,288.362,100089.782,
2004-06-01 04:00:00,294.623,294.648,285.588,289.871,82.319,100231.947,0.092,287.458,99687.667,288.376,100089.764,
2004-06-01 04:05:00,294.585,294.611,285.524,289.833,82.345,100231.992,0.092,287.467,99687.667,288.355,100089.796,
2004-06-01 04:10:00,294.551,294.579,285.483,289.807,82.638,100232.043,0.092,287.476,99687.667,288.324,100089.832,
2004-06-01 04:15:00,294.518,294.547,285.466,289.747,83.034,100232.102,0.092,287.486,99687.667,288.291,100089.868,
2004-06-01 04:20:00,294.484,294.515,285.473,289.727,83.122,100232.144,0.092,287.495,99687.667,288.266,100089.898,
2004-06-01 04:25:00,294.449,294.481,285.499,289.685,83.269,100232.187,0.092,287.504,99687.667,288.242,100089.925,
2004-06-01 04:30:00,294.415,294.448,285.541,289.677,83.220,100232.217,0.092,287.513,99687.667,288.224,100089.948,
2004-06-01 04:35:00,294.382,294.416,285.596,289.639,83.320,100232.252,0.092,287.523,99687.667,288.204,100089.970,
2004-06-01 04:40:00,294.350,294.386,285.664,289.632,83.259,100232.277,0.092,287.532,99687.667,288.189,100089.989,
2004-06-01 04:45:00,294.318,294.356,285.743,289.594,83.694,100232.309,0.092,287.541,99687.667,288.172,100090.008,
2004-06-01 04:50:00,294.288,294.327,285.831,289.589,83.870,100232.329,0.092,287.550,99687.667,288.160,100090.023,
2004-06-01 04:55:00,294.258,294.299,285.932,289.553,84.099,100232.356,0.146,287.559,99687.667,288.145,100090.039,
2004-06-01 05:00:00,294.229,294.272,286.040,289.550,84.101,100232.373,0.146,287.569,99687.667,288.135,100090.051,
2004-06-01 05:05:00,294.201,294.244,286.151,289.516,84.230,100232.395,0.146,287.585,99689.319,288.124,100090.063,
2004-06-01 05:10:00,294.173,294.223,286.278,289.515,84.173,100232.407,0.146,287.600,99690.972,288.117,100090.072,
2004-06-01 05:15:00,294.148,294.207,286.409,289.488,84.588,100232.425,0.146,287.616,99692.625,288.107,100090.082,
2004-06-01 05:20:00,294.123,294.193,286.540,289.493,84.737,100232.435,0.146,287.632,99694.278,288.101,100090.091,
2004-06-01 05:25:00,294.100,294.182,286.676,289.469,84.926,100232.452,0.146,287.648,99695.931,288.093,100090.101,
2004-06-01 05:30:00,294.079,294.173,286.811,289.477,84.882,100232.460,0.146,287.664,99697.583,288.087,100090.109,
2004-06-01 05:35:00,294.059,294.165,286.938,289.454,84.974,100232.476,0.146,287.680,99699.236,288.079,100090.118,
2004-06-01 05:40:00,294.040,294.160,287.056,289.464,85.208,100232.483,0.146,287.695,99700.889,288.075,100090.126,
2004-06-01 05:45:00,294.022,294.154,287.167,289.443,85.507,100232.498,0.146,287.711,99702.542,288.067,100090.134,
2004-06-01 05:50:00,294.005,294.149,287.281,289.455,85.521,100232.503,0.146,287.727,99704.194,288.064,100090.141,
2004-06-01 05:55:00,293.988,294.143,287.390,289.433,85.658,100232.518,10.229,287.743,99705.847,288.056,100090.149,
2004-06-01 06:00:00,293.972,294.137,287.490,289.514,85.560,100232.487,10.890,287.759,99707.500,288.080,100090.146,
2004-06-01 06:05:00,293.943,294.118,287.582,289.328,86.739,100232.519,9.146,287.805,99709.000,288.082,100090.136,
2004-06-01 06:10:00,293.931,294.119,287.697,289.389,86.475,100232.497,9.617,287.850,99710.500,288.087,100090.125,
2004-06-01 06:15:00,293.896,294.100,287.785,289.237,87.269,100232.521,8.235,287.896,99712.000,288.085,100090.116,
2004-06-01 06:20:00,293.874,294.096,287.851,289.320,87.160,100232.485,8.945,287.942,99713.500,288.099,100090.099,
2004-06-01 06:25:00,293.839,294.078,287.896,289.206,87.953,100232.493,7.922,287.988,99715.000,288.104,100090.085,
2004-06-01 06:30:00,293.819,294.075,287.981,289.292,87.545,100232.449,8.650,288.033,99716.500,288.124,100090.063,
2004-06-01 06:35:00,293.790,294.061,288.037,289.197,88.281,100232.449,7.754,288.079,99718.000,288.132,100090.046,
2004-06-01 06:40:00,293.774,294.057,288.334,289.288,87.836,100232.394,8.503,288.125,99719.500,288.163,100090.018,
2004-06-01 06:45:00,293.750,294.042,288.665,289.219,88.198,100232.375,7.843,288.170,99721.000,288.186,100089.992,
2004-06-01 06:50:00,293.737,294.037,288.908,289.304,87.720,100232.318,8.539,288.216,99722.500,288.218,100089.962,
2004-06-01 06:55:00,293.718,294.023,289.089,289.236,88.464,100232.303,32.939,288.262,99724.000,288.235,100089.939,
2004-06-01 07:00:00,293.707,294.017,289.239,289.379,87.881,100232.188,34.199,288.308,99725.500,288.321,100089.881,
2004-06-01 07:05:00,293.689,294.002,289.358,289.328,88.209,100232.150,33.729,288.370,99729.069,288.352,100089.842,
2004-06-01 07:10:00,293.685,293.999,289.507,289.397,88.233,100232.089,34.324,288.432,99732.639,288.384,100089.804,
2004-06-01 07:15:00,293.677,293.991,289.635,289.358,88.629,100232.055,33.957,288.495,99736.208,288.408,100089.769,
2004-06-01 07:20:00,293.673,293.985,289.759,289.442,88.217,100231.985,34.673,288.557,99739.778,288.447,100089.727,
2004-06-01 07:25:00,293.666,293.975,289.876,289.422,88.724,100231.940,34.466,288.620,99743.347,288.477,100089.688,
2004-06-01 07:30:00,293.664,293.969,289.998,289.508,88.452,100231.867,35.187,288.682,99746.917,288.519,100089.644,
2004-06-01 07:35:00,293.662,293.962,290.116,289.487,88.591,100231.823,34.971,288.745,99750.486,288.549,100089.606,
2004-06-01 07:40:00,293.663,293.956,290.238,289.604,88.370,100231.734,35.961,288.807,99754.056,288.601,100089.557,
2004-06-01 07:45:00,293.663,293.948,290.354,289.598,88.590,100231.683,35.866,288.869,99757.625,288.636,100089.515,
2004-06-01 07:50:00,293.670,293.945,290.478,289.707,88.073,100231.596,36.777,288.932,99761.194,288.687,100089.465,
2004-06-01 07:55:00,293.676,293.940,290.593,289.700,88.490,100231.544,161.788,288.994,99764.764,288.723,100089.423,
2004-06-01 08:00:00,293.685,293.938,290.714,290.164,86.162,100231.129,165.985,289.057,99768.333,289.069,100089.229,
2004-06-01 08:05:00,293.693,293.929,290.826,290.083,86.919,100231.093,165.539,289.178,99768.653,289.098,100089.182,
2004-06-01 08:10:00,293.742,293.963,291.251,290.238,86.252,100230.988,167.150,289.299,99768.972,289.156,100089.128,
2004-06-01 08:15:00,293.777,293.979,291.595,290.398,85.828,100230.831,168.767,289.420,99769.292,289.271,100089.046,
2004-06-01 08:20:00,293.817,293.996,291.930,290.659,84.742,100230.633,171.247,289.541,99769.611,289.410,100088.947,
