cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.768,299.768,299.920,291.929,78.139,100229.155,0.024,287.334,99731.472,290.116,100087.911,
2004-06-01 00:10:00,299.316,299.316,299.783,290.956,83.881,100229.660,0.024,287.334,99729.111,289.769,100088.093,
2004-06-01 00:15:00,298.582,298.582,299.565,291.519,81.131,100229.422,0.024,287.334,99726.750,289.935,100088.039,
2004-06-01 00:20:00,298.006,298.006,299.344,291.935,79.209,100229.153,0.024,287.334,99724.389,290.121,100087.927,
2004-06-01 00:25:00,297.666,297.666,299.137,291.927,79.269,100229.136,0.024,287.334,99722.028,290.144,100087.918,
2004-06-01 00:30:00,297.467,297.467,298.941,291.824,79.757,100229.162,0.024,287.334,99719.667,290.119,100087.909,
2004-06-01 00:35:00,297.315,297.315,298.752,291.661,80.279,100229.394,0.024,287.333,99717.306,289.988,100088.068,
2004-06-01 00:40:00,297.181,297.181,298.566,291.483,80.660,100229.692,0.024,287.333,99714.944,289.811,100088.278,
2004-06-01 00:45:00,297.053,297.053,298.384,291.291,81.020,100229.989,0.024,287.333,99712.583,289.634,100088.484,
2004-06-01 00:50:00,296.927,296.927,298.202,291.160,81.114,100230.211,0.024,287.333,99710.222,289.501,100088.641,
2004-06-01 00:55:00,296.803,296.803,298.022,291.049,81.160,100230.407,0.024,287.333,99707.861,289.388,100088.783,
2004-06-01 01:00:00,296.686,296.686,297.844,290.966,81.142,100230.565,0.024,287.333,99705.500,289.295,100088.897,
2004-06-01 01:05:00,296.576,296.576,297.669,290.882,81.214,100230.695,0.024,287.342,99703.931,289.219,100088.989,
2004-06-01 01:10:00,296.476,296.476,297.497,290.830,81.193,100230.795,0.024,287.351,99702.361,289.160,100089.061,
2004-06-01 01:15:00,296.382,296.382,297.329,290.754,81.310,100230.908,0.024,287.360,99700.792,289.096,100089.141,
2004-06-01 01:20:00,296.297,296.297,297.165,290.694,81.359,100231.011,0.024,287.369,99699.222,289.035,100089.213,
2004-06-01 01:25:00,296.218,296.218,297.004,290.615,81.884,100231.125,0.024,287.378,99697.653,288.969,100089.292,
2004-06-01 01:30:00,296.143,296.143,296.848,290.557,82.162,100231.226,0.024,287.387,99696.083,288.908,100089.363,
2004-06-01 01:35:00,296.071,296.071,296.695,290.484,82.396,100231.334,0.024,287.396,99694.514,288.845,100089.438,
2004-06-01 01:40:00,296.003,296.003,296.547,290.431,82.480,100231.431,0.024,287.405,99692.944,288.786,100089.506,
2004-06-01 01:45:00,295.938,295.938,296.403,290.363,82.614,100231.534,0.024,287.414,99691.375,288.726,100089.578,
2004-06-01 01:50:00,295.876,295.876,296.263,290.313,82.644,100231.626,0.024,287.423,99689.806,288.670,100089.644,
2004-06-01 01:55:00,295.816,295.816,296.126,290.248,82.751,100231.724,0.024,287.432,99688.236,288.613,100089.711,
2004-06-01 02:00:00,295.759,295.759,295.994,290.203,82.765,100231.811,0.024,287.441,99686.667,288.560,100089.774,
2004-06-01 02:05:00,295.703,295.703,295.865,290.163,82.825,100231.846,0.024,287.444,99685.875,288.537,100089.793,
2004-06-01 02:10:00,295.647,295.647,295.739,290.161,82.751,100231.860,0.024,287.446,99685.083,288.528,100089.804,
2004-06-01 02:15:00,295.591,295.591,295.616,290.139,82.794,100231.879,0.024,287.448,99684.292,288.517,100089.815,
2004-06-01 02:20:00,295.538,295.538,295.496,290.130,82.785,100231.897,0.024,287.450,99683.500,288.505,100089.827,
2004-06-01 02:25:00,295.487,295.487,295.379,290.098,82.532,100231.921,0.024,287.453,99682.708,288.490,100089.841,
2004-06-01 02:30:00,295.438,295.438,295.264,290.086,82.308,100231.939,0.024,287.455,99681.917,288.478,100089.852,
2004-06-01 02:35:00,295.389,295.389,295.153,290.058,82.299,100231.961,0.024,287.457,99681.125,288.465,100089.864,
2004-06-01 02:40:00,295.340,295.340,295.043,290.048,82.251,100231.976,0.024,287.460,99680.333,288.455,100089.874,
2004-06-01 02:45:00,295.293,295.293,294.936,290.020,82.334,100231.996,0.024,287.462,99679.542,288.443,100089.884,
2004-06-01 02:50:00,295.246,295.246,294.831,290.012,82.322,100232.010,0.024,287.464,99678.750,288.434,100089.893,
2004-06-01 02:55:00,295.201,295.201,294.728,289.985,82.421,100232.028,0.024,287.466,99677.958,288.423,100089.902,
2004-06-01 03:00:00,295.156,295.156,294.628,289.978,82.422,100232.040,0.024,287.469,99677.167,288.414,100089.910,
2004-06-01 03:05:00,295.112,295.112,294.529,289.965,82.500,100232.023,0.024,287.468,99678.042,288.423,100089.891,
2004-06-01 03:10:00,295.068,295.073,294.433,289.983,82.454,100231.988,0.024,287.467,99678.917,288.442,100089.865,
2004-06-01 03:15:00,295.024,295.033,294.338,289.982,82.162,100231.959,0.024,287.466,99679.792,288.459,100089.841,
2004-06-01 03:20:00,294.981,294.993,294.246,289.997,81.921,100231.929,0.024,287.465,99680.667,288.475,100089.818,
2004-06-01 03:25:00,294.940,294.954,294.155,289.988,81.917,100231.906,0.024,287.464,99681.542,288.487,100089.797,
2004-06-01 03:30:00,294.900,294.915,294.065,289.998,81.875,100231.880,0.024,287.463,99682.417,288.501,100089.776,
2004-06-01 03:35:00,294.859,294.877,293.977,289.988,81.968,100231.860,0.024,287.462,99683.292,288.512,100089.756,
2004-06-01 03:40:00,294.819,294.838,293.891,290.000,81.959,100231.835,0.024,287.462,99684.167,288.525,100089.737,
2004-06-01 03:45:00,294.779,294.800,293.806,289.990,82.062,100231.817,0.024,287.461,99685.042,288.536,100089.719,
2004-06-01 03:50:00,294.740,294.762,293.723,290.000,82.062,100231.794,0.024,287.460,99685.917,288.548,100089.701,
2004-06-01 03:55:00,294.701,294.724,293.641,289.989,81.816,100231.778,0.024,287.459,99686.792,288.557,100089.685,
2004-06-01 04:00:00,294.663,294.687,293.560,289.999,81.579,100231.757,0.024,287.458,99687.667,288.568,100089.668,
2004-06-01 04:05:00,294.624,294.650,293.480,289.963,81.603,100231.805,0.024,287.467,99687.667,288.543,100089.702,
2004-06-01 04:10:00,294.590,294.617,293.403,289.933,81.957,100231.860,0.024,287.476,99687.667,288.509,100089.740,
2004-06-01 04:15:00,294.556,294.585,293.328,289.882,82.315,100231.917,0.024,287.486,99687.667,288.475,100089.776,
2004-06-01 04:20:00,294.522,294.552,293.254,289.863,82.400,100231.958,0.024,287.495,99687.667,288.450,100089.806,
2004-06-01 04:25:00,294.486,294.518,293.182,289.828,82.509,100231.998,0.024,287.504,99687.667,288.428,100089.833,
2004-06-01 04:30:00,294.452,294.485,293.111,289.816,82.480,100232.030,0.024,287.513,99687.667,288.409,100089.856,
2004-06-01 04:35:00,294.418,294.453,293.042,289.783,82.557,100232.064,0.024,287.523,99687.667,288.389,100089.878,
2004-06-01 04:40:00,294.386,294.423,292.974,289.772,82.514,100232.091,0.024,287.532,99687.667,288.373,100089.897,
2004-06-01 04:45:00,294.355,294.393,292.908,289.741,82.951,100232.121,0.024,287.541,99687.667,288.356,100089.916,
2004-06-01 04:50:00,294.324,294.363,292.843,289.732,83.151,100232.143,0.024,287.550,99687.667,288.343,100089.932,
2004-06-01 04:55:00,294.294,294.334,292.780,289.702,83.342,100232.169,0.038,287.559,99687.667,288.328,100089.947,
2004-06-01 05:00:00,294.264,294.306,292.719,289.696,83.352,100232.187,0.038,287.569,99687.667,288.317,100089.960,
2004-06-01 05:05:00,294.235,294.279,292.659,289.668,83.445,100232.208,0.038,287.585,99689.319,288.306,100089.972,
2004-06-01 05:10:00,294.207,294.257,292.601,289.662,83.407,100232.222,0.038,287.600,99690.972,288.296,100089.982,
2004-06-01 05:15:00,294.181,294.240,292.545,289.638,83.821,100232.242,0.038,287.616,99692.625,288.285,100089.994,
2004-06-01 05:20:00,294.156,294.226,292.492,289.636,83.996,100232.256,0.038,287.632,99694.278,288.276,100090.004,
2004-06-01 05:25:00,294.133,294.214,292.441,289.614,84.156,100232.275,0.038,287.648,99695.931,288.265,100090.015,
2004-06-01 05:30:00,294.111,294.204,292.392,289.614,84.130,100232.287,0.038,287.664,99697.583,288.256,100090.025,
2004-06-01 05:35:00,294.089,294.196,292.346,289.594,84.183,100232.305,0.038,287.680,99699.236,288.246,100090.035,
2004-06-01 05:40:00,294.069,294.189,292.302,289.596,84.464,100232.316,0.038,287.695,99700.889,288.238,100090.044,
2004-06-01 05:45:00,294.049,294.181,292.260,289.576,84.740,100232.332,0.038,287.711,99702.542,288.228,100090.054,
2004-06-01 05:50:00,294.030,294.174,292.220,289.580,84.772,100232.342,0.038,287.727,99704.194,288.221,100090.062,
2004-06-01 05:55:00,294.012,294.167,292.182,289.560,84.864,100232.358,0.034,287.743,99705.847,288.212,100090.072,
2004-06-01 06:00:00,293.995,294.160,292.146,289.628,84.811,100232.336,0.034,287.759,99707.500,288.228,100090.071,
2004-06-01 06:05:00,293.964,294.138,292.106,289.475,85.769,100232.360,0.034,287.805,99709.000,288.231,100090.062,
2004-06-01 06:10:00,293.949,294.138,292.067,289.546,85.402,100232.327,0.034,287.850,99710.500,288.245,100090.046,
2004-06-01 06:15:00,293.915,294.120,292.028,289.417,86.016,100232.345,0.034,287.896,99712.000,288.245,100090.036,
2004-06-01 06:20:00,293.895,294.117,291.991,289.493,85.923,100232.307,0.034,287.942,99713.500,288.262,100090.017,
2004-06-01 06:25:00,293.863,294.102,291.955,289.394,86.599,100232.313,0.034,287.988,99715.000,288.265,100090.003,
2004-06-01 06:30:00,293.845,294.101,291.921,289.467,86.226,100232.272,0.034,288.033,99716.500,288.285,100089.982,
2004-06-01 06:35:00,293.818,294.088,291.888,289.384,87.025,100232.271,0.034,288.079,99718.000,288.291,100089.965,
2004-06-01 06:40:00,293.801,294.084,291.858,289.494,86.613,100232.209,0.034,288.125,99719.500,288.325,100089.936,
2004-06-01 06:45:00,293.777,294.069,291.829,289.469,86.804,100232.181,0.034,288.170,99721.000,288.348,100089.910,
2004-06-01 06:50:00,293.767,294.067,291.803,289.607,86.104,100232.101,0.034,288.216,99722.500,288.395,100089.873,
2004-06-01 06:55:00,293.753,294.059,291.778,289.589,86.587,100232.065,0.091,288.262,99724.000,288.424,100089.843,
2004-06-01 07:00:00,293.752,294.062,291.755,289.724,86.127,100231.985,0.091,288.308,99725.500,288.471,100089.805,
2004-06-01 07:05:00,293.746,294.059,291.733,289.709,86.321,100231.935,0.091,288.370,99729.069,288.507,100089.763,
2004-06-01 07:10:00,293.750,294.064,291.713,289.815,86.147,100231.857,0.091,288.432,99732.639,288.551,100089.718,
2004-06-01 07:15:00,293.750,294.064,291.695,289.762,86.652,100231.828,0.091,288.495,99736.208,288.572,100089.684,
2004-06-01 07:20:00,293.754,294.067,291.680,289.856,86.265,100231.759,0.091,288.557,99739.778,288.608,100089.643,
2004-06-01 07:25:00,293.752,294.062,291.667,289.808,86.879,100231.730,0.091,288.620,99743.347,288.627,100089.610,
2004-06-01 07:30:00,293.755,294.060,291.657,289.895,86.633,100231.663,0.091,288.682,99746.917,288.661,100089.570,
2004-06-01 07:35:00,293.752,294.052,291.650,289.841,86.993,100231.636,0.091,288.745,99750.486,288.679,100089.537,
2004-06-01 07:40:00,293.754,294.047,291.645,289.934,86.863,100231.567,0.091,288.807,99754.056,288.715,100089.496,
2004-06-01 07:45:00,293.752,294.037,291.643,289.883,87.334,100231.539,0.091,288.869,99757.625,288.734,100089.463,
2004-06-01 07:50:00,293.755,294.030,291.644,289.971,86.957,100231.470,0.091,288.932,99761.194,288.769,100089.422,
2004-06-01 07:55:00,293.753,294.018,291.646,289.919,87.567,100231.442,0.168,288.994,99764.764,288.788,100089.388,
2004-06-01 08:00:00,293.757,294.009,291.652,290.009,87.308,100231.373,0.168,289.057,99768.333,288.824,100089.346,
2004-06-01 08:05:00,293.755,293.992,291.659,289.959,87.944,100231.341,0.168,289.178,99768.653,288.844,100089.311,
2004-06-01 08:10:00,293.765,293.986,291.675,290.098,87.431,100231.245,0.168,289.299,99768.972,288.897,100089.259,
