cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,300.000,300.000,300.000,296.053,58.352,100223.299,74.677,287.334,99733.833,294.251,100084.351,
2004-06-01 00:05:00,299.840,299.840,298.230,291.654,79.417,100229.154,20.062,287.334,99731.472,290.188,100087.878,
2004-06-01 00:10:00,299.543,299.543,295.978,290.535,86.054,100229.807,6.042,287.334,99729.111,289.699,100088.124,
2004-06-01 00:15:00,299.049,299.049,293.265,290.803,84.744,100229.768,8.063,287.334,99726.750,289.709,100088.147,
2004-06-01 00:20:00,298.590,298.590,291.561,291.133,83.162,100229.610,10.884,287.334,99724.389,289.789,100088.088,
2004-06-01 00:25:00,298.236,298.236,290.493,291.194,82.892,100229.576,10.706,287.334,99722.028,289.816,100088.080,
2004-06-01 00:30:00,297.966,297.966,289.742,291.215,82.799,100229.533,10.147,287.334,99719.667,289.839,100088.049,
2004-06-01 00:35:00,297.748,297.748,289.115,291.082,83.238,100229.729,7.886,287.333,99717.306,289.739,100088.190,
2004-06-01 00:40:00,297.563,297.563,288.551,290.913,83.614,100230.020,5.278,287.333,99714.944,289.568,100088.395,
2004-06-01 00:45:00,297.397,297.397,288.043,290.664,84.281,100230.342,1.805,287.333,99712.583,289.377,100088.609,
2004-06-01 00:50:00,297.242,297.242,287.584,290.521,84.433,100230.579,0.479,287.333,99710.222,289.231,100088.772,
2004-06-01 00:55:00,297.092,297.092,287.170,290.377,84.656,100230.793,0.239,287.333,99707.861,289.106,100088.921,
2004-06-01 01:00:00,296.949,296.949,286.795,290.319,84.507,100230.944,0.239,287.333,99705.500,289.016,100089.034,
2004-06-01 01:05:00,296.815,296.815,286.455,290.220,84.668,100231.078,0.239,287.342,99703.931,288.938,100089.127,
2004-06-01 01:10:00,296.692,296.692,286.171,290.194,84.500,100231.170,0.239,287.351,99702.361,288.884,100089.197,
2004-06-01 01:15:00,296.577,296.577,285.939,290.098,84.732,100231.288,0.239,287.360,99700.792,288.818,100089.278,
2004-06-01 01:20:00,296.472,296.472,285.753,290.064,84.649,100231.381,0.239,287.369,99699.222,288.763,100089.347,
2004-06-01 01:25:00,296.373,296.373,285.609,289.963,85.275,100231.498,0.239,287.378,99697.653,288.697,100089.425,
2004-06-01 01:30:00,296.280,296.280,285.501,289.930,85.437,100231.590,0.239,287.387,99696.083,288.643,100089.493,
2004-06-01 01:35:00,296.192,296.192,285.425,289.834,85.814,100231.702,0.239,287.396,99694.514,288.580,100089.568,
2004-06-01 01:40:00,296.109,296.109,285.377,289.807,85.765,100231.789,0.239,287.405,99692.944,288.528,100089.634,
2004-06-01 01:45:00,296.030,296.030,285.354,289.715,86.036,100231.896,0.239,287.414,99691.375,288.468,100089.705,
2004-06-01 01:50:00,295.954,295.954,285.353,289.693,85.920,100231.978,0.239,287.423,99689.806,288.419,100089.768,
2004-06-01 01:55:00,295.882,295.882,285.373,289.604,86.166,100232.080,0.060,287.432,99688.236,288.361,100089.836,
2004-06-01 02:00:00,295.814,295.814,285.410,289.586,86.030,100232.157,0.060,287.441,99686.667,288.315,100089.895,
2004-06-01 02:05:00,295.748,295.748,285.463,289.520,86.232,100232.200,0.060,287.444,99685.875,288.289,100089.916,
2004-06-01 02:10:00,295.683,295.683,285.507,289.546,85.993,100232.204,0.060,287.446,99685.083,288.285,100089.924,
2004-06-01 02:15:00,295.619,295.619,285.543,289.503,86.150,100232.227,0.060,287.448,99684.292,288.274,100089.936,
2004-06-01 02:20:00,295.557,295.557,285.574,289.527,85.960,100232.231,0.060,287.450,99683.500,288.271,100089.944,
2004-06-01 02:25:00,295.498,295.498,285.599,289.472,85.851,100232.259,0.060,287.453,99682.708,288.256,100089.957,
2004-06-01 02:30:00,295.440,295.440,285.620,289.491,85.453,100232.265,0.060,287.455,99681.917,288.251,100089.965,
2004-06-01 02:35:00,295.383,295.383,285.637,289.435,85.573,100232.293,0.060,287.457,99681.125,288.237,100089.977,
2004-06-01 02:40:00,295.328,295.328,285.651,289.457,85.348,100232.297,0.060,287.460,99680.333,288.233,100089.984,
2004-06-01 02:45:00,295.274,295.274,285.662,289.403,85.564,100232.323,0.060,287.462,99679.542,288.220,100089.995,
2004-06-01 02:50:00,295.221,295.221,285.671,289.426,85.383,100232.325,0.060,287.464,99678.750,288.217,100090.000,
2004-06-01 02:55:00,295.169,295.169,285.678,289.372,85.623,100232.350,0.060,287.466,99677.958,288.205,100090.010,
2004-06-01 03:00:00,295.118,295.118,285.684,289.397,85.446,100232.350,0.060,287.469,99677.167,288.203,100090.015,
2004-06-01 03:05:00,295.068,295.068,285.689,289.355,85.674,100232.341,0.060,287.468,99678.042,288.208,100089.998,
2004-06-01 03:10:00,295.018,295.024,285.694,289.405,85.450,100232.295,0.060,287.467,99678.917,288.233,100089.969,
2004-06-01 03:15:00,294.969,294.979,285.685,289.379,85.308,100232.272,0.060,287.466,99679.792,288.249,100089.945,
2004-06-01 03:20:00,294.921,294.934,285.663,289.430,84.863,100232.227,0.060,287.465,99680.667,288.273,100089.918,
2004-06-01 03:25:00,294.874,294.890,285.630,289.395,84.983,100232.210,0.060,287.464,99681.542,288.285,100089.897,
2004-06-01 03:30:00,294.828,294.847,285.586,289.439,84.747,100232.171,0.060,287.463,99682.417,288.306,100089.873,
2004-06-01 03:35:00,294.782,294.805,285.533,289.403,84.978,100232.157,0.060,287.462,99683.292,288.316,100089.854,
2004-06-01 03:40:00,294.737,294.762,285.473,289.447,84.787,100232.120,0.060,287.462,99684.167,288.336,100089.831,
2004-06-01 03:45:00,294.693,294.720,285.406,289.410,85.035,100232.108,0.060,287.461,99685.042,288.345,100089.814,
2004-06-01 03:50:00,294.649,294.679,285.333,289.454,84.853,100232.073,0.060,287.460,99685.917,288.364,100089.792,
2004-06-01 03:55:00,294.605,294.638,285.255,289.416,84.766,100232.063,0.239,287.459,99686.792,288.372,100089.776,
2004-06-01 04:00:00,294.562,294.597,285.173,289.459,84.341,100232.029,0.239,287.458,99687.667,288.390,100089.756,
2004-06-01 04:05:00,294.520,294.557,285.085,289.399,84.491,100232.081,0.239,287.467,99687.667,288.366,100089.790,
2004-06-01 04:10:00,294.480,294.519,285.020,289.401,84.658,100232.124,0.239,287.476,99687.667,288.339,100089.824,
2004-06-01 04:15:00,294.442,294.484,284.978,289.319,85.187,100232.189,0.239,287.486,99687.667,288.302,100089.862,
2004-06-01 04:20:00,294.404,294.448,284.958,289.326,85.134,100232.222,0.239,287.495,99687.667,288.281,100089.890,
2004-06-01 04:25:00,294.366,294.413,284.956,289.261,85.411,100232.273,0.239,287.504,99687.667,288.253,100089.919,
2004-06-01 04:30:00,294.329,294.378,284.970,289.280,85.219,100232.294,0.239,287.513,99687.667,288.239,100089.939,
2004-06-01 04:35:00,294.292,294.344,284.999,289.219,85.445,100232.337,0.239,287.523,99687.667,288.216,100089.963,
