cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,292.278,293.934,291.365,290.704,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,292.196,293.839,291.210,289.636,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,292.241,293.868,291.374,290.087,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,292.286,293.898,291.539,290.560,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,292.267,293.866,291.437,290.540,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,292.265,293.851,291.348,290.598,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,292.232,293.807,291.229,290.506,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,292.229,293.793,291.135,290.559,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,292.207,293.761,291.039,290.521,0.000,287.333,99712.583,288.561,100089.605,
2004-06-01 00:50:00,292.192,293.772,290.960,290.596,0.000,287.333,99710.222,288.617,100089.534,
2004-06-01 00:55:00,292.172,293.755,290.865,290.587,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,292.177,293.757,290.814,290.677,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,292.157,293.735,290.744,290.619,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,292.142,293.718,290.677,290.585,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,292.100,293.675,290.590,290.410,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,292.104,293.618,290.522,290.369,0.000,287.369,99699.222,288.513,100089.652,
2004-06-01 01:25:00,292.074,293.576,290.447,290.255,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,292.063,293.554,290.388,290.251,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,292.036,293.516,290.315,290.149,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,292.025,293.496,290.255,290.147,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,291.998,293.460,290.186,290.049,0.000,287.414,99691.375,288.271,100089.945,
2004-06-01 01:50:00,291.988,293.441,290.129,290.053,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,291.963,293.407,290.061,289.960,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,291.957,293.392,290.029,289.971,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,291.940,293.364,289.994,289.900,0.000,287.444,99685.875,288.152,100090.082,
2004-06-01 02:10:00,291.941,293.357,289.973,289.953,0.000,287.446,99685.083,288.162,100090.072,
2004-06-01 02:15:00,291.930,293.335,289.940,289.903,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,291.933,293.330,289.919,289.955,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,291.921,293.308,289.899,289.890,0.000,287.453,99682.708,288.173,100090.055,
2004-06-01 02:30:00,291.926,293.305,289.893,289.936,0.000,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,291.915,293.284,289.872,289.869,0.000,287.457,99681.125,288.177,100090.046,
2004-06-01 02:40:00,291.922,293.283,289.866,289.919,0.000,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,291.912,293.263,289.857,289.853,0.000,287.462,99679.542,288.181,100090.037,
2004-06-01 02:50:00,291.921,293.264,289.862,289.906,0.000,287.464,99678.750,288.189,100090.030,
2004-06-01 02:55:00,291.912,293.245,289.853,289.838,0.000,287.466,99677.958,288.186,100090.028,
2004-06-01 03:00:00,291.913,293.239,289.834,289.893,0.000,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,291.897,293.214,289.809,289.837,0.000,287.468,99678.042,288.209,100089.991,
2004-06-01 03:10:00,291.903,293.212,289.801,289.918,0.000,287.467,99678.917,288.244,100089.950,
2004-06-01 03:15:00,291.889,293.190,289.777,289.878,0.000,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,291.894,293.188,289.769,289.962,0.000,287.465,99680.667,288.307,100089.871,
2004-06-01 03:25:00,291.879,293.165,289.744,289.913,0.000,287.464,99681.542,288.332,100089.834,
2004-06-01 03:30:00,291.884,293.164,289.735,289.993,0.000,287.463,99682.417,288.368,100089.792,
2004-06-01 03:35:00,291.869,293.141,289.710,289.943,0.000,287.462,99683.292,288.393,100089.754,
2004-06-01 03:40:00,291.875,293.140,289.701,290.026,0.000,287.462,99684.167,288.430,100089.710,
2004-06-01 03:45:00,291.860,293.118,289.677,289.979,0.000,287.461,99685.042,288.457,100089.670,
2004-06-01 03:50:00,291.866,293.117,289.668,290.064,0.000,287.460,99685.917,288.495,100089.625,
2004-06-01 03:55:00,291.852,293.096,289.644,290.017,0.000,287.459,99686.792,288.523,100089.584,
2004-06-01 04:00:00,291.853,293.091,289.621,290.104,0.000,287.458,99687.667,288.563,100089.537,
2004-06-01 04:05:00,291.824,293.054,289.575,290.003,0.000,287.467,99687.667,288.510,100089.620,
2004-06-01 04:10:00,291.809,293.032,289.539,289.986,0.000,287.476,99687.667,288.437,100089.710,
2004-06-01 04:15:00,291.767,292.981,289.485,289.823,0.000,287.486,99687.667,288.357,100089.794,
2004-06-01 04:20:00,291.750,292.959,289.452,289.827,0.000,287.495,99687.667,288.308,100089.854,
2004-06-01 04:25:00,291.713,292.913,289.395,289.718,0.000,287.504,99687.667,288.261,100089.907,
2004-06-01 04:30:00,291.698,292.892,289.356,289.756,0.000,287.513,99687.667,288.234,100089.946,
2004-06-01 04:35:00,291.660,292.847,289.299,289.654,0.000,287.523,99687.667,288.199,100089.983,
2004-06-01 04:40:00,291.644,292.825,289.260,289.691,0.000,287.532,99687.667,288.179,100090.011,
2004-06-01 04:45:00,291.604,292.778,289.199,289.586,0.000,287.541,99687.667,288.150,100090.040,
2004-06-01 04:50:00,291.587,292.755,289.154,289.625,0.000,287.550,99687.667,288.137,100090.059,
2004-06-01 04:55:00,291.548,292.708,289.093,289.522,0.000,287.559,99687.667,288.112,100090.082,
2004-06-01 05:00:00,291.534,292.687,289.078,289.564,58.751,287.569,99687.667,288.104,100090.095,
2004-06-01 05:05:00,291.525,292.672,289.066,289.637,59.406,287.585,99689.319,288.225,100090.069,
2004-06-01 05:10:00,291.513,292.652,289.052,289.687,59.805,287.600,99690.972,288.225,100090.092,
