cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,293.387,292.097,291.364,290.696,0.000,287.334,99731.472,288.679,100089.700,
2004-06-01 00:10:00,293.306,292.013,291.212,289.645,0.000,287.334,99729.111,288.272,100089.918,
2004-06-01 00:15:00,293.353,292.071,291.388,290.160,0.000,287.334,99726.750,288.345,100089.875,
2004-06-01 00:20:00,293.396,292.122,291.559,290.663,0.000,287.334,99724.389,288.434,100089.808,
2004-06-01 00:25:00,293.371,292.106,291.459,290.646,0.000,287.334,99722.028,288.462,100089.774,
2004-06-01 00:30:00,293.359,292.100,291.368,290.687,0.000,287.334,99719.667,288.487,100089.735,
2004-06-01 00:35:00,293.325,292.073,291.255,290.618,0.000,287.333,99717.306,288.503,100089.702,
2004-06-01 00:40:00,293.311,292.065,291.159,290.649,0.000,287.333,99714.944,288.539,100089.650,
2004-06-01 00:45:00,293.288,292.049,291.069,290.643,0.000,287.333,99712.583,288.578,100089.597,
2004-06-01 00:50:00,293.276,292.042,290.986,290.692,0.000,287.333,99710.222,288.631,100089.526,
2004-06-01 00:55:00,293.260,292.031,290.897,290.716,0.000,287.333,99707.861,288.688,100089.451,
2004-06-01 01:00:00,293.257,292.033,290.842,290.775,0.000,287.333,99705.500,288.761,100089.356,
2004-06-01 01:05:00,293.240,292.022,290.777,290.751,0.000,287.342,99703.931,288.736,100089.411,
2004-06-01 01:10:00,293.215,292.003,290.706,290.684,0.000,287.351,99702.361,288.669,100089.489,
2004-06-01 01:15:00,293.176,291.971,290.624,290.543,0.000,287.360,99700.792,288.590,100089.574,
2004-06-01 01:20:00,293.150,291.951,290.552,290.470,0.000,287.369,99699.222,288.528,100089.644,
2004-06-01 01:25:00,293.120,291.927,290.484,290.396,0.000,287.378,99697.653,288.472,100089.712,
2004-06-01 01:30:00,293.096,291.909,290.419,290.356,0.000,287.387,99696.083,288.425,100089.770,
2004-06-01 01:35:00,293.069,291.888,290.352,290.295,0.000,287.396,99694.514,288.377,100089.829,
2004-06-01 01:40:00,293.045,291.870,290.287,290.255,0.000,287.405,99692.944,288.334,100089.882,
2004-06-01 01:45:00,293.020,291.849,290.224,290.199,0.000,287.414,99691.375,288.291,100089.935,
2004-06-01 01:50:00,292.997,291.832,290.162,290.163,0.000,287.423,99689.806,288.252,100089.982,
2004-06-01 01:55:00,292.974,291.813,290.099,290.114,0.000,287.432,99688.236,288.214,100090.029,
2004-06-01 02:00:00,292.955,291.801,290.063,290.082,0.000,287.441,99686.667,288.180,100090.071,
2004-06-01 02:05:00,292.939,291.792,290.034,290.058,0.000,287.444,99685.875,288.173,100090.071,
2004-06-01 02:10:00,292.928,291.787,290.009,290.066,0.000,287.446,99685.083,288.180,100090.063,
