cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,292.439,291.889,291.058,295.483,0.000,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,291.484,290.969,290.057,290.704,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,291.406,290.879,289.911,289.636,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,291.446,290.926,290.097,290.088,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,291.489,290.975,290.287,290.561,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,291.466,290.955,290.196,290.540,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,291.459,290.952,290.121,290.599,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,291.421,290.917,290.014,290.506,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,291.413,290.911,289.933,290.559,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,291.385,290.885,289.844,290.522,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,291.379,290.881,289.773,290.597,0.000,287.333,99710.222,288.617,100089.533,
2004-06-01 00:55:00,291.356,290.859,289.686,290.587,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,291.361,290.866,289.646,290.677,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,291.340,290.847,289.584,290.620,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,291.324,290.833,289.525,290.585,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,291.280,290.793,289.445,290.411,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,291.261,290.776,289.385,290.369,0.000,287.369,99699.222,288.514,100089.652,
2004-06-01 01:25:00,291.226,290.744,289.316,290.256,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,291.211,290.730,289.263,290.251,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,291.178,290.700,289.195,290.150,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,291.162,290.686,289.141,290.148,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,291.130,290.657,289.076,290.050,0.000,287.414,99691.375,288.271,100089.945,
2004-06-01 01:50:00,291.116,290.644,289.023,290.054,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,291.085,290.617,288.959,289.960,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,291.078,290.612,288.936,289.972,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,291.059,290.596,288.909,289.900,0.000,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,291.060,290.599,288.895,289.954,0.000,287.446,99685.083,288.163,100090.072,
2004-06-01 02:15:00,291.047,290.589,288.870,289.904,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,291.050,290.595,288.856,289.955,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,291.037,290.585,288.844,289.890,0.000,287.453,99682.708,288.173,100090.055,
2004-06-01 02:30:00,291.043,290.593,288.845,289.937,0.000,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,291.031,290.584,288.833,289.870,0.000,287.457,99681.125,288.177,100090.046,
2004-06-01 02:40:00,291.039,290.594,288.835,289.920,0.000,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,291.029,290.587,288.833,289.854,0.000,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,291.038,290.599,288.846,289.906,0.000,287.464,99678.750,288.189,100090.030,
2004-06-01 02:55:00,291.029,290.593,288.845,289.839,0.000,287.466,99677.958,288.186,100090.028,
2004-06-01 03:00:00,291.031,290.597,288.834,289.893,0.000,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,291.016,290.585,288.816,289.837,0.000,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,291.022,290.593,288.815,289.919,0.000,287.467,99678.917,288.244,100089.950,
2004-06-01 03:15:00,291.009,290.583,288.799,289.878,0.000,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,291.016,290.591,288.798,289.962,0.000,287.465,99680.667,288.307,100089.871,
