cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19]
2004-06-01 00:05:00,293.143,291.878,291.227,290.381,0.000,287.334,99731.472,288.768,100089.659,
2004-06-01 00:10:00,293.079,291.810,291.092,289.408,0.000,287.334,99729.111,288.336,100089.885,
2004-06-01 00:15:00,293.098,291.840,291.248,289.817,0.000,287.334,99726.750,288.442,100089.824,
2004-06-01 00:20:00,293.131,291.883,291.416,290.305,0.000,287.334,99724.389,288.582,100089.732,
2004-06-01 00:25:00,293.092,291.852,291.304,290.253,0.000,287.334,99722.028,288.610,100089.697,
2004-06-01 00:30:00,293.068,291.836,291.204,290.273,0.000,287.334,99719.667,288.634,100089.657,
2004-06-01 00:35:00,293.021,291.795,291.079,290.170,0.000,287.333,99717.306,288.634,100089.632,
2004-06-01 00:40:00,293.005,291.786,290.982,290.224,0.000,287.333,99714.944,288.672,100089.580,
2004-06-01 00:45:00,292.971,291.758,290.882,290.185,0.000,287.333,99712.583,288.700,100089.532,
2004-06-01 00:50:00,292.959,291.753,290.800,290.264,0.000,287.333,99710.222,288.758,100089.460,
2004-06-01 00:55:00,292.932,291.730,290.702,290.248,0.000,287.333,99707.861,288.805,100089.389,
2004-06-01 01:00:00,292.930,291.735,290.646,290.342,0.000,287.333,99705.500,288.882,100089.292,
2004-06-01 01:05:00,292.899,291.711,290.571,290.267,0.000,287.342,99703.931,288.843,100089.355,
2004-06-01 01:10:00,292.878,291.695,290.502,290.236,0.000,287.351,99702.361,288.781,100089.431,
2004-06-01 01:15:00,292.831,291.656,290.415,290.076,0.000,287.360,99700.792,288.695,100089.519,
2004-06-01 01:20:00,292.810,291.641,290.347,290.054,0.000,287.369,99699.222,288.642,100089.585,
2004-06-01 01:25:00,292.772,291.610,290.272,289.946,0.000,287.378,99697.653,288.579,100089.656,
2004-06-01 01:30:00,292.753,291.596,290.211,289.949,0.000,287.387,99696.083,288.540,100089.711,
2004-06-01 01:35:00,292.716,291.566,290.137,289.846,0.000,287.396,99694.514,288.484,100089.774,
2004-06-01 01:40:00,292.699,291.554,290.075,289.850,0.000,287.405,99692.944,288.448,100089.823,
2004-06-01 01:45:00,292.663,291.524,290.005,289.750,0.000,287.414,99691.375,288.396,100089.880,
2004-06-01 01:50:00,292.647,291.513,289.948,289.760,0.000,287.423,99689.806,288.365,100089.924,
2004-06-01 01:55:00,292.614,291.485,289.879,289.665,0.000,287.432,99688.236,288.318,100089.974,
2004-06-01 02:00:00,292.601,291.479,289.846,289.681,0.000,287.441,99686.667,288.292,100090.012,
2004-06-01 02:05:00,292.575,291.460,289.810,289.609,0.000,287.444,99685.875,288.277,100090.016,
2004-06-01 02:10:00,292.570,291.461,289.788,289.666,0.000,287.446,99685.083,288.292,100090.004,
2004-06-01 02:15:00,292.550,291.447,289.753,289.613,0.000,287.448,99684.292,288.289,100090.001,
2004-06-01 02:20:00,292.547,291.450,289.731,289.667,0.000,287.450,99683.500,288.302,100089.991,
2004-06-01 02:25:00,292.527,291.437,289.710,289.601,0.000,287.453,99682.708,288.295,100089.991,
2004-06-01 02:30:00,292.526,291.442,289.703,289.651,0.000,287.455,99681.917,288.305,100089.982,
2004-06-01 02:35:00,292.507,291.430,289.682,289.586,0.000,287.457,99681.125,288.297,100089.983,
