cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,293.087,291.820,291.173,290.134,0.000,287.334,99731.472,288.831,100089.629,
2004-06-01 00:10:00,293.036,291.766,291.052,289.231,0.000,287.334,99729.111,288.385,100089.857,
2004-06-01 00:15:00,293.044,291.785,291.200,289.606,0.000,287.334,99726.750,288.521,100089.780,
2004-06-01 00:20:00,293.073,291.824,291.366,290.090,0.000,287.334,99724.389,288.706,100089.664,
2004-06-01 00:25:00,293.030,291.789,291.250,290.029,0.000,287.334,99722.028,288.728,100089.631,
2004-06-01 00:30:00,292.997,291.764,291.142,290.020,0.000,287.334,99719.667,288.745,100089.596,
2004-06-01 00:35:00,292.947,291.721,291.016,289.920,0.000,287.333,99717.306,288.732,100089.578,
2004-06-01 00:40:00,292.928,291.710,290.916,289.976,0.000,287.333,99714.944,288.772,100089.525,
2004-06-01 00:45:00,292.893,291.681,290.816,289.944,0.000,287.333,99712.583,288.795,100089.480,
2004-06-01 00:50:00,292.880,291.674,290.733,290.024,0.000,287.333,99710.222,288.855,100089.406,
2004-06-01 00:55:00,292.851,291.651,290.633,290.010,0.000,287.333,99707.861,288.897,100089.338,
2004-06-01 01:00:00,292.848,291.654,290.575,290.104,0.000,287.333,99705.500,288.975,100089.240,
2004-06-01 01:05:00,292.815,291.628,290.498,290.023,0.000,287.342,99703.931,288.928,100089.308,
2004-06-01 01:10:00,292.792,291.611,290.428,289.990,0.000,287.351,99702.361,288.868,100089.384,
2004-06-01 01:15:00,292.746,291.573,290.341,289.844,0.000,287.360,99700.792,288.779,100089.473,
2004-06-01 01:20:00,292.724,291.558,290.273,289.825,0.000,287.369,99699.222,288.730,100089.537,
2004-06-01 01:25:00,292.686,291.526,290.198,289.722,0.000,287.378,99697.653,288.665,100089.609,
2004-06-01 01:30:00,292.666,291.512,290.136,289.721,0.000,287.387,99696.083,288.628,100089.662,
2004-06-01 01:35:00,292.629,291.482,290.061,289.622,0.000,287.396,99694.514,288.568,100089.727,
2004-06-01 01:40:00,292.610,291.468,289.999,289.623,0.000,287.405,99692.944,288.535,100089.775,
2004-06-01 01:45:00,292.575,291.439,289.929,289.527,0.000,287.414,99691.375,288.480,100089.833,
2004-06-01 01:50:00,292.558,291.427,289.872,289.534,0.000,287.423,99689.806,288.452,100089.876,
2004-06-01 01:55:00,292.525,291.400,289.803,289.442,0.000,287.432,99688.236,288.402,100089.928,
2004-06-01 02:00:00,292.511,291.392,289.769,289.454,0.000,287.441,99686.667,288.378,100089.965,
2004-06-01 02:05:00,292.485,291.374,289.732,289.389,0.000,287.444,99685.875,288.360,100089.970,
2004-06-01 02:10:00,292.479,291.373,289.709,289.442,0.000,287.446,99685.083,288.378,100089.957,
2004-06-01 02:15:00,292.459,291.360,289.675,289.393,0.000,287.448,99684.292,288.371,100089.956,
2004-06-01 02:20:00,292.454,291.362,289.651,289.442,0.000,287.450,99683.500,288.386,100089.944,
2004-06-01 02:25:00,292.434,291.349,289.631,289.382,0.000,287.453,99682.708,288.375,100089.947,
2004-06-01 02:30:00,292.432,291.352,289.622,289.429,0.000,287.455,99681.917,288.388,100089.937,
2004-06-01 02:35:00,292.414,291.341,289.601,289.370,0.000,287.457,99681.125,288.377,100089.939,
2004-06-01 02:40:00,292.414,291.347,289.593,289.419,0.000,287.460,99680.333,288.390,100089.929,
2004-06-01 02:45:00,292.397,291.337,289.583,289.361,0.000,287.462,99679.542,288.379,100089.931,
2004-06-01 02:50:00,292.398,291.344,289.586,289.410,0.000,287.464,99678.750,288.393,100089.921,
2004-06-01 02:55:00,292.383,291.336,289.577,289.352,0.000,287.466,99677.958,288.382,100089.923,
2004-06-01 03:00:00,292.377,291.335,289.556,289.402,0.000,287.469,99677.167,288.396,100089.913,
2004-06-01 03:05:00,292.356,291.320,289.531,289.360,0.000,287.468,99678.042,288.404,100089.887,
2004-06-01 03:10:00,292.355,291.324,289.520,289.435,0.000,287.467,99678.917,288.445,100089.843,
2004-06-01 03:15:00,292.336,291.311,289.497,289.407,0.000,287.466,99679.792,288.463,100089.810,
2004-06-01 03:20:00,292.335,291.315,289.486,289.481,0.000,287.465,99680.667,288.504,100089.766,
2004-06-01 03:25:00,292.316,291.301,289.462,289.448,0.000,287.464,99681.542,288.520,100089.733,
2004-06-01 03:30:00,292.315,291.305,289.450,289.521,0.000,287.463,99682.417,288.561,100089.688,
2004-06-01 03:35:00,292.296,291.292,289.426,289.489,0.000,287.462,99683.292,288.578,100089.654,
2004-06-01 03:40:00,292.296,291.296,289.415,289.564,0.000,287.462,99684.167,288.620,100089.608,
2004-06-01 03:45:00,292.278,291.284,289.392,289.534,0.000,287.461,99685.042,288.639,100089.573,
2004-06-01 03:50:00,292.278,291.288,289.382,289.610,0.000,287.460,99685.917,288.682,100089.525,
2004-06-01 03:55:00,292.261,291.277,289.360,289.582,0.000,287.459,99686.792,288.702,100089.488,
2004-06-01 04:00:00,292.256,291.276,289.335,289.658,0.000,287.458,99687.667,288.746,100089.439,
2004-06-01 04:05:00,292.223,291.248,289.289,289.564,0.000,287.467,99687.667,288.681,100089.530,
2004-06-01 04:10:00,292.200,291.231,289.251,289.533,0.000,287.476,99687.667,288.613,100089.618,
2004-06-01 04:15:00,292.156,291.194,289.201,289.403,0.000,287.486,99687.667,288.531,100089.702,
2004-06-01 04:20:00,292.134,291.176,289.166,289.402,0.000,287.495,99687.667,288.492,100089.757,
2004-06-01 04:25:00,292.095,291.143,289.112,289.319,0.000,287.504,99687.667,288.443,100089.811,
2004-06-01 04:30:00,292.074,291.126,289.070,289.341,0.000,287.513,99687.667,288.423,100089.846,
2004-06-01 04:35:00,292.035,291.093,289.017,289.264,0.000,287.523,99687.667,288.384,100089.885,
2004-06-01 04:40:00,292.012,291.075,288.976,289.288,0.000,287.532,99687.667,288.372,100089.909,
2004-06-01 04:45:00,291.973,291.041,288.918,289.215,0.000,287.541,99687.667,288.340,100089.940,
2004-06-01 04:50:00,291.951,291.023,288.872,289.245,0.000,287.550,99687.667,288.334,100089.955,
2004-06-01 04:55:00,291.912,290.990,288.815,289.177,0.000,287.559,99687.667,288.307,100089.979,
2004-06-01 05:00:00,291.893,290.976,288.798,289.209,167.820,287.569,99687.667,288.305,100089.989,
2004-06-01 05:05:00,291.888,290.976,288.792,289.324,146.326,287.585,99689.319,288.421,100089.963,
2004-06-01 05:10:00,291.865,290.958,288.773,289.330,146.137,287.600,99690.972,288.400,100089.998,
2004-06-01 05:15:00,291.820,290.921,288.733,289.187,71.314,287.616,99692.625,288.323,100090.059,
2004-06-01 05:20:00,291.784,290.891,288.700,289.093,70.035,287.632,99694.278,288.223,100090.128,
2004-06-01 05:25:00,290.880,291.766,288.716,289.012,68.772,287.648,99695.931,288.173,100090.175,
2004-06-01 05:30:00,290.899,291.780,288.759,289.110,70.148,287.664,99697.583,288.183,100090.191,
2004-06-01 05:35:00,290.872,291.745,288.754,288.892,66.698,287.680,99699.236,288.124,100090.236,
2004-06-01 05:40:00,290.915,291.785,288.811,289.088,70.072,287.695,99700.889,288.164,100090.233,
2004-06-01 05:45:00,290.891,291.753,288.827,288.868,66.899,287.711,99702.542,288.089,100090.285,
2004-06-01 05:50:00,290.951,291.809,288.920,289.125,70.885,287.727,99704.194,288.161,100090.264,
2004-06-01 05:55:00,290.948,291.800,288.950,289.002,69.041,287.743,99705.847,288.127,100090.292,
2004-06-01 06:00:00,291.007,291.854,289.037,289.219,145.569,287.759,99707.500,288.188,100090.274,
2004-06-01 06:05:00,291.014,291.855,289.089,289.125,71.471,287.805,99709.000,288.207,100090.284,
2004-06-01 06:10:00,291.039,291.906,289.171,289.197,72.502,287.850,99710.500,288.168,100090.324,
2004-06-01 06:15:00,291.035,291.898,289.212,289.046,70.032,287.896,99712.000,288.101,100090.381,
