cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,293.239,291.977,291.321,290.814,0.000,287.334,99731.472,288.671,100089.704,
2004-06-01 00:10:00,293.155,291.889,291.166,289.754,0.000,287.334,99729.111,288.272,100089.919,
2004-06-01 00:15:00,293.196,291.940,291.334,290.231,0.000,287.334,99726.750,288.336,100089.879,
2004-06-01 00:20:00,293.239,291.993,291.504,290.729,0.000,287.334,99724.389,288.417,100089.817,
2004-06-01 00:25:00,293.211,291.973,291.401,290.697,0.000,287.334,99722.028,288.440,100089.785,
2004-06-01 00:30:00,293.204,291.973,291.316,290.768,0.000,287.334,99719.667,288.466,100089.745,
2004-06-01 00:35:00,293.164,291.939,291.198,290.669,0.000,287.333,99717.306,288.481,100089.713,
2004-06-01 00:40:00,293.155,291.937,291.107,290.727,0.000,287.333,99714.944,288.520,100089.660,
2004-06-01 00:45:00,293.126,291.913,291.011,290.689,0.000,287.333,99712.583,288.556,100089.608,
2004-06-01 00:50:00,293.118,291.911,290.933,290.765,0.000,287.333,99710.222,288.612,100089.536,
2004-06-01 00:55:00,293.096,291.892,290.839,290.756,0.000,287.333,99707.861,288.667,100089.462,
2004-06-01 01:00:00,293.097,291.899,290.789,290.845,0.000,287.333,99705.500,288.742,100089.366,
2004-06-01 01:05:00,293.074,291.882,290.719,290.790,0.000,287.342,99703.931,288.716,100089.421,
2004-06-01 01:10:00,293.054,291.868,290.653,290.752,0.000,287.351,99702.361,288.651,100089.498,
2004-06-01 01:15:00,293.007,291.828,290.565,290.575,0.000,287.360,99700.792,288.569,100089.584,
2004-06-01 01:20:00,292.985,291.812,290.497,290.530,0.000,287.369,99699.222,288.509,100089.654,
2004-06-01 01:25:00,292.948,291.781,290.422,290.418,0.000,287.378,99697.653,288.450,100089.723,
2004-06-01 01:30:00,292.929,291.767,290.362,290.410,0.000,287.387,99696.083,288.405,100089.780,
2004-06-01 01:35:00,292.894,291.738,290.288,290.310,0.000,287.396,99694.514,288.354,100089.841,
2004-06-01 01:40:00,292.876,291.725,290.228,290.305,0.000,287.405,99692.944,288.314,100089.892,
2004-06-01 01:45:00,292.842,291.696,290.158,290.208,0.000,287.414,99691.375,288.267,100089.947,
2004-06-01 01:50:00,292.825,291.684,290.101,290.210,0.000,287.423,99689.806,288.232,100089.993,
2004-06-01 01:55:00,292.793,291.657,290.032,290.118,0.000,287.432,99688.236,288.190,100090.041,
2004-06-01 02:00:00,292.781,291.651,290.001,290.127,0.000,287.441,99686.667,288.159,100090.081,
2004-06-01 02:05:00,292.756,291.634,289.965,290.057,0.000,287.444,99685.875,288.148,100090.084,
2004-06-01 02:10:00,292.752,291.635,289.945,290.109,0.000,287.446,99685.083,288.158,100090.074,
2004-06-01 02:15:00,292.733,291.623,289.912,290.060,0.000,287.448,99684.292,288.162,100090.068,
2004-06-01 02:20:00,292.731,291.626,289.891,290.110,0.000,287.450,99683.500,288.171,100090.060,
2004-06-01 02:25:00,292.712,291.614,289.872,290.046,0.000,287.453,99682.708,288.169,100090.057,
2004-06-01 02:30:00,292.711,291.619,289.865,290.090,0.000,287.455,99681.917,288.176,100090.050,
2004-06-01 02:35:00,292.694,291.609,289.845,290.024,0.000,287.457,99681.125,288.174,100090.047,
2004-06-01 02:40:00,292.695,291.615,289.839,290.072,0.000,287.460,99680.333,288.181,100090.041,
2004-06-01 02:45:00,292.679,291.606,289.830,290.006,0.000,287.462,99679.542,288.178,100090.038,
2004-06-01 02:50:00,292.682,291.614,289.835,290.057,0.000,287.464,99678.750,288.186,100090.031,
2004-06-01 02:55:00,292.666,291.606,289.825,289.990,0.000,287.466,99677.958,288.183,100090.029,
2004-06-01 03:00:00,292.662,291.607,289.807,290.043,0.000,287.469,99677.167,288.191,100090.023,
2004-06-01 03:05:00,292.640,291.592,289.782,289.988,0.000,287.468,99678.042,288.207,100089.992,
2004-06-01 03:10:00,292.641,291.597,289.773,290.068,0.000,287.467,99678.917,288.241,100089.952,
2004-06-01 03:15:00,292.622,291.584,289.750,290.028,0.000,287.466,99679.792,288.268,100089.915,
2004-06-01 03:20:00,292.622,291.589,289.741,290.110,0.000,287.465,99680.667,288.304,100089.873,
2004-06-01 03:25:00,292.602,291.575,289.716,290.061,0.000,287.464,99681.542,288.329,100089.835,
2004-06-01 03:30:00,292.603,291.580,289.707,290.140,0.000,287.463,99682.417,288.365,100089.793,
2004-06-01 03:35:00,292.582,291.566,289.682,290.090,0.000,287.462,99683.292,288.391,100089.755,
2004-06-01 03:40:00,292.584,291.571,289.672,290.172,0.000,287.462,99684.167,288.427,100089.711,
2004-06-01 03:45:00,292.564,291.557,289.648,290.124,0.000,287.461,99685.042,288.454,100089.671,
2004-06-01 03:50:00,292.566,291.563,289.639,290.208,0.000,287.460,99685.917,288.493,100089.626,
2004-06-01 03:55:00,292.546,291.549,289.615,290.160,0.000,287.459,99686.792,288.521,100089.585,
2004-06-01 04:00:00,292.544,291.551,289.592,290.247,0.000,287.458,99687.667,288.560,100089.539,
2004-06-01 04:05:00,292.510,291.523,289.546,290.145,0.000,287.467,99687.667,288.508,100089.621,
