cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19]
6/1/2004 0:05,293.143,291.865,291.211,290.327,0,287.334,99731.472,288.718,100089.682
6/1/2004 0:10,293.053,291.772,291.052,289.235,0,287.334,99729.111,288.264,100089.921
6/1/2004 0:15,293.055,291.784,291.197,289.582,0,287.334,99726.75,288.333,100089.879
6/1/2004 0:20,293.066,291.805,291.349,289.982,0,287.334,99724.389,288.431,100089.808
6/1/2004 0:25,293.032,291.779,291.243,289.984,0,287.334,99722.028,288.465,100089.772
6/1/2004 0:30,293.007,291.762,291.141,290.026,0,287.334,99719.667,288.495,100089.729
6/1/2004 0:35,292.96,291.723,291.015,289.94,0,287.333,99717.306,288.504,100089.699
6/1/2004 0:40,292.941,291.711,290.911,289.99,0,287.333,99714.944,288.542,100089.647
6/1/2004 0:45,292.905,291.681,290.81,289.948,0,287.333,99712.583,288.572,100089.598
6/1/2004 0:50,292.892,291.675,290.728,290.031,0,287.333,99710.222,288.629,100089.526
6/1/2004 0:55,292.863,291.651,290.628,290.012,0,287.333,99707.861,288.678,100089.455
6/1/2004 1:00,292.861,291.656,290.572,290.114,0,287.333,99705.5,288.755,100089.357
6/1/2004 1:05,292.83,291.632,290.496,290.043,0,287.342,99703.931,288.723,100089.416
6/1/2004 1:10,292.809,291.617,290.429,290.025,0,287.351,99702.361,288.663,100089.491
6/1/2004 1:15,292.76,291.576,290.339,289.854,0,287.36,99700.792,288.578,100089.579
6/1/2004 1:20,292.738,291.56,290.27,289.828,0,287.369,99699.222,288.522,100089.646
6/1/2004 1:25,292.696,291.525,290.192,289.708,0,287.378,99697.653,288.459,100089.717
6/1/2004 1:30,292.678,291.512,290.132,289.716,0,287.387,99696.083,288.418,100089.773
6/1/2004 1:35,292.639,291.48,290.056,289.605,0,287.396,99694.514,288.363,100089.835
6/1/2004 1:40,292.621,291.468,289.995,289.618,0,287.405,99692.944,288.327,100089.885
6/1/2004 1:45,292.584,291.437,289.924,289.509,0,287.414,99691.375,288.276,100089.941
6/1/2004 1:50,292.568,291.426,289.868,289.527,0,287.423,99689.806,288.244,100089.985
6/1/2004 1:55,292.533,291.397,289.797,289.422,0,287.432,99688.236,288.198,100090.035
6/1/2004 2:00,292.521,291.391,289.764,289.448,0,287.441,99686.667,288.171,100090.074
6/1/2004 2:05,292.492,291.37,289.726,289.365,0,287.444,99685.875,288.156,100090.078
6/1/2004 2:10,292.488,291.371,289.704,289.431,0,287.446,99685.083,288.17,100090.067
6/1/2004 2:15,292.465,291.356,289.668,289.369,0,287.448,99684.292,288.168,100090.063
6/1/2004 2:20,292.463,291.36,289.647,289.435,0,287.45,99683.5,288.182,100090.053
6/1/2004 2:25,292.441,291.345,289.624,289.36,0,287.453,99682.708,288.175,100090.052
6/1/2004 2:30,292.441,291.35,289.617,289.421,0,287.455,99681.917,288.186,100090.043
6/1/2004 2:35,292.42,291.336,289.595,289.345,0,287.457,99681.125,288.179,100090.043
6/1/2004 2:40,292.422,291.344,289.588,289.409,0,287.46,99680.333,288.19,100090.035
6/1/2004 2:45,292.402,291.332,289.576,289.333,0,287.462,99679.542,288.183,100090.035
6/1/2004 2:50,292.406,291.341,289.581,289.398,0,287.464,99678.75,288.195,100090.026
6/1/2004 2:55,292.387,291.33,289.569,289.322,0,287.466,99677.958,288.187,100090.026
6/1/2004 3:00,292.384,291.332,289.55,289.389,0,287.469,99677.167,288.199,100090.017
6/1/2004 3:05,292.359,291.314,289.523,289.325,0,287.468,99678.042,288.21,100089.989
6/1/2004 3:10,292.361,291.32,289.514,289.417,0,287.467,99678.917,288.248,100089.947
6/1/2004 3:15,292.338,291.304,289.488,289.369,0,287.466,99679.792,288.27,100089.912
6/1/2004 3:20,292.34,291.31,289.479,289.464,0,287.465,99680.667,288.31,100089.869
6/1/2004 3:25,292.317,291.293,289.453,289.41,0,287.464,99681.542,288.331,100089.834
6/1/2004 3:30,292.319,291.299,289.443,289.501,0,287.463,99682.417,288.37,100089.79
6/1/2004 3:35,292.297,291.283,289.416,289.447,0,287.462,99683.292,288.391,100089.753
6/1/2004 3:40,292.299,291.289,289.408,289.54,0,287.462,99684.167,288.432,100089.708
6/1/2004 3:45,292.277,291.274,289.382,289.488,0,287.461,99685.042,288.454,100089.67
6/1/2004 3:50,292.28,291.281,289.374,289.583,0,287.46,99685.917,288.496,100089.624
6/1/2004 3:55,292.259,291.266,289.348,289.532,0,287.459,99686.792,288.519,100089.585
6/1/2004 4:00,292.257,291.267,289.325,289.628,0,287.458,99687.667,288.562,100089.536
6/1/2004 4:05,292.222,291.238,289.278,289.523,0,287.467,99687.667,288.507,100089.621
6/1/2004 4:10,292.202,291.224,289.242,289.515,0,287.476,99687.667,288.439,100089.709
6/1/2004 4:15,292.154,291.182,289.188,289.354,0,287.486,99687.667,288.356,100089.793
6/1/2004 4:20,292.133,291.166,289.154,289.362,0,287.495,99687.667,288.31,100089.852
6/1/2004 4:25,292.089,291.128,289.097,289.251,0,287.504,99687.667,288.26,100089.907
6/1/2004 4:30,292.07,291.114,289.057,289.293,0,287.513,99687.667,288.237,100089.943
6/1/2004 4:35,292.026,291.076,289,289.191,0,287.523,99687.667,288.2,100089.982
6/1/2004 4:40,292.007,291.06,288.961,289.235,0,287.532,99687.667,288.185,100090.007
6/1/2004 4:45,291.962,291.022,288.9,289.134,0,287.541,99687.667,288.154,100090.037
